AAA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
AAM	42.86	50	46.15	20	80	50	NaN	NaN	NaN	
ABT	34.29	63.89	49.3	18.75	52.94	36.36	100	50	66.67	
ACB	28.95	63.16	46.05	20	87.5	54.84	NaN	100	100	
ACL	48.15	62.96	55.56	54.55	54.55	54.55	NaN	NaN	NaN	
AGC	60	35.71	48.28	44.44	33.33	38.89	NaN	NaN	NaN	
AGD	60	40	50	100	50	75	NaN	NaN	NaN	
AGF	41.38	57.47	49.43	46.15	55	50.63	50	NaN	50	
AGR	25	50	37.5	0	100	57.14	NaN	100	100	
ALP	56	36	46	60	63.64	61.9	NaN	NaN	NaN	
ALT	29.17	61.7	45.26	58.82	52.94	55.88	NaN	0	0	
AME	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
AMV	50	66.67	57.14	50	0	25	NaN	NaN	NaN	
ANV	30	63.16	46.15	36.36	72.73	54.55	NaN	NaN	NaN	
APC	0	100	50	0	100	60	NaN	NaN	NaN	
APG	0	100	50	0	0	0	NaN	NaN	NaN	
APS	100	100	100	100	0	50	NaN	NaN	NaN	
ASM	75	20	44.44	100	0	50	NaN	NaN	NaN	
ASP	40.91	38.1	39.53	33.33	58.33	45.83	100	100	100	
ATA	50	55.56	52.94	66.67	33.33	50	NaN	NaN	NaN	
AVS	0	NaN	0	NaN	100	100	NaN	NaN	NaN	
B82	61.9	45	53.66	50	45.45	47.62	100	NaN	100	
BAS	60	50	55.17	57.14	42.86	50	NaN	NaN	NaN	
BBC	43.68	51.72	47.7	47.06	61.76	54.41	NaN	NaN	NaN	
BBS	37.04	60.38	48.6	55	60	57.5	100	100	100	
BBT	32.2	62.07	47.01	39.13	70.83	55.32	NaN	100	100	
BCC	44.44	69.44	56.94	17.65	66.67	42.86	NaN	0	0	
BCE	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
BCI	45.45	54.55	50	33.33	16.67	25	NaN	NaN	NaN	
BDB	100	0	57.14	100	0	44.44	NaN	NaN	NaN	
BED	16.67	45.45	30.43	0	33.33	16.67	NaN	0	0	
BHC	42.86	46.15	44.44	60	40	50	NaN	NaN	NaN	
BHS	51.22	50	50.6	68.75	50	59.38	100	NaN	100	
BHV	56.82	47.73	52.27	57.89	50	53.85	100	100	100	
BKC	33.33	50	41.67	20	60	40	0	NaN	0	
BLF	52.63	57.89	55.26	30	50	40	NaN	NaN	NaN	
BMC	40.62	59.38	50	46.67	62.5	54.84	NaN	0	0	
BMI	37.14	66.67	52.11	53.85	57.14	55.56	100	NaN	100	
BMP	38.1	59.52	48.81	40	90.91	66.67	NaN	100	100	
BPC	39.78	57.61	48.65	52.17	45.65	48.91	50	0	33.33	
BST	56.25	37.5	46.88	20	40	30	0	NaN	0	
BT6	45.05	58.24	51.65	47.5	56.1	51.85	66.67	NaN	66.67	
BTC	35.42	55.21	45.31	27.27	54.55	40.91	0	83.33	62.5	
BTH	50	43.75	46.88	69.23	30.77	50	NaN	NaN	NaN	
BTP	71.43	28.57	50	33.33	33.33	33.33	NaN	NaN	NaN	
BTS	40	60	50	28.57	52.38	40.48	0	0	0	
BTT	0	100	50	0	100	50	NaN	NaN	NaN	
BVH	61.54	53.85	57.69	50	60	55.56	NaN	NaN	NaN	
BVS	31.43	62.86	47.14	53.85	71.43	62.96	0	0	0	
BXH	75	25	50	75	0	37.5	100	NaN	100	
C92	50	60.71	55.36	38.46	53.85	46.15	NaN	100	100	
CAD	53.85	41.67	48	57.14	28.57	42.86	NaN	NaN	NaN	
CAN	36.96	53.26	45.11	46.51	41.86	44.19	0	0	0	
CAP	43.75	40.62	42.19	35.71	33.33	34.48	100	0	50	
CCI	0	0	0	NaN	100	100	NaN	NaN	NaN	
CCM	50	55.56	52.78	80	60	70	NaN	NaN	NaN	
CDC	40	55	47.5	60	70	65	NaN	NaN	NaN	
CIC	51.35	51.35	51.35	53.33	73.33	63.33	NaN	100	100	
CID	52.38	58.54	55.42	38.1	66.67	52.38	NaN	100	100	
CII	57.89	43.24	50.67	46.67	66.67	56.67	NaN	NaN	NaN	
CJC	50	55.81	52.87	62.5	47.06	54.55	100	NaN	100	
CKV	0	100	33.33	0	50	25	NaN	NaN	NaN	
CLC	47.5	52.5	50	52.94	55.56	54.29	NaN	0	0	
CMC	45.71	64.71	55.07	46.67	66.67	56.67	NaN	0	0	
CMG	66.67	66.67	66.67	0	66.67	40	NaN	NaN	NaN	
CMI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
CMT	0	100	50	0	100	50	NaN	NaN	NaN	
CMV	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
CNT	60	53.33	56.67	50	44.44	47.06	NaN	NaN	NaN	
COM	52.83	38.46	45.71	50	41.67	45.83	0	0	0	
CPC	66.67	50	60	50	0	25	NaN	NaN	NaN	
CSC	50	50	50	25	80	55.56	NaN	NaN	NaN	
CSG	42.86	65	53.66	58.33	33.33	45.83	100	NaN	100	
CSM	25	77.78	52.94	0	100	57.14	NaN	NaN	NaN	
CT6	0	NaN	0	0	0	0	0	NaN	0	
CTB	47.83	44.44	46.15	34.78	60.87	47.83	100	0	50	
CTC	42.86	65	53.66	37.5	75	56.25	NaN	NaN	NaN	
CTD	50	50	50	NaN	100	100	NaN	NaN	NaN	
CTG	12.5	71.43	40	0	80	40	NaN	NaN	NaN	
CTI	100	100	100	100	0	50	NaN	NaN	NaN	
CTM	85.71	50	66.67	80	33.33	54.55	NaN	NaN	NaN	
CTN	48.48	43.75	46.15	52.94	52.94	52.94	100	NaN	100	
CTS	0	71.43	33.33	0	50	28.57	NaN	NaN	NaN	
CVT	100	33.33	66.67	75	0	37.5	NaN	NaN	NaN	
CX8	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	
CYC	31.71	73.17	52.44	47.62	57.14	52.38	NaN	50	50	
D2D	37.5	71.43	53.33	25	50	37.5	NaN	NaN	NaN	
DAC	46.34	51.22	48.78	55.56	63.16	59.46	NaN	100	100	
DAD	36.36	54.55	45.45	50	16.67	33.33	NaN	NaN	NaN	
DAE	55.26	47.37	51.32	44.44	50	47.22	100	50	66.67	
DAG	100	100	100	NaN	100	100	NaN	NaN	NaN	
DBC	68.18	40.91	54.55	88.89	33.33	61.11	100	NaN	100	
DBT	60	25	44.44	20	60	40	NaN	NaN	NaN	
DC2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
DC4	70.59	31.25	51.52	77.78	44.44	61.11	NaN	NaN	NaN	
DCC	40	56.67	48.33	66.67	23.08	44	0	0	0	
DCL	62.5	30.43	46.81	50	44.44	47.06	NaN	NaN	NaN	
DCS	43.48	56.52	50	50	50	50	0	100	50	
DCT	36.59	55	45.68	43.75	75	59.38	NaN	100	100	
DDM	56.25	68.75	62.5	45.45	63.64	54.55	NaN	0	0	
DHA	59.7	42.42	51.13	55.17	55.17	55.17	66.67	0	40	
DHC	62.5	37.5	50	75	25	50	NaN	NaN	NaN	
DHG	41.18	57.58	49.25	50	58.82	54.55	NaN	0	0	
DHI	46.34	48.78	47.56	55.56	44.44	50	100	0	50	
DHT	70.59	17.65	44.12	75	25	50	100	NaN	100	
DIC	46.67	48.28	47.46	44.44	55.56	50	NaN	NaN	NaN	
DID	100	0	50	66.67	0	33.33	NaN	NaN	NaN	
DIG	10	70	40	50	100	80	NaN	NaN	NaN	
DL1	66.67	100	83.33	0	0	0	NaN	NaN	NaN	
DLG	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
DLR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
DMC	22.5	77.5	50	17.39	79.17	48.94	0	75	50	
DNC	100	0	57.14	33.33	0	16.67	NaN	NaN	NaN	
DNP	44.44	61.11	52.78	75	56.25	65.62	NaN	100	100	
DNY	NaN	NaN	NaN	NaN	100	100	NaN	NaN	NaN	
DPC	34.26	58.33	46.3	48.84	43.18	45.98	0	50	40	
DPM	27.59	67.86	47.37	33.33	66.67	50	NaN	NaN	NaN	
DPR	47.83	40.91	44.44	38.46	53.85	46.15	NaN	NaN	NaN	
DQC	39.13	65.22	52.17	41.67	69.23	56	NaN	100	100	
DRC	34.29	62.86	48.57	50	61.54	56	0	100	50	
DRH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
DST	41.38	60.71	50.88	45.45	63.64	54.55	100	NaN	100	
DTA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
DTC	58.06	37.5	47.62	47.62	42.86	45.24	0	0	0	
DTL	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
DTT	38.24	67.65	52.94	66.67	60	63.33	100	NaN	100	
DVD	66.67	66.67	66.67	50	33.33	40	NaN	NaN	NaN	
DVP	50	60	55.56	100	33.33	60	NaN	NaN	NaN	
DXG	50	75	62.5	50	50	50	NaN	NaN	NaN	
DXP	56.41	53.85	55.13	60	40	50	NaN	100	100	
DXV	61.54	36	49.02	66.67	55.56	61.11	100	NaN	100	
DZM	55.56	50	52.63	83.33	42.86	61.54	NaN	NaN	NaN	
EBS	48.65	56.76	52.7	47.06	47.06	47.06	100	100	100	
ECI	62.5	42.86	53.33	57.14	14.29	35.71	NaN	NaN	NaN	
EFI	42.86	66.67	53.85	33.33	66.67	50	NaN	NaN	NaN	
EIB	0	100	46.15	0	100	57.14	NaN	NaN	NaN	
EID	25	85.71	53.33	40	40	40	NaN	NaN	NaN	
FBT	39.13	50	44.44	50	75	62.5	0	0	0	
FDC	33.33	60	45.45	25	75	50	NaN	NaN	NaN	
FMC	44.44	69.44	56.94	31.25	75	53.12	100	100	100	
FPC	34.09	73.33	53.93	28.57	80.95	54.76	NaN	100	100	
FPT	41.03	52.5	46.84	62.5	56.25	59.38	0	66.67	50	
GDT	20	66.67	45.45	0	75	37.5	NaN	NaN	NaN	
GGG	88.89	33.33	61.11	33.33	33.33	33.33	NaN	NaN	NaN	
GHA	53.49	51.16	52.33	48	53.85	50.98	100	NaN	100	
GIL	41.57	55.06	48.31	48.65	63.16	56	0	NaN	0	
GLT	66.67	33.33	50	50	75	62.5	NaN	NaN	NaN	
GMC	44.44	51.35	47.95	37.5	58.82	48.48	NaN	100	100	
GMD	41.38	57.47	49.43	39.47	69.23	54.55	50	33.33	40	
GTA	25.93	76.92	50.94	46.15	38.46	42.31	NaN	NaN	NaN	
GTT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
HAD	40	40	40	75	25	50	NaN	NaN	NaN	
HAG	71.43	35.71	53.57	70	40	55	NaN	NaN	NaN	
HAI	43.75	54.55	49.23	52.63	60	56.41	100	100	100	
HAP	47.78	57.78	52.78	48.65	64.86	56.76	100	100	100	
HAS	50	49.4	49.7	56.82	45.45	51.14	100	NaN	100	
HAX	43.33	62.07	52.54	46.67	60	53.33	NaN	NaN	NaN	
HBC	48.39	59.38	53.97	47.06	33.33	40	100	100	100	
HBD	45.71	51.43	48.57	66.67	38.1	52.38	100	NaN	100	
HBE	48.15	46.15	47.17	41.18	52.94	47.06	0	NaN	0	
HBS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
HCC	60	48.28	54.24	53.33	53.33	53.33	NaN	NaN	NaN	
HCM	33.33	54.55	43.48	75	60	66.67	100	NaN	100	
HCT	61.54	44	52.94	61.54	61.54	61.54	0	0	0	
HDC	36.67	63.33	50	45.45	72.73	59.09	NaN	NaN	NaN	
HDG	0	100	50	0	66.67	40	NaN	NaN	NaN	
HDO	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
HEV	50	48	49.02	58.82	41.18	50	NaN	0	0	
HGM	83.33	20	54.55	100	50	66.67	NaN	NaN	NaN	
HHC	52	56	54	46.67	37.5	41.94	NaN	NaN	NaN	
HHG	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
HHL	100	50	80	66.67	33.33	50	NaN	NaN	NaN	
HJS	47.73	52.27	50	63.16	36.84	50	100	50	75	
HLA	50	62.5	56.25	57.14	62.5	60	0	NaN	0	
HLC	52.94	50	51.52	20	54.55	38.1	33.33	100	50	
HLG	33.33	80	54.55	50	66.67	60	NaN	NaN	NaN	
HLY	47.22	51.35	49.32	42.86	54.55	48.84	NaN	100	100	
HMC	45.95	55.56	50.68	70.59	58.82	64.71	NaN	NaN	NaN	
HMH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
HNM	36.11	54.29	45.07	43.75	62.5	53.12	NaN	NaN	NaN	
HOM	27.27	63.64	45.45	0	50	27.27	NaN	100	100	
HPB	0	100	50	0	0	0	NaN	NaN	NaN	
HPC	39.39	73.53	56.72	38.46	64.29	51.85	NaN	0	0	
HPG	45.45	51.52	48.48	50	54.55	52.38	NaN	NaN	NaN	
HPS	50	42.11	46.05	44.44	55.56	50	NaN	50	50	
HRC	43.24	57.89	50.67	38.89	55.56	47.22	NaN	NaN	NaN	
HSC	39.13	37.5	38.3	50	38.46	44.44	100	NaN	100	
HSG	50	50	50	50	71.43	61.54	NaN	NaN	NaN	
HSI	37.93	50	43.86	33.33	66.67	50	0	50	33.33	
HST	80	20	50	100	50	66.67	NaN	NaN	NaN	
HT1	20	62.07	40.68	33.33	56.25	45.16	0	NaN	0	
HT2	30	60	45	42.86	62.5	53.33	NaN	NaN	NaN	
HTC	100	0	33.33	100	0	50	NaN	NaN	NaN	
HTP	41.67	55.56	48.61	59.09	43.48	51.11	100	0	50	
HTV	43.9	53.66	48.78	53.33	66.67	60	NaN	NaN	NaN	
HUT	52.63	42.11	47.37	60	54.55	57.14	100	NaN	100	
HVG	0	100	50	0	50	33.33	NaN	NaN	NaN	
HVT	61.54	33.33	48	50	83.33	66.67	NaN	NaN	NaN	
ICF	48.65	47.37	48	61.54	46.15	53.85	100	NaN	100	
ICG	58.33	53.85	56	60	50	54.55	NaN	NaN	NaN	
IDV	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
IFS	34.04	61.7	47.87	58.82	61.11	60	NaN	0	0	
IJC	0	NaN	0	0	100	50	NaN	NaN	NaN	
ILC	50	62.5	56.41	47.62	52.38	50	NaN	50	50	
IMP	42.42	55.88	49.25	57.14	73.33	65.52	NaN	NaN	NaN	
INN	50	25	37.5	66.67	33.33	50	0	NaN	0	
ITA	30.77	56.41	43.59	44.44	63.16	54.05	0	NaN	0	
ITC	50	66.67	57.14	33.33	50	42.86	NaN	100	100	
KBC	33.33	66.67	50	25	53.85	40	NaN	0	0	
KBT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
KDC	42.86	46.94	44.9	41.67	40	40.82	100	100	100	
KDH	33.33	66.67	50	50	0	25	NaN	NaN	NaN	
KHA	50	53.01	51.52	56.76	63.16	60	0	0	0	
KHB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
KHP	42.86	57.14	50	41.18	64.71	52.94	NaN	NaN	NaN	
KKC	56.25	33.33	45.16	62.5	37.5	50	100	NaN	100	
KLS	42.86	42.86	42.86	62.5	66.67	64.71	NaN	NaN	NaN	
KMF	29.41	70.59	50	50	66.67	58.82	100	NaN	100	
KMR	40.91	61.9	51.16	75	33.33	52.94	NaN	NaN	NaN	
KSA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
KSB	40	33.33	36.36	0	100	66.67	NaN	NaN	NaN	
KSD	0	NaN	0	0	100	50	NaN	NaN	NaN	
KSH	56.25	35.29	45.45	37.5	55.56	47.06	NaN	NaN	NaN	
KSS	50	100	75	50	50	50	NaN	NaN	NaN	
L10	46.15	38.46	42.31	46.67	26.67	36.67	0	NaN	0	
L18	73.68	50	62.16	50	28.57	39.29	100	NaN	100	
L35	100	100	100	100	0	50	NaN	NaN	NaN	
L43	54.55	50	52.27	60	20	40	NaN	NaN	NaN	
L44	50	60	54.55	100	0	50	NaN	NaN	NaN	
L61	63.64	33.33	48.84	62.5	37.5	50	100	NaN	100	
L62	44.83	55.17	50	35.71	64.29	50	NaN	100	100	
LAF	50	48.35	49.17	57.14	47.62	52.38	50	0	25	
LBE	43.48	59.09	51.11	31.25	62.5	46.88	100	NaN	100	
LBM	43.75	78.12	60.94	46.67	60	53.33	NaN	NaN	NaN	
LCG	50	58.33	54.17	42.86	50	46.67	NaN	NaN	NaN	
LCS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
LDP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
LGC	47.06	44.12	45.59	52.17	47.83	50	NaN	50	50	
LGL	75	66.67	71.43	25	50	37.5	NaN	NaN	NaN	
LHC	50	75	62.5	50	50	50	NaN	NaN	NaN	
LHG	0	0	0	0	50	25	NaN	NaN	NaN	
LIG	0	NaN	0	100	0	50	100	NaN	100	
LIX	60	20	40	66.67	33.33	50	NaN	NaN	NaN	
LM3	80	20	50	66.67	0	33.33	NaN	0	0	
LO5	100	0	55.56	100	0	50	NaN	NaN	NaN	
LSS	30.43	56.52	43.48	50	72.73	61.9	NaN	NaN	NaN	
LTC	47.22	62.86	54.93	63.16	47.37	55.26	100	33.33	50	
LUT	63.64	47.83	55.56	56.25	50	53.12	NaN	0	0	
MAC	75	50	62.5	50	50	50	NaN	NaN	NaN	
MAFPF1	25	68.97	47.37	36.36	33.33	34.78	NaN	NaN	NaN	
MCC	0	100	66.67	NaN	100	100	NaN	NaN	NaN	
MCG	50	50	50	33.33	66.67	50	NaN	NaN	NaN	
MCO	43.59	52.5	48.1	31.58	42.11	36.84	NaN	50	50	
MCP	50	57.58	53.73	47.06	41.18	44.12	NaN	NaN	NaN	
MCV	46.67	56.67	51.67	60	60	60	NaN	NaN	NaN	
MDC	54.55	30	42.86	25	20	22.22	NaN	NaN	NaN	
MEC	60.61	57.58	59.09	64.71	35.29	50	100	NaN	100	
MHC	55.36	55.36	55.36	47.83	60.87	54.35	0	66.67	50	
MHL	100	33.33	66.67	100	0	50	NaN	NaN	NaN	
MIC	48	57.69	52.94	66.67	66.67	66.67	NaN	NaN	NaN	
MIH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
MKP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
MKV	61.9	28.57	45.24	63.64	27.27	45.45	100	0	25	
MMC	28	66.67	46.94	66.67	50	57.89	NaN	100	100	
MPC	44.44	59.46	52.05	50	58.33	54.17	NaN	NaN	NaN	
MSN	100	11.11	55.56	100	0	50	NaN	NaN	NaN	
MTG	70	50	60	71.43	42.86	57.14	NaN	NaN	NaN	
NAG	60	75	66.67	75	50	62.5	NaN	NaN	NaN	
NAV	40.62	60.61	50.77	38.89	61.11	50	NaN	100	100	
NBB	73.33	26.67	50	80	20	50	NaN	0	0	
NBC	43.24	50	46.67	50	64.71	57.58	100	NaN	100	
NBP	40	70	55	12.5	62.5	37.5	0	NaN	0	
NGC	33.33	54.17	43.75	37.5	58.82	48.48	NaN	0	0	
NHA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
