MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^AORD,08/10/2010,4613.5,4617.6,4561.2,4563.0,1373074200,0.00,0.00,4615.6,-52.60,-1.14,0,0,0
^AORD,08/09/2010,4580.7,4618.8,4561.2,4615.6,996268000,0.00,0.00,4586.3,29.30,0.64,0,0,0
^AORD,08/06/2010,4582.9,4586.3,4566.9,4586.3,912223800,0.00,0.00,4584.9,1.40,0.03,0,0,0
^AORD,08/05/2010,4567.0,4596.6,4566.7,4584.9,1158554000,0.00,0.00,4559.7,25.20,0.55,0,0,0
^AORD,08/04/2010,4583.8,4583.9,4559.2,4559.7,1062608000,0.00,0.00,4586.5,-26.80,-0.58,0,0,0
^AORD,08/03/2010,4568.7,4597.5,4568.4,4586.5,1188513500,0.00,0.00,4554.4,32.10,0.70,0,0,0
^AORD,08/02/2010,4508.9,4554.4,4508.3,4554.4,754093700,0.00,0.00,4507.4,47.00,1.04,0,0,0
^AORD,07/30/2010,4531.2,4531.9,4494.9,4507.4,1274414300,0.00,0.00,4536.2,-28.80,-0.63,0,0,0
^AORD,07/29/2010,4541.1,4542.7,4517.6,4536.2,1099027900,0.00,0.00,4542.1,-5.90,-0.13,0,0,0
^AORD,07/28/2010,4514.3,4542.4,4502.8,4542.1,1111596400,0.00,0.00,4513.9,28.20,0.62,0,0,0
^AORD,07/27/2010,4507.4,4536.8,4504.3,4513.9,1119803400,0.00,0.00,4504.4,9.50,0.21,0,0,0
^AORD,07/26/2010,4482.8,4519.2,4482.7,4504.4,1057887200,0.00,0.00,4475.1,29.30,0.65,0,0,0
^AORD,07/23/2010,4412.2,4489.2,4411.9,4475.1,1170962000,0.00,0.00,4394.8,80.30,1.83,0,0,0
^AORD,07/22/2010,4426.3,4430.8,4394.8,4394.8,930374200,0.00,0.00,4428.7,-33.90,-0.77,0,0,0
^AORD,07/21/2010,4430.2,4449.8,4418.3,4428.7,1049410600,0.00,0.00,4418.7,10.00,0.23,0,0,0
^AORD,07/20/2010,4377.5,4428.1,4376.2,4418.7,1162043500,0.00,0.00,4372.7,46.00,1.05,0,0,0
^AORD,07/19/2010,4420.3,4420.3,4360.5,4372.7,919310400,0.00,0.00,4437.0,-64.30,-1.45,0,0,0
^AORD,07/16/2010,4457.4,4470.4,4428.5,4437.0,862211900,0.00,0.00,4456.7,-19.70,-0.44,0,0,0
^AORD,07/15/2010,4472.5,4478.5,4443.8,4456.7,1066233600,0.00,0.00,4477.3,-20.60,-0.46,0,0,0
^AORD,07/14/2010,4418.1,4477.3,4417.2,4477.3,973838300,0.00,0.00,4400.0,77.30,1.76,0,0,0
^AORD,07/13/2010,4423.6,4446.5,4400.0,4400.0,910366500,0.00,0.00,4429.5,-29.50,-0.67,0,0,0
^AORD,07/12/2010,4415.2,4439.8,4407.8,4429.5,887354900,0.00,0.00,4414.5,15.00,0.34,0,0,0
^AORD,07/09/2010,4376.8,4415.2,4370.1,4414.5,826419200,0.00,0.00,4374.1,40.40,0.92,0,0,0
^AORD,07/08/2010,4298.2,4374.1,4298.2,4374.1,1091909900,0.00,0.00,4277.8,96.30,2.25,0,0,0
^AORD,07/07/2010,4303.0,4312.4,4259.3,4277.8,1064193000,0.00,0.00,4299.7,-21.90,-0.51,0,0,0
^AORD,07/06/2010,4244.5,4299.7,4213.0,4299.7,881979100,0.00,0.00,4250.6,49.10,1.16,0,0,0
^AORD,07/05/2010,4266.0,4285.6,4245.2,4250.6,814009400,0.00,0.00,4264.9,-14.30,-0.34,0,0,0
^AORD,07/02/2010,4273.1,4303.9,4249.4,4264.9,1077314700,0.00,0.00,4262.7,2.20,0.05,0,0,0
^AORD,07/01/2010,4309.9,4310.9,4240.0,4262.7,1158297000,0.00,0.00,4324.8,-62.10,-1.44,0,0,0
^AORD,06/30/2010,4346.6,4346.7,4273.2,4324.8,1434356300,0.00,0.00,4370.6,-45.80,-1.05,0,0,0
^AORD,06/29/2010,4406.8,4432.6,4368.5,4370.6,1026408700,0.00,0.00,4409.7,-39.10,-0.89,0,0,0
^AORD,06/28/2010,4445.1,4969.7,4394.5,4409.7,945625200,0.00,0.00,4439.4,-29.70,-0.67,0,0,0
^AORD,06/25/2010,4493.0,4493.0,4436.0,4439.4,1347274500,0.00,0.00,4504.1,-64.70,-1.44,0,0,0
^AORD,06/24/2010,4524.2,4541.8,4503.3,4504.1,1171752100,0.00,0.00,4509.4,-5.30,-0.12,0,0,0
^AORD,06/23/2010,4567.9,4568.7,4509.4,4509.4,1162474800,0.00,0.00,4581.3,-71.90,-1.57,0,0,0
^AORD,06/22/2010,4624.8,4624.8,4579.9,4581.3,1268950400,0.00,0.00,4632.7,-51.40,-1.11,0,0,0
^AORD,06/21/2010,4588.5,4641.3,4587.6,4632.7,1309569400,0.00,0.00,4574.1,58.60,1.28,0,0,0
^AORD,06/18/2010,4546.6,4581.8,4545.7,4574.1,1324321600,0.00,0.00,4547.0,27.10,0.60,0,0,0
^AORD,06/17/2010,4570.0,4578.0,4535.0,4547.0,1365701200,0.00,0.00,4517.6,29.40,0.65,0,0,0
^AORD,06/15/2010,4516.8,4528.2,4503.0,4517.6,1130609600,0.00,0.00,4516.5,1.10,0.02,0,0,0
^AORD,06/11/2010,4467.6,4517.7,4467.6,4516.5,1352247600,0.00,0.00,4448.4,68.10,1.53,0,0,0
^AORD,06/10/2010,4402.9,4459.0,4402.9,4448.4,1416576100,0.00,0.00,4402.6,45.80,1.04,0,0,0
^AORD,06/09/2010,4405.8,4409.2,4374.1,4402.6,1276888900,0.00,0.00,4401.2,1.40,0.03,0,0,0
^AORD,06/08/2010,4348.4,4404.4,4347.6,4401.2,1273213200,0.00,0.00,4350.7,50.50,1.16,0,0,0
^AORD,06/07/2010,4438.5,4438.5,4326.3,4350.7,1159424200,0.00,0.00,4472.4,-121.70,-2.72,0,0,0
^AORD,06/04/2010,4493.2,4493.2,4455.0,4472.4,1005910600,0.00,0.00,4506.3,-33.90,-0.75,0,0,0
^AORD,06/03/2010,4424.0,4507.8,4423.8,4506.3,1206649400,0.00,0.00,4403.7,102.60,2.33,0,0,0
^AORD,06/02/2010,4428.1,4450.2,4397.2,4403.7,1286897800,0.00,0.00,4436.7,-33.00,-0.74,0,0,0
^AORD,06/01/2010,4454.2,4454.2,4410.8,4436.7,1256257100,0.00,0.00,4453.6,-16.90,-0.38,0,0,0
