MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^OMXSPI,08/10/2010,334.2,334.5,331.0,332.1,0,0.00,0.00,335.2,-3.12,-0.93,0,0,0
^OMXSPI,08/09/2010,332.8,336.1,332.8,335.2,0,0.00,0.00,332.7,2.46,0.74,0,0,0
^OMXSPI,08/06/2010,336.0,337.7,331.9,332.7,0,0.00,0.00,335.4,-2.66,-0.79,0,0,0
^OMXSPI,08/05/2010,334.2,338.0,333.9,335.4,0,0.00,0.00,334.1,1.30,0.39,0,0,0
^OMXSPI,08/04/2010,334.3,335.1,331.8,334.1,0,0.00,0.00,334.6,-0.51,-0.15,0,0,0
^OMXSPI,08/03/2010,334.6,334.9,333.1,334.6,0,0.00,0.00,334.7,-0.10,-0.03,0,0,0
^OMXSPI,08/02/2010,328.4,334.9,328.4,334.7,0,0.00,0.00,327.1,7.59,2.32,0,0,0
^OMXSPI,07/30/2010,326.5,329.0,324.2,327.1,0,0.00,0.00,327.4,-0.31,-0.09,0,0,0
^OMXSPI,07/29/2010,329.0,330.3,326.9,327.4,0,0.00,0.00,328.1,-0.65,-0.20,0,0,0
^OMXSPI,07/28/2010,331.1,332.1,327.4,328.1,0,0.00,0.00,329.9,-1.90,-0.58,0,0,0
^OMXSPI,07/27/2010,331.0,332.4,329.2,329.9,0,0.00,0.00,329.9,0.04,0.01,0,0,0
^OMXSPI,07/26/2010,330.7,330.7,327.5,329.9,0,0.00,0.00,328.8,1.12,0.34,0,0,0
^OMXSPI,07/23/2010,329.2,331.2,326.9,328.8,0,0.00,0.00,330.3,-1.53,-0.46,0,0,0
^OMXSPI,07/22/2010,323.8,330.6,322.6,330.3,0,0.00,0.00,323.8,6.57,2.03,0,0,0
^OMXSPI,07/21/2010,321.6,327.0,321.6,323.8,0,0.00,0.00,319.3,4.44,1.39,0,0,0
^OMXSPI,07/20/2010,322.5,323.1,316.7,319.3,0,0.00,0.00,320.9,-1.60,-0.50,0,0,0
^OMXSPI,07/19/2010,321.1,324.1,318.6,320.9,0,0.00,0.00,321.5,-0.55,-0.17,0,0,0
^OMXSPI,07/16/2010,327.8,329.4,320.9,321.5,0,0.00,0.00,327.5,-6.08,-1.86,0,0,0
^OMXSPI,07/15/2010,329.5,331.0,325.8,327.5,0,0.00,0.00,330.1,-2.57,-0.78,0,0,0
^OMXSPI,07/14/2010,330.9,331.4,327.9,330.1,0,0.00,0.00,329.6,0.56,0.17,0,0,0
^OMXSPI,07/13/2010,320.9,329.6,320.9,329.6,0,0.00,0.00,320.9,8.70,2.71,0,0,0
^OMXSPI,07/12/2010,321.3,321.9,318.4,320.9,0,0.00,0.00,320.2,0.68,0.21,0,0,0
^OMXSPI,07/09/2010,318.0,320.4,317.2,320.2,0,0.00,0.00,316.1,4.03,1.27,0,0,0
^OMXSPI,07/08/2010,319.0,320.5,314.8,316.1,0,0.00,0.00,317.6,-1.47,-0.46,0,0,0
^OMXSPI,07/07/2010,313.0,318.1,309.8,317.6,0,0.00,0.00,314.2,3.40,1.08,0,0,0
^OMXSPI,07/06/2010,307.6,314.8,307.1,314.2,0,0.00,0.00,305.6,8.58,2.81,0,0,0
^OMXSPI,07/05/2010,306.2,308.4,305.2,305.6,0,0.00,0.00,306.1,-0.52,-0.17,0,0,0
^OMXSPI,07/02/2010,308.1,309.2,305.7,306.1,0,0.00,0.00,305.4,0.77,0.25,0,0,0
^OMXSPI,07/01/2010,309.3,312.2,303.8,305.4,0,0.00,0.00,313.0,-7.58,-2.42,0,0,0
^OMXSPI,06/30/2010,311.3,314.1,308.8,313.0,0,0.00,0.00,309.8,3.12,1.01,0,0,0
^OMXSPI,06/29/2010,317.5,317.5,309.0,309.8,0,0.00,0.00,320.0,-10.15,-3.17,0,0,0
^OMXSPI,06/28/2010,320.3,320.6,316.2,320.0,0,0.00,0.00,318.8,1.22,0.38,0,0,0
^OMXSPI,06/24/2010,327.9,328.2,318.5,318.8,0,0.00,0.00,326.6,-7.82,-2.39,0,0,0
^OMXSPI,06/23/2010,327.3,331.1,325.9,326.6,0,0.00,0.00,329.8,-3.22,-0.98,0,0,0
^OMXSPI,06/22/2010,328.2,331.5,327.1,329.8,0,0.00,0.00,330.1,-0.27,-0.08,0,0,0
^OMXSPI,06/21/2010,331.3,332.5,329.0,330.1,0,0.00,0.00,328.1,2.02,0.62,0,0,0
^OMXSPI,06/18/2010,326.5,328.6,326.1,328.1,0,0.00,0.00,325.8,2.29,0.70,0,0,0
^OMXSPI,06/17/2010,324.6,327.7,323.7,325.8,0,0.00,0.00,325.7,0.11,0.03,0,0,0
^OMXSPI,06/16/2010,327.5,327.9,322.2,325.7,0,0.00,0.00,326.0,-0.32,-0.10,0,0,0
^OMXSPI,06/15/2010,321.4,326.1,321.2,326.0,0,0.00,0.00,322.8,3.19,0.99,0,0,0
^OMXSPI,06/14/2010,319.9,322.8,319.9,322.8,0,0.00,0.00,318.1,4.74,1.49,0,0,0
^OMXSPI,06/11/2010,319.5,319.8,315.1,318.1,0,0.00,0.00,318.3,-0.25,-0.08,0,0,0
^OMXSPI,06/10/2010,310.9,318.4,309.6,318.3,0,0.00,0.00,311.8,6.46,2.07,0,0,0
^OMXSPI,06/09/2010,306.6,311.8,304.8,311.8,0,0.00,0.00,304.6,7.20,2.36,0,0,0
^OMXSPI,06/08/2010,307.6,308.9,302.5,304.6,0,0.00,0.00,306.6,-1.96,-0.64,0,0,0
^OMXSPI,06/07/2010,310.0,310.7,304.8,306.6,0,0.00,0.00,310.4,-3.83,-1.23,0,0,0
