MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
^OSEAX,08/10/2010,419.8,419.8,412.1,414.0,0,0.00,0.00,419.8,-5.74,-1.37,0,0,0
^OSEAX,08/09/2010,420.5,424.8,419.2,419.8,0,0.00,0.00,420.5,-0.73,-0.17,0,0,0
^OSEAX,08/06/2010,421.1,425.0,419.0,420.5,0,0.00,0.00,421.1,-0.60,-0.14,0,0,0
^OSEAX,08/05/2010,419.9,424.0,419.8,421.1,0,0.00,0.00,419.9,1.22,0.29,0,0,0
^OSEAX,08/04/2010,416.6,420.8,413.7,419.9,0,0.00,0.00,416.6,3.23,0.78,0,0,0
^OSEAX,08/03/2010,416.2,417.7,414.0,416.6,0,0.00,0.00,416.2,0.46,0.11,0,0,0
^OSEAX,08/02/2010,405.2,416.2,405.2,416.2,0,0.00,0.00,405.2,11.00,2.71,0,0,0
^OSEAX,07/30/2010,409.4,409.4,402.3,405.2,0,0.00,0.00,409.4,-4.16,-1.02,0,0,0
^OSEAX,07/29/2010,414.4,414.5,409.1,409.4,0,0.00,0.00,414.4,-5.06,-1.22,0,0,0
^OSEAX,07/28/2010,414.9,418.0,413.0,414.4,0,0.00,0.00,414.9,-0.51,-0.12,0,0,0
^OSEAX,07/27/2010,416.1,419.3,414.4,414.9,0,0.00,0.00,416.1,-1.16,-0.28,0,0,0
^OSEAX,07/26/2010,410.7,416.1,410.2,416.1,0,0.00,0.00,410.7,5.41,1.32,0,0,0
^OSEAX,07/23/2010,409.8,412.3,407.5,410.7,0,0.00,0.00,409.8,0.90,0.22,0,0,0
^OSEAX,07/22/2010,400.8,409.9,398.4,409.8,0,0.00,0.00,400.8,8.97,2.24,0,0,0
^OSEAX,07/21/2010,394.3,403.2,394.3,400.8,0,0.00,0.00,394.3,6.52,1.65,0,0,0
^OSEAX,07/20/2010,396.2,399.6,390.3,394.3,0,0.00,0.00,396.2,-1.95,-0.49,0,0,0
^OSEAX,07/19/2010,395.9,400.1,393.2,396.2,0,0.00,0.00,395.9,0.29,0.07,0,0,0
^OSEAX,07/16/2010,398.3,402.0,395.0,395.9,0,0.00,0.00,398.3,-2.33,-0.59,0,0,0
^OSEAX,07/15/2010,403.6,405.3,397.3,398.3,0,0.00,0.00,403.6,-5.31,-1.32,0,0,0
^OSEAX,07/14/2010,406.7,408.4,400.0,403.6,0,0.00,0.00,406.7,-3.14,-0.77,0,0,0
^OSEAX,07/13/2010,400.4,407.6,400.4,406.7,0,0.00,0.00,400.4,6.32,1.58,0,0,0
^OSEAX,07/12/2010,398.5,401.6,396.9,400.4,0,0.00,0.00,398.5,1.87,0.47,0,0,0
^OSEAX,07/09/2010,394.7,398.9,394.7,398.5,0,0.00,0.00,394.7,3.79,0.96,0,0,0
^OSEAX,07/08/2010,393.3,399.0,393.3,394.7,0,0.00,0.00,393.3,1.44,0.37,0,0,0
^OSEAX,07/07/2010,386.8,393.3,381.9,393.3,0,0.00,0.00,386.8,6.47,1.67,0,0,0
^OSEAX,07/06/2010,373.2,387.1,373.2,386.8,0,0.00,0.00,373.2,13.61,3.65,0,0,0
^OSEAX,07/05/2010,376.2,378.6,373.2,373.2,0,0.00,0.00,376.2,-2.99,-0.79,0,0,0
^OSEAX,07/02/2010,367.6,377.9,367.6,376.2,0,0.00,0.00,367.6,8.58,2.33,0,0,0
^OSEAX,07/01/2010,379.1,379.1,367.5,367.6,0,0.00,0.00,379.1,-11.44,-3.02,0,0,0
^OSEAX,06/30/2010,377.7,383.1,374.4,379.1,0,0.00,0.00,377.7,1.36,0.36,0,0,0
^OSEAX,06/29/2010,396.9,396.9,377.1,377.7,0,0.00,0.00,396.9,-19.22,-4.84,0,0,0
^OSEAX,06/28/2010,394.5,399.2,392.9,396.9,0,0.00,0.00,394.5,2.42,0.61,0,0,0
^OSEAX,06/25/2010,402.8,404.4,394.4,394.5,0,0.00,0.00,402.8,-8.26,-2.05,0,0,0
^OSEAX,06/24/2010,410.5,413.2,402.2,402.8,0,0.00,0.00,410.5,-7.70,-1.88,0,0,0
^OSEAX,06/23/2010,415.9,415.9,409.2,410.5,0,0.00,0.00,415.9,-5.39,-1.30,0,0,0
^OSEAX,06/22/2010,420.3,420.3,414.5,415.9,0,0.00,0.00,421.8,-5.94,-1.41,0,0,0
^OSEAX,06/21/2010,414.6,423.2,414.5,421.8,0,0.00,0.00,414.6,7.16,1.73,0,0,0
^OSEAX,06/18/2010,413.9,416.5,411.6,414.6,0,0.00,0.00,413.9,0.78,0.19,0,0,0
^OSEAX,06/17/2010,414.4,417.9,412.6,413.9,0,0.00,0.00,414.4,-0.53,-0.13,0,0,0
^OSEAX,06/16/2010,418.2,421.6,411.4,414.4,0,0.00,0.00,418.2,-3.78,-0.90,0,0,0
^OSEAX,06/15/2010,417.1,418.9,412.9,418.2,0,0.00,0.00,417.1,1.10,0.26,0,0,0
^OSEAX,06/14/2010,408.0,417.1,408.0,417.1,0,0.00,0.00,408.0,9.05,2.22,0,0,0
^OSEAX,06/11/2010,406.3,409.4,401.8,408.0,0,0.00,0.00,406.3,1.74,0.43,0,0,0
^OSEAX,06/10/2010,401.8,406.3,397.0,406.3,0,0.00,0.00,401.8,4.52,1.13,0,0,0
^OSEAX,06/09/2010,393.0,401.8,391.8,401.8,0,0.00,0.00,393.0,8.78,2.23,0,0,0
^OSEAX,06/08/2010,397.4,401.5,390.5,393.0,0,0.00,0.00,397.4,-4.42,-1.11,0,0,0
^OSEAX,06/07/2010,401.4,401.4,393.1,397.4,0,0.00,0.00,401.4,-3.97,-0.99,0,0,0
^OSEAX,06/04/2010,407.4,412.7,400.1,401.4,0,0.00,0.00,407.4,-6.02,-1.48,0,0,0
^OSEAX,06/03/2010,399.4,409.0,399.4,407.4,0,0.00,0.00,399.4,7.95,1.99,0,0,0
^OSEAX,06/02/2010,396.5,399.7,392.1,399.4,0,0.00,0.00,396.5,2.90,0.73,0,0,0
^OSEAX,06/01/2010,395.7,399.1,387.5,396.5,0,0.00,0.00,395.7,0.82,0.21,0,0,0
^OSEAX,05/31/2010,401.4,402.5,395.7,395.7,0,0.00,0.00,401.4,-5.63,-1.40,0,0,0
^OSEAX,05/28/2010,404.7,407.1,400.6,401.4,0,0.00,0.00,404.7,-3.37,-0.83,0,0,0
^OSEAX,05/27/2010,396.6,404.7,396.5,404.7,0,0.00,0.00,396.6,8.13,2.05,0,0,0
^OSEAX,05/26/2010,380.0,397.5,380.0,396.6,0,0.00,0.00,380.0,16.59,4.37,0,0,0
