MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
ABT,08/06/2010,0.0,52.5,52.0,52.0,11050,54.50,49.40,52.0,0.00,0.00,0,0,0
ABT,08/05/2010,52.5,52.5,51.5,52.0,5640,54.00,49.00,51.5,0.50,0.97,0,100,0
ABT,08/04/2010,52.0,53.0,51.5,51.5,7280,55.00,49.90,52.5,-1.00,-1.90,0,0,250
ABT,08/03/2010,52.5,53.0,52.5,52.5,5590,54.50,49.40,52.0,0.50,0.96,0,1000,750
ABT,08/02/2010,0.0,52.5,52.0,52.0,13470,55.00,49.90,52.5,-0.50,-0.95,0,0,10030
ABT,07/30/2010,53.0,53.5,52.0,52.5,22800,55.50,50.50,53.0,-0.50,-0.94,0,2100,14500
ABT,07/29/2010,53.0,53.0,52.0,53.0,40180,55.50,50.50,53.0,0.00,0.00,0,2000,9150
ABT,07/28/2010,53.5,53.5,52.0,53.0,85430,55.50,50.50,53.0,0.00,0.00,0,480,54390
ABT,07/27/2010,52.5,53.0,52.5,53.0,36510,55.00,49.90,52.5,0.50,0.95,0,500,24300
ABT,07/26/2010,52.5,52.5,52.0,52.5,49320,55.00,49.90,52.5,0.00,0.00,0,200,10000
ABT,07/23/2010,51.5,52.5,51.0,52.5,101930,54.00,49.00,51.5,1.00,1.94,0,0,24600
ABT,07/22/2010,51.0,51.5,51.0,51.5,13300,54.00,49.00,51.5,0.00,0.00,0,0,5000
ABT,07/21/2010,52.0,52.5,51.5,51.5,32040,54.50,49.40,52.0,-0.50,-0.96,0,0,5000
ABT,07/20/2010,52.0,52.0,51.0,52.0,13810,54.50,49.40,52.0,0.00,0.00,0,0,1000
ABT,07/19/2010,51.5,52.0,51.5,52.0,3750,55.00,49.90,52.5,-0.50,-0.95,0,0,930
ABT,07/16/2010,0.0,53.0,52.0,52.5,9870,55.00,49.90,52.5,0.00,0.00,0,0,2010
ABT,07/15/2010,52.5,52.5,52.0,52.5,7590,55.50,50.50,53.0,-0.50,-0.94,0,3180,4780
ABT,07/14/2010,54.0,54.0,53.0,53.0,25060,55.00,49.90,52.5,0.50,0.95,0,0,13280
ABT,07/13/2010,53.0,53.0,51.5,52.5,21960,53.00,48.00,50.5,2.00,3.96,0,0,8910
ABT,07/12/2010,50.0,50.5,49.1,50.5,6290,50.50,46.10,48.5,2.00,4.12,0,400,1500
ABT,07/09/2010,0.0,51.0,48.5,48.5,11590,52.50,47.50,50.0,-1.50,-3.00,0,500,100
ABT,07/08/2010,51.5,52.0,50.0,50.0,8650,54.00,49.00,51.5,-1.50,-2.91,0,0,1630
ABT,07/07/2010,0.0,52.5,51.5,51.5,7000,54.00,49.00,51.5,0.00,0.00,0,0,0
ABT,07/06/2010,52.0,52.0,51.0,51.5,50450,55.50,50.50,53.0,-1.50,-2.83,0,0,0
ABT,07/05/2010,0.0,53.0,52.0,53.0,4620,54.50,49.40,52.0,1.00,1.92,0,0,0
ABT,07/02/2010,51.0,52.0,51.0,52.0,15160,53.50,48.50,51.0,1.00,1.96,0,0,500
ABT,07/01/2010,0.0,51.5,51.0,51.0,18190,54.00,49.00,51.5,-0.50,-0.97,0,0,1400
ABT,06/30/2010,51.0,52.0,51.0,51.5,28420,55.00,49.90,52.5,-1.00,-1.90,0,60,20000
ABT,06/29/2010,0.0,53.0,52.5,52.5,27020,55.50,50.50,53.0,-0.50,-0.94,0,0,24760
ABT,06/28/2010,53.5,53.5,53.0,53.0,11850,55.50,50.50,53.0,0.00,0.00,0,0,11120
ABT,06/25/2010,53.0,53.5,53.0,53.0,26670,56.00,51.00,53.5,-0.50,-0.93,0,0,15000
ABT,06/24/2010,0.0,53.5,53.0,53.5,35740,56.00,51.00,53.5,0.00,0.00,50000,0,20000
ABT,06/23/2010,53.5,53.5,53.5,53.5,15300,56.00,51.00,53.5,0.00,0.00,0,0,14960
ABT,06/22/2010,54.0,54.0,53.0,53.5,6730,56.50,51.50,54.0,-0.50,-0.93,240000,0,5000
ABT,06/21/2010,53.5,54.0,53.5,54.0,17990,57.00,52.00,54.5,-0.50,-0.92,0,10,10280
ABT,06/18/2010,55.0,55.0,54.0,54.5,15360,57.00,52.00,54.5,0.00,0.00,0,0,10000
ABT,06/17/2010,53.5,54.5,53.5,54.5,11670,57.00,52.00,54.5,0.00,0.00,0,0,10000
ABT,06/16/2010,54.5,54.5,54.5,54.5,41530,57.00,52.00,54.5,0.00,0.00,0,0,40000
ABT,06/15/2010,54.0,54.5,53.5,54.5,55150,56.00,51.00,53.5,1.00,1.87,0,30000,10400
ABT,06/14/2010,54.0,54.5,53.5,53.5,17290,56.00,51.00,53.5,0.00,0.00,0,0,10000
ABT,06/11/2010,54.0,54.0,53.5,53.5,19470,56.00,51.00,53.5,0.00,0.00,0,0,0
ABT,06/10/2010,52.0,53.5,52.0,53.5,13110,55.50,50.50,53.0,0.50,0.94,0,0,9410
ABT,06/09/2010,0.0,54.0,53.0,53.0,19560,55.50,50.50,53.0,0.00,0.00,0,360,1500
ABT,06/08/2010,0.0,55.0,53.0,53.0,5330,57.50,52.50,55.0,-2.00,-3.64,0,0,0
ABT,06/07/2010,0.0,55.0,54.0,55.0,10200,57.50,52.50,55.0,0.00,0.00,0,0,0
ABT,06/04/2010,0.0,55.5,55.0,55.0,17530,57.50,52.50,55.0,0.00,0.00,0,0,0
ABT,06/03/2010,55.0,56.0,54.0,55.0,32660,58.00,53.00,55.5,-0.50,-0.90,0,0,0
ABT,06/02/2010,0.0,55.5,55.0,55.5,1800,58.00,53.00,55.5,0.00,0.00,0,0,0
ABT,06/01/2010,56.0,56.0,55.0,55.5,6410,58.50,53.50,56.0,-0.50,-0.89,0,0,0
ABT,05/31/2010,54.0,56.0,54.0,56.0,11130,57.50,52.50,55.0,1.00,1.82,0,0,100
ABT,05/28/2010,54.5,55.0,54.0,55.0,32170,56.00,51.00,53.5,1.50,2.80,0,1000,0
ABT,05/27/2010,0.0,53.5,52.0,53.5,13390,55.00,49.90,52.5,1.00,1.90,0,10,0
ABT,05/26/2010,52.0,53.0,51.5,52.5,15240,54.50,49.40,52.0,0.50,0.96,0,4230,0
ABT,05/25/2010,52.0,52.0,52.0,52.0,6750,54.50,49.40,52.0,0.00,0.00,0,0,100
ABT,05/24/2010,52.0,52.5,52.0,52.0,6130,53.50,48.50,51.0,1.00,1.96,100000,130,0
ABT,05/21/2010,51.5,52.0,51.0,51.0,82320,56.00,51.00,53.5,-2.50,-4.67,0,0,400
ABT,05/20/2010,51.0,55.0,51.0,53.5,14690,56.00,51.00,53.5,0.00,0.00,0,1060,1000
ABT,05/19/2010,55.5,55.5,53.5,53.5,109430,58.00,53.00,55.5,-2.00,-3.60,0,30230,0
ABT,05/18/2010,54.0,55.5,53.0,55.5,50120,57.00,52.00,54.5,1.00,1.83,0,17500,0
ABT,05/17/2010,56.0,56.0,54.0,54.5,61300,58.50,53.50,56.0,-1.50,-2.68,0,0,0
