MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
ALP,08/06/2010,23.1,23.1,22.3,22.4,456090,23.40,21.20,22.3,0.10,0.45,0,200000,0
ALP,08/05/2010,22.3,22.3,22.3,22.3,326990,22.30,20.30,21.3,1.00,4.69,0,0,161530
ALP,08/04/2010,20.8,21.3,20.0,21.3,258420,21.30,19.30,20.3,1.00,4.93,0,30000,200
ALP,08/03/2010,20.6,21.0,20.3,20.3,62680,21.60,19.60,20.6,-0.30,-1.46,0,0,0
ALP,08/02/2010,21.4,21.4,20.5,20.6,26510,21.50,19.50,20.5,0.10,0.49,0,0,0
ALP,07/30/2010,20.4,21.3,20.4,20.5,86900,21.40,19.40,20.4,0.10,0.49,0,0,0
ALP,07/29/2010,20.4,21.0,20.3,20.4,47810,21.50,19.50,20.5,-0.10,-0.49,0,0,0
ALP,07/28/2010,21.0,21.1,20.4,20.5,175840,22.30,20.30,21.3,-0.80,-3.76,0,0,0
ALP,07/27/2010,22.0,22.0,21.3,21.3,105290,22.80,20.80,21.8,-0.50,-2.29,0,0,0
ALP,07/26/2010,22.7,22.7,21.8,21.8,79820,23.40,21.20,22.3,-0.50,-2.24,0,0,0
ALP,07/23/2010,22.5,22.6,22.3,22.3,68360,23.60,21.40,22.5,-0.20,-0.89,0,0,0
ALP,07/22/2010,23.0,23.0,22.5,22.5,38440,23.90,21.70,22.8,-0.30,-1.32,0,0,0
ALP,07/21/2010,22.5,23.3,22.5,22.8,86860,24.40,22.20,23.3,-0.50,-2.15,0,40,0
ALP,07/20/2010,22.7,23.3,22.4,23.3,156920,23.30,21.10,22.2,1.10,4.95,0,21530,0
ALP,07/19/2010,22.2,22.5,22.2,22.2,68570,23.60,21.40,22.5,-0.30,-1.33,0,0,0
ALP,07/16/2010,22.6,23.5,22.5,22.5,126210,23.80,21.60,22.7,-0.20,-0.88,0,10,0
ALP,07/15/2010,23.2,23.2,22.5,22.7,89800,24.30,22.10,23.2,-0.50,-2.16,0,0,0
ALP,07/14/2010,24.1,24.1,23.2,23.2,46320,24.90,22.70,23.8,-0.60,-2.52,0,0,0
ALP,07/13/2010,23.7,23.8,23.0,23.8,130350,24.70,22.50,23.6,0.20,0.85,0,0,370
ALP,07/12/2010,23.9,23.9,23.2,23.6,63000,24.30,22.10,23.2,0.40,1.72,0,0,3790
ALP,07/09/2010,22.1,23.2,22.0,23.2,127110,23.20,21.00,22.1,1.10,4.98,0,0,5000
ALP,07/08/2010,23.4,23.4,22.1,22.1,183560,24.20,22.00,23.1,-1.00,-4.33,0,0,5000
ALP,07/07/2010,24.5,24.5,23.1,23.1,223760,25.50,23.10,24.3,-1.20,-4.94,0,0,15000
ALP,07/06/2010,0.0,25.0,24.3,24.3,90830,26.40,24.00,25.2,-0.90,-3.57,0,0,5000
ALP,07/05/2010,25.4,25.4,24.5,25.2,83300,26.40,24.00,25.2,0.00,0.00,0,0,0
ALP,07/02/2010,25.3,25.3,24.8,25.2,64720,26.00,23.60,24.8,0.40,1.61,0,0,0
ALP,07/01/2010,24.8,25.5,24.6,24.8,111490,26.30,23.90,25.1,-0.30,-1.20,0,0,0
