MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
ASP,08/06/2010,12.0,12.1,11.9,11.9,74200,12.60,11.40,12.0,-0.10,-0.83,0,10000,0
ASP,08/05/2010,12.1,12.4,12.0,12.0,34830,12.80,11.60,12.2,-0.20,-1.64,0,0,0
ASP,08/04/2010,12.3,12.5,11.9,12.2,70660,13.10,11.90,12.5,-0.30,-2.40,0,1000,0
ASP,08/03/2010,12.6,12.8,12.5,12.5,67060,13.30,12.10,12.7,-0.20,-1.57,0,10000,0
ASP,08/02/2010,12.6,12.9,12.5,12.7,19320,13.20,12.00,12.6,0.10,0.79,0,500,0
ASP,07/30/2010,12.9,12.9,12.5,12.6,37530,13.20,12.00,12.6,0.00,0.00,0,0,0
ASP,07/29/2010,12.5,13.0,12.5,12.6,90720,13.20,12.00,12.6,0.00,0.00,384000,5000,0
ASP,07/28/2010,12.8,12.9,12.6,12.6,123300,13.40,12.20,12.8,-0.20,-1.56,0,10000,0
ASP,07/27/2010,13.2,13.2,12.8,12.8,73840,13.70,12.50,13.1,-0.30,-2.29,0,0,0
ASP,07/26/2010,13.2,13.2,13.1,13.1,76750,13.90,12.70,13.3,-0.20,-1.50,0,0,0
ASP,07/23/2010,13.3,13.5,13.2,13.3,58310,13.70,12.50,13.1,0.20,1.53,0,0,0
ASP,07/22/2010,13.6,13.6,13.1,13.1,86530,14.20,13.00,13.6,-0.50,-3.68,0,0,0
ASP,07/21/2010,13.7,13.8,13.6,13.6,188140,14.20,13.00,13.6,0.00,0.00,0,0,0
ASP,07/20/2010,13.3,13.6,13.2,13.6,285930,13.60,12.40,13.0,0.60,4.62,0,0,0
ASP,07/19/2010,13.2,13.2,12.9,13.0,130020,13.70,12.50,13.1,-0.10,-0.76,0,0,10000
ASP,07/16/2010,13.1,13.1,12.9,13.1,105990,13.70,12.50,13.1,0.00,0.00,0,0,0
ASP,07/15/2010,13.1,13.3,13.0,13.1,206750,13.80,12.60,13.2,-0.10,-0.76,0,0,10000
ASP,07/14/2010,13.7,13.7,13.2,13.2,70120,14.00,12.80,13.4,-0.20,-1.49,0,0,0
ASP,07/13/2010,13.4,13.4,13.1,13.4,162560,13.80,12.60,13.2,0.20,1.52,0,0,0
ASP,07/12/2010,13.0,13.3,13.0,13.2,20390,13.80,12.60,13.2,0.00,0.00,50000,0,0
ASP,07/09/2010,12.8,13.4,12.8,13.2,288290,13.40,12.20,12.8,0.40,3.13,0,4310,0
ASP,07/08/2010,13.3,13.3,12.8,12.8,35090,13.50,12.30,12.9,-0.10,-0.78,384000,0,0
ASP,07/07/2010,13.0,13.3,12.9,12.9,87010,13.60,12.40,13.0,-0.10,-0.77,0,0,0
ASP,07/06/2010,13.1,13.2,13.0,13.0,108530,13.70,12.50,13.1,-0.10,-0.76,0,0,0
ASP,07/05/2010,13.1,13.3,13.0,13.1,90870,13.70,12.50,13.1,0.00,0.00,0,0,0
ASP,07/02/2010,13.3,13.3,13.0,13.1,50540,13.60,12.40,13.0,0.10,0.77,0,0,0
ASP,07/01/2010,13.1,13.4,13.0,13.0,89630,13.70,12.50,13.1,-0.10,-0.76,0,0,0
ASP,06/30/2010,13.2,13.3,13.1,13.1,128730,14.00,12.80,13.4,-0.30,-2.24,0,0,0
ASP,06/29/2010,13.4,13.5,13.3,13.4,87950,13.90,12.70,13.3,0.10,0.75,0,0,10000
ASP,06/28/2010,13.5,13.6,13.3,13.3,102420,13.90,12.70,13.3,0.00,0.00,0,0,0
ASP,06/25/2010,13.5,13.6,13.3,13.3,125770,14.40,13.20,13.8,-0.50,-3.62,0,500,2000
ASP,06/24/2010,14.1,14.2,13.8,13.8,69090,14.80,13.40,14.1,-0.30,-2.13,0,10,0
ASP,06/23/2010,13.8,14.3,13.8,14.1,120150,14.80,13.40,14.1,0.00,0.00,0,10000,0
ASP,06/22/2010,14.2,14.4,13.8,14.1,645120,14.40,13.20,13.8,0.30,2.17,0,0,6000
ASP,06/21/2010,13.4,13.8,13.3,13.8,181930,13.80,12.60,13.2,0.60,4.55,0,2000,0
ASP,06/18/2010,13.2,13.4,13.1,13.2,117690,13.80,12.60,13.2,0.00,0.00,0,350,0
ASP,06/17/2010,13.2,13.3,13.0,13.2,117450,13.70,12.50,13.1,0.10,0.76,0,0,0
ASP,06/16/2010,13.0,13.3,13.0,13.1,77970,13.60,12.40,13.0,0.10,0.77,495000,0,0
ASP,06/15/2010,13.3,13.3,13.0,13.0,77620,13.70,12.50,13.1,-0.10,-0.76,0,200,0
ASP,06/14/2010,12.9,13.3,12.9,13.1,73190,13.60,12.40,13.0,0.10,0.77,0,6000,0
ASP,06/11/2010,13.1,13.1,12.9,13.0,63500,13.60,12.40,13.0,0.00,0.00,0,0,0
ASP,06/10/2010,12.8,13.2,12.8,13.0,100960,13.70,12.50,13.1,-0.10,-0.76,0,0,50000
ASP,06/09/2010,13.2,13.3,12.9,13.1,53860,13.40,12.20,12.8,0.30,2.34,0,0,0
ASP,06/08/2010,12.9,12.9,12.3,12.8,33340,13.40,12.20,12.8,0.00,0.00,0,0,0
ASP,06/07/2010,12.7,13.0,12.7,12.8,76520,13.60,12.40,13.0,-0.20,-1.54,0,0,0
ASP,06/04/2010,13.0,13.4,12.9,13.0,87380,14.00,12.80,13.4,-0.40,-2.99,0,0,3000
ASP,06/03/2010,13.6,13.6,13.4,13.4,55970,14.10,12.90,13.5,-0.10,-0.74,0,0,0
ASP,06/02/2010,13.0,13.5,13.0,13.5,51920,13.90,12.70,13.3,0.20,1.50,0,0,0
ASP,06/01/2010,13.1,13.4,13.1,13.3,48090,13.80,12.60,13.2,0.10,0.76,0,4940,0
ASP,05/31/2010,13.0,13.7,13.0,13.2,79110,14.10,12.90,13.5,-0.30,-2.22,0,0,0
ASP,05/28/2010,13.5,13.5,13.4,13.5,137190,13.50,12.30,12.9,0.60,4.65,0,0,0
ASP,05/27/2010,12.7,12.9,12.6,12.9,106820,13.40,12.20,12.8,0.10,0.78,0,3000,0
ASP,05/26/2010,12.8,13.1,12.8,12.8,85320,13.40,12.20,12.8,0.00,0.00,0,0,1330
ASP,05/25/2010,12.8,13.1,12.7,12.8,75050,13.50,12.30,12.9,-0.10,-0.78,0,0,0
ASP,05/24/2010,13.1,13.4,12.8,12.9,66180,13.70,12.50,13.1,-0.20,-1.53,0,0,0
ASP,05/21/2010,13.2,13.2,13.1,13.1,162290,14.30,13.10,13.7,-0.60,-4.38,0,27130,0
ASP,05/20/2010,12.7,13.7,12.7,13.7,146540,13.90,12.70,13.3,0.40,3.01,0,0,0
ASP,05/19/2010,15.0,15.0,14.3,14.3,157220,15.30,13.90,14.6,-0.30,-2.05,0,50000,2000
ASP,05/18/2010,14.7,14.9,14.5,14.6,89680,15.60,14.20,14.9,-0.30,-2.01,0,0,100
ASP,05/17/2010,15.5,15.5,14.8,14.9,94690,16.10,14.70,15.4,-0.50,-3.25,0,5000,0
ASP,05/14/2010,14.5,15.4,14.5,15.4,206000,15.70,14.30,15.0,0.40,2.67,0,100,0
ASP,05/13/2010,15.0,15.0,14.7,15.0,247900,15.00,13.60,14.3,0.70,4.90,0,2000,0
ASP,05/12/2010,14.8,14.8,14.3,14.3,404020,15.70,14.30,15.0,-0.70,-4.67,0,0,0
ASP,05/11/2010,15.7,15.8,15.0,15.0,296250,16.10,14.70,15.4,-0.40,-2.60,0,0,0
ASP,05/10/2010,15.4,15.9,15.4,15.4,307180,17.00,15.40,16.2,-0.80,-4.94,150000,3000,0
ASP,05/07/2010,16.2,16.5,16.2,16.2,312040,17.80,16.20,17.0,-0.80,-4.71,0,7100,0
ASP,05/06/2010,17.0,17.2,16.5,17.0,423920,17.80,16.20,17.0,0.00,0.00,0,0,9700
ASP,05/05/2010,16.5,17.0,16.2,17.0,429280,17.80,16.20,17.0,0.00,0.00,0,0,0
ASP,05/04/2010,17.0,17.0,16.9,17.0,695490,17.00,15.40,16.2,0.80,4.94,0,0,3000
ASP,04/29/2010,16.2,16.2,16.0,16.2,724790,16.20,14.80,15.5,0.70,4.52,0,0,2500
ASP,04/28/2010,15.1,15.5,14.9,15.5,473520,15.50,14.10,14.8,0.70,4.73,0,0,3500
ASP,04/27/2010,14.5,14.8,14.5,14.8,95380,15.20,13.80,14.5,0.30,2.07,0,0,0
ASP,04/26/2010,14.7,15.0,14.5,14.5,133640,15.70,14.30,15.0,-0.50,-3.33,0,3010,0
ASP,04/22/2010,15.7,15.7,14.8,15.0,450330,15.70,14.30,15.0,0.00,0.00,0,100,0
ASP,04/21/2010,14.6,15.0,14.4,15.0,315050,15.00,13.60,14.3,0.70,4.90,0,0,0
ASP,04/20/2010,14.2,14.5,14.1,14.3,189950,15.00,13.60,14.3,0.00,0.00,0,0,0
ASP,04/19/2010,14.4,14.4,13.9,14.3,260160,14.70,13.30,14.0,0.30,2.14,0,0,0
ASP,04/16/2010,14.1,14.1,13.9,14.0,116970,14.40,13.20,13.8,0.20,1.45,0,6000,0
ASP,04/15/2010,13.8,14.0,13.5,13.8,94180,14.30,13.10,13.7,0.10,0.73,0,0,0
ASP,04/14/2010,13.6,14.0,13.6,13.7,106400,14.20,13.00,13.6,0.10,0.74,0,0,0
ASP,04/13/2010,0.0,13.9,13.6,13.6,48050,14.50,13.30,13.9,-0.30,-2.16,0,0,0
ASP,04/12/2010,14.3,14.3,13.6,13.9,85530,15.00,13.60,14.3,-0.40,-2.80,0,0,0
ASP,04/09/2010,14.3,14.4,14.0,14.3,590430,14.40,13.20,13.8,0.50,3.62,0,0,0
ASP,04/08/2010,13.3,13.8,13.3,13.8,286080,13.80,12.60,13.2,0.60,4.55,0,0,0
ASP,04/07/2010,13.3,13.3,13.0,13.2,22470,13.70,12.50,13.1,0.10,0.76,0,0,0
ASP,04/06/2010,13.5,13.5,13.1,13.1,64880,13.80,12.60,13.2,-0.10,-0.76,0,0,0
ASP,04/05/2010,13.0,13.3,13.0,13.2,38220,13.60,12.40,13.0,0.20,1.54,0,0,0
ASP,04/02/2010,0.0,13.3,13.0,13.0,31190,13.70,12.50,13.1,-0.10,-0.76,0,0,0
ASP,04/01/2010,0.0,13.1,12.8,13.1,42780,13.60,12.40,13.0,0.10,0.77,0,0,10000
ASP,03/31/2010,12.9,13.1,12.8,13.0,46980,13.70,12.50,13.1,-0.10,-0.76,0,0,10000
ASP,03/30/2010,0.0,13.3,13.0,13.1,49370,13.80,12.60,13.2,-0.10,-0.76,0,0,0
ASP,03/29/2010,13.3,13.3,13.0,13.2,15860,13.70,12.50,13.1,0.10,0.76,0,0,0
ASP,03/26/2010,13.3,13.4,13.0,13.1,53410,13.90,12.70,13.3,-0.20,-1.50,0,0,5960
ASP,03/25/2010,13.3,13.4,13.2,13.3,45750,14.20,13.00,13.6,-0.30,-2.21,0,0,0
