MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
BBC,08/06/2010,0.0,28.0,27.5,27.9,12040,29.10,26.50,27.8,0.10,0.36,0,0,0
BBC,08/05/2010,27.8,27.8,27.3,27.8,33340,28.70,26.10,27.4,0.40,1.46,0,920,0
BBC,08/04/2010,0.0,28.3,27.2,27.4,55400,30.00,27.20,28.6,-1.20,-4.20,0,0,0
BBC,08/03/2010,29.0,29.4,27.6,28.6,40850,30.40,27.60,29.0,-0.40,-1.38,0,0,0
BBC,08/02/2010,29.4,29.4,29.0,29.0,23650,30.80,28.00,29.4,-0.40,-1.36,0,0,3730
BBC,07/30/2010,28.8,29.4,28.7,29.4,47410,30.80,28.00,29.4,0.00,0.00,0,0,1370
BBC,07/29/2010,28.9,29.4,28.7,29.4,35080,30.30,27.50,28.9,0.50,1.73,0,0,0
BBC,07/28/2010,30.0,30.1,28.9,28.9,74840,31.80,28.80,30.3,-1.40,-4.62,0,0,0
BBC,07/27/2010,0.0,31.0,30.3,30.3,44990,31.70,28.70,30.2,0.10,0.33,0,0,0
BBC,07/26/2010,30.1,30.8,30.1,30.2,64160,31.90,28.90,30.4,-0.20,-0.66,0,0,0
BBC,07/23/2010,30.2,30.7,30.0,30.4,180960,32.20,29.20,30.7,-0.30,-0.98,0,0,0
BBC,07/22/2010,32.0,32.0,30.7,30.7,97490,33.90,30.70,32.3,-1.60,-4.95,0,0,0
BBC,07/21/2010,34.0,34.0,32.0,32.3,213640,34.10,30.90,32.5,-0.20,-0.62,0,1000,0
BBC,07/20/2010,31.0,32.5,31.0,32.5,289720,32.50,29.50,31.0,1.50,4.84,0,0,0
BBC,07/19/2010,31.1,31.1,30.6,31.0,45070,32.50,29.50,31.0,0.00,0.00,0,0,0
BBC,07/16/2010,30.2,31.0,30.2,31.0,85600,32.50,29.50,31.0,0.00,0.00,0,0,0
BBC,07/15/2010,31.1,31.4,30.8,31.0,61370,33.00,30.00,31.5,-0.50,-1.59,36000,0,1000
BBC,07/14/2010,31.1,31.6,31.0,31.5,43170,33.60,30.40,32.0,-0.50,-1.56,0,0,0
BBC,07/13/2010,31.9,32.0,31.0,32.0,34820,33.00,30.00,31.5,0.50,1.59,0,0,0
BBC,07/12/2010,31.0,31.5,30.5,31.5,138630,32.10,29.10,30.6,0.90,2.94,0,0,0
BBC,07/09/2010,29.9,30.6,29.8,30.6,116490,31.30,28.50,29.9,0.70,2.34,0,0,0
BBC,07/08/2010,29.0,30.0,29.0,29.9,66740,30.30,27.50,28.9,1.00,3.46,70000,0,0
BBC,07/07/2010,0.0,29.0,28.4,28.9,12610,30.20,27.40,28.8,0.10,0.35,0,0,0
BBC,07/06/2010,28.9,28.9,28.3,28.8,9920,30.30,27.50,28.9,-0.10,-0.35,0,0,0
BBC,07/05/2010,0.0,29.0,28.4,28.9,1490,29.60,26.80,28.2,0.70,2.48,0,0,0
BBC,07/02/2010,28.2,28.6,28.2,28.2,29900,29.60,26.80,28.2,0.00,0.00,0,970,0
BBC,07/01/2010,28.5,29.0,28.2,28.2,10820,29.90,27.10,28.5,-0.30,-1.05,0,30,0
BBC,06/30/2010,28.5,28.5,28.2,28.5,14800,30.20,27.40,28.8,-0.30,-1.04,0,0,0
BBC,06/29/2010,29.4,29.4,28.8,28.8,6570,30.20,27.40,28.8,0.00,0.00,0,0,0
BBC,06/28/2010,28.6,28.8,28.6,28.8,9080,30.40,27.60,29.0,-0.20,-0.69,0,0,0
BBC,06/25/2010,28.7,29.0,28.5,29.0,13730,30.40,27.60,29.0,0.00,0.00,0,0,1000
BBC,06/24/2010,28.5,29.8,28.5,29.0,31110,30.40,27.60,29.0,0.00,0.00,0,0,0
BBC,06/23/2010,28.9,29.0,28.7,29.0,6490,30.20,27.40,28.8,0.20,0.69,0,500,0
BBC,06/22/2010,28.7,29.2,28.7,28.8,16380,30.50,27.70,29.1,-0.30,-1.03,0,0,0
BBC,06/21/2010,0.0,29.5,29.0,29.1,11910,30.40,27.60,29.0,0.10,0.34,0,0,0
BBC,06/18/2010,29.9,29.9,29.0,29.0,10510,30.80,28.00,29.4,-0.40,-1.36,0,610,0
BBC,06/17/2010,30.0,30.0,29.3,29.4,39300,31.70,28.70,30.2,-0.80,-2.65,0,0,500
BBC,06/16/2010,30.2,30.2,29.7,30.2,11860,31.60,28.60,30.1,0.10,0.33,25000,0,0
BBC,06/15/2010,30.0,30.4,29.7,30.1,40210,31.10,28.30,29.7,0.40,1.35,0,0,0
BBC,06/14/2010,28.9,29.7,28.5,29.7,79690,29.70,26.90,28.3,1.40,4.95,30000,0,610
BBC,06/11/2010,29.4,29.4,28.2,28.3,65060,29.50,26.70,28.1,0.20,0.71,0,0,0
BBC,06/10/2010,29.0,29.4,28.0,28.1,15340,30.20,27.40,28.8,-0.70,-2.43,0,0,0
BBC,06/09/2010,29.8,29.8,28.7,28.8,11400,30.40,27.60,29.0,-0.20,-0.69,0,0,0
BBC,06/08/2010,0.0,29.0,28.8,29.0,5950,30.40,27.60,29.0,0.00,0.00,0,0,0
BBC,06/07/2010,29.5,29.5,28.2,29.0,15300,30.90,28.10,29.5,-0.50,-1.69,0,0,0
BBC,06/04/2010,29.9,29.9,29.3,29.5,9390,30.90,28.10,29.5,0.00,0.00,0,6490,0
BBC,06/03/2010,29.4,29.5,29.0,29.5,64000,30.80,28.00,29.4,0.10,0.34,180000,3510,0
BBC,06/02/2010,0.0,29.5,29.4,29.4,1550,30.80,28.00,29.4,0.00,0.00,0,0,0
BBC,06/01/2010,29.5,29.5,29.0,29.4,62580,30.10,27.30,28.7,0.70,2.44,25000,50000,0
BBC,05/31/2010,28.3,29.5,28.3,28.7,27030,30.40,27.60,29.0,-0.30,-1.03,0,0,0
BBC,05/28/2010,28.2,29.4,28.2,29.0,29590,29.60,26.80,28.2,0.80,2.84,0,0,10000
BBC,05/27/2010,28.2,28.5,28.0,28.2,19890,29.60,26.80,28.2,0.00,0.00,0,0,0
BBC,05/26/2010,28.5,28.5,28.2,28.2,56660,29.70,26.90,28.3,-0.10,-0.35,0,5000,50000
BBC,05/25/2010,28.2,28.9,28.2,28.3,60010,29.60,26.80,28.2,0.10,0.35,0,0,0
BBC,05/24/2010,28.1,28.2,27.1,28.2,8620,28.20,25.60,26.9,1.30,4.83,180000,0,0
BBC,05/21/2010,27.8,27.8,26.9,26.9,131100,29.70,26.90,28.3,-1.40,-4.95,0,0,0
BBC,05/20/2010,28.0,28.4,27.5,28.3,68590,29.80,27.00,28.4,-0.10,-0.35,26000,0,5000
BBC,05/19/2010,29.5,29.5,28.4,28.4,38480,31.20,28.40,29.8,-1.40,-4.70,20000,0,0
BBC,05/18/2010,30.4,30.4,29.7,29.8,3650,31.20,28.40,29.8,0.00,0.00,26000,0,0
BBC,05/17/2010,30.0,30.5,29.8,29.8,5850,32.00,29.00,30.5,-0.70,-2.30,0,0,0
