MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
BTH,08/06/2010,24.8,24.8,22.7,23.2,5600,25.80,22.60,24.2,-1.00,-4.13,0,0,0
BTH,08/05/2010,23.5,25.5,23.5,24.2,25300,25.50,22.30,23.9,0.30,1.26,0,0,0
BTH,08/04/2010,26.5,26.5,23.6,23.9,16100,27.00,23.60,25.3,-1.40,-5.53,0,0,0
BTH,08/03/2010,23.6,25.5,23.6,25.3,3200,27.00,23.60,25.3,0.00,0.00,0,0,0
BTH,08/02/2010,25.4,25.4,24.0,25.3,49200,25.40,22.20,23.8,1.50,6.30,0,0,0
BTH,07/30/2010,21.2,24.1,21.2,23.8,37200,24.10,21.10,22.6,1.20,5.31,0,0,0
BTH,07/29/2010,23.9,23.9,22.4,22.6,4200,24.60,21.40,23.0,-0.40,-1.74,0,0,0
BTH,07/28/2010,22.6,24.0,22.6,23.0,10100,25.70,22.50,24.1,-1.10,-4.56,0,0,0
BTH,07/27/2010,26.4,26.4,23.8,24.1,27300,27.20,23.80,25.5,-1.40,-5.49,5000,0,0
BTH,07/26/2010,25.6,26.5,25.4,25.5,28000,29.20,25.40,27.3,-1.80,-6.59,0,0,0
BTH,07/23/2010,30.0,30.0,26.4,27.3,55700,30.20,26.40,28.3,-1.00,-3.53,0,0,0
BTH,07/22/2010,25.6,29.2,25.6,28.3,78200,29.20,25.40,27.3,1.00,3.66,0,0,0
BTH,07/21/2010,29.5,30.5,27.0,27.3,68700,31.00,27.00,29.0,-1.70,-5.86,0,0,2000
BTH,07/20/2010,29.2,29.2,27.5,29.0,56900,29.20,25.40,27.3,1.70,6.23,0,0,0
BTH,07/19/2010,25.2,27.8,25.2,27.3,23600,27.80,24.20,26.0,1.30,5.00,0,0,0
BTH,07/16/2010,24.4,26.1,24.4,26.0,32700,26.10,22.70,24.4,1.60,6.56,0,0,0
BTH,07/15/2010,22.5,24.6,22.5,24.4,62600,24.60,21.40,23.0,1.40,6.09,0,2000,0
BTH,07/14/2010,20.7,23.7,20.7,23.0,45500,23.70,20.70,22.2,0.80,3.60,0,0,1000
BTH,07/13/2010,21.8,23.0,21.8,22.2,20200,25.00,21.80,23.4,-1.20,-5.13,0,0,0
BTH,07/12/2010,21.6,24.6,21.6,23.4,15800,24.70,21.50,23.1,0.30,1.30,0,0,0
BTH,07/09/2010,23.1,24.4,22.0,23.1,56900,25.00,21.80,23.4,-0.30,-1.28,0,0,0
BTH,07/08/2010,23.4,23.4,23.3,23.4,110800,23.40,20.40,21.9,1.50,6.85,21000,0,0
BTH,07/07/2010,21.9,21.9,21.4,21.9,72600,21.90,19.10,20.5,1.40,6.83,0,1000,0
BTH,07/06/2010,20.5,20.5,20.5,20.5,1300,20.50,17.90,19.2,1.30,6.77,0,0,0
BTH,07/05/2010,19.2,19.2,19.2,19.2,17000,19.20,16.80,18.0,1.20,6.67,0,0,0
BTH,07/02/2010,17.2,18.1,17.2,18.0,11400,18.10,15.90,17.0,1.00,5.88,0,0,0
BTH,07/01/2010,17.1,17.3,16.8,17.0,15200,17.90,15.70,16.8,0.20,1.19,0,0,0
BTH,06/30/2010,16.8,16.8,16.7,16.8,1900,17.30,15.10,16.2,0.60,3.70,0,0,0
BTH,06/29/2010,17.5,17.5,16.5,16.8,4500,18.00,15.80,16.9,-0.10,-0.59,5000,0,0
BTH,06/28/2010,16.2,17.1,16.2,16.9,8800,17.30,15.10,16.2,0.70,4.32,0,0,0
BTH,06/25/2010,16.2,17.0,16.1,16.2,10700,17.80,15.60,16.7,-0.50,-2.99,0,0,0
BTH,06/24/2010,16.8,17.0,16.0,16.7,19100,17.00,14.80,15.9,0.80,5.03,0,0,0
BTH,06/23/2010,17.1,17.1,15.6,15.9,7100,17.60,15.40,16.5,-0.60,-3.64,0,0,0
