MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CCI,08/06/2010,0.0,28.3,27.0,28.0,32150,29.60,26.80,28.2,-0.20,-0.71,0,0,0
CCI,08/05/2010,0.0,28.5,28.2,28.2,2270,29.70,26.90,28.3,-0.10,-0.35,0,0,0
CCI,08/04/2010,0.0,28.5,28.3,28.3,24080,30.00,27.20,28.6,-0.30,-1.05,0,0,0
CCI,08/03/2010,0.0,29.1,28.5,28.6,5250,29.90,27.10,28.5,0.10,0.35,0,0,0
CCI,08/02/2010,29.1,29.1,28.4,28.5,15380,29.80,27.00,28.4,0.10,0.35,0,0,0
CCI,07/30/2010,28.4,29.0,28.4,28.4,35440,29.80,27.00,28.4,0.00,0.00,0,0,0
CCI,07/29/2010,28.8,28.8,28.4,28.4,12540,29.80,27.00,28.4,0.00,0.00,0,0,0
CCI,07/28/2010,0.0,29.0,28.3,28.4,7320,30.00,27.20,28.6,-0.20,-0.70,0,0,0
CCI,07/27/2010,0.0,28.9,28.6,28.6,15740,30.10,27.30,28.7,-0.10,-0.35,0,0,0
CCI,07/26/2010,29.0,29.1,28.6,28.7,16560,30.40,27.60,29.0,-0.30,-1.03,0,0,0
CCI,07/23/2010,28.5,29.1,28.5,29.0,24070,30.40,27.60,29.0,0.00,0.00,0,0,0
CCI,07/22/2010,29.0,29.0,28.8,29.0,9910,30.40,27.60,29.0,0.00,0.00,0,0,0
CCI,07/21/2010,28.9,29.6,28.9,29.0,26220,30.40,27.60,29.0,0.00,0.00,0,0,0
CCI,07/20/2010,0.0,29.9,28.9,29.0,21020,30.30,27.50,28.9,0.10,0.35,0,0,0
CCI,07/19/2010,28.4,28.9,28.4,28.9,3690,30.10,27.30,28.7,0.20,0.70,0,0,0
CCI,07/16/2010,0.0,29.0,28.7,28.7,5890,30.30,27.50,28.9,-0.20,-0.69,0,0,0
CCI,07/15/2010,0.0,29.0,28.7,28.9,10310,30.10,27.30,28.7,0.20,0.70,0,0,0
CCI,07/14/2010,30.0,30.0,28.7,28.7,10600,30.30,27.50,28.9,-0.20,-0.69,0,0,0
CCI,07/13/2010,28.4,28.9,28.4,28.9,14640,29.80,27.00,28.4,0.50,1.76,0,0,0
CCI,07/12/2010,29.0,29.0,28.4,28.4,7170,29.80,27.00,28.4,0.00,0.00,0,0,0
CCI,07/09/2010,0.0,28.9,28.4,28.4,5150,30.20,27.40,28.8,-0.40,-1.39,0,0,0
CCI,07/08/2010,0.0,29.3,28.8,28.8,10470,30.70,27.90,29.3,-0.50,-1.71,0,0,0
CCI,07/07/2010,29.8,29.8,28.5,29.3,5820,30.30,27.50,28.9,0.40,1.38,0,0,0
CCI,07/06/2010,29.5,29.5,28.9,28.9,20300,30.90,28.10,29.5,-0.60,-2.03,0,0,0
CCI,07/05/2010,29.5,29.7,29.5,29.5,11910,31.10,28.30,29.7,-0.20,-0.67,0,0,0
