MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CX8,08/06/2010,25.0,25.8,25.0,25.5,8000,28.00,24.40,26.2,-0.70,-2.67,0,0,0
CX8,08/05/2010,26.3,27.0,24.7,26.2,13200,28.30,24.70,26.5,-0.30,-1.13,0,0,0
CX8,08/04/2010,27.0,27.0,25.8,26.5,9000,27.80,24.20,26.0,0.50,1.92,0,0,0
CX8,08/03/2010,25.7,26.4,25.5,26.0,47500,28.00,24.40,26.2,-0.20,-0.76,0,0,0
CX8,08/02/2010,27.0,27.0,25.5,26.2,14000,27.30,23.90,25.6,0.60,2.34,0,0,0
CX8,07/30/2010,25.3,26.0,25.0,25.6,23200,27.00,23.60,25.3,0.30,1.19,0,0,0
CX8,07/29/2010,25.0,25.7,24.0,25.3,20700,25.70,22.50,24.1,1.20,4.98,0,0,0
CX8,07/28/2010,25.5,25.5,23.5,24.1,7000,26.40,23.00,24.7,-0.60,-2.43,0,0,0
CX8,07/27/2010,25.2,25.2,24.5,24.7,5900,26.80,23.40,25.1,-0.40,-1.59,0,0,0
CX8,07/26/2010,25.4,25.4,24.5,25.1,9600,27.00,23.60,25.3,-0.20,-0.79,0,0,0
CX8,07/23/2010,25.4,25.8,24.1,25.3,14500,27.10,23.70,25.4,-0.10,-0.39,0,0,0
CX8,07/22/2010,25.6,25.6,25.0,25.4,11600,27.30,23.90,25.6,-0.20,-0.78,0,0,0
CX8,07/21/2010,25.7,25.7,25.5,25.6,12000,27.30,23.90,25.6,0.00,0.00,0,0,0
CX8,07/20/2010,26.4,26.6,25.0,25.6,23500,27.40,24.00,25.7,-0.10,-0.39,0,0,0
CX8,07/19/2010,26.0,26.4,24.5,25.7,12700,27.80,24.20,26.0,-0.30,-1.15,0,0,0
CX8,07/16/2010,26.7,26.8,24.6,26.0,15400,28.10,24.50,26.3,-0.30,-1.14,0,0,0
CX8,07/15/2010,26.9,27.0,25.0,26.3,13200,27.80,24.20,26.0,0.30,1.15,0,0,0
CX8,07/14/2010,27.9,27.9,24.8,26.0,10100,28.30,24.70,26.5,-0.50,-1.89,0,0,0
CX8,07/13/2010,27.7,27.7,24.8,26.5,10800,28.20,24.60,26.4,0.10,0.38,0,0,0
CX8,07/12/2010,28.8,28.8,26.7,27.6,14300,30.20,26.40,28.3,-0.70,-2.47,0,0,0
CX8,07/09/2010,26.8,29.0,26.6,28.3,10900,30.20,26.40,28.3,0.00,0.00,0,0,0
