MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CYC,08/06/2010,9.3,9.3,9.0,9.0,7900,9.50,8.70,9.1,-0.10,-1.10,0,0,6200
CYC,08/05/2010,9.0,9.4,9.0,9.1,10600,9.40,8.60,9.0,0.10,1.11,0,0,0
CYC,08/04/2010,0.0,9.2,9.0,9.0,20780,9.60,8.80,9.2,-0.20,-2.17,0,0,8800
CYC,08/03/2010,0.0,9.5,9.2,9.2,8020,9.70,8.90,9.3,-0.10,-1.08,0,0,0
CYC,08/02/2010,0.0,9.5,9.3,9.3,4950,9.80,9.00,9.4,-0.10,-1.06,0,0,0
CYC,07/30/2010,9.6,9.6,9.4,9.4,5570,9.60,8.80,9.2,0.20,2.17,0,0,0
CYC,07/29/2010,9.1,9.6,9.1,9.2,17070,9.60,8.80,9.2,0.00,0.00,0,0,12600
CYC,07/28/2010,0.0,9.5,9.1,9.2,14950,9.90,9.10,9.5,-0.30,-3.16,0,0,0
CYC,07/27/2010,9.8,9.8,9.4,9.5,25630,9.80,9.00,9.4,0.10,1.06,0,0,0
CYC,07/26/2010,9.9,9.9,9.4,9.4,19400,10.10,9.30,9.7,-0.30,-3.09,0,0,0
CYC,07/23/2010,9.9,9.9,9.7,9.7,11520,10.30,9.50,9.9,-0.20,-2.02,0,0,0
CYC,07/22/2010,0.0,10.5,9.9,9.9,26080,10.90,9.90,10.4,-0.50,-4.81,0,0,0
CYC,07/21/2010,10.5,10.5,10.1,10.4,30520,10.60,9.60,10.1,0.30,2.97,20000,0,0
CYC,07/20/2010,9.6,10.1,9.6,10.1,32000,10.10,9.30,9.7,0.40,4.12,0,0,0
CYC,07/19/2010,9.8,9.9,9.5,9.7,16700,10.20,9.40,9.8,-0.10,-1.02,0,0,0
CYC,07/16/2010,9.6,10.1,9.6,9.8,35380,10.20,9.40,9.8,0.00,0.00,0,0,0
CYC,07/15/2010,9.9,10.5,9.6,9.8,64340,10.60,9.60,10.1,-0.30,-2.97,0,0,0
CYC,07/14/2010,10.5,10.9,10.1,10.1,40120,11.10,10.10,10.6,-0.50,-4.72,0,0,4000
CYC,07/13/2010,10.4,11.0,10.4,10.6,11760,11.00,10.00,10.5,0.10,0.95,0,0,0
CYC,07/12/2010,10.6,10.6,10.5,10.5,29150,11.50,10.50,11.0,-0.50,-4.55,0,0,0
CYC,07/09/2010,11.3,11.3,10.8,11.0,31200,11.60,10.60,11.1,-0.10,-0.90,0,0,0
CYC,07/08/2010,11.1,11.2,11.0,11.1,154650,11.20,10.20,10.7,0.40,3.74,0,0,0
CYC,07/07/2010,10.3,10.7,10.3,10.7,105430,10.70,9.70,10.2,0.50,4.90,0,4000,0
CYC,07/06/2010,11.1,11.1,10.2,10.2,115980,11.10,10.10,10.6,-0.40,-3.77,0,0,1170
CYC,07/05/2010,10.6,10.6,10.6,10.6,38400,10.60,9.60,10.1,0.50,4.95,0,0,0
CYC,07/02/2010,10.1,10.1,10.1,10.1,41880,10.10,9.30,9.7,0.40,4.12,0,0,0
CYC,07/01/2010,9.3,9.7,9.3,9.7,49170,9.70,8.90,9.3,0.40,4.30,0,0,6000
CYC,06/30/2010,9.2,9.3,9.1,9.3,46350,9.70,8.90,9.3,0.00,0.00,0,0,0
CYC,06/29/2010,9.4,9.4,9.2,9.3,19200,9.60,8.80,9.2,0.10,1.09,0,0,0
CYC,06/28/2010,9.3,9.3,9.1,9.2,4990,9.50,8.70,9.1,0.10,1.10,0,0,0
CYC,06/25/2010,9.0,9.1,9.0,9.1,3410,9.50,8.70,9.1,0.00,0.00,0,0,0
CYC,06/24/2010,9.1,9.2,9.1,9.1,11730,9.50,8.70,9.1,0.00,0.00,0,0,0
CYC,06/23/2010,9.3,9.3,9.1,9.1,28710,9.50,8.70,9.1,0.00,0.00,0,2000,0
CYC,06/22/2010,9.1,9.2,9.1,9.1,14070,9.50,8.70,9.1,0.00,0.00,0,0,0
CYC,06/21/2010,9.1,9.4,9.1,9.1,21600,9.50,8.70,9.1,0.00,0.00,0,0,0
CYC,06/18/2010,0.0,9.1,9.0,9.1,3890,9.40,8.60,9.0,0.10,1.11,0,0,0
CYC,06/17/2010,9.3,9.3,9.0,9.0,2530,9.60,8.80,9.2,-0.20,-2.17,0,130,0
CYC,06/16/2010,9.3,9.3,9.0,9.2,6770,9.50,8.70,9.1,0.10,1.10,0,0,0
CYC,06/15/2010,9.3,9.3,9.0,9.1,3270,9.70,8.90,9.3,-0.20,-2.15,0,0,0
CYC,06/14/2010,9.1,9.3,9.1,9.3,30210,9.30,8.50,8.9,0.40,4.49,0,0,0
CYC,06/11/2010,0.0,9.0,8.8,8.9,14780,9.20,8.40,8.8,0.10,1.14,0,0,0
CYC,06/10/2010,8.7,9.0,8.7,8.8,28270,9.10,8.30,8.7,0.10,1.15,0,0,0
CYC,06/09/2010,0.0,9.1,8.7,8.7,10440,9.40,8.60,9.0,-0.30,-3.33,0,6000,0
CYC,06/08/2010,8.8,9.0,8.8,9.0,6510,9.40,8.60,9.0,0.00,0.00,0,0,0
CYC,06/07/2010,8.6,9.1,8.6,9.0,5770,9.40,8.60,9.0,0.00,0.00,0,0,0
CYC,06/04/2010,8.8,9.1,8.7,9.0,14410,9.20,8.40,8.8,0.20,2.27,0,0,0
CYC,06/03/2010,9.4,9.4,8.8,8.8,9310,9.40,8.60,9.0,-0.20,-2.22,0,0,0
CYC,06/02/2010,0.0,9.1,8.7,9.0,1370,9.50,8.70,9.1,-0.10,-1.10,0,0,0
CYC,06/01/2010,8.7,9.2,8.6,9.1,17110,9.40,8.60,9.0,0.10,1.11,0,150,0
CYC,05/31/2010,9.5,9.5,9.0,9.0,9840,9.80,9.00,9.4,-0.40,-4.26,0,0,0
CYC,05/28/2010,9.4,9.5,9.3,9.4,12780,9.50,8.70,9.1,0.30,3.30,0,0,0
CYC,05/27/2010,9.0,9.1,9.0,9.1,13640,9.40,8.60,9.0,0.10,1.11,0,0,0
CYC,05/26/2010,9.0,9.0,8.8,9.0,5240,9.10,8.30,8.7,0.30,3.45,0,0,0
CYC,05/25/2010,9.0,9.0,8.7,8.7,6410,9.10,8.30,8.7,0.00,0.00,0,0,0
CYC,05/24/2010,0.0,8.8,8.2,8.7,2230,8.80,8.00,8.4,0.30,3.57,0,0,0
CYC,05/21/2010,8.4,8.7,8.4,8.4,45720,9.20,8.40,8.8,-0.40,-4.55,0,0,0
CYC,05/20/2010,8.7,9.2,8.7,8.8,11450,9.50,8.70,9.1,-0.30,-3.30,0,0,0
CYC,05/19/2010,9.2,9.2,9.1,9.1,13160,9.90,9.10,9.5,-0.40,-4.21,0,0,0
CYC,05/18/2010,9.1,9.5,9.0,9.5,16860,9.70,8.90,9.3,0.20,2.15,0,0,0
CYC,05/17/2010,9.5,9.5,9.3,9.3,13800,9.90,9.10,9.5,-0.20,-2.11,0,0,0
CYC,05/14/2010,9.4,10.0,9.4,9.5,98730,10.20,9.40,9.8,-0.30,-3.06,0,500,0
CYC,05/13/2010,9.8,10.0,9.8,9.8,56580,10.80,9.80,10.3,-0.50,-4.85,0,0,0
CYC,05/12/2010,10.3,10.3,10.3,10.3,14540,11.30,10.30,10.8,-0.50,-4.63,0,0,0
CYC,05/11/2010,11.7,11.7,10.8,10.8,75570,11.70,10.70,11.2,-0.40,-3.57,0,0,0
CYC,05/10/2010,11.6,11.6,11.0,11.2,228330,11.60,10.60,11.1,0.10,0.90,0,0,0
CYC,05/07/2010,11.1,11.1,11.1,11.1,113010,11.10,10.10,10.6,0.50,4.72,0,0,0
CYC,05/06/2010,10.6,10.6,10.6,10.6,23230,10.60,9.60,10.1,0.50,4.95,0,0,0
CYC,05/05/2010,10.1,10.1,10.1,10.1,31960,10.10,9.30,9.7,0.40,4.12,0,0,0
CYC,05/04/2010,9.7,9.7,9.7,9.7,16770,9.70,8.90,9.3,0.40,4.30,0,0,3380
CYC,04/29/2010,9.3,9.3,9.3,9.3,118100,9.30,8.50,8.9,0.40,4.49,0,0,780
CYC,04/28/2010,0.0,9.0,8.8,8.9,5430,9.40,8.60,9.0,-0.10,-1.11,0,0,500
CYC,04/27/2010,9.0,9.0,8.9,9.0,4000,9.40,8.60,9.0,0.00,0.00,0,400,0
CYC,04/26/2010,9.0,9.2,8.9,9.0,6700,9.60,8.80,9.2,-0.20,-2.17,0,0,0
CYC,04/22/2010,9.6,9.6,9.2,9.2,71660,9.60,8.80,9.2,0.00,0.00,0,3420,3940
CYC,04/21/2010,8.9,9.2,8.8,9.2,43780,9.20,8.40,8.8,0.40,4.55,0,7460,250
CYC,04/20/2010,8.6,8.8,8.5,8.8,18970,9.00,8.20,8.6,0.20,2.33,0,2000,2750
CYC,04/19/2010,8.6,8.7,8.5,8.6,3960,9.00,8.20,8.6,0.00,0.00,0,0,0
CYC,04/16/2010,8.9,8.9,8.6,8.6,4290,9.20,8.40,8.8,-0.20,-2.27,0,0,0
CYC,04/15/2010,0.0,8.8,8.7,8.8,3240,9.10,8.30,8.7,0.10,1.15,0,0,0
CYC,04/14/2010,0.0,8.8,8.7,8.7,3150,9.10,8.30,8.7,0.00,0.00,0,2110,0
CYC,04/13/2010,8.6,9.0,8.5,8.7,42910,9.30,8.50,8.9,-0.20,-2.25,0,3890,0
CYC,04/12/2010,8.7,8.9,8.7,8.9,23230,8.90,8.10,8.5,0.40,4.71,0,0,3000
CYC,04/09/2010,8.6,8.7,8.5,8.5,6640,9.00,8.20,8.6,-0.10,-1.16,0,1000,0
CYC,04/08/2010,8.6,8.6,8.5,8.6,4160,8.90,8.10,8.5,0.10,1.18,0,0,0
CYC,04/07/2010,8.4,8.5,8.4,8.5,6530,8.80,8.00,8.4,0.10,1.19,0,0,0
CYC,04/06/2010,8.6,8.6,8.4,8.4,3370,8.90,8.10,8.5,-0.10,-1.18,0,0,0
CYC,04/05/2010,8.3,8.6,8.3,8.5,8510,8.80,8.00,8.4,0.10,1.19,0,280,200
CYC,04/02/2010,0.0,8.5,8.3,8.4,4310,8.90,8.10,8.5,-0.10,-1.18,0,1420,0
CYC,04/01/2010,8.4,8.7,8.4,8.5,2190,8.90,8.10,8.5,0.00,0.00,0,0,0
CYC,03/31/2010,8.2,8.5,8.2,8.5,4470,8.90,8.10,8.5,0.00,0.00,0,1660,0
CYC,03/30/2010,8.6,8.6,8.5,8.5,5780,9.00,8.20,8.6,-0.10,-1.16,0,1000,0
CYC,03/29/2010,8.7,8.7,8.3,8.6,1570,9.10,8.30,8.7,-0.10,-1.15,0,0,0
CYC,03/26/2010,0.0,8.8,8.6,8.7,150,9.30,8.50,8.9,-0.20,-2.25,0,0,0
CYC,03/25/2010,8.9,8.9,8.8,8.9,530,9.30,8.50,8.9,0.00,0.00,0,0,0
CYC,03/24/2010,8.4,8.9,8.4,8.9,1550,9.10,8.30,8.7,0.20,2.30,0,10,0
CYC,03/23/2010,8.6,8.7,8.5,8.7,6640,9.00,8.20,8.6,0.10,1.16,0,0,0
CYC,03/22/2010,8.7,8.9,8.6,8.6,7380,9.40,8.60,9.0,-0.40,-4.44,0,0,1590
CYC,03/19/2010,9.0,9.0,8.6,9.0,8650,9.40,8.60,9.0,0.00,0.00,0,2580,220
CYC,03/18/2010,9.0,9.0,9.0,9.0,290,9.10,8.30,8.7,0.30,3.45,0,0,0
CYC,03/17/2010,0.0,8.8,8.7,8.7,4030,9.50,8.70,9.1,-0.40,-4.40,0,0,0
CYC,03/16/2010,9.1,9.2,9.0,9.1,3350,9.80,9.00,9.4,-0.30,-3.19,0,0,0
CYC,03/15/2010,9.3,9.5,9.2,9.4,25910,9.50,8.70,9.1,0.30,3.30,0,1810,40
CYC,03/12/2010,8.7,9.1,8.7,9.1,24360,9.10,8.30,8.7,0.40,4.60,0,6000,5000
CYC,03/11/2010,8.8,8.9,8.7,8.7,3960,9.20,8.40,8.8,-0.10,-1.14,0,0,0
CYC,03/10/2010,9.0,9.0,8.8,8.8,8940,9.10,8.30,8.7,0.10,1.15,0,0,0
CYC,03/09/2010,8.8,9.0,8.7,8.7,2010,9.10,8.30,8.7,0.00,0.00,0,0,0
CYC,03/08/2010,8.7,8.9,8.7,8.7,8060,9.10,8.30,8.7,0.00,0.00,0,0,0
CYC,03/05/2010,8.9,8.9,8.7,8.7,1950,9.40,8.60,9.0,-0.30,-3.33,0,0,0
CYC,03/04/2010,9.0,9.0,8.7,9.0,600,9.40,8.60,9.0,0.00,0.00,0,0,100
CYC,03/03/2010,8.7,9.0,8.7,9.0,1400,9.30,8.50,8.9,0.10,1.12,0,0,0
CYC,03/02/2010,9.1,9.1,8.8,8.9,1410,9.30,8.50,8.9,0.00,0.00,0,0,0
CYC,03/01/2010,8.6,8.9,8.6,8.9,4800,8.90,8.10,8.5,0.40,4.71,0,0,0
CYC,02/26/2010,0.0,8.9,8.5,8.5,2970,9.30,8.50,8.9,-0.40,-4.49,0,0,0
CYC,02/25/2010,8.8,9.0,8.8,8.9,2240,9.50,8.70,9.1,-0.20,-2.20,0,0,0
CYC,02/24/2010,0.0,9.1,9.1,9.1,30,9.50,8.70,9.1,0.00,0.00,0,0,0
CYC,02/23/2010,9.2,9.2,8.5,9.1,9060,9.30,8.50,8.9,0.20,2.25,0,5000,0
CYC,02/22/2010,8.5,9.0,8.5,8.9,10940,9.10,8.30,8.7,0.20,2.30,0,0,0
CYC,02/12/2010,0.0,8.7,8.5,8.7,4330,9.00,8.20,8.6,0.10,1.16,0,0,0
CYC,02/11/2010,8.6,8.6,8.6,8.6,2060,9.00,8.20,8.6,0.00,0.00,0,0,0
CYC,02/10/2010,0.0,8.7,8.6,8.6,270,9.00,8.20,8.6,0.00,0.00,0,0,0
CYC,02/09/2010,8.3,8.6,8.3,8.6,2800,9.10,8.30,8.7,-0.10,-1.15,0,0,0
CYC,02/08/2010,8.8,8.8,8.7,8.7,40,9.10,8.30,8.7,0.00,0.00,0,0,0
CYC,02/05/2010,8.8,8.8,8.7,8.7,1060,9.10,8.30,8.7,0.00,0.00,0,0,0
CYC,02/04/2010,8.7,8.7,8.7,8.7,60,8.90,8.10,8.5,0.20,2.35,0,0,0
CYC,02/03/2010,0.0,8.6,8.5,8.5,1690,9.00,8.20,8.6,-0.10,-1.16,0,0,0
CYC,02/02/2010,8.7,8.7,8.6,8.6,1930,9.00,8.20,8.6,0.00,0.00,0,0,0
CYC,02/01/2010,0.0,8.6,8.4,8.6,770,8.70,7.90,8.3,0.30,3.61,0,0,0
CYC,01/29/2010,0.0,8.3,8.3,8.3,12100,9.00,8.20,8.6,-0.30,-3.49,0,0,0
CYC,01/28/2010,8.6,8.9,8.6,8.6,340,9.00,8.20,8.6,0.00,0.00,0,0,0
CYC,01/27/2010,0.0,9.0,8.6,8.6,810,9.40,8.60,9.0,-0.40,-4.44,0,0,0
CYC,01/26/2010,8.8,9.1,8.8,9.0,6380,9.20,8.40,8.8,0.20,2.27,0,0,0
CYC,01/25/2010,0.0,8.8,8.5,8.8,2160,9.20,8.40,8.8,0.00,0.00,0,0,0
CYC,01/22/2010,0.0,8.9,8.5,8.8,260,8.90,8.10,8.5,0.30,3.53,0,0,0
CYC,01/21/2010,8.7,8.7,8.3,8.5,9950,9.10,8.30,8.7,-0.20,-2.30,0,940,0
CYC,01/20/2010,8.6,8.8,8.6,8.7,3270,9.20,8.40,8.8,-0.10,-1.14,0,0,0
CYC,01/19/2010,8.5,8.8,8.5,8.8,2050,8.90,8.10,8.5,0.30,3.53,0,0,0
CYC,01/18/2010,9.0,9.0,8.5,8.5,6470,9.30,8.50,8.9,-0.40,-4.49,0,0,0
CYC,01/15/2010,0.0,9.1,8.9,8.9,2810,9.70,8.90,9.3,-0.40,-4.30,0,0,0
CYC,01/14/2010,9.4,9.4,9.1,9.3,2940,9.50,8.70,9.1,0.20,2.20,0,90,0
CYC,01/13/2010,9.2,9.5,9.1,9.1,9800,9.60,8.80,9.2,-0.10,-1.09,0,1490,0
CYC,01/12/2010,9.1,9.4,9.1,9.2,6450,9.70,8.90,9.3,-0.10,-1.08,0,590,0
CYC,01/11/2010,9.2,9.8,9.2,9.3,9820,9.90,9.10,9.5,-0.20,-2.11,0,830,0
CYC,01/08/2010,9.8,9.8,9.5,9.5,11630,9.90,9.10,9.5,0.00,0.00,0,0,0
CYC,01/07/2010,9.4,9.8,9.4,9.5,14340,10.10,9.30,9.7,-0.20,-2.06,0,0,0
CYC,01/06/2010,9.3,9.8,9.3,9.7,9170,10.10,9.30,9.7,0.00,0.00,0,0,0
CYC,01/05/2010,9.7,9.7,9.7,9.7,10330,9.70,8.90,9.3,0.40,4.30,0,0,0
CYC,01/04/2010,9.2,9.3,9.2,9.3,8250,9.30,8.50,8.9,0.40,4.49,0,0,0
CYC,12/31/2009,8.9,8.9,8.7,8.9,25400,8.90,8.10,8.5,0.40,4.71,0,0,0
CYC,12/30/2009,8.5,8.9,8.5,8.5,7320,9.10,8.30,8.7,-0.20,-2.30,0,0,0
CYC,12/29/2009,8.8,8.8,8.7,8.7,4020,9.10,8.30,8.7,0.00,0.00,0,0,0
CYC,12/28/2009,8.5,8.8,8.5,8.7,7620,9.20,8.40,8.8,-0.10,-1.14,0,0,1070
CYC,12/25/2009,8.6,8.8,8.6,8.8,11890,8.80,8.00,8.4,0.40,4.76,0,0,0
CYC,12/24/2009,8.3,8.5,8.2,8.4,13540,8.80,8.00,8.4,0.00,0.00,0,0,0
CYC,12/23/2009,8.5,8.5,8.3,8.4,7550,8.60,7.80,8.2,0.20,2.44,0,0,0
CYC,12/22/2009,8.8,8.8,8.2,8.2,9140,9.00,8.20,8.6,-0.40,-4.65,0,0,0
CYC,12/21/2009,8.5,8.6,8.5,8.6,3140,8.80,8.00,8.4,0.20,2.38,0,0,0
CYC,12/18/2009,8.4,8.4,8.1,8.4,5890,8.40,7.60,8.0,0.40,5.00,0,0,0
CYC,12/17/2009,8.1,8.4,8.0,8.0,4540,8.80,8.00,8.4,-0.40,-4.76,0,1100,0
