MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DBC,08/06/2010,46.3,46.3,45.6,45.8,156000,49.20,42.80,46.0,-0.20,-0.43,0,0,0
DBC,08/05/2010,46.6,47.0,45.7,46.0,134900,49.90,43.50,46.7,-0.70,-1.50,0,0,0
DBC,08/04/2010,47.6,47.6,46.1,46.7,281200,51.00,44.40,47.7,-1.00,-2.10,21000,0,37900
DBC,08/03/2010,47.6,48.0,47.2,47.7,174400,51.00,44.40,47.7,0.00,0.00,0,0,100
DBC,08/02/2010,48.1,48.1,47.3,47.7,118400,51.40,44.80,48.1,-0.40,-0.83,0,0,0
DBC,07/30/2010,48.5,48.5,47.8,48.1,161300,51.00,44.40,47.7,0.40,0.84,0,0,0
DBC,07/29/2010,47.9,48.0,47.3,47.7,94300,51.20,44.60,47.9,-0.20,-0.42,0,0,0
DBC,07/28/2010,48.5,48.9,47.5,47.9,210100,51.30,44.70,48.0,-0.10,-0.21,0,0,0
DBC,07/27/2010,48.4,48.5,47.6,48.0,147900,51.50,44.90,48.2,-0.20,-0.41,5000,0,0
DBC,07/26/2010,48.5,48.9,47.6,48.2,136900,51.60,45.00,48.3,-0.10,-0.21,0,0,0
DBC,07/23/2010,48.9,49.0,47.8,48.3,294400,51.10,44.50,47.8,0.50,1.05,0,0,0
DBC,07/22/2010,48.5,48.5,47.5,47.8,379700,51.80,45.20,48.5,-0.70,-1.44,0,0,1300
DBC,07/21/2010,49.5,49.5,48.2,48.5,250500,52.40,45.60,49.0,-0.50,-1.02,0,0,0
DBC,07/20/2010,50.6,50.6,48.5,49.0,324100,53.00,46.20,49.6,-0.60,-1.21,0,0,1000
DBC,07/19/2010,51.0,51.0,49.1,49.6,197800,54.60,47.60,51.1,-1.50,-2.94,0,0,0
DBC,07/16/2010,51.0,53.1,50.2,51.1,667600,53.10,46.30,49.7,1.40,2.82,0,1000,0
DBC,07/15/2010,50.0,50.4,49.2,49.7,153900,54.10,47.10,50.6,-0.90,-1.78,0,0,3000
DBC,07/14/2010,51.0,51.6,50.0,50.6,332000,53.50,46.50,50.0,0.60,1.20,0,0,0
DBC,07/13/2010,50.0,51.0,49.4,50.0,280900,52.70,45.90,49.3,0.70,1.42,50000,0,0
DBC,07/12/2010,49.9,49.9,48.9,49.3,131100,52.30,45.50,48.9,0.40,0.82,0,1000,0
DBC,07/09/2010,48.3,49.6,48.2,48.9,242400,51.70,45.10,48.4,0.50,1.03,0,0,0
DBC,07/08/2010,49.3,49.5,48.0,48.4,247100,51.60,45.00,48.3,0.10,0.21,0,0,0
DBC,07/07/2010,49.9,49.9,47.7,48.3,454400,52.70,45.90,49.3,-1.00,-2.03,0,0,0
DBC,07/06/2010,49.7,50.5,48.8,49.3,237600,54.60,47.60,51.1,-1.80,-3.52,0,0,0
DBC,07/05/2010,51.8,51.8,50.6,51.1,155800,54.80,47.80,51.3,-0.20,-0.39,0,0,0
DBC,07/02/2010,51.5,52.7,50.9,51.3,478000,53.10,46.30,49.7,1.60,3.22,10000,0,36000
DBC,07/01/2010,48.2,51.5,48.0,49.7,569100,52.30,45.50,48.9,0.80,1.64,5900,0,71800
DBC,06/30/2010,48.5,50.0,46.9,48.9,479300,53.80,46.80,50.3,-1.40,-2.78,0,0,67000
DBC,06/29/2010,51.8,51.8,49.6,50.3,379700,54.30,47.30,50.8,-0.50,-0.98,0,0,0
DBC,06/28/2010,51.5,51.6,50.0,50.8,515400,54.20,47.20,50.7,0.10,0.20,20000,0,0
DBC,06/25/2010,52.5,52.5,49.5,50.7,1062500,56.10,48.90,52.5,-1.80,-3.43,0,500,0
DBC,06/24/2010,52.5,54.0,51.2,52.5,749900,54.50,47.50,51.0,1.50,2.94,0,0,0
DBC,06/23/2010,48.9,52.9,48.0,51.0,666000,53.00,46.20,49.6,1.40,2.82,0,800,0
DBC,06/22/2010,52.5,52.5,48.5,49.6,509700,54.50,47.50,51.0,-1.40,-2.75,0,0,0
DBC,06/21/2010,51.1,51.1,49.5,51.0,1431100,51.10,44.50,47.8,3.20,6.69,0,0,33600
DBC,06/18/2010,45.9,49.1,45.9,47.8,921500,49.10,42.70,45.9,1.90,4.14,0,0,20000
DBC,06/17/2010,47.0,48.0,45.0,45.9,526700,49.40,43.00,46.2,-0.30,-0.65,0,0,400
DBC,06/16/2010,46.0,47.0,45.5,46.2,471700,47.40,41.20,44.3,1.90,4.29,0,0,10500
DBC,06/15/2010,43.9,45.0,43.8,44.3,500400,46.80,40.80,43.8,0.50,1.14,0,0,0
DBC,06/14/2010,44.0,44.5,43.2,43.8,298100,46.50,40.50,43.5,0.30,0.69,0,800,0
DBC,06/11/2010,43.3,44.2,43.0,43.5,457000,45.00,39.20,42.1,1.40,3.33,11000,0,0
DBC,06/10/2010,41.3,42.4,41.3,42.1,215600,44.90,39.10,42.0,0.10,0.24,0,0,0
DBC,06/09/2010,42.9,43.4,41.4,42.0,218300,44.20,38.60,41.4,0.60,1.45,0,0,0
DBC,06/08/2010,41.4,42.3,40.5,41.4,189000,44.20,38.60,41.4,0.00,0.00,0,0,0
DBC,06/07/2010,42.0,42.4,41.2,41.4,451800,47.40,41.20,44.3,-2.90,-6.55,0,0,0
DBC,06/04/2010,44.5,45.0,43.7,44.3,328900,47.70,41.50,44.6,-0.30,-0.67,0,0,0
DBC,06/03/2010,46.0,46.4,43.9,44.6,365600,46.90,40.90,43.9,0.70,1.59,0,0,1000
DBC,06/02/2010,40.1,44.5,40.1,43.9,647300,44.50,38.70,41.6,2.30,5.53,0,0,0
DBC,06/01/2010,41.5,42.2,41.0,41.6,194800,44.60,38.80,41.7,-0.10,-0.24,5000,0,1100
DBC,05/31/2010,43.5,43.5,41.0,41.7,257000,46.40,40.40,43.4,-1.70,-3.92,0,0,61100
DBC,05/28/2010,43.0,43.6,42.5,43.4,486000,43.60,38.00,40.8,2.60,6.37,0,0,30500
DBC,05/27/2010,39.0,41.7,38.5,40.8,267000,42.30,36.90,39.6,1.20,3.03,0,0,0
DBC,05/26/2010,38.5,40.9,38.5,39.6,284700,41.40,36.00,38.7,0.90,2.33,5400,0,3600
DBC,05/25/2010,38.0,39.6,37.9,38.7,295300,41.40,36.00,38.7,0.00,0.00,0,1100,0
DBC,05/24/2010,40.5,40.5,37.0,38.7,331200,41.10,35.90,38.5,0.20,0.52,0,0,0
DBC,05/21/2010,38.0,40.0,37.9,38.5,479000,43.50,37.90,40.7,-2.20,-5.41,0,1000,0
DBC,05/20/2010,39.0,42.8,38.9,40.7,338000,44.70,38.90,41.8,-1.10,-2.63,0,0,1500
DBC,05/19/2010,43.0,43.1,41.4,41.8,280600,47.60,41.40,44.5,-2.70,-6.07,0,0,200
DBC,05/18/2010,45.1,45.1,43.2,44.5,1280000,45.10,39.30,42.2,2.30,5.45,0,0,0
DBC,05/17/2010,42.2,42.2,42.2,42.2,102900,42.20,36.80,39.5,2.70,6.84,0,0,0
DBC,05/14/2010,38.7,40.5,37.8,39.5,307300,40.50,35.30,37.9,1.60,4.22,0,0,0
DBC,05/13/2010,36.2,39.2,36.2,37.9,195700,40.70,35.50,38.1,-0.20,-0.52,0,0,0
DBC,05/12/2010,39.7,39.7,37.6,38.1,311800,43.20,37.60,40.4,-2.30,-5.69,100000,0,20000
DBC,05/11/2010,41.4,41.5,39.5,40.4,298900,42.80,37.20,40.0,0.40,1.00,55600,0,10000
DBC,05/10/2010,41.1,42.1,39.1,40.0,235800,43.70,38.10,40.9,-0.90,-2.20,0,10000,0
DBC,05/07/2010,42.0,42.3,39.4,40.9,432700,45.20,39.40,42.3,-1.40,-3.31,100000,22000,0
DBC,05/06/2010,42.9,43.0,41.7,42.3,253500,45.30,39.50,42.4,-0.10,-0.24,0,0,0
DBC,05/05/2010,42.6,43.3,41.0,42.4,278000,46.70,40.70,43.7,-1.30,-2.97,0,0,1700
DBC,05/04/2010,42.1,44.9,42.0,43.7,459700,45.00,39.20,42.1,1.60,3.80,15000,0,0
DBC,04/29/2010,42.7,42.8,41.6,42.1,269100,45.40,39.60,42.5,-0.40,-0.94,0,0,2000
