MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DC4,08/06/2010,22.7,22.7,21.0,21.5,17200,23.40,20.40,21.9,-0.40,-1.83,0,0,0
DC4,08/05/2010,22.0,22.0,21.8,21.9,31200,23.70,20.70,22.2,-0.30,-1.35,0,0,0
DC4,08/04/2010,23.0,23.0,22.0,22.2,49300,24.60,21.40,23.0,-0.80,-3.48,0,0,0
DC4,08/03/2010,23.8,23.8,22.9,23.0,27500,24.70,21.50,23.1,-0.10,-0.43,0,0,0
DC4,08/02/2010,23.1,23.8,23.0,23.1,15400,25.40,22.20,23.8,-0.70,-2.94,0,0,0
DC4,07/30/2010,24.0,24.5,23.5,23.8,9300,24.80,21.60,23.2,0.60,2.59,0,0,0
DC4,07/29/2010,22.2,24.0,22.0,23.2,8300,25.00,21.80,23.4,-0.20,-0.85,0,0,0
DC4,07/28/2010,24.2,24.2,23.0,23.4,45100,25.60,22.40,24.0,-0.60,-2.50,0,0,0
DC4,07/27/2010,24.0,24.5,23.7,24.0,39900,25.50,22.30,23.9,0.10,0.42,0,0,0
DC4,07/26/2010,24.5,24.6,23.6,23.9,47100,26.70,23.30,25.0,-1.10,-4.40,0,0,0
DC4,07/23/2010,26.4,26.5,24.5,25.0,21500,26.90,23.50,25.2,-0.20,-0.79,0,0,0
DC4,07/22/2010,26.4,26.4,24.9,25.2,29000,28.50,24.90,26.7,-1.50,-5.62,0,0,0
DC4,07/21/2010,27.4,27.4,25.7,26.7,213100,27.40,24.00,25.7,1.00,3.89,0,0,0
DC4,07/20/2010,24.5,25.8,24.5,25.7,86000,25.80,22.60,24.2,1.50,6.20,0,0,0
DC4,07/19/2010,23.6,24.7,23.6,24.2,82600,25.60,22.40,24.0,0.20,0.83,0,0,0
DC4,07/16/2010,23.8,24.9,23.6,24.0,30300,25.50,22.30,23.9,0.10,0.42,0,0,0
DC4,07/15/2010,23.5,24.1,23.5,23.9,27300,25.80,22.60,24.2,-0.30,-1.24,0,0,0
DC4,07/14/2010,24.5,24.9,23.8,24.2,49700,25.70,22.50,24.1,0.10,0.41,0,0,0
DC4,07/13/2010,24.5,25.0,23.7,24.1,50500,25.30,22.10,23.7,0.40,1.69,0,0,0
DC4,07/12/2010,24.0,24.0,23.5,23.7,24500,25.20,22.00,23.6,0.10,0.42,0,0,0
DC4,07/09/2010,23.0,24.0,23.0,23.6,10700,25.60,22.40,24.0,-0.40,-1.67,0,0,0
DC4,07/08/2010,25.1,25.1,23.5,24.0,90400,25.30,22.10,23.7,0.30,1.27,0,0,0
DC4,07/07/2010,23.9,24.5,23.0,23.7,82300,24.50,21.30,22.9,0.80,3.49,0,0,0
DC4,07/06/2010,24.0,24.0,22.6,22.9,59900,25.80,22.60,24.2,-1.30,-5.37,0,0,0
DC4,07/05/2010,23.8,25.0,23.8,24.2,56100,25.40,22.20,23.8,0.40,1.68,0,0,0
DC4,07/02/2010,23.9,24.0,23.3,23.8,48900,25.50,22.30,23.9,-0.10,-0.42,0,0,0
DC4,07/01/2010,25.9,25.9,23.5,23.9,46700,26.90,23.50,25.2,-1.30,-5.16,0,0,0
DC4,06/30/2010,25.3,25.3,23.7,25.2,294300,25.30,22.10,23.7,1.50,6.33,0,0,0
DC4,06/29/2010,23.5,23.7,23.5,23.7,90600,23.70,20.70,22.2,1.50,6.76,0,0,1900
DC4,06/28/2010,21.2,22.5,21.1,22.2,73900,22.50,19.70,21.1,1.10,5.21,0,0,0
DC4,06/25/2010,21.1,21.2,21.0,21.1,41100,23.50,20.50,22.0,-0.90,-4.09,0,0,0
DC4,06/24/2010,22.4,22.4,21.8,22.0,9900,23.20,20.20,21.7,0.30,1.38,0,0,0
DC4,06/23/2010,22.0,22.3,21.1,21.7,14200,23.50,20.50,22.0,-0.30,-1.36,0,0,0
DC4,06/22/2010,22.0,22.5,21.9,22.0,25400,23.90,20.90,22.4,-0.40,-1.79,0,0,0
DC4,06/21/2010,22.6,22.9,21.9,22.4,39200,24.10,21.10,22.6,-0.20,-0.88,0,0,0
