MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DIC,08/06/2010,30.1,30.4,29.1,29.1,421600,31.90,28.90,30.4,-1.30,-4.28,90000,11000,0
DIC,08/05/2010,31.7,31.7,30.2,30.4,605980,33.20,30.20,31.7,-1.30,-4.10,20000,0,900
DIC,08/04/2010,32.2,32.5,31.7,31.7,996930,34.90,31.70,33.3,-1.60,-4.80,0,20000,0
DIC,08/03/2010,35.5,35.5,33.3,33.3,396880,36.70,33.30,35.0,-1.70,-4.86,0,0,100
DIC,08/02/2010,35.3,35.3,33.3,35.0,1597770,36.70,33.30,35.0,0.00,0.00,0,0,0
DIC,07/30/2010,34.2,36.0,34.2,35.0,118920,36.90,33.50,35.2,-0.20,-0.57,426000,0,0
DIC,07/29/2010,35.0,36.0,34.4,35.2,260700,36.10,32.70,34.4,0.80,2.33,54700,0,100
DIC,07/28/2010,35.8,37.5,34.4,34.4,536700,38.00,34.40,36.2,-1.80,-4.97,0,1000,100
DIC,07/27/2010,38.5,38.6,36.2,36.2,270780,40.00,36.20,38.1,-1.90,-4.99,66000,0,100
DIC,07/26/2010,39.0,39.5,38.1,38.1,472230,40.00,36.20,38.1,0.00,0.00,0,1000,100
DIC,07/23/2010,39.7,39.7,37.8,38.1,483260,41.60,37.80,39.7,-1.60,-4.03,59000,35000,0
DIC,07/22/2010,41.0,41.3,39.7,39.7,497390,43.70,39.70,41.7,-2.00,-4.80,0,88000,0
DIC,07/21/2010,40.9,42.3,40.5,41.7,480610,42.90,38.90,40.9,0.80,1.96,0,0,0
DIC,07/20/2010,39.0,40.9,38.0,40.9,504360,40.90,37.10,39.0,1.90,4.87,0,50000,0
DIC,07/19/2010,37.7,39.4,37.6,39.0,695640,39.40,35.80,37.6,1.40,3.72,0,5000,160
DIC,07/16/2010,36.0,37.6,35.8,37.6,970130,37.60,34.20,35.9,1.70,4.74,30000,0,0
DIC,07/15/2010,35.0,35.9,34.0,35.9,185630,36.70,33.30,35.0,0.90,2.57,0,0,0
DIC,07/14/2010,35.5,35.5,35.0,35.0,228980,37.20,33.80,35.5,-0.50,-1.41,0,26000,0
DIC,07/13/2010,35.7,35.7,35.0,35.5,251530,35.70,32.30,34.0,1.50,4.41,100000,24900,1500
DIC,07/12/2010,34.0,34.0,32.5,34.0,118840,35.50,32.30,33.9,0.10,0.29,0,34560,2400
DIC,07/09/2010,33.3,34.0,32.9,33.9,276060,35.50,32.30,33.9,0.00,0.00,0,0,0
DIC,07/08/2010,34.8,34.8,33.8,33.9,424770,35.20,32.00,33.6,0.30,0.89,30000,0,0
DIC,07/07/2010,35.9,35.9,33.5,33.6,286510,36.80,33.40,35.1,-1.50,-4.27,150000,0,4310
DIC,07/06/2010,36.9,36.9,35.1,35.1,394370,38.70,35.10,36.9,-1.80,-4.88,0,0,1000
DIC,07/05/2010,36.9,37.3,36.1,36.9,480930,37.80,34.20,36.0,0.90,2.50,0,0,0
DIC,07/02/2010,36.1,36.1,35.3,36.0,538370,37.80,34.20,36.0,0.00,0.00,0,0,0
DIC,07/01/2010,36.4,36.5,35.6,36.0,422220,38.20,34.60,36.4,-0.40,-1.10,0,0,0
DIC,06/30/2010,34.1,36.5,34.0,36.4,676480,36.80,33.40,35.1,1.30,3.70,0,1000,1000
DIC,06/29/2010,37.5,37.8,35.1,35.1,614250,38.70,35.10,36.9,-1.80,-4.88,0,0,0
DIC,06/28/2010,34.0,36.9,34.0,36.9,1138120,36.90,33.50,35.2,1.70,4.83,0,0,5040
DIC,06/25/2010,35.2,36.0,35.2,35.2,1068350,38.80,35.20,37.0,-1.80,-4.86,0,0,3000
DIC,06/24/2010,39.0,39.0,37.0,37.0,361370,39.10,35.50,37.3,-0.30,-0.80,0,0,0
DIC,06/23/2010,36.0,37.3,35.6,37.3,491600,37.30,33.90,35.6,1.70,4.78,0,0,3080
DIC,06/22/2010,34.5,36.3,34.4,35.6,1288010,36.30,32.90,34.6,1.00,2.89,0,0,0
DIC,06/21/2010,33.2,34.6,33.0,34.6,590900,34.60,31.40,33.0,1.60,4.85,0,4000,0
DIC,06/18/2010,33.9,33.9,31.9,33.0,358220,34.00,30.80,32.4,0.60,1.85,0,0,0
DIC,06/17/2010,33.5,34.5,32.4,32.4,316090,35.80,32.40,34.1,-1.70,-4.99,0,0,1000
DIC,06/16/2010,34.1,34.1,32.6,34.1,566890,34.10,30.90,32.5,1.60,4.92,0,0,0
DIC,06/15/2010,32.3,32.5,31.0,32.5,444530,32.50,29.50,31.0,1.50,4.84,0,0,5000
DIC,06/14/2010,31.0,31.0,31.0,31.0,175450,31.00,28.20,29.6,1.40,4.73,0,0,0
DIC,06/11/2010,29.6,29.6,29.6,29.6,88640,29.60,26.80,28.2,1.40,4.96,70000,0,0
DIC,06/10/2010,27.2,28.2,27.0,28.2,835680,28.20,25.60,26.9,1.30,4.83,83460,0,0
DIC,06/09/2010,27.5,27.5,26.5,26.9,140570,28.00,25.40,26.7,0.20,0.75,0,0,0
DIC,06/08/2010,26.9,27.5,26.7,26.7,205090,29.50,26.70,28.1,-1.40,-4.98,0,0,0
DIC,06/07/2010,28.1,29.0,28.1,28.1,196880,30.90,28.10,29.5,-1.40,-4.75,0,0,0
DIC,06/04/2010,27.2,29.5,27.2,29.5,449260,29.50,26.70,28.1,1.40,4.98,50000,0,0
DIC,06/03/2010,28.1,28.1,28.0,28.1,129150,28.10,25.50,26.8,1.30,4.85,0,0,0
DIC,06/02/2010,26.0,26.8,25.6,26.8,203740,26.80,24.40,25.6,1.20,4.69,0,0,400
DIC,06/01/2010,24.4,25.6,24.1,25.6,143140,25.60,23.20,24.4,1.20,4.92,0,0,0
DIC,05/31/2010,25.5,25.6,24.3,24.4,155950,26.70,24.30,25.5,-1.10,-4.31,50000,0,0
DIC,05/28/2010,25.7,26.1,24.9,25.5,183580,26.20,23.80,25.0,0.50,2.00,0,0,0
DIC,05/27/2010,25.3,25.3,24.8,25.0,49130,25.80,23.40,24.6,0.40,1.63,0,0,0
DIC,05/26/2010,24.0,24.6,23.5,24.6,108250,24.60,22.40,23.5,1.10,4.68,0,0,0
DIC,05/25/2010,22.4,23.5,21.5,23.5,134040,23.50,21.30,22.4,1.10,4.91,50000,0,0
DIC,05/24/2010,21.7,23.0,21.7,22.4,313970,23.90,21.70,22.8,-0.40,-1.75,0,0,0
DIC,05/21/2010,22.8,22.8,22.8,22.8,44220,25.20,22.80,24.0,-1.20,-5.00,0,2000,0
DIC,05/20/2010,24.0,25.0,24.0,24.0,88360,26.40,24.00,25.2,-1.20,-4.76,0,0,0
DIC,05/19/2010,25.5,25.5,25.2,25.2,17670,27.80,25.20,26.5,-1.30,-4.91,50000,0,0
DIC,05/18/2010,25.8,26.5,25.7,26.5,190330,28.30,25.70,27.0,-0.50,-1.85,0,0,0
DIC,05/17/2010,27.9,27.9,26.0,27.0,252320,27.90,25.30,26.6,0.40,1.50,0,0,0
DIC,05/14/2010,24.2,26.6,24.2,26.6,579460,26.60,24.20,25.4,1.20,4.72,100000,0,0
DIC,05/13/2010,25.4,25.4,25.4,25.4,48150,28.00,25.40,26.7,-1.30,-4.87,50000,0,0
DIC,05/12/2010,26.7,26.7,26.7,26.7,23700,29.50,26.70,28.1,-1.40,-4.98,0,0,0
DIC,05/11/2010,28.1,28.1,28.1,28.1,140200,30.90,28.10,29.5,-1.40,-4.75,0,1000,0
DIC,05/10/2010,29.7,29.7,29.5,29.5,87510,32.50,29.50,31.0,-1.50,-4.84,0,0,0
DIC,05/07/2010,30.9,32.0,30.7,31.0,436740,33.90,30.70,32.3,-1.30,-4.02,0,0,0
DIC,05/06/2010,32.0,32.3,30.7,32.3,366710,32.30,29.30,30.8,1.50,4.87,0,0,9780
DIC,05/05/2010,29.4,30.8,28.8,30.8,841290,30.80,28.00,29.4,1.40,4.76,90000,0,1640
DIC,05/04/2010,29.4,29.4,29.4,29.4,53520,29.40,26.60,28.0,1.40,5.00,0,0,700
DIC,04/29/2010,28.0,28.0,27.9,28.0,249510,28.00,25.40,26.7,1.30,4.87,0,0,2000
DIC,04/28/2010,25.5,26.7,25.0,26.7,327980,26.70,24.30,25.5,1.20,4.71,0,0,1000
DIC,04/27/2010,23.4,25.5,23.3,25.5,1863980,25.50,23.10,24.3,1.20,4.94,0,0,8000
DIC,04/26/2010,24.3,24.3,24.3,24.3,527930,24.30,22.10,23.2,1.10,4.74,0,0,0
DIC,04/22/2010,23.2,23.2,23.2,23.2,386930,23.20,21.00,22.1,1.10,4.98,0,0,6000
DIC,04/21/2010,22.1,22.1,22.1,22.1,294490,22.10,20.10,21.1,1.00,4.74,0,0,0
DIC,04/20/2010,20.3,21.1,20.3,21.1,338080,21.10,19.10,20.1,1.00,4.98,0,2000,0
