MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DID,08/06/2010,23.2,23.2,22.6,22.9,9100,24.00,21.00,22.5,0.40,1.78,0,300,0
DID,08/05/2010,23.9,23.9,21.6,22.5,24900,24.20,21.20,22.7,-0.20,-0.88,0,3000,0
DID,08/04/2010,23.0,23.0,22.6,22.7,27000,25.70,22.50,24.1,-1.40,-5.81,0,1500,6900
DID,08/03/2010,24.0,25.0,23.5,24.1,4300,25.80,22.60,24.2,-0.10,-0.41,20000,0,100
DID,08/02/2010,25.4,25.4,23.7,24.2,18900,25.80,22.60,24.2,0.00,0.00,0,0,0
DID,07/30/2010,25.0,25.0,23.9,24.2,7800,26.10,22.70,24.4,-0.20,-0.82,0,0,0
DID,07/29/2010,25.8,25.8,24.0,24.4,25700,26.40,23.00,24.7,-0.30,-1.21,0,5500,0
DID,07/28/2010,25.1,26.3,24.6,24.7,16500,28.20,24.60,26.4,-1.70,-6.44,0,0,0
DID,07/27/2010,28.0,28.0,26.0,26.4,21700,28.10,24.50,26.3,0.10,0.38,0,0,6000
DID,07/26/2010,26.3,26.3,26.3,26.3,57000,26.30,22.90,24.6,1.70,6.91,0,0,5000
DID,07/23/2010,37.8,37.9,36.0,36.6,41300,39.60,34.60,37.1,-0.50,-1.35,0,0,0
DID,07/22/2010,36.0,38.0,36.0,37.1,35000,40.40,35.20,37.8,-0.70,-1.85,0,0,0
DID,07/21/2010,38.6,38.6,37.6,37.8,17700,40.70,35.50,38.1,-0.30,-0.79,0,0,0
DID,07/20/2010,38.4,38.4,37.6,38.1,29800,41.00,35.80,38.4,-0.30,-0.78,0,0,0
DID,07/19/2010,38.8,38.8,38.0,38.4,84800,41.00,35.80,38.4,0.00,0.00,0,3000,0
DID,07/16/2010,38.5,39.1,38.0,38.4,46300,41.10,35.90,38.5,-0.10,-0.26,0,0,0
DID,07/15/2010,39.1,39.1,38.0,38.5,46800,41.70,36.30,39.0,-0.50,-1.28,0,6000,0
DID,07/14/2010,39.6,40.5,38.2,39.0,77600,41.70,36.30,39.0,0.00,0.00,0,1000,0
DID,07/13/2010,40.0,40.0,38.8,39.0,43700,41.50,36.10,38.8,0.20,0.52,0,5900,0
DID,07/12/2010,38.8,39.0,38.5,38.8,19800,41.90,36.50,39.2,-0.40,-1.02,0,0,0
DID,07/09/2010,37.9,40.2,37.9,39.2,49800,40.20,35.00,37.6,1.60,4.26,0,0,900
DID,07/08/2010,37.0,38.1,37.0,37.6,82100,40.10,34.90,37.5,0.10,0.27,0,3000,1000
DID,07/07/2010,38.6,38.6,36.5,37.5,53000,41.10,35.90,38.5,-1.00,-2.60,0,0,0
DID,07/06/2010,38.0,39.0,37.5,38.5,55900,42.80,37.20,40.0,-1.50,-3.75,0,0,0
DID,07/05/2010,40.0,40.3,38.5,40.0,136800,40.30,35.10,37.7,2.30,6.10,0,0,0
DID,07/02/2010,36.1,38.3,36.1,37.7,217700,38.30,33.30,35.8,1.90,5.31,0,0,0
DID,07/01/2010,37.0,37.0,35.6,35.8,13800,39.20,34.20,36.7,-0.90,-2.45,0,0,3000
DID,06/30/2010,37.9,37.9,36.0,36.7,21500,40.50,35.30,37.9,-1.20,-3.17,0,0,2000
DID,06/29/2010,37.9,37.9,37.3,37.9,112100,37.90,33.10,35.5,2.40,6.76,0,7000,0
DID,06/28/2010,34.5,36.3,33.8,35.5,156400,36.30,31.70,34.0,1.50,4.41,0,12500,0
DID,06/25/2010,33.6,34.7,33.6,34.0,36800,36.50,31.90,34.2,-0.20,-0.58,0,10500,0
DID,06/24/2010,34.9,34.9,34.0,34.2,22500,36.70,31.90,34.3,-0.10,-0.29,0,5000,0
DID,06/23/2010,33.0,35.0,33.0,34.3,47500,37.00,32.20,34.6,-0.30,-0.87,0,22000,0
DID,06/22/2010,34.7,34.7,34.5,34.6,11500,37.10,32.30,34.7,-0.10,-0.29,0,0,0
DID,06/21/2010,34.1,35.0,34.1,34.7,32600,36.40,31.80,34.1,0.60,1.76,0,10000,0
DID,06/18/2010,35.0,35.5,33.0,34.1,19300,37.10,32.30,34.7,-0.60,-1.73,0,0,0
DID,06/17/2010,35.0,35.3,34.1,34.7,22400,37.30,32.50,34.9,-0.20,-0.57,0,0,0
DID,06/16/2010,35.0,35.2,34.3,34.9,33100,36.80,32.00,34.4,0.50,1.45,0,0,0
DID,06/15/2010,35.0,35.0,33.8,34.4,39200,36.70,31.90,34.3,0.10,0.29,0,0,0
DID,06/14/2010,32.9,35.0,32.9,34.3,60600,35.00,30.60,32.8,1.50,4.57,0,0,0
DID,06/11/2010,32.8,33.0,32.6,32.8,40300,34.70,30.30,32.5,0.30,0.92,0,0,0
DID,06/10/2010,33.0,33.0,32.0,32.5,11000,34.50,30.10,32.3,0.20,0.62,0,0,0
DID,06/09/2010,32.5,32.8,31.8,32.3,50000,32.80,28.60,30.7,1.60,5.21,0,0,0
DID,06/08/2010,30.8,31.5,30.0,30.7,2400,32.80,28.60,30.7,0.00,0.00,0,0,0
DID,06/07/2010,30.6,31.0,30.6,30.7,26800,35.20,30.60,32.9,-2.20,-6.69,0,0,0
DID,06/04/2010,33.4,33.4,32.5,32.9,23300,35.70,31.10,33.4,-0.50,-1.50,0,0,0
DID,06/03/2010,34.5,34.6,33.0,33.4,27700,35.30,30.70,33.0,0.40,1.21,0,0,0
DID,06/02/2010,32.7,34.0,32.7,33.0,29600,34.80,30.40,32.6,0.40,1.23,0,0,0
DID,06/01/2010,32.0,33.4,32.0,32.6,28300,35.80,31.20,33.5,-0.90,-2.69,0,0,0
DID,05/31/2010,35.0,35.5,32.5,33.5,24000,36.50,31.90,34.2,-0.70,-2.05,0,0,0
DID,05/28/2010,35.8,35.8,32.3,34.2,64700,35.90,31.30,33.6,0.60,1.79,0,0,10000
DID,05/27/2010,34.0,34.0,32.1,33.6,8800,36.30,31.70,34.0,-0.40,-1.18,0,0,0
DID,05/26/2010,34.0,34.5,33.0,34.0,21800,34.50,30.10,32.3,1.70,5.26,0,0,0
DID,05/25/2010,33.7,33.7,31.8,32.3,5500,34.00,29.60,31.8,0.50,1.57,0,0,0
DID,05/24/2010,31.4,31.9,31.4,31.8,55800,31.90,27.90,29.9,1.90,6.35,5000,0,0
DID,05/21/2010,30.5,30.5,29.9,29.9,168700,34.30,29.90,32.1,-2.20,-6.85,0,0,50900
DID,05/20/2010,30.0,33.5,29.7,32.1,97200,34.10,29.70,31.9,0.20,0.63,5000,200,0
DID,05/19/2010,32.1,32.1,31.6,31.9,43300,36.20,31.60,33.9,-2.00,-5.90,5000,0,0
DID,05/18/2010,33.9,34.3,33.7,33.9,20500,37.40,32.60,35.0,-1.10,-3.14,0,0,0
DID,05/17/2010,36.8,37.0,34.3,35.0,59000,39.30,34.30,36.8,-1.80,-4.89,0,0,0
DID,05/14/2010,37.3,37.5,36.0,36.8,97500,37.50,32.70,35.1,1.70,4.84,0,0,0
DID,05/13/2010,35.0,35.5,33.9,35.1,84600,35.50,30.90,33.2,1.90,5.72,0,10000,0
DID,05/12/2010,34.0,34.0,32.6,33.2,104700,37.40,32.60,35.0,-1.80,-5.14,0,0,0
DID,05/11/2010,36.5,37.5,34.0,35.0,115900,39.00,34.00,36.5,-1.50,-4.11,0,0,0
DID,05/10/2010,38.0,38.0,36.4,36.5,89400,41.80,36.40,39.1,-2.60,-6.65,12700,0,3500
DID,05/07/2010,41.5,41.5,36.1,39.1,142600,41.50,36.10,38.8,0.30,0.77,0,0,0
DID,05/06/2010,38.8,38.8,38.8,38.8,41000,38.80,33.80,36.3,2.50,6.89,0,0,0
DID,05/05/2010,36.7,36.7,34.2,36.3,126500,36.70,31.90,34.3,2.00,5.83,0,50900,600
DID,05/04/2010,33.5,34.3,33.5,34.3,149900,34.30,29.90,32.1,2.20,6.85,15000,3500,0
DID,04/29/2010,31.0,32.5,31.0,32.1,88000,33.90,29.50,31.7,0.40,1.26,0,0,0
DID,04/28/2010,31.1,33.0,30.9,31.7,56600,33.20,29.00,31.1,0.60,1.93,0,0,0
DID,04/27/2010,31.7,31.7,30.8,31.1,34200,33.90,29.50,31.7,-0.60,-1.89,0,0,0
DID,04/26/2010,32.5,32.7,31.1,31.7,136600,32.70,28.50,30.6,1.10,3.59,0,0,29000
DID,04/22/2010,34.8,34.8,30.4,30.6,137100,34.80,30.40,32.6,-2.00,-6.13,0,0,0
DID,04/21/2010,31.9,32.6,31.9,32.6,51900,32.60,28.40,30.5,2.10,6.89,10000,0,0
DID,04/20/2010,30.8,31.5,30.0,30.5,145800,32.90,28.70,30.8,-0.30,-0.97,0,0,4000
DID,04/19/2010,32.8,32.8,30.0,30.8,120900,32.80,28.60,30.7,0.10,0.33,0,0,0
DID,04/16/2010,31.2,31.4,30.2,30.7,127400,32.30,28.10,30.2,0.50,1.66,10000,0,0
DID,04/15/2010,29.5,30.6,29.5,30.2,126900,30.60,26.60,28.6,1.60,5.59,0,0,32000
DID,04/14/2010,29.5,29.6,27.8,28.6,36100,31.70,27.70,29.7,-1.10,-3.70,36000,600,3000
DID,04/13/2010,31.9,31.9,29.3,29.7,124500,33.70,29.30,31.5,-1.80,-5.71,5000,0,8000
DID,04/12/2010,32.5,34.3,30.3,31.5,76100,34.40,30.00,32.2,-0.70,-2.17,0,0,1000
DID,04/09/2010,32.3,32.3,31.7,32.2,218000,32.30,28.10,30.2,2.00,6.62,0,0,0
DID,04/08/2010,29.0,30.3,29.0,30.2,276900,30.30,26.50,28.4,1.80,6.34,0,0,42000
DID,04/07/2010,28.4,28.8,27.6,28.4,65200,30.30,26.50,28.4,0.00,0.00,10000,0,2000
