MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DLG,08/06/2010,0.0,24.5,23.8,24.2,61510,25.70,23.30,24.5,-0.30,-1.22,0,0,0
DLG,08/05/2010,25.4,25.4,24.4,24.5,81770,25.80,23.40,24.6,-0.10,-0.41,0,0,0
DLG,08/04/2010,25.0,25.3,24.3,24.6,138150,26.20,23.80,25.0,-0.40,-1.60,0,0,0
DLG,08/03/2010,25.8,25.9,25.0,25.0,121500,26.80,24.40,25.6,-0.60,-2.34,558500,100,0
DLG,08/02/2010,25.5,26.0,25.5,25.6,73080,27.00,24.60,25.8,-0.20,-0.78,0,0,0
DLG,07/30/2010,26.0,26.5,25.8,25.8,164370,27.40,24.80,26.1,-0.30,-1.15,0,0,0
DLG,07/29/2010,26.8,26.8,25.8,26.1,169430,27.60,25.00,26.3,-0.20,-0.76,0,0,0
DLG,07/28/2010,26.5,26.8,26.0,26.3,84550,27.80,25.20,26.5,-0.20,-0.75,0,0,0
DLG,07/27/2010,27.1,27.2,26.5,26.5,85660,28.40,25.80,27.1,-0.60,-2.21,0,0,0
DLG,07/26/2010,28.4,28.4,27.1,27.1,400000,28.40,25.80,27.1,0.00,0.00,0,0,0
DLG,07/23/2010,27.1,27.1,27.0,27.1,474030,27.10,24.70,25.9,1.20,4.63,0,0,0
DLG,07/22/2010,26.0,26.5,25.8,25.9,141790,27.30,24.70,26.0,-0.10,-0.38,0,0,0
DLG,07/21/2010,26.6,26.8,26.0,26.0,104110,27.90,25.30,26.6,-0.60,-2.26,0,0,0
DLG,07/20/2010,26.7,27.0,26.5,26.6,141230,28.10,25.50,26.8,-0.20,-0.75,0,0,0
DLG,07/19/2010,27.0,27.6,26.5,26.8,188710,28.10,25.50,26.8,0.00,0.00,0,0,0
DLG,07/16/2010,27.0,27.9,26.8,26.8,102550,28.30,25.70,27.0,-0.20,-0.74,20000,0,0
DLG,07/15/2010,27.2,28.0,26.7,27.0,287560,29.40,26.60,28.0,-1.00,-3.57,0,0,0
DLG,07/14/2010,28.5,28.9,27.8,28.0,289280,30.20,27.40,28.8,-0.80,-2.78,0,40000,0
DLG,07/13/2010,28.4,28.8,27.8,28.8,257920,28.80,26.20,27.5,1.30,4.73,0,0,10000
DLG,07/12/2010,26.2,27.5,26.2,27.5,324540,27.50,24.90,26.2,1.30,4.96,0,0,0
DLG,07/09/2010,25.6,26.2,25.0,26.2,324350,26.20,23.80,25.0,1.20,4.80,0,0,0
DLG,07/08/2010,25.8,25.8,24.8,25.0,246150,25.90,23.50,24.7,0.30,1.21,0,0,0
DLG,07/07/2010,25.6,26.3,24.6,24.7,232960,26.80,24.40,25.6,-0.90,-3.52,0,0,13900
DLG,07/06/2010,26.5,26.7,25.6,25.6,177330,28.10,25.50,26.8,-1.20,-4.48,20000,0,8500
DLG,07/05/2010,27.0,27.0,26.6,26.8,151740,28.50,25.90,27.2,-0.40,-1.47,20000,0,0
DLG,07/02/2010,27.2,27.7,27.0,27.2,235240,29.00,26.40,27.7,-0.50,-1.81,0,0,0
DLG,07/01/2010,28.0,28.0,27.5,27.7,138300,29.00,26.40,27.7,0.00,0.00,0,0,0
DLG,06/30/2010,27.5,28.0,27.5,27.7,149870,29.90,27.10,28.5,-0.80,-2.81,20000,0,0
DLG,06/29/2010,29.5,29.5,28.5,28.5,139850,30.40,27.60,29.0,-0.50,-1.72,20000,0,0
DLG,06/28/2010,28.0,30.5,28.0,29.0,392890,30.60,27.80,29.2,-0.20,-0.68,418000,0,0
DLG,06/25/2010,27.9,29.2,27.5,29.2,190550,29.20,26.60,27.9,1.30,4.66,0,0,0
DLG,06/24/2010,28.5,28.7,27.4,27.9,454510,30.20,27.40,28.8,-0.90,-3.13,360000,0,0
DLG,06/23/2010,31.1,31.1,28.7,28.8,1177740,31.50,28.50,30.0,-1.20,-4.00,0,900,0
DLG,06/22/2010,30.0,30.0,30.0,30.0,713340,30.00,20.00,0.0,30.00,0.00,0,1500,0
