MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DST,08/06/2010,14.0,14.6,13.3,14.2,17800,14.70,12.90,13.8,0.40,2.90,0,0,0
DST,08/05/2010,14.5,14.5,13.7,13.8,5300,14.50,12.70,13.6,0.20,1.47,0,0,0
DST,08/04/2010,14.5,14.5,13.3,13.6,15400,14.90,13.10,14.0,-0.40,-2.86,0,0,0
DST,08/03/2010,14.6,14.6,13.5,14.0,17000,15.00,13.20,14.1,-0.10,-0.71,0,0,0
DST,08/02/2010,14.0,15.4,14.0,14.1,30200,16.00,14.00,15.0,-0.90,-6.00,0,0,0
DST,07/30/2010,15.1,15.6,14.5,15.0,9900,15.60,13.60,14.6,0.40,2.74,0,0,0
DST,07/29/2010,14.8,14.8,14.1,14.6,9100,15.00,13.20,14.1,0.50,3.55,0,0,0
DST,07/28/2010,15.0,15.0,14.0,14.1,5300,15.50,13.50,14.5,-0.40,-2.76,0,0,0
DST,07/27/2010,15.2,15.2,14.3,14.5,14200,15.80,13.80,14.8,-0.30,-2.03,0,0,0
DST,07/26/2010,15.4,15.4,14.5,14.8,11900,15.80,13.80,14.8,0.00,0.00,0,0,0
DST,07/23/2010,15.7,15.7,14.7,14.8,26400,15.70,13.70,14.7,0.10,0.68,0,0,0
DST,07/22/2010,14.3,15.4,14.3,14.7,43400,16.20,14.20,15.2,-0.50,-3.29,0,0,0
DST,07/21/2010,15.3,15.5,15.2,15.2,44400,17.40,15.20,16.3,-1.10,-6.75,0,0,0
DST,07/20/2010,17.8,18.2,16.0,16.3,75200,18.40,16.00,17.2,-0.90,-5.23,0,0,0
DST,07/19/2010,17.2,17.3,16.7,17.2,90300,17.30,15.10,16.2,1.00,6.17,0,0,0
DST,07/16/2010,15.9,16.2,15.9,16.2,177300,16.20,14.20,15.2,1.00,6.58,0,0,0
DST,07/15/2010,14.3,15.3,14.3,15.2,143400,15.30,13.30,14.3,0.90,6.29,0,0,0
DST,07/14/2010,13.9,14.5,13.9,14.3,53900,14.50,12.70,13.6,0.70,5.15,0,0,0
DST,07/13/2010,14.1,14.1,13.6,13.6,8500,14.50,12.70,13.6,0.00,0.00,0,0,0
DST,07/12/2010,13.5,13.9,13.5,13.6,1400,14.30,12.50,13.4,0.20,1.49,0,0,0
DST,07/09/2010,13.4,13.7,13.0,13.4,4600,14.30,12.50,13.4,0.00,0.00,0,0,0
DST,07/08/2010,13.7,13.8,12.8,13.4,30900,14.50,12.70,13.6,-0.20,-1.47,0,0,0
DST,07/07/2010,13.9,13.9,13.1,13.6,9100,14.70,12.90,13.8,-0.20,-1.45,0,0,0
DST,07/06/2010,14.0,14.0,13.5,13.8,6900,15.10,13.30,14.2,-0.40,-2.82,0,0,0
DST,07/05/2010,14.6,14.6,13.5,14.2,16300,15.10,13.30,14.2,0.00,0.00,0,0,0
DST,07/02/2010,14.0,14.5,13.9,14.2,21000,14.80,13.00,13.9,0.30,2.16,0,0,0
DST,07/01/2010,13.4,14.3,13.4,13.9,24700,14.30,12.50,13.4,0.50,3.73,0,0,0
DST,06/30/2010,13.4,14.0,13.3,13.4,17100,15.10,13.30,14.2,-0.80,-5.63,0,0,0
DST,06/29/2010,14.0,14.3,14.0,14.2,36400,14.30,12.50,13.4,0.80,5.97,0,0,0
DST,06/28/2010,13.0,13.6,13.0,13.4,12700,14.00,12.20,13.1,0.30,2.29,0,0,0
DST,06/25/2010,13.3,13.4,12.9,13.1,25300,14.60,12.80,13.7,-0.60,-4.38,0,0,0
DST,06/24/2010,14.0,14.2,13.2,13.7,34900,15.00,13.20,14.1,-0.40,-2.84,0,0,0
DST,06/23/2010,13.5,14.4,13.5,14.1,9000,15.30,13.30,14.3,-0.20,-1.40,0,0,0
DST,06/22/2010,14.9,15.0,13.9,14.3,11500,15.60,13.60,14.6,-0.30,-2.05,0,0,0
DST,06/21/2010,13.9,14.7,13.9,14.6,100300,14.70,12.90,13.8,0.80,5.80,0,0,0
DST,06/18/2010,14.5,14.5,13.7,13.8,21700,15.70,13.70,14.7,-0.90,-6.12,0,0,0
DST,06/17/2010,14.8,14.8,14.1,14.7,39900,15.00,13.20,14.1,0.60,4.26,0,0,0
DST,06/16/2010,13.6,14.3,13.6,14.1,55000,14.30,12.50,13.4,0.70,5.22,0,0,0
DST,06/15/2010,15.0,15.0,13.3,13.4,32000,15.10,13.30,14.2,-0.80,-5.63,0,0,0
DST,06/14/2010,14.2,14.2,14.0,14.2,68400,14.20,12.40,13.3,0.90,6.77,0,0,0
DST,06/11/2010,13.3,13.3,13.3,13.3,8300,13.30,11.70,12.5,0.80,6.40,0,0,0
DST,06/10/2010,12.5,12.5,11.4,12.5,27400,12.50,10.90,11.7,0.80,6.84,0,0,0
DST,06/09/2010,12.1,13.0,11.6,11.7,17700,13.20,11.60,12.4,-0.70,-5.65,0,0,0
DST,06/08/2010,11.7,13.0,11.7,12.4,27000,13.30,11.70,12.5,-0.10,-0.80,0,0,0
DST,06/07/2010,12.5,12.5,12.5,12.5,11500,14.30,12.50,13.4,-0.90,-6.72,0,0,0
DST,06/04/2010,13.8,13.8,13.0,13.4,700,14.30,12.50,13.4,0.00,0.00,0,0,0
DST,06/03/2010,13.3,13.8,13.0,13.4,23400,13.80,12.00,12.9,0.50,3.88,0,0,0
DST,06/02/2010,12.9,13.8,12.9,12.9,55100,14.70,12.90,13.8,-0.90,-6.52,0,0,9300
DST,06/01/2010,14.0,14.0,13.7,13.8,41800,15.70,13.70,14.7,-0.90,-6.12,0,0,0
DST,05/31/2010,15.5,15.5,14.0,14.7,34200,15.50,13.50,14.5,0.20,1.38,0,0,0
DST,05/28/2010,14.5,14.5,14.4,14.5,86200,14.50,12.70,13.6,0.90,6.62,0,0,0
DST,05/27/2010,13.6,13.6,13.6,13.6,51900,13.60,12.00,12.8,0.80,6.25,0,0,0
DST,05/26/2010,12.7,14.5,12.7,12.8,90100,14.50,12.70,13.6,-0.80,-5.88,0,0,0
DST,05/25/2010,13.6,13.6,13.6,13.6,12100,15.60,13.60,14.6,-1.00,-6.85,0,0,0
DST,05/24/2010,14.6,14.6,14.6,14.6,200,16.60,14.60,15.6,-1.00,-6.41,0,0,0
DST,05/21/2010,15.6,15.6,15.6,15.6,100,17.80,15.60,16.7,-1.10,-6.59,0,0,0
DST,05/20/2010,0.0,0.0,0.0,16.7,0,17.80,15.60,16.7,0.00,0.00,0,0,0
DST,05/19/2010,16.7,16.7,16.7,16.7,700,19.10,16.70,17.9,-1.20,-6.70,0,0,0
DST,05/18/2010,17.9,17.9,17.9,17.9,1300,20.50,17.90,19.2,-1.30,-6.77,0,0,0
DST,05/17/2010,19.2,19.2,19.2,19.2,2100,22.00,19.20,20.6,-1.40,-6.80,0,0,0
DST,05/14/2010,20.6,20.6,20.6,20.6,1000,23.60,20.60,22.1,-1.50,-6.79,0,0,0
DST,05/13/2010,22.1,22.1,22.1,22.1,2600,25.30,22.10,23.7,-1.60,-6.75,0,0,0
DST,05/12/2010,24.3,24.3,21.3,23.7,34200,24.30,21.30,22.8,0.90,3.95,0,0,0
DST,05/11/2010,22.8,22.8,22.8,22.8,15000,22.80,20.00,21.4,1.40,6.54,0,0,0
DST,05/10/2010,21.4,21.4,21.4,21.4,12800,21.40,18.60,20.0,1.40,7.00,0,0,0
DST,05/07/2010,20.3,20.3,19.5,20.0,46400,20.30,17.70,19.0,1.00,5.26,0,0,100
DST,05/06/2010,19.0,19.0,18.5,19.0,74100,19.00,16.60,17.8,1.20,6.74,0,0,0
DST,05/05/2010,17.8,17.8,17.8,17.8,8500,17.80,15.60,16.7,1.10,6.59,0,0,0
DST,05/04/2010,16.7,16.7,16.7,16.7,3700,16.70,14.70,15.7,1.00,6.37,0,0,0
DST,04/29/2010,15.0,15.9,14.5,15.7,26300,15.90,13.90,14.9,0.80,5.37,0,1500,0
DST,04/28/2010,14.7,15.0,14.3,14.9,20200,15.00,13.20,14.1,0.80,5.67,0,0,0
DST,04/27/2010,14.3,14.3,13.5,14.1,28700,14.30,12.50,13.4,0.70,5.22,0,0,0
DST,04/26/2010,13.4,13.4,13.4,13.4,35700,13.40,11.80,12.6,0.80,6.35,0,0,8000
DST,04/22/2010,12.5,12.7,11.2,12.6,72700,12.70,11.10,11.9,0.70,5.88,0,0,0
DST,04/21/2010,11.9,11.9,11.9,11.9,7200,11.90,10.50,11.2,0.70,6.25,0,0,0
DST,04/20/2010,10.9,11.3,10.9,11.2,10200,11.30,9.90,10.6,0.60,5.66,0,0,0
DST,04/19/2010,10.6,10.7,10.3,10.6,15300,10.70,9.30,10.0,0.60,6.00,0,0,2900
DST,04/16/2010,10.3,10.3,9.7,10.0,5900,10.30,9.10,9.7,0.30,3.09,0,0,0
DST,04/15/2010,9.6,9.7,9.6,9.7,21200,9.70,8.50,9.1,0.60,6.59,0,0,0
DST,04/14/2010,9.1,9.4,9.1,9.1,1500,10.10,8.90,9.5,-0.40,-4.21,0,0,0
DST,04/13/2010,9.4,9.5,9.0,9.5,4100,10.00,8.80,9.4,0.10,1.06,0,0,0
DST,04/12/2010,9.6,9.8,8.8,9.4,5300,9.80,8.60,9.2,0.20,2.17,0,0,0
DST,04/09/2010,9.2,9.2,9.0,9.2,3500,9.60,8.40,9.0,0.20,2.22,0,0,1000
DST,04/08/2010,8.6,9.2,8.6,9.0,10700,9.20,8.00,8.6,0.40,4.65,0,0,0
DST,04/07/2010,8.6,8.6,8.6,8.6,100,9.30,8.10,8.7,-0.10,-1.15,0,0,0
DST,04/06/2010,8.7,9.0,8.5,8.7,1500,9.60,8.40,9.0,-0.30,-3.33,0,0,0
DST,04/05/2010,9.0,9.0,9.0,9.0,1100,9.60,8.40,9.0,0.00,0.00,0,0,0
DST,04/02/2010,9.0,9.0,9.0,9.0,100,9.40,8.20,8.8,0.20,2.27,0,0,0
DST,04/01/2010,0.0,0.0,0.0,8.8,0,9.40,8.20,8.8,0.00,0.00,0,0,0
DST,03/31/2010,8.9,8.9,8.8,8.8,3500,9.60,8.40,9.0,-0.20,-2.22,0,2000,0
DST,03/30/2010,0.0,0.0,0.0,9.0,0,9.60,8.40,9.0,0.00,0.00,0,0,0
DST,03/29/2010,9.0,9.1,9.0,9.0,6100,9.60,8.40,9.0,0.00,0.00,0,0,0
DST,03/26/2010,9.1,9.1,8.9,9.0,8500,9.60,8.40,9.0,0.00,0.00,0,7300,0
DST,03/25/2010,9.0,9.0,9.0,9.0,1600,9.70,8.50,9.1,-0.10,-1.10,0,0,0
DST,03/24/2010,9.1,9.2,9.1,9.1,9700,9.70,8.50,9.1,0.00,0.00,0,0,0
DST,03/23/2010,9.0,9.2,9.0,9.1,3900,9.40,8.20,8.8,0.30,3.41,0,0,0
DST,03/22/2010,8.8,8.8,8.8,8.8,100,9.50,8.30,8.9,-0.10,-1.12,0,0,0
DST,03/19/2010,8.9,9.0,8.9,8.9,2300,9.30,8.10,8.7,0.20,2.30,0,0,0
DST,03/18/2010,9.1,9.1,8.5,8.7,2100,9.70,8.50,9.1,-0.40,-4.40,0,0,0
DST,03/17/2010,9.1,9.1,9.1,9.1,100,9.60,8.40,9.0,0.10,1.11,0,0,0
DST,03/16/2010,9.0,9.0,9.0,9.0,100,9.60,8.40,9.0,0.00,0.00,0,0,100
DST,03/15/2010,9.0,9.0,8.9,9.0,3800,9.50,8.30,8.9,0.10,1.12,0,0,1000
DST,03/12/2010,8.8,9.0,8.8,8.9,1000,9.40,8.20,8.8,0.10,1.14,0,0,0
DST,03/11/2010,8.8,8.8,8.8,8.8,300,9.40,8.20,8.8,0.00,0.00,0,0,0
DST,03/10/2010,0.0,0.0,0.0,8.8,0,9.40,8.20,8.8,0.00,0.00,0,0,0
DST,03/09/2010,8.9,8.9,8.8,8.8,1400,9.30,8.10,8.7,0.10,1.15,0,0,0
DST,03/08/2010,8.7,8.8,8.6,8.7,5000,8.90,7.90,8.4,0.30,3.57,0,0,3500
DST,03/05/2010,8.3,8.5,8.3,8.4,2600,8.80,7.80,8.3,0.10,1.20,0,0,900
DST,03/04/2010,9.0,9.0,8.2,8.3,2000,9.20,8.00,8.6,-0.30,-3.49,0,0,100
DST,03/03/2010,8.6,8.6,8.6,8.6,100,9.20,8.00,8.6,0.00,0.00,0,0,0
DST,03/02/2010,8.6,8.6,8.6,8.6,100,9.50,8.30,8.9,-0.30,-3.37,0,0,0
DST,03/01/2010,0.0,0.0,0.0,8.9,0,9.50,8.30,8.9,0.00,0.00,0,0,0
DST,02/26/2010,8.6,9.0,8.6,8.9,1600,9.60,8.40,9.0,-0.10,-1.11,0,0,0
DST,02/25/2010,0.0,0.0,0.0,9.0,0,9.60,8.40,9.0,0.00,0.00,0,0,0
DST,02/24/2010,9.0,9.0,8.9,9.0,3900,9.80,8.60,9.2,-0.20,-2.17,0,0,0
DST,02/23/2010,9.2,9.2,9.2,9.2,500,9.90,8.70,9.3,-0.10,-1.08,0,0,0
DST,02/22/2010,9.3,9.3,9.3,9.3,100,9.30,8.10,8.7,0.60,6.90,0,0,0
DST,02/12/2010,0.0,0.0,0.0,8.7,0,9.30,8.10,8.7,0.00,0.00,0,0,0
DST,02/11/2010,8.7,8.7,8.7,8.7,100,8.70,7.70,8.2,0.50,6.10,0,0,0
DST,02/10/2010,8.2,8.2,8.2,8.2,1300,8.90,7.90,8.4,-0.20,-2.38,0,0,0
