MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DXG,08/06/2010,39.5,39.5,38.4,38.9,14870,40.40,36.60,38.5,0.40,1.04,0,0,0
DXG,08/05/2010,39.0,39.0,37.8,38.5,20500,39.30,35.70,37.5,1.00,2.67,0,0,0
DXG,08/04/2010,39.0,39.5,37.2,37.5,10710,40.90,37.10,39.0,-1.50,-3.85,0,300,0
DXG,08/03/2010,0.0,39.0,37.8,39.0,8090,39.90,36.10,38.0,1.00,2.63,0,0,0
DXG,08/02/2010,0.0,38.5,38.0,38.0,720,40.40,36.60,38.5,-0.50,-1.30,500000,0,0
DXG,07/30/2010,38.5,38.6,38.2,38.5,2530,40.10,36.30,38.2,0.30,0.79,0,0,0
DXG,07/29/2010,0.0,39.8,38.0,38.2,4450,42.00,38.00,40.0,-1.80,-4.50,0,0,0
DXG,07/28/2010,0.0,40.0,39.0,40.0,220,40.90,37.10,39.0,1.00,2.56,0,0,0
DXG,07/27/2010,0.0,41.0,39.0,39.0,3480,42.00,38.00,40.0,-1.00,-2.50,0,0,0
DXG,07/26/2010,40.0,40.0,39.4,40.0,10110,42.00,38.00,40.0,0.00,0.00,0,0,0
DXG,07/23/2010,0.0,41.4,40.0,40.0,16430,42.00,38.00,40.0,0.00,0.00,0,0,5000
DXG,07/22/2010,0.0,42.0,40.0,40.0,11180,44.20,40.00,42.1,-2.10,-4.99,0,0,0
DXG,07/21/2010,0.0,42.1,41.5,42.1,1370,43.50,39.50,41.5,0.60,1.45,0,0,0
DXG,07/20/2010,43.0,43.0,41.5,41.5,7980,45.10,40.90,43.0,-1.50,-3.49,0,0,0
DXG,07/19/2010,41.4,43.0,41.0,43.0,8810,43.40,39.40,41.4,1.60,3.86,0,250,0
DXG,07/16/2010,41.5,42.0,41.1,41.4,17930,44.10,39.90,42.0,-0.60,-1.43,0,0,0
DXG,07/15/2010,0.0,42.6,41.2,42.0,4460,43.10,39.10,41.1,0.90,2.19,0,0,0
DXG,07/14/2010,44.4,44.6,41.1,41.1,52190,44.60,40.40,42.5,-1.40,-3.29,0,16590,0
DXG,07/13/2010,42.0,42.5,41.6,42.5,26350,42.50,38.50,40.5,2.00,4.94,0,0,0
DXG,07/12/2010,40.4,40.5,37.5,40.5,47120,40.50,36.70,38.6,1.90,4.92,0,31150,0
DXG,07/09/2010,39.0,41.0,38.2,38.6,10740,42.20,38.20,40.2,-1.60,-3.98,0,0,0
DXG,07/08/2010,40.9,41.1,40.0,40.2,6740,42.90,38.90,40.9,-0.70,-1.71,0,0,0
DXG,07/07/2010,40.9,43.5,40.9,40.9,20160,45.10,40.90,43.0,-2.10,-4.88,0,0,0
DXG,07/06/2010,41.8,43.9,41.8,43.0,37100,46.20,41.80,44.0,-1.00,-2.27,0,0,0
DXG,07/05/2010,44.5,44.5,41.0,44.0,12480,44.90,40.70,42.8,1.20,2.80,0,0,0
DXG,07/02/2010,76.0,78.0,74.5,77.5,199650,81.50,74.50,78.0,-0.50,-0.64,0,20,0
DXG,07/01/2010,78.0,78.0,77.5,78.0,52180,81.50,74.50,78.0,0.00,0.00,0,20,0
DXG,06/30/2010,78.0,80.0,78.0,78.0,64190,85.00,77.00,81.0,-3.00,-3.70,0,20,0
DXG,06/29/2010,82.5,82.5,80.0,81.0,87180,83.00,76.00,79.5,1.50,1.89,0,20,0
DXG,06/28/2010,79.0,79.5,79.0,79.5,68170,79.50,72.50,76.0,3.50,4.61,0,0,0
DXG,06/25/2010,75.0,76.0,74.5,76.0,58160,79.00,72.00,75.5,0.50,0.66,0,0,0
DXG,06/24/2010,0.0,77.0,75.0,75.5,78660,81.00,74.00,77.5,-2.00,-2.58,0,0,0
DXG,06/23/2010,0.0,77.5,75.0,77.5,51500,81.00,74.00,77.5,0.00,0.00,0,0,0
DXG,06/22/2010,78.5,79.0,77.0,77.5,63400,82.00,75.00,78.5,-1.00,-1.27,0,0,0
DXG,06/21/2010,80.0,80.0,78.0,78.5,52290,84.00,76.00,80.0,-1.50,-1.88,0,0,0
DXG,06/18/2010,0.0,80.5,78.5,80.0,56260,85.50,77.50,81.5,-1.50,-1.84,0,0,0
DXG,06/17/2010,0.0,82.5,81.0,81.5,64010,86.50,78.50,82.5,-1.00,-1.21,0,0,0
DXG,06/16/2010,78.0,82.5,78.0,82.5,49850,83.00,76.00,79.5,3.00,3.77,0,0,0
DXG,06/15/2010,0.0,80.0,78.5,79.5,41940,84.00,76.00,80.0,-0.50,-0.63,0,0,0
DXG,06/14/2010,77.5,81.0,75.0,80.0,79300,81.00,74.00,77.5,2.50,3.23,0,0,0
DXG,06/11/2010,75.0,77.5,75.0,77.5,59410,77.50,70.50,74.0,3.50,4.73,0,0,0
DXG,06/10/2010,0.0,75.0,74.0,74.0,17190,77.50,70.50,74.0,0.00,0.00,0,0,0
DXG,06/09/2010,74.0,75.0,74.0,74.0,10720,77.50,70.50,74.0,0.00,0.00,0,0,0
DXG,06/08/2010,0.0,74.0,73.0,74.0,2760,77.50,70.50,74.0,0.00,0.00,0,0,0
DXG,06/07/2010,0.0,75.0,74.0,74.0,38140,81.00,74.00,77.5,-3.50,-4.52,0,0,0
DXG,06/04/2010,77.5,77.5,76.0,77.5,7170,81.00,74.00,77.5,0.00,0.00,0,0,0
DXG,06/03/2010,0.0,77.5,77.5,77.5,3580,81.00,74.00,77.5,0.00,0.00,0,0,0
DXG,06/02/2010,0.0,77.5,75.0,77.5,3110,81.00,74.00,77.5,0.00,0.00,0,0,0
DXG,06/01/2010,0.0,77.5,74.5,77.5,3220,80.50,73.50,77.0,0.50,0.65,0,0,0
DXG,05/31/2010,77.5,77.5,77.0,77.0,3560,81.00,74.00,77.5,-0.50,-0.65,0,0,0
DXG,05/28/2010,78.0,78.0,77.5,77.5,23940,81.50,74.50,78.0,-0.50,-0.64,0,500,0
DXG,05/27/2010,78.0,78.0,78.0,78.0,14790,81.50,74.50,78.0,0.00,0.00,42000,0,0
DXG,05/26/2010,78.0,78.0,76.0,78.0,3710,79.50,72.50,76.0,2.00,2.63,0,0,0
DXG,05/25/2010,76.0,78.5,75.5,76.0,10540,82.50,75.50,79.0,-3.00,-3.80,0,0,0
DXG,05/24/2010,73.0,79.0,73.0,79.0,5950,79.50,72.50,76.0,3.00,3.95,0,0,0
DXG,05/21/2010,76.0,76.0,76.0,76.0,30350,83.00,76.00,79.5,-3.50,-4.40,0,0,0
DXG,05/20/2010,73.0,79.5,73.0,79.5,29640,79.50,72.50,76.0,3.50,4.61,0,0,0
DXG,05/19/2010,0.0,78.0,76.0,76.0,38310,83.00,76.00,79.5,-3.50,-4.40,0,0,0
DXG,05/18/2010,0.0,80.0,79.5,79.5,42610,86.00,78.00,82.0,-2.50,-3.05,0,0,0
DXG,05/17/2010,85.5,85.5,81.5,82.0,48240,89.50,81.50,85.5,-3.50,-4.09,0,0,0
DXG,05/14/2010,79.5,85.5,79.0,85.5,33760,86.00,78.00,82.0,3.50,4.27,0,0,0
DXG,05/13/2010,82.0,84.0,81.0,82.0,22800,84.00,76.00,80.0,2.00,2.50,0,20,0
DXG,05/12/2010,84.0,84.0,80.0,80.0,40640,84.00,76.00,80.0,0.00,0.00,0,0,0
DXG,05/11/2010,76.5,80.0,76.5,80.0,8430,80.00,73.00,76.5,3.50,4.58,0,0,300
DXG,05/10/2010,0.0,78.0,76.0,76.5,11950,82.50,75.50,79.0,-2.50,-3.16,0,0,0
DXG,05/07/2010,79.5,82.0,78.5,79.0,92890,86.50,78.50,82.5,-3.50,-4.24,0,0,0
