MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DXP,08/06/2010,54.8,54.8,53.0,53.5,16800,58.60,51.00,54.8,-1.30,-2.37,0,1000,15000
DXP,08/05/2010,56.2,56.2,54.0,54.8,28100,61.00,53.20,57.1,-2.30,-4.03,0,0,28100
DXP,08/04/2010,57.2,57.3,56.8,57.1,12700,61.20,53.20,57.2,-0.10,-0.17,0,1000,0
DXP,08/03/2010,57.5,57.5,57.1,57.2,4600,61.40,53.40,57.4,-0.20,-0.35,0,0,0
DXP,08/02/2010,57.6,57.6,57.1,57.4,11400,61.60,53.60,57.6,-0.20,-0.35,0,0,0
DXP,07/30/2010,57.4,57.7,57.4,57.6,17200,61.30,53.30,57.3,0.30,0.52,10000,0,0
DXP,07/29/2010,57.8,57.9,56.5,57.3,26300,60.90,53.10,57.0,0.30,0.53,0,0,0
DXP,07/28/2010,58.5,58.8,56.6,57.0,10600,61.00,53.20,57.1,-0.10,-0.18,0,1600,0
DXP,07/27/2010,56.8,57.9,56.8,57.1,3600,61.90,53.90,57.9,-0.80,-1.38,0,0,0
DXP,07/26/2010,59.2,59.2,57.5,57.9,34500,64.40,56.00,60.2,-2.30,-3.82,0,1000,0
DXP,07/23/2010,61.8,63.5,58.0,60.2,81500,66.10,57.50,61.8,-1.60,-2.59,0,0,0
DXP,07/22/2010,61.8,62.6,60.0,61.8,33000,62.70,54.50,58.6,3.20,5.46,0,0,0
DXP,07/21/2010,58.9,61.2,55.0,58.6,96100,61.20,53.20,57.2,1.40,2.45,0,1000,36600
DXP,07/20/2010,58.5,58.5,56.8,57.2,30300,60.30,52.50,56.4,0.80,1.42,0,0,28300
DXP,07/19/2010,60.0,63.4,56.0,56.4,126000,63.40,55.20,59.3,-2.90,-4.89,0,0,109500
DXP,07/16/2010,59.3,59.4,59.0,59.3,8200,63.40,55.20,59.3,0.00,0.00,0,1000,0
DXP,07/15/2010,59.9,59.9,59.0,59.3,1600,63.60,55.40,59.5,-0.20,-0.34,0,0,0
DXP,07/14/2010,60.0,60.0,59.0,59.5,13300,63.30,55.10,59.2,0.30,0.51,0,1000,0
DXP,07/13/2010,58.5,60.0,58.4,59.2,11700,62.40,54.40,58.4,0.80,1.37,0,0,2000
DXP,07/12/2010,58.5,58.5,58.3,58.4,6100,62.30,54.30,58.3,0.10,0.17,0,1000,0
