MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
FDC,08/09/2010,39.4,40.0,39.3,39.3,308590,43.30,39.30,41.3,-2.00,-4.84,0,0,0
FDC,08/06/2010,41.5,42.9,41.3,41.3,573900,45.50,41.30,43.4,-2.10,-4.84,74600,0,0
FDC,08/05/2010,43.4,45.6,43.4,43.4,448690,47.80,43.40,45.6,-2.20,-4.82,210000,0,0
FDC,08/04/2010,46.6,47.9,45.6,45.6,496170,50.00,45.60,47.9,-2.30,-4.80,0,0,0
FDC,08/03/2010,48.0,48.8,47.0,47.9,664140,50.00,45.60,48.0,-0.10,-0.21,45000,0,0
FDC,08/02/2010,49.8,49.8,48.0,48.0,423130,51.50,47.10,49.5,-1.50,-3.03,20000,0,0
FDC,07/30/2010,47.5,49.5,47.5,49.5,612450,49.80,45.20,47.5,2.00,4.21,0,0,10000
FDC,07/29/2010,47.5,48.1,46.6,47.5,465430,49.50,44.90,47.2,0.30,0.64,105000,0,0
FDC,07/28/2010,47.0,48.3,46.6,47.2,1632940,48.30,43.70,46.0,1.20,2.61,0,0,19230
FDC,07/27/2010,46.1,46.9,45.0,46.0,477050,48.40,43.80,46.1,-0.10,-0.22,30000,0,15000
FDC,07/26/2010,47.5,48.0,46.1,46.1,447680,49.80,45.20,47.5,-1.40,-2.95,88000,0,0
FDC,07/23/2010,47.9,48.0,46.0,47.5,592680,49.80,45.20,47.5,0.00,0.00,0,0,15000
FDC,07/22/2010,47.5,47.5,46.0,47.5,1037440,47.50,43.10,45.3,2.20,4.86,0,0,44400
FDC,07/21/2010,44.7,47.0,44.5,45.3,989190,47.00,42.60,44.8,0.50,1.12,0,0,45600
FDC,07/20/2010,45.1,46.0,44.5,44.8,524850,47.30,42.90,45.1,-0.30,-0.67,0,0,20000
FDC,07/19/2010,45.0,45.1,44.5,45.1,913770,45.10,40.90,43.0,2.10,4.88,20000,0,30000
FDC,07/16/2010,41.0,43.0,41.0,43.0,694990,43.00,39.00,41.0,2.00,4.88,100000,0,24000
FDC,07/15/2010,40.9,41.2,39.5,41.0,708610,43.20,39.20,41.2,-0.20,-0.49,20000,0,40000
FDC,07/14/2010,42.3,42.3,40.0,41.2,692760,44.10,39.90,42.0,-0.80,-1.90,0,0,27980
FDC,07/13/2010,41.0,42.1,40.7,42.0,815350,42.10,38.10,40.1,1.90,4.74,100000,2000,80000
FDC,07/12/2010,39.5,40.3,39.0,40.1,533000,40.90,37.10,39.0,1.10,2.82,0,0,0
FDC,07/09/2010,38.1,39.3,38.0,39.0,527270,40.10,36.30,38.2,0.80,2.09,0,0,0
FDC,07/08/2010,37.6,39.4,36.0,38.2,1129350,39.40,35.80,37.6,0.60,1.60,0,0,0
FDC,07/07/2010,39.5,39.5,37.6,37.6,665670,41.40,37.60,39.5,-1.90,-4.81,0,0,0
FDC,07/06/2010,41.0,41.0,39.5,39.5,540440,43.50,39.50,41.5,-2.00,-4.82,0,0,0
FDC,07/05/2010,40.8,41.8,40.0,41.5,536450,41.80,38.00,39.9,1.60,4.01,0,0,0
FDC,07/02/2010,37.5,39.9,37.0,39.9,1140390,39.90,36.10,38.0,1.90,5.00,0,0,10000
FDC,07/01/2010,38.8,38.8,36.9,38.0,896810,40.70,36.90,38.8,-0.80,-2.06,0,0,4020
FDC,06/30/2010,37.5,39.5,37.5,38.8,899070,40.40,36.60,38.5,0.30,0.78,0,0,10000
FDC,06/29/2010,38.5,38.5,38.4,38.5,855930,38.50,34.90,36.7,1.80,4.90,0,0,15000
FDC,06/28/2010,36.7,36.7,36.7,36.7,832610,36.70,33.30,35.0,1.70,4.86,0,0,0
FDC,06/25/2010,34.0,35.0,34.0,35.0,1273640,35.00,31.80,33.4,1.60,4.79,0,0,0
FDC,06/24/2010,32.0,33.4,31.8,33.4,645130,33.40,30.40,31.9,1.50,4.70,0,0,47160
FDC,06/23/2010,31.5,31.9,31.3,31.9,137360,33.20,30.20,31.7,0.20,0.63,0,0,5460
FDC,06/22/2010,32.1,32.9,31.7,31.7,154970,34.10,30.90,32.5,-0.80,-2.46,0,0,25000
FDC,06/21/2010,33.2,33.2,32.2,32.5,81450,34.20,31.00,32.6,-0.10,-0.31,0,0,20000
FDC,06/18/2010,33.9,33.9,32.6,32.6,470490,34.20,31.00,32.6,0.00,0.00,0,0,50000
FDC,06/17/2010,32.6,32.6,32.6,32.6,147990,32.60,29.60,31.1,1.50,4.82,0,0,0
FDC,06/16/2010,30.2,31.1,30.1,31.1,219310,31.10,28.30,29.7,1.40,4.71,0,0,0
FDC,06/15/2010,0.0,29.8,29.5,29.7,27390,31.10,28.30,29.7,0.00,0.00,0,0,0
FDC,06/14/2010,30.2,30.4,29.7,29.7,20260,31.00,28.20,29.6,0.10,0.34,0,0,0
FDC,06/11/2010,30.2,31.0,29.6,29.6,94340,31.50,28.50,30.0,-0.40,-1.33,0,0,0
FDC,06/10/2010,0.0,30.0,29.5,30.0,52570,31.50,28.50,30.0,0.00,0.00,0,0,0
FDC,06/09/2010,30.0,30.2,29.7,30.0,93330,31.50,28.50,30.0,0.00,0.00,0,0,0
FDC,06/08/2010,29.2,30.0,29.2,30.0,10920,31.00,28.20,29.6,0.40,1.35,0,0,0
FDC,06/07/2010,30.0,30.5,29.6,29.6,69630,32.50,29.50,31.0,-1.40,-4.52,0,0,0
FDC,06/04/2010,32.0,32.0,30.5,31.0,10650,32.70,29.70,31.2,-0.20,-0.64,34100,0,0
FDC,06/03/2010,32.0,32.0,31.2,31.2,113850,32.70,29.70,31.2,0.00,0.00,0,0,0
FDC,06/02/2010,31.1,31.2,30.1,31.2,28230,32.60,29.60,31.1,0.10,0.32,0,0,0
FDC,06/01/2010,0.0,31.9,30.0,31.1,15550,32.60,29.60,31.1,0.00,0.00,0,0,0
FDC,05/31/2010,31.6,32.5,31.1,31.1,13420,34.10,30.90,32.5,-1.40,-4.31,0,0,0
FDC,05/28/2010,32.5,32.5,32.0,32.5,63620,33.40,30.40,31.9,0.60,1.88,0,0,0
FDC,05/27/2010,31.2,32.1,31.0,31.9,4140,33.20,30.20,31.7,0.20,0.63,0,0,0
FDC,05/26/2010,31.9,31.9,31.2,31.7,97140,32.70,29.70,31.2,0.50,1.60,0,0,0
FDC,05/25/2010,30.8,31.5,30.7,31.2,113270,32.30,29.30,30.8,0.40,1.30,0,0,0
FDC,05/24/2010,30.8,30.8,29.1,30.8,24590,31.10,28.30,29.7,1.10,3.70,0,0,0
FDC,05/21/2010,29.7,31.9,29.7,29.7,83310,32.70,29.70,31.2,-1.50,-4.81,0,0,0
FDC,05/20/2010,28.5,31.2,28.5,31.2,128490,31.20,28.40,29.8,1.40,4.70,0,0,0
