MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
GMD,08/09/2010,39.3,39.3,37.4,37.4,387090,41.00,37.20,39.1,-1.70,-4.35,0,29590,0
GMD,08/06/2010,40.2,40.2,39.1,39.1,375010,42.40,38.40,40.4,-1.30,-3.22,0,29730,63590
GMD,08/05/2010,41.6,41.8,40.4,40.4,492420,43.00,39.00,41.0,-0.60,-1.46,0,112910,620
GMD,08/04/2010,39.5,41.0,38.9,41.0,675100,42.00,38.00,40.0,1.00,2.50,0,26840,30010
GMD,08/03/2010,39.5,40.9,39.5,40.0,814140,40.90,37.10,39.0,1.00,2.56,0,50000,240
GMD,08/02/2010,38.4,39.5,38.2,39.0,371790,40.10,36.30,38.2,0.80,2.09,0,40000,3000
GMD,07/30/2010,37.5,39.4,37.3,38.2,662260,39.90,36.10,38.0,0.20,0.53,30000,55750,378110
GMD,07/29/2010,38.0,39.0,37.1,38.0,1092560,40.90,37.10,39.0,-1.00,-2.56,0,207130,751800
GMD,07/28/2010,41.8,41.8,39.0,39.0,325600,42.40,38.40,40.4,-1.40,-3.47,0,1670,95330
GMD,07/27/2010,52.5,54.0,52.5,54.0,845020,55.50,50.50,53.0,1.00,1.89,0,40280,67180
GMD,07/26/2010,53.0,53.0,52.0,53.0,692990,56.00,51.00,53.5,-0.50,-0.93,0,33030,42300
GMD,07/23/2010,55.0,55.5,53.0,53.5,952060,58.00,53.00,55.5,-2.00,-3.60,0,51320,31100
GMD,07/22/2010,55.5,55.5,54.5,55.5,666010,59.50,54.50,57.0,-1.50,-2.63,0,20000,56450
GMD,07/21/2010,59.0,59.0,57.0,57.0,1042570,62.00,57.00,59.5,-2.50,-4.20,0,22300,23990
GMD,07/20/2010,60.0,60.0,58.5,59.5,301700,63.00,57.00,60.0,-0.50,-0.83,0,19230,0
GMD,07/19/2010,60.0,60.5,59.5,60.0,293820,63.00,57.00,60.0,0.00,0.00,0,11350,40180
GMD,07/16/2010,60.5,60.5,59.0,60.0,332060,63.50,57.50,60.5,-0.50,-0.83,250920,11930,17000
GMD,07/15/2010,60.0,60.5,59.5,60.5,172830,64.00,58.00,61.0,-0.50,-0.82,0,30800,80000
GMD,07/14/2010,62.0,62.0,60.0,61.0,430460,64.50,58.50,61.5,-0.50,-0.81,35000,94900,0
GMD,07/13/2010,60.5,61.5,60.0,61.5,287060,63.00,57.00,60.0,1.50,2.50,0,42480,1000
GMD,07/12/2010,59.5,60.0,59.0,60.0,302580,62.00,57.00,59.5,0.50,0.84,0,70990,3400
GMD,07/09/2010,60.0,60.0,59.5,59.5,238110,63.00,57.00,60.0,-0.50,-0.83,0,118530,1780
GMD,07/08/2010,60.0,60.5,59.5,60.0,134320,63.00,57.00,60.0,0.00,0.00,0,70000,3470
GMD,07/07/2010,60.0,60.0,59.5,60.0,93330,63.00,57.00,60.0,0.00,0.00,0,43080,2340
GMD,07/06/2010,60.5,60.5,59.5,60.0,307450,64.00,58.00,61.0,-1.00,-1.64,0,50000,15000
GMD,07/05/2010,61.0,61.0,60.0,61.0,255110,63.50,57.50,60.5,0.50,0.83,49000,0,0
GMD,07/02/2010,61.0,61.5,60.5,60.5,290750,63.50,57.50,60.5,0.00,0.00,25000,3000,113130
GMD,07/01/2010,61.0,61.0,60.5,60.5,240540,64.00,58.00,61.0,-0.50,-0.82,0,14900,600
GMD,06/30/2010,61.0,62.0,60.5,61.0,348230,65.50,59.50,62.5,-1.50,-2.40,0,11500,84940
GMD,06/29/2010,62.0,63.0,62.0,62.5,130590,65.00,59.00,62.0,0.50,0.81,44000,2260,0
GMD,06/28/2010,62.0,62.5,61.5,62.0,155640,65.00,59.00,62.0,0.00,0.00,0,2860,50000
GMD,06/25/2010,62.0,62.5,62.0,62.0,202120,65.50,59.50,62.5,-0.50,-0.80,0,46400,0
GMD,06/24/2010,63.5,63.5,62.5,62.5,200940,66.00,60.00,63.0,-0.50,-0.79,0,12860,56820
GMD,06/23/2010,63.5,63.5,63.0,63.0,181790,67.00,61.00,64.0,-1.00,-1.56,0,12490,200
GMD,06/22/2010,64.5,64.5,64.0,64.0,251830,67.50,61.50,64.5,-0.50,-0.78,0,153620,0
GMD,06/21/2010,64.5,65.0,64.5,64.5,318160,67.50,61.50,64.5,0.00,0.00,0,181390,2260
GMD,06/18/2010,65.0,65.0,64.0,64.5,314930,67.50,61.50,64.5,0.00,0.00,0,279450,190
GMD,06/17/2010,64.0,64.5,63.5,64.5,431060,67.00,61.00,64.0,0.50,0.78,0,206560,10000
GMD,06/16/2010,64.5,64.5,64.0,64.0,295370,66.50,60.50,63.5,0.50,0.79,0,41080,0
GMD,06/15/2010,64.5,64.5,63.5,63.5,153690,67.50,61.50,64.5,-1.00,-1.55,0,31330,9890
GMD,06/14/2010,65.0,65.0,64.0,64.5,205650,67.50,61.50,64.5,0.00,0.00,0,4120,9260
GMD,06/11/2010,64.0,65.0,64.0,64.5,264680,66.50,60.50,63.5,1.00,1.57,129190,0,0
