MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HAI,08/09/2010,0.0,30.9,29.4,30.9,10670,32.40,29.40,30.9,0.00,0.00,0,0,0
HAI,08/06/2010,0.0,30.9,29.6,30.9,5410,32.40,29.40,30.9,0.00,0.00,0,0,0
HAI,08/05/2010,0.0,0.0,0.0,30.9,0,32.40,29.40,30.9,0.00,0.00,0,0,0
HAI,08/04/2010,0.0,0.0,0.0,30.9,0,32.40,29.40,30.9,0.00,0.00,0,0,0
HAI,08/03/2010,0.0,30.9,30.0,30.9,1500,32.00,29.00,30.5,0.40,1.31,0,0,0
HAI,08/02/2010,0.0,30.5,30.5,30.5,1500,33.10,30.10,31.6,-1.10,-3.48,0,0,0
HAI,07/30/2010,30.0,31.6,30.0,31.6,5290,32.00,29.00,30.5,1.10,3.61,0,170,0
HAI,07/29/2010,0.0,30.5,29.0,30.5,1170,31.50,28.50,30.0,0.50,1.67,0,0,0
HAI,07/28/2010,0.0,30.4,29.0,30.0,3020,31.80,28.80,30.3,-0.30,-0.99,0,0,0
HAI,07/27/2010,0.0,30.5,30.3,30.3,3300,32.00,29.00,30.5,-0.20,-0.66,0,0,0
HAI,07/26/2010,0.0,30.5,30.5,30.5,620,31.60,28.60,30.1,0.40,1.33,0,0,0
HAI,07/23/2010,31.1,31.1,30.0,30.1,5390,31.60,28.60,30.1,0.00,0.00,0,1700,0
HAI,07/22/2010,30.1,30.5,30.1,30.1,770,32.00,29.00,30.5,-0.40,-1.31,0,0,0
HAI,07/21/2010,0.0,31.0,30.3,30.5,6430,32.00,29.00,30.5,0.00,0.00,0,0,0
HAI,07/20/2010,30.7,30.8,30.5,30.5,3260,32.50,29.50,31.0,-0.50,-1.61,0,0,0
HAI,07/19/2010,31.5,31.5,31.0,31.0,2220,32.90,29.90,31.4,-0.40,-1.27,0,0,0
HAI,07/16/2010,31.0,31.9,31.0,31.4,300,33.00,30.00,31.5,-0.10,-0.32,0,0,0
HAI,07/15/2010,31.5,31.5,30.6,31.5,3110,33.00,30.00,31.5,0.00,0.00,0,0,0
HAI,07/14/2010,32.0,32.0,31.0,31.5,3980,33.40,30.40,31.9,-0.40,-1.25,0,0,0
HAI,07/13/2010,0.0,31.9,31.9,31.9,1290,33.40,30.40,31.9,0.00,0.00,0,140,0
HAI,07/12/2010,0.0,31.9,30.8,31.9,2170,32.30,29.30,30.8,1.10,3.57,0,1860,0
HAI,07/09/2010,0.0,30.8,30.8,30.8,500,32.50,29.50,31.0,-0.20,-0.65,0,0,0
HAI,07/08/2010,0.0,31.0,30.5,31.0,930,33.60,30.40,32.0,-1.00,-3.13,0,0,0
HAI,07/07/2010,0.0,32.0,31.0,32.0,1100,33.00,30.00,31.5,0.50,1.59,0,0,0
HAI,07/06/2010,0.0,31.8,31.0,31.5,2500,33.80,30.60,32.2,-0.70,-2.17,0,0,0
HAI,07/05/2010,0.0,32.2,32.0,32.2,60,33.60,30.40,32.0,0.20,0.63,0,0,0
HAI,07/02/2010,0.0,32.0,31.3,32.0,18660,34.50,31.30,32.9,-0.90,-2.74,0,0,0
