MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HBS,08/09/2010,22.0,22.5,20.5,20.9,785000,23.50,20.50,22.0,-1.10,-5.00,0,0,0
HBS,08/06/2010,22.2,22.6,21.7,22.0,953400,23.70,20.70,22.2,-0.20,-0.90,0,0,0
HBS,08/05/2010,21.4,22.4,21.4,22.2,1170900,22.40,19.60,21.0,1.20,5.71,25000,1000,0
HBS,08/04/2010,21.0,21.6,20.4,21.0,1537400,22.00,19.20,20.6,0.40,1.94,130000,0,0
HBS,08/03/2010,20.3,21.1,20.2,20.6,1036000,22.00,19.20,20.6,0.00,0.00,0,0,0
HBS,08/02/2010,20.5,21.8,20.1,20.6,813800,22.60,19.80,21.2,-0.60,-2.83,58400,0,0
HBS,07/30/2010,21.1,22.5,20.5,21.2,1249900,22.50,19.70,21.1,0.10,0.47,0,0,0
HBS,07/29/2010,20.2,21.7,20.2,21.1,1215400,22.10,19.30,20.7,0.40,1.93,0,0,0
HBS,07/28/2010,20.8,20.8,20.4,20.7,1357800,20.80,18.20,19.5,1.20,6.15,0,0,0
HBS,07/27/2010,18.9,19.9,18.8,19.5,631000,19.90,17.30,18.6,0.90,4.84,0,0,0
HBS,07/26/2010,18.6,18.8,18.4,18.6,559400,20.10,17.50,18.8,-0.20,-1.06,50000,0,0
HBS,07/23/2010,19.0,19.0,18.6,18.8,752500,20.00,17.40,18.7,0.10,0.53,0,200,0
HBS,07/22/2010,18.7,19.0,18.2,18.7,751100,19.90,17.30,18.6,0.10,0.54,0,0,0
HBS,07/21/2010,18.5,18.8,18.2,18.6,740800,19.90,17.30,18.6,0.00,0.00,0,0,0
HBS,07/20/2010,18.9,19.3,18.1,18.6,615300,20.10,17.50,18.8,-0.20,-1.06,17000,0,0
HBS,07/19/2010,19.3,19.4,18.1,18.8,714900,20.60,18.00,19.3,-0.50,-2.59,0,0,0
HBS,07/16/2010,19.8,20.5,17.9,19.3,933900,0.00,0.00,0.0,19.30,0.00,17000,0,0
