MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HDC,08/09/2010,0.0,49.8,48.6,48.8,72770,52.00,47.40,49.8,-1.00,-2.01,0,20000,0
HDC,08/06/2010,50.0,50.0,49.7,49.8,30800,52.50,47.50,50.0,-0.20,-0.40,0,24030,0
HDC,08/05/2010,50.0,50.0,50.0,50.0,19000,52.50,47.50,50.0,0.00,0.00,0,10000,0
HDC,08/04/2010,50.0,50.5,49.7,50.0,112860,53.00,48.00,50.5,-0.50,-0.99,0,16130,0
HDC,08/03/2010,0.0,51.0,50.5,50.5,61020,53.50,48.50,51.0,-0.50,-0.98,0,10000,0
HDC,08/02/2010,0.0,51.0,51.0,51.0,23920,54.00,49.00,51.5,-0.50,-0.97,0,17720,0
HDC,07/30/2010,51.5,51.5,50.5,51.5,19440,53.00,48.00,50.5,1.00,1.98,0,10000,0
HDC,07/29/2010,49.8,50.5,49.8,50.5,53430,53.00,48.00,50.5,0.00,0.00,0,20000,0
HDC,07/28/2010,0.0,51.0,50.5,50.5,59700,53.50,48.50,51.0,-0.50,-0.98,0,30100,0
HDC,07/27/2010,50.5,51.0,50.5,51.0,25820,53.00,48.00,50.5,0.50,0.99,0,0,2470
HDC,07/26/2010,51.0,51.0,50.5,50.5,29200,54.00,49.00,51.5,-1.00,-1.94,0,0,550
HDC,07/23/2010,0.0,51.5,51.0,51.5,54620,53.50,48.50,51.0,0.50,0.98,0,20000,0
HDC,07/22/2010,51.5,51.5,51.0,51.0,101770,54.00,49.00,51.5,-0.50,-0.97,0,35000,0
HDC,07/21/2010,0.0,52.0,51.5,51.5,91810,54.50,49.40,52.0,-0.50,-0.96,0,55480,0
HDC,07/20/2010,0.0,52.0,51.5,52.0,44170,54.50,49.40,52.0,0.00,0.00,0,41000,0
HDC,07/19/2010,52.0,52.5,52.0,52.0,86040,55.00,49.90,52.5,-0.50,-0.95,50000,40100,0
HDC,07/16/2010,53.0,53.0,52.5,52.5,64300,55.00,49.90,52.5,0.00,0.00,0,10000,0
HDC,07/15/2010,52.5,53.0,52.5,52.5,107690,55.50,50.50,53.0,-0.50,-0.94,0,20000,0
HDC,07/14/2010,53.0,53.5,52.5,53.0,100720,55.50,50.50,53.0,0.00,0.00,0,15000,0
HDC,07/13/2010,53.0,53.0,52.0,53.0,92530,54.50,49.40,52.0,1.00,1.92,0,21390,0
HDC,07/12/2010,52.0,52.5,51.5,52.0,115140,54.50,49.40,52.0,0.00,0.00,0,66630,0
HDC,07/09/2010,52.0,52.5,52.0,52.0,59220,55.00,49.90,52.5,-0.50,-0.95,0,30000,0
HDC,07/08/2010,52.5,52.5,52.0,52.5,46010,54.50,49.40,52.0,0.50,0.96,0,5000,0
HDC,07/07/2010,51.5,52.0,51.5,52.0,120130,54.00,49.00,51.5,0.50,0.97,0,22000,110
HDC,07/06/2010,51.0,51.5,50.5,51.5,162410,53.50,48.50,51.0,0.50,0.98,0,0,0
HDC,07/05/2010,51.0,51.0,50.5,51.0,115770,53.00,48.00,50.5,0.50,0.99,0,0,0
HDC,07/02/2010,51.5,51.5,50.5,50.5,63380,53.50,48.50,51.0,-0.50,-0.98,0,10000,10
HDC,07/01/2010,51.0,51.5,50.5,51.0,92900,54.00,49.00,51.5,-0.50,-0.97,0,10000,0
HDC,06/30/2010,51.0,51.5,50.5,51.5,104480,54.50,49.40,52.0,-0.50,-0.96,25000,30100,17370
HDC,06/29/2010,52.0,52.0,51.5,52.0,44630,54.50,49.40,52.0,0.00,0.00,0,0,4130
HDC,06/28/2010,51.5,52.0,51.0,52.0,72440,54.50,49.40,52.0,0.00,0.00,58032,0,10430
HDC,06/25/2010,51.5,52.5,51.5,52.0,77350,55.00,49.90,52.5,-0.50,-0.95,0,20000,0
HDC,06/24/2010,52.5,52.5,52.0,52.5,38580,54.50,49.40,52.0,0.50,0.96,0,0,0
HDC,06/23/2010,51.5,53.0,51.5,52.0,27160,55.50,50.50,53.0,-1.00,-1.89,0,10000,0
HDC,06/22/2010,53.0,53.5,52.5,53.0,56440,56.00,51.00,53.5,-0.50,-0.93,0,0,0
HDC,06/21/2010,53.0,53.5,52.5,53.5,105700,55.00,49.90,52.5,1.00,1.90,0,15000,0
HDC,06/18/2010,52.5,53.0,52.5,52.5,39610,55.50,50.50,53.0,-0.50,-0.94,0,0,0
HDC,06/17/2010,53.0,53.0,52.0,53.0,63620,55.00,49.90,52.5,0.50,0.95,0,0,0
HDC,06/16/2010,53.5,53.5,52.5,52.5,49430,54.50,49.40,52.0,0.50,0.96,0,0,260
HDC,06/15/2010,52.0,53.0,51.5,52.0,54530,55.00,49.90,52.5,-0.50,-0.95,0,0,0
HDC,06/14/2010,52.5,53.0,52.5,52.5,50130,55.00,49.90,52.5,0.00,0.00,0,0,0
HDC,06/11/2010,52.5,53.0,52.5,52.5,63180,54.00,49.00,51.5,1.00,1.94,0,0,0
HDC,06/10/2010,50.5,51.5,50.5,51.5,50120,53.50,48.50,51.0,0.50,0.98,0,10000,0
HDC,06/09/2010,52.5,52.5,51.0,51.0,19720,54.00,49.00,51.5,-0.50,-0.97,0,0,0
HDC,06/08/2010,50.5,51.5,50.0,51.5,84930,53.00,48.00,50.5,1.00,1.98,0,0,20
HDC,06/07/2010,50.0,51.0,50.0,50.5,68030,55.00,49.90,52.5,-2.00,-3.81,0,22000,0
HDC,06/04/2010,52.5,53.0,52.5,52.5,40830,55.50,50.50,53.0,-0.50,-0.94,25000,0,350
HDC,06/03/2010,54.0,54.0,53.0,53.0,83810,55.50,50.50,53.0,0.00,0.00,0,0,300
HDC,06/02/2010,52.5,54.0,52.5,53.0,29040,56.00,51.00,53.5,-0.50,-0.93,0,0,0
HDC,06/01/2010,54.0,54.0,52.0,53.5,35130,55.00,49.90,52.5,1.00,1.90,0,0,0
HDC,05/31/2010,52.5,54.0,52.5,52.5,24160,56.50,51.50,54.0,-1.50,-2.78,0,20,0
HDC,05/28/2010,54.0,54.0,53.0,54.0,190010,54.00,49.00,51.5,2.50,4.85,0,0,9380
HDC,05/27/2010,51.5,51.5,51.0,51.5,36960,54.00,49.00,51.5,0.00,0.00,0,0,9800
HDC,05/26/2010,49.5,51.5,49.5,51.5,67800,51.50,47.10,49.5,2.00,4.04,0,10500,0
HDC,05/25/2010,0.0,51.5,49.5,49.5,33530,53.50,48.50,51.0,-1.50,-2.94,0,960,0
HDC,05/24/2010,51.0,51.0,49.0,51.0,42590,52.00,47.50,49.9,1.10,2.20,0,50,5410
HDC,05/21/2010,49.9,51.5,49.9,49.9,243800,55.00,49.90,52.5,-2.60,-4.95,0,20100,51400
HDC,05/20/2010,50.0,52.5,50.0,52.5,70570,54.00,49.00,51.5,1.00,1.94,0,100,5000
HDC,05/19/2010,0.0,54.0,51.5,51.5,90750,55.50,50.50,53.0,-1.50,-2.83,0,100,980
HDC,05/18/2010,55.0,55.0,53.0,53.0,108100,56.50,51.50,54.0,-1.00,-1.85,0,5000,8590
HDC,05/17/2010,55.0,55.5,53.5,54.0,134830,57.50,52.50,55.0,-1.00,-1.82,0,100,16960
HDC,05/14/2010,57.0,57.0,55.0,55.0,173990,59.00,54.00,56.5,-1.50,-2.65,0,20,12000
HDC,05/13/2010,56.5,57.5,55.0,56.5,125100,58.50,53.50,56.0,0.50,0.89,0,210,47910
HDC,05/12/2010,57.5,57.5,56.0,56.0,242130,60.50,55.50,58.0,-2.00,-3.45,0,700,34270
