MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HTC,08/09/2010,52.0,52.0,51.7,51.8,44300,55.60,48.40,52.0,-0.20,-0.38,0,0,0
HTC,08/06/2010,52.0,52.0,51.9,52.0,16400,55.60,48.40,52.0,0.00,0.00,0,0,0
HTC,08/05/2010,52.0,52.3,51.9,52.0,15400,55.50,48.30,51.9,0.10,0.19,0,0,0
HTC,08/04/2010,52.5,52.5,51.8,51.9,19300,55.50,48.30,51.9,0.00,0.00,0,0,0
HTC,08/03/2010,51.7,52.0,51.7,51.9,15500,55.50,48.30,51.9,0.00,0.00,0,0,0
HTC,08/02/2010,52.1,52.2,51.8,51.9,41000,55.70,48.50,52.1,-0.20,-0.38,0,0,0
HTC,07/30/2010,52.0,52.5,52.0,52.1,40900,55.70,48.50,52.1,0.00,0.00,0,0,0
HTC,07/29/2010,52.0,52.5,51.9,52.1,34400,55.50,48.30,51.9,0.20,0.39,0,0,0
HTC,07/28/2010,52.0,52.1,51.7,51.9,76500,55.70,48.50,52.1,-0.20,-0.38,0,0,0
HTC,07/27/2010,52.4,52.4,51.9,52.1,39500,55.70,48.50,52.1,0.00,0.00,0,0,5400
HTC,07/26/2010,52.0,53.0,52.0,52.1,45900,55.80,48.60,52.2,-0.10,-0.19,0,0,0
HTC,07/23/2010,52.2,52.7,52.1,52.2,37400,55.70,48.50,52.1,0.10,0.19,0,0,0
HTC,07/22/2010,50.0,52.5,50.0,52.1,58400,55.50,48.30,51.9,0.20,0.39,0,0,0
HTC,07/21/2010,52.9,52.9,51.0,51.9,54500,56.60,49.20,52.9,-1.00,-1.89,0,0,0
HTC,07/20/2010,53.0,54.0,52.0,52.9,24700,57.00,49.60,53.3,-0.40,-0.75,10000,0,0
HTC,07/19/2010,51.6,54.9,51.5,53.3,40200,59.10,51.50,55.3,-2.00,-3.62,0,0,0
HTC,07/16/2010,57.0,57.5,54.8,55.3,97700,63.00,54.80,58.9,-3.60,-6.11,0,0,0
HTC,07/15/2010,57.8,60.3,56.9,58.9,118000,60.30,52.50,56.4,2.50,4.43,0,0,0
HTC,07/14/2010,60.0,60.0,52.2,56.4,119500,60.00,52.20,56.1,0.30,0.53,0,0,0
HTC,07/13/2010,56.1,56.1,55.9,56.1,173800,56.10,48.90,52.5,3.60,6.86,0,0,0
HTC,07/12/2010,52.0,53.5,51.0,52.5,110000,53.50,46.50,50.0,2.50,5.00,0,0,0
HTC,07/09/2010,49.9,50.5,49.9,50.0,39000,53.50,46.50,50.0,0.00,0.00,0,0,0
HTC,07/08/2010,49.9,50.1,49.8,50.0,34200,53.30,46.50,49.9,0.10,0.20,0,0,0
HTC,07/07/2010,50.0,50.0,49.6,49.9,7800,52.00,45.20,48.6,1.30,2.67,0,0,0
HTC,07/06/2010,50.2,50.2,47.2,48.6,21200,53.70,46.70,50.2,-1.60,-3.19,0,2000,0
HTC,07/05/2010,50.1,51.0,50.0,50.2,5900,53.60,46.60,50.1,0.10,0.20,5000,3200,0
HTC,07/02/2010,51.0,51.0,49.6,50.1,3000,53.20,46.40,49.8,0.30,0.60,0,0,0
HTC,07/01/2010,49.1,50.0,49.1,49.8,9800,53.50,46.50,50.0,-0.20,-0.40,0,0,0
HTC,06/30/2010,49.5,50.1,49.5,50.0,11700,53.30,46.50,49.9,0.10,0.20,0,200,0
HTC,06/29/2010,49.9,50.0,49.8,49.9,16000,53.50,46.50,50.0,-0.10,-0.20,0,0,0
HTC,06/28/2010,50.0,51.0,49.8,50.0,8900,53.50,46.50,50.0,0.00,0.00,0,0,0
HTC,06/25/2010,48.2,51.6,48.2,50.0,8600,55.20,48.00,51.6,-1.60,-3.10,0,0,0
HTC,06/24/2010,53.5,53.5,50.6,51.6,30100,57.30,49.90,53.6,-2.00,-3.73,0,0,0
HTC,06/23/2010,54.5,54.5,53.5,53.6,40100,61.50,53.50,57.5,-3.90,-6.78,0,0,0
HTC,06/22/2010,57.9,57.9,55.0,57.5,52800,57.90,50.50,54.2,3.30,6.09,0,0,0
HTC,06/21/2010,52.0,54.4,52.0,54.2,49100,54.40,47.40,50.9,3.30,6.48,0,0,0
HTC,06/18/2010,50.0,52.0,50.0,50.9,89000,53.30,46.50,49.9,1.00,2.00,0,0,0
HTC,06/17/2010,49.9,50.0,49.8,49.9,22400,53.20,46.40,49.8,0.10,0.20,0,0,0
HTC,06/16/2010,49.0,50.3,49.0,49.8,69100,53.20,46.40,49.8,0.00,0.00,0,0,0
HTC,06/15/2010,49.8,49.8,49.8,49.8,200,53.20,46.40,49.8,0.00,0.00,0,0,0
HTC,06/14/2010,49.5,49.9,49.5,49.8,6000,52.50,45.70,49.1,0.70,1.43,0,0,0
HTC,06/11/2010,51.4,51.6,48.0,49.1,57700,51.60,45.00,48.3,0.80,1.66,0,0,0
HTC,06/10/2010,48.0,48.5,48.0,48.3,30800,51.60,45.00,48.3,0.00,0.00,0,0,0
HTC,06/09/2010,48.0,49.2,48.0,48.3,8400,52.90,46.10,49.5,-1.20,-2.42,0,0,0
HTC,06/08/2010,0.0,0.0,0.0,49.5,0,52.90,46.10,49.5,0.00,0.00,0,0,0
HTC,06/07/2010,48.0,50.0,48.0,49.5,8000,51.10,44.50,47.8,1.70,3.56,0,0,0
HTC,06/04/2010,47.8,48.8,47.5,47.8,10600,51.30,44.70,48.0,-0.20,-0.42,0,0,0
HTC,06/03/2010,48.2,48.5,48.0,48.0,6200,51.50,44.90,48.2,-0.20,-0.41,0,0,0
HTC,06/02/2010,48.0,48.5,48.0,48.2,12200,51.30,44.70,48.0,0.20,0.42,0,0,0
HTC,06/01/2010,48.1,48.2,48.0,48.0,5900,52.50,45.70,49.1,-1.10,-2.24,0,0,0
HTC,05/31/2010,49.5,49.5,49.0,49.1,4000,54.40,47.40,50.9,-1.80,-3.54,0,0,0
HTC,05/28/2010,51.0,52.4,48.1,50.9,16100,52.40,45.60,49.0,1.90,3.88,0,0,0
HTC,05/27/2010,48.5,49.9,48.0,49.0,17500,52.70,45.90,49.3,-0.30,-0.61,0,0,0
HTC,05/26/2010,48.0,49.7,48.0,49.3,3100,53.20,46.40,49.8,-0.50,-1.00,0,0,0
HTC,05/25/2010,49.5,49.9,49.3,49.8,18000,52.80,46.00,49.4,0.40,0.81,0,0,0
HTC,05/24/2010,49.0,49.9,49.0,49.4,32000,52.40,45.60,49.0,0.40,0.82,0,0,0
