MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HUT,08/09/2010,25.0,25.1,24.0,24.1,175100,27.60,24.00,25.8,-1.70,-6.59,0,0,0
HUT,08/06/2010,26.1,26.1,25.6,25.8,41000,27.90,24.30,26.1,-0.30,-1.15,0,0,0
HUT,08/05/2010,26.4,26.8,25.8,26.1,125100,27.70,24.10,25.9,0.20,0.77,0,0,0
HUT,08/04/2010,26.6,26.6,25.6,25.9,119900,29.30,25.50,27.4,-1.50,-5.47,0,0,0
HUT,08/03/2010,28.4,28.4,27.1,27.4,134300,30.30,26.50,28.4,-1.00,-3.52,0,0,0
HUT,08/02/2010,29.4,29.4,27.9,28.4,56600,30.80,26.80,28.8,-0.40,-1.39,0,0,0
HUT,07/30/2010,28.0,29.0,28.0,28.8,134600,30.10,26.30,28.2,0.60,2.13,0,0,0
HUT,07/29/2010,27.8,28.7,27.8,28.2,256400,30.20,26.40,28.3,-0.10,-0.35,0,0,0
HUT,07/28/2010,30.3,30.3,28.0,28.3,121000,31.40,27.40,29.4,-1.10,-3.74,200600,0,0
HUT,07/27/2010,30.5,30.5,29.0,29.4,70300,31.80,27.80,29.8,-0.40,-1.34,20000,0,0
HUT,07/26/2010,30.7,30.7,29.2,29.8,230200,31.80,27.80,29.8,0.00,0.00,0,0,0
HUT,07/23/2010,31.5,31.5,29.0,29.8,171700,32.80,28.60,30.7,-0.90,-2.93,30000,0,0
HUT,07/22/2010,30.7,30.8,28.9,30.7,587700,30.80,26.80,28.8,1.90,6.60,951000,0,0
HUT,07/21/2010,29.4,29.4,28.3,28.8,127800,31.40,27.40,29.4,-0.60,-2.04,580000,0,0
HUT,07/20/2010,30.0,30.0,29.2,29.4,94800,31.80,27.80,29.8,-0.40,-1.34,10000,0,0
HUT,07/19/2010,30.5,30.5,29.3,29.8,94000,32.30,28.10,30.2,-0.40,-1.32,570000,0,0
HUT,07/16/2010,30.3,31.2,29.1,30.2,190600,31.90,27.90,29.9,0.30,1.00,50000,0,0
HUT,07/15/2010,30.6,30.7,29.6,29.9,85000,32.90,28.70,30.8,-0.90,-2.92,0,0,0
HUT,07/14/2010,32.0,32.0,30.2,30.8,88000,33.40,29.20,31.3,-0.50,-1.60,0,0,0
HUT,07/13/2010,32.0,32.0,30.8,31.3,234900,32.30,28.10,30.2,1.10,3.64,0,0,0
HUT,07/12/2010,29.0,30.4,29.0,30.2,394900,30.40,26.60,28.5,1.70,5.96,0,0,0
HUT,07/09/2010,29.5,29.5,28.0,28.5,103900,31.60,27.60,29.6,-1.10,-3.72,99000,0,0
HUT,07/08/2010,30.2,30.9,29.0,29.6,121700,31.60,27.60,29.6,0.00,0.00,0,0,0
HUT,07/07/2010,30.4,30.4,28.8,29.6,79300,31.50,27.50,29.5,0.10,0.34,0,0,0
HUT,07/06/2010,30.0,30.4,29.3,29.5,69500,32.60,28.40,30.5,-1.00,-3.28,15000,0,0
HUT,07/05/2010,30.8,30.8,30.0,30.5,62900,32.40,28.20,30.3,0.20,0.66,99000,0,0
HUT,07/02/2010,29.0,30.5,29.0,30.3,115800,31.60,27.60,29.6,0.70,2.36,0,0,0
HUT,07/01/2010,29.5,30.0,29.4,29.6,95400,32.20,28.00,30.1,-0.50,-1.66,0,0,0
HUT,06/30/2010,29.5,30.5,29.5,30.1,89800,33.70,29.30,31.5,-1.40,-4.44,15000,0,0
HUT,06/29/2010,31.5,32.1,30.9,31.5,137000,33.50,29.30,31.4,0.10,0.32,124100,0,0
HUT,06/28/2010,32.0,32.5,31.0,31.4,148400,33.00,28.80,30.9,0.50,1.62,0,0,0
HUT,06/25/2010,31.0,31.5,30.6,30.9,107600,34.10,29.70,31.9,-1.00,-3.13,100000,0,0
HUT,06/24/2010,32.5,32.6,31.6,31.9,136700,34.10,29.70,31.9,0.00,0.00,74000,0,0
HUT,06/23/2010,31.0,33.0,30.2,31.9,184700,33.50,29.30,31.4,0.50,1.59,0,0,0
HUT,06/22/2010,32.0,32.3,30.8,31.4,206600,35.20,30.60,32.9,-1.50,-4.56,0,0,0
HUT,06/21/2010,34.9,34.9,31.0,32.9,445900,34.90,30.50,32.7,0.20,0.61,0,0,0
HUT,06/18/2010,32.7,32.7,32.1,32.7,795500,32.70,28.50,30.6,2.10,6.86,0,0,0
HUT,06/17/2010,30.6,30.6,30.6,30.6,5300,30.60,26.60,28.6,2.00,6.99,88300,0,0
HUT,06/16/2010,28.6,28.6,28.6,28.6,3400,28.60,25.00,26.8,1.80,6.72,0,0,0
HUT,06/15/2010,46.0,46.0,42.9,43.6,524200,46.30,40.30,43.3,0.30,0.69,0,0,0
HUT,06/14/2010,45.0,45.0,42.6,43.3,294600,47.00,41.00,44.0,-0.70,-1.59,0,0,0
HUT,06/11/2010,44.5,44.8,43.4,44.0,191900,46.10,40.10,43.1,0.90,2.09,0,0,0
HUT,06/10/2010,43.2,43.9,42.3,43.1,225400,45.90,39.90,42.9,0.20,0.47,10000,0,0
HUT,06/09/2010,42.6,44.0,42.1,42.9,140300,45.30,39.50,42.4,0.50,1.18,0,0,0
HUT,06/08/2010,41.5,43.5,41.5,42.4,203200,44.60,38.80,41.7,0.70,1.68,0,0,0
HUT,06/07/2010,43.0,43.4,40.1,41.7,244700,46.00,40.00,43.0,-1.30,-3.02,0,0,0
HUT,06/04/2010,42.2,43.9,42.2,43.0,218000,45.50,39.70,42.6,0.40,0.94,0,0,0
HUT,06/03/2010,42.5,44.5,42.0,42.6,195600,44.60,38.80,41.7,0.90,2.16,0,0,0
HUT,06/02/2010,41.7,42.4,40.0,41.7,184900,44.60,38.80,41.7,0.00,0.00,0,0,0
HUT,06/01/2010,42.8,42.8,40.6,41.7,195200,45.70,39.90,42.8,-1.10,-2.57,0,0,0
HUT,05/31/2010,41.6,44.5,41.5,42.8,114800,46.70,40.70,43.7,-0.90,-2.06,0,0,0
HUT,05/28/2010,43.8,43.8,43.0,43.7,527400,43.80,38.20,41.0,2.70,6.59,0,0,100
HUT,05/27/2010,40.0,41.8,40.0,41.0,288300,42.80,37.20,40.0,1.00,2.50,0,0,100
HUT,05/26/2010,37.9,40.5,37.9,40.0,256400,40.50,35.30,37.9,2.10,5.54,0,0,0
HUT,05/25/2010,39.0,39.0,37.2,37.9,206200,40.40,35.20,37.8,0.10,0.26,5000,0,100
HUT,05/24/2010,37.3,38.6,35.0,37.8,132500,40.00,34.80,37.4,0.40,1.07,23000,0,0
HUT,05/21/2010,38.0,38.0,37.4,37.4,277900,43.00,37.40,40.2,-2.80,-6.97,16000,0,0
HUT,05/20/2010,39.0,43.0,39.0,40.2,319800,44.80,39.00,41.9,-1.70,-4.06,10000,0,0
HUT,05/19/2010,42.1,42.5,41.8,41.9,169400,48.00,41.80,44.9,-3.00,-6.68,0,0,0
HUT,05/18/2010,46.0,46.5,44.0,44.9,188300,49.40,43.00,46.2,-1.30,-2.81,0,0,0
HUT,05/17/2010,46.0,47.9,45.1,46.2,90900,50.80,44.20,47.5,-1.30,-2.74,5000,0,0
HUT,05/14/2010,46.5,48.0,46.5,47.5,163500,50.80,44.20,47.5,0.00,0.00,14000,0,0
HUT,05/13/2010,47.0,49.0,46.0,47.5,156600,51.80,45.20,48.5,-1.00,-2.06,0,0,0
HUT,05/12/2010,50.3,50.5,47.2,48.5,217200,53.60,46.60,50.1,-1.60,-3.19,6000,0,0
HUT,05/11/2010,51.0,51.6,48.6,50.1,519700,51.80,45.20,48.5,1.60,3.30,10000,0,0
HUT,05/10/2010,48.3,49.4,48.0,48.5,326400,52.80,46.00,49.4,-0.90,-1.82,14000,0,0
HUT,05/07/2010,51.0,52.0,47.9,49.4,292100,54.90,47.90,51.4,-2.00,-3.89,36500,0,0
HUT,05/06/2010,50.9,52.5,50.2,51.4,277600,54.00,47.00,50.5,0.90,1.78,0,0,0
HUT,05/05/2010,52.0,52.0,49.7,50.5,254500,56.10,48.90,52.5,-2.00,-3.81,15000,0,0
HUT,05/04/2010,53.5,55.0,51.4,52.5,235300,56.00,48.80,52.4,0.10,0.19,73000,0,0
HUT,04/29/2010,52.0,53.5,51.2,52.4,266200,55.50,48.30,51.9,0.50,0.96,20000,0,0
HUT,04/28/2010,52.5,54.0,50.8,51.9,300600,55.50,48.30,51.9,0.00,0.00,10000,0,5000
HUT,04/27/2010,50.1,53.0,50.1,51.9,261900,55.40,48.20,51.8,0.10,0.19,0,0,0
HUT,04/26/2010,52.5,53.5,50.9,51.8,212900,58.20,50.60,54.4,-2.60,-4.78,0,0,0
HUT,04/22/2010,58.0,58.9,52.5,54.4,369500,60.10,52.30,56.2,-1.80,-3.20,5000,0,0
HUT,04/21/2010,54.1,57.1,54.0,56.2,735800,57.10,49.70,53.4,2.80,5.24,0,0,0
HUT,04/20/2010,55.0,55.0,52.1,53.4,561800,58.50,50.90,54.7,-1.30,-2.38,0,0,0
HUT,04/19/2010,56.4,56.8,53.0,54.7,684400,60.20,52.40,56.3,-1.60,-2.84,0,0,5000
HUT,04/16/2010,55.5,58.4,55.0,56.3,735300,58.40,50.80,54.6,1.70,3.11,5000,0,0
HUT,04/15/2010,55.0,56.0,53.1,54.6,590900,58.70,51.10,54.9,-0.30,-0.55,0,0,0
HUT,04/14/2010,53.5,56.0,53.0,54.9,458100,56.40,49.20,52.8,2.10,3.98,0,0,0
HUT,04/13/2010,52.1,53.5,51.0,52.8,926700,53.50,46.50,50.0,2.80,5.60,0,0,0
HUT,04/12/2010,47.6,52.2,47.5,50.0,878400,52.20,45.40,48.8,1.20,2.46,0,0,0
HUT,04/09/2010,51.0,51.0,48.0,48.8,597100,53.30,46.50,49.9,-1.10,-2.20,0,0,0
HUT,04/08/2010,52.0,52.5,48.9,49.9,485600,53.10,46.30,49.7,0.20,0.40,0,0,0
HUT,04/07/2010,48.5,49.8,46.6,49.7,1509400,49.80,43.40,46.6,3.10,6.65,0,0,2000
HUT,04/06/2010,46.7,46.7,45.1,46.6,736600,46.70,40.70,43.7,2.90,6.64,0,0,1000
HUT,04/05/2010,42.0,44.5,42.0,43.7,644900,44.50,38.70,41.6,2.10,5.05,17200,0,0
HUT,04/02/2010,42.4,42.8,40.8,41.6,235100,44.90,39.10,42.0,-0.40,-0.95,0,2000,0
HUT,04/01/2010,42.1,43.4,41.0,42.0,602600,46.40,40.40,43.4,-1.40,-3.23,0,0,0
HUT,03/31/2010,44.3,44.5,41.8,43.4,521100,45.90,39.90,42.9,0.50,1.17,9000,1000,5000
HUT,03/30/2010,44.0,44.0,41.6,42.9,458200,45.00,39.20,42.1,0.80,1.90,0,0,0
HUT,03/29/2010,40.5,42.2,40.1,42.1,452900,42.20,36.80,39.5,2.60,6.58,15000,0,0
HUT,03/26/2010,41.9,41.9,38.0,39.5,407700,43.40,37.80,40.6,-1.10,-2.71,0,0,0
HUT,03/25/2010,42.6,42.6,39.7,40.6,407100,45.50,39.70,42.6,-2.00,-4.69,10000,0,2000
HUT,03/24/2010,42.0,44.8,42.0,42.6,526900,45.50,39.70,42.6,0.00,0.00,100000,5000,0
HUT,03/23/2010,43.0,44.6,42.1,42.6,565700,48.30,42.10,45.2,-2.60,-5.75,0,0,0
HUT,03/22/2010,43.8,45.5,42.7,45.2,866800,45.50,39.70,42.6,2.60,6.10,0,0,0
HUT,03/19/2010,40.0,43.5,40.0,42.6,487400,43.50,37.90,40.7,1.90,4.67,0,0,0
HUT,03/18/2010,42.2,42.2,39.5,40.7,514600,45.30,39.50,42.4,-1.70,-4.01,0,2000,0
HUT,03/17/2010,39.0,42.6,39.0,42.4,607100,42.60,37.20,39.9,2.50,6.27,0,0,0
HUT,03/16/2010,38.0,40.2,36.3,39.9,957200,40.20,35.00,37.6,2.30,6.12,0,0,0
HUT,03/15/2010,37.5,37.6,36.8,37.6,773700,37.60,32.80,35.2,2.40,6.82,0,0,0
HUT,03/12/2010,34.0,35.5,33.6,35.2,384500,35.50,30.90,33.2,2.00,6.02,0,0,0
HUT,03/11/2010,32.0,33.8,32.0,33.2,214100,34.10,29.70,31.9,1.30,4.08,0,0,0
HUT,03/10/2010,32.3,32.9,31.6,31.9,264500,36.20,31.60,33.9,-2.00,-5.90,47000,0,0
HUT,03/09/2010,36.1,36.2,32.0,33.9,170500,36.20,31.60,33.9,0.00,0.00,0,0,0
HUT,03/08/2010,33.5,33.9,33.5,33.9,193500,33.90,29.50,31.7,2.20,6.94,0,0,0
HUT,03/05/2010,32.0,32.2,31.0,31.9,74000,34.30,29.90,32.1,-0.20,-0.62,0,0,0
HUT,03/04/2010,32.9,32.9,31.7,32.1,79100,33.90,29.50,31.7,0.40,1.26,0,0,0
HUT,03/03/2010,32.3,32.5,30.8,31.7,72400,32.80,28.60,30.7,1.00,3.26,0,0,0
HUT,03/02/2010,30.4,31.5,29.5,30.7,102100,31.50,27.50,29.5,1.20,4.07,0,0,0
HUT,03/01/2010,29.4,30.0,29.0,29.5,71500,31.00,27.00,29.0,0.50,1.72,26500,0,0
HUT,02/26/2010,28.8,29.5,28.7,29.0,21000,31.20,27.20,29.2,-0.20,-0.68,67800,0,0
HUT,02/25/2010,29.3,29.7,29.0,29.2,15800,31.20,27.20,29.2,0.00,0.00,0,0,0
HUT,02/24/2010,29.9,29.9,28.6,29.2,21500,30.90,26.90,28.9,0.30,1.04,0,0,0
HUT,02/23/2010,28.7,30.6,28.6,28.9,28800,32.70,28.50,30.6,-1.70,-5.56,16000,0,0
HUT,02/22/2010,30.7,30.9,30.2,30.6,14300,32.80,28.60,30.7,-0.10,-0.33,0,0,0
HUT,02/12/2010,30.5,31.0,30.5,30.7,9100,31.80,27.80,29.8,0.90,3.02,6000,0,0
HUT,02/11/2010,29.0,30.3,29.0,29.8,13300,31.30,27.30,29.3,0.50,1.71,0,0,0
HUT,02/10/2010,29.5,29.8,29.0,29.3,10500,30.40,26.60,28.5,0.80,2.81,0,0,0
HUT,02/09/2010,29.0,29.0,28.2,28.5,38900,30.90,26.90,28.9,-0.40,-1.38,0,0,1000
HUT,02/08/2010,28.6,29.1,28.6,28.9,38100,31.90,27.90,29.9,-1.00,-3.34,0,0,0
HUT,02/05/2010,30.5,30.9,28.8,29.9,34400,32.90,28.70,30.8,-0.90,-2.92,0,0,800
HUT,02/04/2010,30.0,31.2,30.0,30.8,37800,32.20,28.00,30.1,0.70,2.33,0,0,0
HUT,02/03/2010,29.7,30.6,29.7,30.1,24100,32.60,28.40,30.5,-0.40,-1.31,0,0,100
HUT,02/02/2010,30.5,31.2,29.1,30.5,26400,32.60,28.40,30.5,0.00,0.00,0,0,100
HUT,02/01/2010,30.0,31.0,30.0,30.5,37000,32.10,27.90,30.0,0.50,1.67,0,1000,100
HUT,01/29/2010,30.0,30.5,29.0,30.0,59800,33.00,28.80,30.9,-0.90,-2.91,0,0,0
HUT,01/28/2010,31.1,32.0,30.6,30.9,155000,35.00,30.60,32.8,-1.90,-5.79,0,10000,0
HUT,01/27/2010,34.7,34.7,31.6,32.8,142300,34.70,30.30,32.5,0.30,0.92,0,0,0
HUT,01/26/2010,32.5,32.5,32.5,32.5,125200,32.50,28.30,30.4,2.10,6.91,0,0,0
HUT,01/25/2010,29.2,31.2,28.2,30.4,57800,31.20,27.20,29.2,1.20,4.11,0,0,100
HUT,01/22/2010,28.7,30.4,28.7,29.2,223100,32.90,28.70,30.8,-1.60,-5.19,0,0,0
HUT,01/21/2010,31.0,31.2,30.6,30.8,52700,35.00,30.60,32.8,-2.00,-6.10,0,0,0
HUT,01/20/2010,36.0,36.0,32.4,32.8,89200,37.20,32.40,34.8,-2.00,-5.75,0,0,0
HUT,01/19/2010,35.0,36.0,33.3,34.8,111800,37.70,32.90,35.3,-0.50,-1.42,0,0,0
HUT,01/18/2010,35.6,35.6,33.4,35.3,548900,35.60,31.00,33.3,2.00,6.01,0,900,0
HUT,01/15/2010,33.3,33.3,33.3,33.3,85600,33.30,29.10,31.2,2.10,6.73,5500,0,0
HUT,01/14/2010,31.2,31.2,31.2,31.2,10300,31.20,27.20,29.2,2.00,6.85,14000,0,0
HUT,01/13/2010,28.0,30.0,28.0,29.2,149600,30.00,26.20,28.1,1.10,3.91,0,0,0
