MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
IJC,08/09/2010,23.7,23.7,22.6,22.6,129840,24.80,22.60,23.7,-1.10,-4.64,0,0,0
IJC,08/06/2010,24.6,24.6,23.7,23.7,199750,25.40,23.00,24.2,-0.50,-2.07,0,0,0
IJC,08/05/2010,24.9,24.9,24.2,24.2,52380,25.80,23.40,24.6,-0.40,-1.63,0,0,0
IJC,08/04/2010,25.0,25.0,24.5,24.6,51750,26.40,24.00,25.2,-0.60,-2.38,0,0,0
IJC,08/03/2010,26.5,26.5,24.8,25.2,249700,27.40,24.80,26.1,-0.90,-3.45,0,100,0
IJC,08/02/2010,26.7,26.7,26.1,26.1,35220,27.40,24.80,26.1,0.00,0.00,0,0,0
IJC,07/30/2010,26.2,27.2,26.1,26.1,108440,28.00,25.40,26.7,-0.60,-2.25,0,0,0
IJC,07/29/2010,26.2,26.7,25.7,26.7,30890,27.50,24.90,26.2,0.50,1.91,0,0,0
IJC,07/28/2010,27.0,27.0,26.2,26.2,35520,28.30,25.70,27.0,-0.80,-2.96,0,0,0
IJC,07/27/2010,27.1,27.4,27.0,27.0,52660,28.40,25.80,27.1,-0.10,-0.37,0,0,0
IJC,07/26/2010,27.5,27.5,27.0,27.1,96320,28.40,25.80,27.1,0.00,0.00,0,0,0
IJC,07/23/2010,27.9,27.9,27.1,27.1,82600,28.80,26.20,27.5,-0.40,-1.45,0,2500,0
IJC,07/22/2010,27.9,27.9,27.5,27.5,45420,28.90,26.30,27.6,-0.10,-0.36,0,0,0
IJC,07/21/2010,27.8,27.8,27.6,27.6,51180,29.10,26.50,27.8,-0.20,-0.72,0,0,0
IJC,07/20/2010,27.8,28.0,27.7,27.8,75040,29.10,26.50,27.8,0.00,0.00,0,0,0
IJC,07/19/2010,27.5,27.9,27.5,27.8,89520,29.20,26.60,27.9,-0.10,-0.36,0,0,0
IJC,07/16/2010,27.9,28.1,27.9,27.9,32520,29.50,26.70,28.1,-0.20,-0.71,0,0,0
