MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
KHA,08/09/2010,0.0,23.8,22.9,23.0,134660,24.50,22.30,23.4,-0.40,-1.71,0,0,0
KHA,08/06/2010,23.3,24.0,23.3,23.4,58870,24.40,22.20,23.3,0.10,0.43,0,0,0
KHA,08/05/2010,0.0,24.1,23.3,23.3,96260,24.90,22.70,23.8,-0.50,-2.10,0,20000,0
KHA,08/04/2010,23.9,24.1,23.5,23.8,53970,25.20,22.80,24.0,-0.20,-0.83,0,0,0
KHA,08/03/2010,24.2,24.4,23.9,24.0,78890,25.20,22.80,24.0,0.00,0.00,0,10000,0
KHA,08/02/2010,0.0,24.4,24.0,24.0,80820,25.60,23.20,24.4,-0.40,-1.64,0,12000,0
KHA,07/30/2010,24.4,24.7,24.2,24.4,92130,25.60,23.20,24.4,0.00,0.00,0,41000,0
KHA,07/29/2010,24.0,24.4,23.9,24.4,120940,25.20,22.80,24.0,0.40,1.67,0,22580,0
KHA,07/28/2010,24.1,24.2,23.9,24.0,222290,25.30,22.90,24.1,-0.10,-0.41,0,70600,0
KHA,07/27/2010,24.3,24.8,24.1,24.1,204360,25.50,23.10,24.3,-0.20,-0.82,0,0,0
KHA,07/26/2010,0.0,25.0,24.3,24.3,85240,25.50,23.10,24.3,0.00,0.00,0,0,0
KHA,07/23/2010,24.2,25.0,24.2,24.3,219610,25.20,22.80,24.0,0.30,1.25,0,0,0
KHA,07/22/2010,24.8,25.0,24.0,24.0,499840,26.20,23.80,25.0,-1.00,-4.00,0,0,0
KHA,07/21/2010,25.4,25.9,24.8,25.0,295380,27.40,24.80,26.1,-1.10,-4.21,0,600,0
KHA,07/20/2010,27.1,27.2,26.0,26.1,71810,28.30,25.70,27.0,-0.90,-3.33,0,1600,0
KHA,07/19/2010,26.7,27.5,26.0,27.0,281900,28.00,25.40,26.7,0.30,1.12,0,1400,0
KHA,07/16/2010,25.7,26.7,25.5,26.7,1205920,26.70,24.30,25.5,1.20,4.71,0,600,500
KHA,07/15/2010,24.3,25.5,24.1,25.5,858660,25.50,23.10,24.3,1.20,4.94,0,0,0
KHA,07/14/2010,24.8,24.8,24.3,24.3,58610,25.90,23.50,24.7,-0.40,-1.62,105000,0,0
KHA,07/13/2010,0.0,24.8,24.5,24.7,65460,25.70,23.30,24.5,0.20,0.82,0,0,0
KHA,07/12/2010,0.0,24.8,24.3,24.5,61340,25.60,23.20,24.4,0.10,0.41,0,0,0
KHA,07/09/2010,24.2,24.4,24.1,24.4,23520,25.40,23.00,24.2,0.20,0.83,0,0,0
KHA,07/08/2010,24.2,25.0,24.1,24.2,186870,25.40,23.00,24.2,0.00,0.00,100000,0,0
KHA,07/07/2010,0.0,24.6,24.2,24.2,18130,25.50,23.10,24.3,-0.10,-0.41,0,0,0
KHA,07/06/2010,24.6,24.6,24.3,24.3,39150,25.80,23.40,24.6,-0.30,-1.22,0,0,0
KHA,07/05/2010,24.6,24.8,24.6,24.6,32530,25.80,23.40,24.6,0.00,0.00,0,0,0
KHA,07/02/2010,24.6,24.6,24.5,24.6,26120,25.80,23.40,24.6,0.00,0.00,0,0,0
KHA,07/01/2010,24.1,24.6,24.1,24.6,115920,25.70,23.30,24.5,0.10,0.41,0,0,0
KHA,06/30/2010,25.0,25.0,24.4,24.5,136780,26.20,23.80,25.0,-0.50,-2.00,0,0,0
KHA,06/29/2010,25.0,25.1,24.6,25.0,332510,25.80,23.40,24.6,0.40,1.63,0,0,0
KHA,06/28/2010,24.8,24.8,24.4,24.6,11320,25.90,23.50,24.7,-0.10,-0.40,0,0,2000
KHA,06/25/2010,24.9,25.0,24.7,24.7,61590,26.40,24.00,25.2,-0.50,-1.98,0,0,0
KHA,06/24/2010,24.9,25.2,24.8,25.2,159150,25.80,23.40,24.6,0.60,2.44,0,0,0
KHA,06/23/2010,24.5,24.7,24.4,24.6,32220,25.80,23.40,24.6,0.00,0.00,0,0,0
KHA,06/22/2010,24.9,25.0,24.6,24.6,122980,26.00,23.60,24.8,-0.20,-0.81,0,0,0
KHA,06/21/2010,24.8,25.0,24.5,24.8,45040,26.00,23.60,24.8,0.00,0.00,0,0,0
KHA,06/18/2010,24.7,24.9,24.6,24.8,53730,26.00,23.60,24.8,0.00,0.00,0,0,0
KHA,06/17/2010,24.9,25.0,24.6,24.8,111610,26.10,23.70,24.9,-0.10,-0.40,0,0,0
KHA,06/16/2010,24.9,25.1,24.8,24.9,191020,26.10,23.70,24.9,0.00,0.00,0,0,0
KHA,06/15/2010,24.9,24.9,24.8,24.9,116930,26.00,23.60,24.8,0.10,0.40,0,0,0
KHA,06/14/2010,25.2,25.3,24.6,24.8,143230,26.40,24.00,25.2,-0.40,-1.59,0,0,0
KHA,06/11/2010,24.9,25.3,24.8,25.2,121940,26.00,23.60,24.8,0.40,1.61,0,0,0
KHA,06/10/2010,24.8,25.0,23.7,24.8,118950,25.40,23.00,24.2,0.60,2.48,0,0,0
