MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
KSB,08/09/2010,0.0,65.0,62.5,65.0,36130,68.50,62.50,65.5,-0.50,-0.76,0,0,0
KSB,08/06/2010,0.0,65.5,65.5,65.5,60,68.50,62.50,65.5,0.00,0.00,0,0,0
KSB,08/05/2010,63.0,65.5,63.0,65.5,5980,69.00,63.00,66.0,-0.50,-0.76,0,0,0
KSB,08/04/2010,65.5,66.0,62.5,66.0,14400,68.50,62.50,65.5,0.50,0.76,0,0,0
KSB,08/03/2010,0.0,65.5,63.0,65.5,2960,67.50,61.50,64.5,1.00,1.55,0,0,400
KSB,08/02/2010,0.0,67.5,64.5,64.5,720,70.50,64.50,67.5,-3.00,-4.44,0,0,0
KSB,07/30/2010,64.0,67.5,64.0,67.5,114930,67.50,61.50,64.5,3.00,4.65,0,0,0
KSB,07/29/2010,0.0,64.5,64.5,64.5,15000,67.50,61.50,64.5,0.00,0.00,0,0,0
KSB,07/28/2010,0.0,64.5,64.5,64.5,10,65.00,59.00,62.0,2.50,4.03,0,0,0
KSB,07/27/2010,61.0,64.5,61.0,62.0,2620,67.00,61.00,64.0,-2.00,-3.13,0,0,0
KSB,07/26/2010,0.0,64.0,63.5,64.0,1600,66.50,60.50,63.5,0.50,0.79,0,0,0
KSB,07/23/2010,63.5,64.0,63.5,63.5,17500,66.50,60.50,63.5,0.00,0.00,0,0,0
KSB,07/22/2010,63.5,63.5,63.0,63.5,59380,66.50,60.50,63.5,0.00,0.00,0,0,0
KSB,07/21/2010,0.0,64.0,63.0,63.5,13510,66.50,60.50,63.5,0.00,0.00,0,0,0
KSB,07/20/2010,65.0,65.0,63.5,63.5,30990,67.00,61.00,64.0,-0.50,-0.78,0,0,0
KSB,07/19/2010,63.5,64.0,63.5,64.0,27740,66.50,60.50,63.5,0.50,0.79,0,0,0
KSB,07/16/2010,0.0,64.0,63.0,63.5,65950,66.50,60.50,63.5,0.00,0.00,0,0,0
KSB,07/15/2010,0.0,63.5,61.0,63.5,36310,63.50,57.50,60.5,3.00,4.96,0,0,0
KSB,07/14/2010,0.0,62.0,60.5,60.5,3000,65.00,59.00,62.0,-1.50,-2.42,0,0,0
KSB,07/13/2010,0.0,62.0,61.0,62.0,7430,63.50,57.50,60.5,1.50,2.48,0,0,0
KSB,07/12/2010,0.0,60.5,60.5,60.5,3000,63.50,57.50,60.5,0.00,0.00,0,0,0
KSB,07/09/2010,0.0,60.5,60.5,60.5,5000,64.00,58.00,61.0,-0.50,-0.82,0,0,490
KSB,07/08/2010,0.0,61.5,60.0,61.0,12860,63.00,57.00,60.0,1.00,1.67,0,0,1010
KSB,07/07/2010,0.0,60.0,60.0,60.0,6680,63.50,57.50,60.5,-0.50,-0.83,0,0,0
KSB,07/06/2010,61.5,61.5,60.5,60.5,19250,64.50,58.50,61.5,-1.00,-1.63,0,500,500
KSB,07/05/2010,0.0,61.5,61.0,61.5,10140,64.00,58.00,61.0,0.50,0.82,0,0,0
