MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
LAF,08/09/2010,20.3,20.6,19.6,20.3,76520,21.60,19.60,20.6,-0.30,-1.46,0,0,0
LAF,08/06/2010,21.0,21.0,20.6,20.6,81120,22.10,20.10,21.1,-0.50,-2.37,0,0,0
LAF,08/05/2010,21.8,21.8,21.0,21.1,56150,22.30,20.30,21.3,-0.20,-0.94,0,0,0
LAF,08/04/2010,21.2,21.4,20.9,21.3,43950,22.40,20.40,21.4,-0.10,-0.47,0,0,0
LAF,08/03/2010,22.0,22.0,21.3,21.4,64820,23.10,20.90,22.0,-0.60,-2.73,0,0,0
LAF,08/02/2010,0.0,22.0,21.2,22.0,22250,22.80,20.80,21.8,0.20,0.92,0,0,0
LAF,07/30/2010,21.0,21.8,21.0,21.8,111750,21.90,19.90,20.9,0.90,4.31,0,3000,0
LAF,07/29/2010,20.8,21.5,20.8,20.9,92680,22.20,20.20,21.2,-0.30,-1.42,0,0,3000
LAF,07/28/2010,22.3,22.3,21.2,21.2,167350,23.40,21.20,22.3,-1.10,-4.93,0,0,100
LAF,07/27/2010,22.3,22.5,21.8,22.3,109220,23.80,21.60,22.7,-0.40,-1.76,0,0,0
LAF,07/26/2010,22.8,22.9,22.5,22.7,145500,23.80,21.60,22.7,0.00,0.00,0,0,0
LAF,07/23/2010,23.2,23.2,22.5,22.7,196820,24.20,22.00,23.1,-0.40,-1.73,0,0,0
LAF,07/22/2010,22.7,23.3,22.4,23.1,368870,23.70,21.50,22.6,0.50,2.21,0,0,0
LAF,07/21/2010,21.6,22.6,21.6,22.6,408770,22.60,20.60,21.6,1.00,4.63,0,0,30
LAF,07/20/2010,22.2,22.2,21.6,21.6,110510,23.10,20.90,22.0,-0.40,-1.82,0,0,0
LAF,07/19/2010,21.4,22.0,21.4,22.0,124930,22.60,20.60,21.6,0.40,1.85,0,0,0
LAF,07/16/2010,21.2,21.6,21.1,21.6,41780,22.50,20.50,21.5,0.10,0.47,0,0,0
LAF,07/15/2010,21.8,21.8,21.5,21.5,96650,22.70,20.70,21.7,-0.20,-0.92,0,0,0
LAF,07/14/2010,22.2,22.2,21.6,21.7,43330,22.90,20.90,21.9,-0.20,-0.91,0,0,100
LAF,07/13/2010,21.8,22.0,21.6,21.9,84490,22.30,20.30,21.3,0.60,2.82,0,5000,100
LAF,07/12/2010,21.2,21.3,21.0,21.3,64460,21.90,19.90,20.9,0.40,1.91,0,0,100
LAF,07/09/2010,21.0,21.3,20.9,20.9,36260,21.90,19.90,20.9,0.00,0.00,0,0,100
LAF,07/08/2010,20.7,21.3,20.7,20.9,117020,21.70,19.70,20.7,0.20,0.97,0,0,100
LAF,07/07/2010,21.5,21.5,20.7,20.7,106390,22.00,20.00,21.0,-0.30,-1.43,0,0,4100
LAF,07/06/2010,21.4,21.4,20.7,21.0,99740,22.40,20.40,21.4,-0.40,-1.87,0,0,0
LAF,07/05/2010,22.0,22.0,21.2,21.4,37930,22.40,20.40,21.4,0.00,0.00,0,0,0
LAF,07/02/2010,21.0,21.5,21.0,21.4,89750,22.00,20.00,21.0,0.40,1.90,0,0,100
LAF,07/01/2010,21.3,21.6,21.0,21.0,159350,22.30,20.30,21.3,-0.30,-1.41,0,0,2200
