MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
LBM,08/09/2010,15.5,15.5,14.7,14.8,164340,16.10,14.70,15.4,-0.60,-3.90,0,0,0
LBM,08/06/2010,15.6,15.8,15.4,15.4,160620,16.40,15.00,15.7,-0.30,-1.91,0,0,0
LBM,08/05/2010,15.9,16.0,15.7,15.7,100370,16.60,15.20,15.9,-0.20,-1.26,0,0,0
LBM,08/04/2010,16.1,16.2,15.7,15.9,131940,17.00,15.40,16.2,-0.30,-1.85,0,0,0
LBM,08/03/2010,16.4,16.6,16.2,16.2,137700,17.20,15.60,16.4,-0.20,-1.22,0,0,0
LBM,08/02/2010,17.1,17.1,16.4,16.4,81570,17.50,15.90,16.7,-0.30,-1.80,0,0,0
LBM,07/30/2010,16.6,16.8,16.5,16.7,101230,17.20,15.60,16.4,0.30,1.83,0,0,0
LBM,07/29/2010,16.1,16.5,16.1,16.4,84300,16.90,15.30,16.1,0.30,1.86,0,0,0
LBM,07/28/2010,16.4,16.5,16.0,16.1,149950,17.20,15.60,16.4,-0.30,-1.83,0,0,0
LBM,07/27/2010,17.0,17.0,16.3,16.4,149250,17.60,16.00,16.8,-0.40,-2.38,0,0,0
LBM,07/26/2010,16.8,17.3,16.8,16.8,142630,17.50,15.90,16.7,0.10,0.60,0,0,0
LBM,07/23/2010,17.0,17.0,16.7,16.7,114370,17.80,16.20,17.0,-0.30,-1.76,0,0,0
LBM,07/22/2010,17.5,17.6,17.0,17.0,259840,18.60,17.00,17.8,-0.80,-4.49,0,0,0
LBM,07/21/2010,17.3,17.8,17.0,17.8,939050,17.80,16.20,17.0,0.80,4.71,0,0,5000
LBM,07/20/2010,16.8,17.0,16.7,17.0,247810,17.40,15.80,16.6,0.40,2.41,0,0,8000
LBM,07/19/2010,16.6,16.8,16.5,16.6,122210,17.30,15.70,16.5,0.10,0.61,0,0,3040
LBM,07/16/2010,16.5,17.0,16.4,16.5,216640,17.30,15.70,16.5,0.00,0.00,0,0,2960
LBM,07/15/2010,16.4,16.6,16.4,16.5,107510,17.30,15.70,16.5,0.00,0.00,0,0,0
LBM,07/14/2010,17.1,17.1,16.5,16.5,89600,17.70,16.10,16.9,-0.40,-2.37,0,0,0
LBM,07/13/2010,16.6,16.9,16.6,16.9,98740,17.00,15.40,16.2,0.70,4.32,0,0,0
LBM,07/12/2010,16.3,16.5,16.1,16.2,89640,17.10,15.50,16.3,-0.10,-0.61,0,0,0
LBM,07/09/2010,16.4,16.5,16.2,16.3,123090,16.90,15.30,16.1,0.20,1.24,0,0,3000
LBM,07/08/2010,16.4,16.5,16.0,16.1,133580,17.00,15.40,16.2,-0.10,-0.62,0,0,4000
LBM,07/07/2010,16.3,16.5,16.0,16.2,149160,16.80,15.20,16.0,0.20,1.25,0,0,1600
LBM,07/06/2010,16.6,16.6,16.0,16.0,140760,17.40,15.80,16.6,-0.60,-3.61,0,0,0
LBM,07/05/2010,16.9,16.9,16.4,16.6,64430,17.30,15.70,16.5,0.10,0.61,0,0,0
LBM,07/02/2010,16.7,16.7,16.3,16.5,141680,17.20,15.60,16.4,0.10,0.61,0,0,0
LBM,07/01/2010,16.5,16.5,16.2,16.4,102670,17.10,15.50,16.3,0.10,0.61,0,0,0
LBM,06/30/2010,16.1,16.6,16.1,16.3,171550,17.50,15.90,16.7,-0.40,-2.40,25000,4000,2770
LBM,06/29/2010,16.8,17.0,16.7,16.7,152840,17.50,15.90,16.7,0.00,0.00,0,2000,0
LBM,06/28/2010,17.0,17.0,16.7,16.7,92640,17.60,16.00,16.8,-0.10,-0.60,0,0,0
LBM,06/25/2010,16.8,17.2,16.8,16.8,213310,18.00,16.40,17.2,-0.40,-2.33,0,4000,0
LBM,06/24/2010,17.6,17.6,17.0,17.2,104540,18.30,16.70,17.5,-0.30,-1.71,25000,600,0
LBM,06/23/2010,17.0,17.6,16.7,17.5,375850,17.60,16.00,16.8,0.70,4.17,0,12000,0
LBM,06/22/2010,17.4,17.4,16.8,16.8,149470,18.20,16.60,17.4,-0.60,-3.45,0,0,0
LBM,06/21/2010,17.4,17.6,17.3,17.4,299920,17.90,16.30,17.1,0.30,1.75,0,0,3000
LBM,06/18/2010,17.0,17.1,16.6,17.1,352590,17.90,16.30,17.1,0.00,0.00,0,0,0
LBM,06/17/2010,17.5,17.5,17.1,17.1,106840,18.30,16.70,17.5,-0.40,-2.29,0,0,100
LBM,06/16/2010,17.9,18.0,17.5,17.5,216690,18.50,16.90,17.7,-0.20,-1.13,0,0,10000
LBM,06/15/2010,17.3,17.9,17.0,17.7,443180,18.00,16.40,17.2,0.50,2.91,0,3000,23000
LBM,06/14/2010,16.4,17.2,16.4,17.2,753270,17.20,15.60,16.4,0.80,4.88,0,0,13500
LBM,06/11/2010,16.1,16.5,16.1,16.4,108800,16.90,15.30,16.1,0.30,1.86,0,0,0
LBM,06/10/2010,16.0,16.2,15.6,16.1,54310,16.80,15.20,16.0,0.10,0.63,0,0,0
LBM,06/09/2010,16.3,16.3,15.8,16.0,68780,17.00,15.40,16.2,-0.20,-1.23,0,0,2000
LBM,06/08/2010,15.8,16.2,15.8,16.2,94600,16.90,15.30,16.1,0.10,0.62,0,0,0
LBM,06/07/2010,16.1,16.4,16.1,16.1,152660,17.70,16.10,16.9,-0.80,-4.73,0,1000,0
LBM,06/04/2010,17.1,17.2,16.8,16.9,109260,17.90,16.30,17.1,-0.20,-1.17,0,6000,0
LBM,06/03/2010,16.7,17.1,16.3,17.1,365900,17.10,15.50,16.3,0.80,4.91,0,25500,0
LBM,06/02/2010,16.1,16.5,16.1,16.3,109970,17.30,15.70,16.5,-0.20,-1.21,0,0,0
LBM,06/01/2010,16.0,16.5,16.0,16.5,108760,17.20,15.60,16.4,0.10,0.61,0,0,0
