MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
LSS,08/09/2010,33.9,34.0,33.0,33.0,115830,35.80,32.40,34.1,-1.10,-3.23,0,0,0
LSS,08/06/2010,0.0,35.2,34.1,34.1,102050,36.30,32.90,34.6,-0.50,-1.45,0,0,0
LSS,08/05/2010,34.7,35.1,34.6,34.6,61510,36.40,33.00,34.7,-0.10,-0.29,350000,0,0
LSS,08/04/2010,35.0,35.1,34.3,34.7,156170,37.10,33.70,35.4,-0.70,-1.98,0,0,0
LSS,08/03/2010,36.0,36.0,35.4,35.4,77280,37.50,34.10,35.8,-0.40,-1.12,0,0,0
LSS,08/02/2010,36.4,36.4,35.8,35.8,82570,37.90,34.30,36.1,-0.30,-0.83,0,0,0
LSS,07/30/2010,36.1,36.4,36.0,36.1,140820,37.90,34.30,36.1,0.00,0.00,0,300,0
LSS,07/29/2010,36.3,36.3,35.8,36.1,134960,37.60,34.20,35.9,0.20,0.56,0,0,500
LSS,07/28/2010,35.9,36.4,35.8,35.9,320360,37.10,33.70,35.4,0.50,1.41,0,5000,0
LSS,07/27/2010,35.5,35.7,35.2,35.4,97300,37.00,33.60,35.3,0.10,0.28,0,0,0
LSS,07/26/2010,35.2,35.7,35.2,35.3,91400,36.90,33.50,35.2,0.10,0.28,0,5180,0
LSS,07/23/2010,35.5,35.7,34.8,35.2,99300,36.70,33.30,35.0,0.20,0.57,0,7000,0
LSS,07/22/2010,36.0,36.3,35.0,35.0,145770,37.80,34.20,36.0,-1.00,-2.78,0,0,2180
LSS,07/21/2010,35.1,36.8,35.1,36.0,415310,36.80,33.40,35.1,0.90,2.56,0,0,0
LSS,07/20/2010,36.3,36.3,35.1,35.1,161830,37.40,34.00,35.7,-0.60,-1.68,0,100,500
LSS,07/19/2010,35.2,35.7,35.0,35.7,444140,35.70,32.30,34.0,1.70,5.00,0,5000,50
LSS,07/16/2010,34.0,34.1,33.8,34.0,89460,35.50,32.30,33.9,0.10,0.29,0,0,300
LSS,07/15/2010,34.9,34.9,33.9,33.9,53500,35.80,32.40,34.1,-0.20,-0.59,0,0,0
LSS,07/14/2010,34.8,34.9,34.1,34.1,168130,36.50,33.10,34.8,-0.70,-2.01,0,6000,0
LSS,07/13/2010,35.0,35.0,34.2,34.8,107080,36.50,33.10,34.8,0.00,0.00,0,0,0
LSS,07/12/2010,34.1,34.8,34.1,34.8,21060,36.60,33.20,34.9,-0.10,-0.29,0,0,0
LSS,07/09/2010,35.1,35.5,34.8,34.9,24650,36.80,33.40,35.1,-0.20,-0.57,0,0,0
LSS,07/08/2010,36.0,36.0,35.0,35.1,238000,36.50,33.10,34.8,0.30,0.86,0,1000,0
LSS,07/07/2010,34.2,34.8,34.2,34.8,385450,34.80,31.60,33.2,1.60,4.82,1000000,0,0
LSS,07/06/2010,33.5,34.0,33.2,33.2,77490,35.50,32.30,33.9,-0.70,-2.06,0,0,0
LSS,07/05/2010,33.7,34.5,33.7,33.9,32010,35.30,32.10,33.7,0.20,0.59,24530,0,0
LSS,07/02/2010,0.0,34.7,33.7,33.7,23990,35.70,32.30,34.0,-0.30,-0.88,22000,0,0
LSS,07/01/2010,34.3,34.5,33.5,34.0,178420,36.00,32.60,34.3,-0.30,-0.87,0,45850,0
LSS,06/30/2010,34.0,34.5,33.9,34.3,98990,36.30,32.90,34.6,-0.30,-0.87,0,68940,200
LSS,06/29/2010,34.0,34.9,34.0,34.6,106910,35.70,32.30,34.0,0.60,1.76,22000,64040,0
LSS,06/28/2010,35.0,35.0,34.0,34.0,113120,36.70,33.30,35.0,-1.00,-2.86,0,350,80000
LSS,06/25/2010,34.9,35.1,34.8,35.0,131460,36.80,33.40,35.1,-0.10,-0.28,0,61160,0
LSS,06/24/2010,35.9,35.9,35.1,35.1,48850,36.90,33.50,35.2,-0.10,-0.28,22000,0,0
LSS,06/23/2010,35.1,35.7,35.1,35.2,78630,37.20,33.80,35.5,-0.30,-0.85,0,0,0
LSS,06/22/2010,36.0,36.2,35.5,35.5,136050,38.00,34.40,36.2,-0.70,-1.93,0,80000,0
LSS,06/21/2010,35.6,36.5,35.6,36.2,190530,36.90,33.50,35.2,1.00,2.84,22000,0,400
LSS,06/18/2010,34.9,35.5,34.9,35.2,126040,36.60,33.20,34.9,0.30,0.86,22000,8530,0
LSS,06/17/2010,35.8,35.8,34.9,34.9,292570,37.50,34.10,35.8,-0.90,-2.51,0,101700,0
LSS,06/16/2010,35.9,36.0,35.6,35.8,135340,37.40,34.00,35.7,0.10,0.28,22000,50000,0
LSS,06/15/2010,35.8,35.9,35.5,35.7,146000,37.50,34.10,35.8,-0.10,-0.28,0,50000,0
LSS,06/14/2010,35.7,36.5,35.7,35.8,99630,37.40,34.00,35.7,0.10,0.28,0,30000,0
LSS,06/11/2010,35.8,36.7,35.3,35.7,220420,36.90,33.50,35.2,0.50,1.42,0,0,0
LSS,06/10/2010,35.0,35.2,34.7,35.2,157250,36.80,33.40,35.1,0.10,0.28,0,46900,0
LSS,06/09/2010,35.0,35.5,34.9,35.1,259690,36.60,33.20,34.9,0.20,0.57,0,95000,0
LSS,06/08/2010,33.9,35.0,33.9,34.9,296520,35.50,32.30,33.9,1.00,2.95,48105,168390,0
