MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
NBB,08/09/2010,88.0,90.5,87.5,89.5,12520,95.00,86.00,90.5,-1.00,-1.10,0,0,0
NBB,08/06/2010,0.0,90.5,89.5,90.5,56600,96.00,87.00,91.5,-1.00,-1.09,30000,0,0
NBB,08/05/2010,91.5,91.5,91.0,91.5,16650,96.00,87.00,91.5,0.00,0.00,28000,0,0
NBB,08/04/2010,0.0,92.5,91.5,91.5,13710,96.00,87.00,91.5,0.00,0.00,0,0,0
NBB,08/03/2010,92.0,92.0,91.0,91.5,62010,96.50,87.50,92.0,-0.50,-0.54,0,10000,0
NBB,08/02/2010,0.0,92.0,88.5,92.0,30000,96.50,87.50,92.0,0.00,0.00,0,0,0
NBB,07/30/2010,0.0,92.0,92.0,92.0,2100,96.50,87.50,92.0,0.00,0.00,48000,0,0
NBB,07/29/2010,0.0,92.0,90.0,92.0,19210,96.50,87.50,92.0,0.00,0.00,23000,0,0
NBB,07/28/2010,0.0,92.0,91.0,92.0,30110,96.50,87.50,92.0,0.00,0.00,0,0,0
NBB,07/27/2010,0.0,93.0,92.0,92.0,40910,97.00,88.00,92.5,-0.50,-0.54,0,0,0
NBB,07/26/2010,0.0,93.5,92.0,92.5,54000,96.50,87.50,92.0,0.50,0.54,0,13000,500
NBB,07/23/2010,94.0,94.0,92.0,92.0,71790,98.50,89.50,94.0,-2.00,-2.13,0,10800,1300
NBB,07/22/2010,0.0,94.5,94.0,94.0,19460,99.00,90.00,94.5,-0.50,-0.53,0,0,200
NBB,07/21/2010,94.0,94.5,94.0,94.5,32650,99.00,90.00,94.5,0.00,0.00,30000,0,2500
NBB,07/20/2010,0.0,95.5,94.5,94.5,52090,100.00,91.00,95.5,-1.00,-1.05,0,0,0
NBB,07/19/2010,0.0,96.0,94.5,95.5,66150,100.00,91.00,95.5,0.00,0.00,0,200,0
NBB,07/16/2010,95.5,96.0,95.5,95.5,50270,100.00,91.00,95.5,0.00,0.00,20000,0,0
NBB,07/15/2010,0.0,96.0,95.5,95.5,5700,100.00,91.50,96.0,-0.50,-0.52,0,0,0
NBB,07/14/2010,97.0,97.5,96.0,96.0,27390,101.00,92.50,97.0,-1.00,-1.03,0,10000,0
NBB,07/13/2010,96.0,97.0,96.0,97.0,21810,100.00,91.50,96.0,1.00,1.04,22000,10830,0
NBB,07/12/2010,96.0,96.0,95.0,96.0,41650,100.00,91.50,96.0,0.00,0.00,0,2800,0
NBB,07/09/2010,0.0,97.0,96.0,96.0,41600,100.00,91.50,96.0,0.00,0.00,24000,0,0
NBB,07/08/2010,0.0,96.0,95.0,96.0,65490,100.00,91.50,96.0,0.00,0.00,20000,3700,0
NBB,07/07/2010,0.0,96.0,94.0,96.0,135610,100.00,91.50,96.0,0.00,0.00,0,19700,0
NBB,07/06/2010,94.0,96.0,94.0,96.0,51670,100.00,91.50,96.0,0.00,0.00,0,11570,0
NBB,07/05/2010,98.0,98.0,94.0,96.0,64010,100.00,91.50,96.0,0.00,0.00,30000,0,0
NBB,07/02/2010,99.5,99.5,94.0,96.0,28430,101.00,92.50,97.0,-1.00,-1.03,20000,5000,0
NBB,07/01/2010,98.0,98.0,96.0,97.0,89020,100.00,91.50,96.0,1.00,1.04,0,25340,0
NBB,06/30/2010,100.0,100.0,96.0,96.0,161590,105.00,95.00,100.0,-4.00,-4.00,0,71000,0
NBB,06/29/2010,103.0,103.0,99.5,100.0,277400,105.00,95.00,100.0,0.00,0.00,0,0,0
NBB,06/28/2010,104.0,104.0,99.5,100.0,245310,107.00,97.00,102.0,-2.00,-1.96,160500,158520,0
NBB,06/25/2010,102.0,104.0,99.0,102.0,182260,104.00,95.00,99.5,2.50,2.51,20000,42950,5480
NBB,06/24/2010,97.5,99.5,97.0,99.5,87620,99.50,90.50,95.0,4.50,4.74,300000,38530,0
NBB,06/23/2010,92.0,95.0,90.0,95.0,288710,95.50,86.50,91.0,4.00,4.40,0,80000,0
NBB,06/22/2010,93.0,93.0,91.0,91.0,78150,96.50,87.50,92.0,-1.00,-1.09,160000,37780,0
NBB,06/21/2010,0.0,92.0,90.0,92.0,95320,95.50,86.50,91.0,1.00,1.10,40000,23450,0
NBB,06/18/2010,92.5,92.5,91.0,91.0,55490,96.50,87.50,92.0,-1.00,-1.09,160000,30400,0
NBB,06/17/2010,0.0,95.0,92.0,92.0,102860,97.00,88.00,92.5,-0.50,-0.54,20000,20000,0
NBB,06/16/2010,93.0,93.5,91.5,92.5,92750,96.50,87.50,92.0,0.50,0.54,0,36480,0
NBB,06/15/2010,93.0,93.0,92.0,92.0,84740,97.00,88.00,92.5,-0.50,-0.54,160000,5000,0
NBB,06/14/2010,93.0,93.5,92.5,92.5,120120,95.50,86.50,91.0,1.50,1.65,30000,0,0
NBB,06/11/2010,90.5,91.0,90.5,91.0,108810,94.50,85.50,90.0,1.00,1.11,160000,0,0
NBB,06/10/2010,0.0,90.0,87.0,90.0,329560,92.50,84.50,88.5,1.50,1.69,20000,0,100
NBB,06/09/2010,0.0,90.0,88.5,88.5,119020,91.00,83.00,87.0,1.50,1.72,0,0,0
NBB,06/08/2010,0.0,90.0,87.0,87.0,81410,94.50,85.50,90.0,-3.00,-3.33,0,0,0
NBB,06/07/2010,89.0,90.0,88.0,90.0,59470,94.50,85.50,90.0,0.00,0.00,0,0,0
NBB,06/04/2010,92.5,92.5,90.0,90.0,33540,97.00,88.00,92.5,-2.50,-2.70,40000,0,0
NBB,06/03/2010,0.0,93.0,90.5,92.5,17020,96.50,87.50,92.0,0.50,0.54,0,0,0
NBB,06/02/2010,0.0,92.0,89.5,92.0,22200,98.00,89.00,93.5,-1.50,-1.60,0,0,0
NBB,06/01/2010,0.0,93.5,91.0,93.5,560,97.50,88.50,93.0,0.50,0.54,40000,0,0
NBB,05/31/2010,95.0,99.0,93.0,93.0,245250,99.00,90.00,94.5,-1.50,-1.59,50000,0,0
NBB,05/28/2010,93.5,94.5,92.5,94.5,69300,94.50,85.50,90.0,4.50,5.00,20000,0,0
NBB,05/27/2010,0.0,90.0,82.0,90.0,205190,90.00,82.00,86.0,4.00,4.65,100000,0,0
NBB,05/26/2010,88.0,88.0,84.0,86.0,15770,90.00,82.00,86.0,0.00,0.00,20000,0,0
NBB,05/25/2010,87.0,87.0,85.0,86.0,83820,90.00,82.00,86.0,0.00,0.00,47140,0,0
NBB,05/24/2010,83.0,86.0,82.0,86.0,30850,87.00,79.00,83.0,3.00,3.61,25000,0,0
NBB,05/21/2010,84.0,86.0,83.0,83.0,175060,91.00,83.00,87.0,-4.00,-4.60,60170,50,0
NBB,05/20/2010,88.0,89.5,87.0,87.0,65180,93.50,85.50,89.5,-2.50,-2.79,30000,100,0
NBB,05/19/2010,0.0,90.0,88.5,89.5,62090,94.50,85.50,90.0,-0.50,-0.56,36000,240,0
NBB,05/18/2010,89.5,91.5,89.5,90.0,52410,96.50,87.50,92.0,-2.00,-2.17,90000,100,1000
NBB,05/17/2010,0.0,92.0,90.0,92.0,18310,95.50,86.50,91.0,1.00,1.10,0,100,0
NBB,05/14/2010,94.0,94.0,91.0,91.0,11120,95.00,86.00,90.5,0.50,0.55,25000,100,0
NBB,05/13/2010,89.5,94.5,89.5,90.5,174040,94.50,85.50,90.0,0.50,0.56,0,0,10000
NBB,05/12/2010,0.0,90.0,88.0,90.0,32720,94.50,85.50,90.0,0.00,0.00,161420,3000,0
NBB,05/11/2010,93.0,93.0,90.0,90.0,112520,94.50,85.50,90.0,0.00,0.00,0,0,0
NBB,05/10/2010,94.0,95.0,90.0,90.0,218290,98.50,89.50,94.0,-4.00,-4.26,0,0,0
NBB,05/07/2010,90.0,95.0,87.5,94.0,118020,96.50,87.50,92.0,2.00,2.17,30000,0,0
NBB,05/06/2010,94.0,95.0,92.0,92.0,94660,98.50,89.50,94.0,-2.00,-2.13,0,0,7000
NBB,05/05/2010,97.0,97.0,94.0,94.0,75160,100.00,91.00,95.5,-1.50,-1.57,493440,0,0
NBB,05/04/2010,93.5,95.5,93.5,95.5,214960,98.00,89.00,93.5,2.00,2.14,0,0,0
NBB,04/29/2010,95.0,95.0,93.0,93.5,41770,97.50,88.50,93.0,0.50,0.54,300000,0,0
NBB,04/28/2010,94.0,94.0,92.5,93.0,169690,97.00,88.00,92.5,0.50,0.54,20000,0,0
NBB,04/27/2010,92.5,95.0,91.5,92.5,101660,96.00,87.00,91.5,1.00,1.09,100000,0,0
NBB,04/26/2010,92.5,96.0,91.5,91.5,255210,100.00,91.50,96.0,-4.50,-4.69,0,500,7960
NBB,04/22/2010,101.0,101.0,96.0,96.0,281200,106.00,96.00,101.0,-5.00,-4.95,50000,10000,3200
NBB,04/21/2010,104.0,104.0,96.0,101.0,231890,106.00,96.00,101.0,0.00,0.00,0,3000,9800
NBB,04/20/2010,98.0,102.0,97.5,101.0,236890,106.00,96.00,101.0,0.00,0.00,0,0,200
NBB,04/19/2010,107.0,107.0,101.0,101.0,204470,108.00,98.00,103.0,-2.00,-1.94,20000,0,0
NBB,04/16/2010,100.0,105.0,100.0,103.0,157670,105.00,95.00,100.0,3.00,3.00,0,0,0
NBB,04/15/2010,97.0,101.0,97.0,100.0,171650,101.00,92.50,97.0,3.00,3.09,0,200,0
NBB,04/14/2010,92.5,97.0,92.0,97.0,161740,97.00,88.00,92.5,4.50,4.86,0,210,1000
NBB,04/13/2010,92.0,94.0,89.0,92.5,219460,97.00,88.00,92.5,0.00,0.00,0,1500,0
NBB,04/12/2010,92.5,92.5,90.0,92.5,613370,92.50,84.50,88.5,4.00,4.52,77500,0,0
NBB,04/09/2010,89.0,89.0,86.0,88.5,155040,92.00,84.00,88.0,0.50,0.57,0,1520,0
NBB,04/08/2010,87.5,88.0,87.5,88.0,193980,88.00,80.00,84.0,4.00,4.76,0,0,2000
