MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
NPS,08/09/2010,0.0,0.0,0.0,21.9,0,23.40,20.40,21.9,0.00,0.00,0,0,0
NPS,08/06/2010,0.0,0.0,0.0,21.9,0,23.40,20.40,21.9,0.00,0.00,0,0,0
NPS,08/05/2010,0.0,0.0,0.0,21.9,0,23.40,20.40,21.9,0.00,0.00,0,0,0
NPS,08/04/2010,0.0,0.0,0.0,21.9,0,23.40,20.40,21.9,0.00,0.00,0,0,0
NPS,08/03/2010,0.0,0.0,0.0,21.9,0,23.40,20.40,21.9,0.00,0.00,0,0,0
NPS,08/02/2010,21.9,21.9,21.9,21.9,100,22.40,19.60,21.0,0.90,4.29,0,0,0
NPS,07/30/2010,21.0,21.0,21.0,21.0,1100,23.90,20.90,22.4,-1.40,-6.25,0,0,0
NPS,07/29/2010,0.0,0.0,0.0,22.4,0,23.90,20.90,22.4,0.00,0.00,0,0,0
NPS,07/28/2010,22.4,22.4,22.4,22.4,100,23.00,20.00,21.5,0.90,4.19,0,0,0
NPS,07/27/2010,21.5,21.5,21.5,21.5,100,21.50,18.70,20.1,1.40,6.97,0,0,0
NPS,07/26/2010,20.1,20.1,20.1,20.1,1000,22.20,19.40,20.8,-0.70,-3.37,0,0,0
NPS,07/23/2010,19.9,21.2,19.9,20.8,600,22.70,19.90,21.3,-0.50,-2.35,0,0,0
NPS,07/22/2010,21.8,21.8,21.2,21.3,600,24.20,21.20,22.7,-1.40,-6.17,0,0,0
NPS,07/21/2010,23.3,23.3,22.4,22.7,300,23.30,20.30,21.8,0.90,4.13,0,0,0
NPS,07/20/2010,21.8,21.8,21.8,21.8,1300,21.80,19.00,20.4,1.40,6.86,0,0,0
NPS,07/19/2010,20.7,20.7,20.1,20.4,700,20.70,18.10,19.4,1.00,5.15,0,0,0
NPS,07/16/2010,19.2,20.1,19.2,19.4,1200,21.00,18.40,19.7,-0.30,-1.52,0,200,0
NPS,07/15/2010,21.0,21.0,19.1,19.7,400,21.50,18.70,20.1,-0.40,-1.99,0,0,0
NPS,07/14/2010,20.1,20.1,20.1,20.1,500,23.00,20.00,21.5,-1.40,-6.51,0,0,0
NPS,07/13/2010,21.5,21.5,21.5,21.5,100,21.50,18.70,20.1,1.40,6.97,0,0,0
NPS,07/12/2010,0.0,0.0,0.0,20.1,0,21.50,18.70,20.1,0.00,0.00,0,0,0
NPS,07/09/2010,0.0,0.0,0.0,20.1,0,21.50,18.70,20.1,0.00,0.00,0,0,0
NPS,07/08/2010,20.1,20.1,20.1,20.1,500,22.40,19.60,21.0,-0.90,-4.29,0,0,0
NPS,07/07/2010,21.0,21.0,21.0,21.0,500,23.80,20.80,22.3,-1.30,-5.83,0,0,0
NPS,07/06/2010,22.3,22.4,22.0,22.3,4700,23.40,20.40,21.9,0.40,1.83,0,0,0
