MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
NST,08/09/2010,0.0,0.0,0.0,17.6,0,18.80,16.40,17.6,0.00,0.00,0,0,0
NST,08/06/2010,17.6,17.6,17.6,17.6,100,17.60,15.40,16.5,1.10,6.67,0,0,0
NST,08/05/2010,16.7,16.7,16.5,16.5,3000,18.40,16.00,17.2,-0.70,-4.07,0,0,0
NST,08/04/2010,17.2,17.2,17.2,17.2,100,18.00,15.80,16.9,0.30,1.78,0,0,0
NST,08/03/2010,17.6,17.6,16.8,16.9,1100,17.90,15.70,16.8,0.10,0.60,0,0,0
NST,08/02/2010,18.3,18.3,16.5,16.8,4400,18.40,16.00,17.2,-0.40,-2.33,0,0,1300
NST,07/30/2010,17.8,17.8,17.0,17.2,2500,18.20,16.00,17.1,0.10,0.58,0,0,0
NST,07/29/2010,17.0,17.3,16.4,17.1,2300,18.40,16.00,17.2,-0.10,-0.58,0,0,0
NST,07/28/2010,17.6,17.6,17.0,17.2,300,18.60,16.20,17.4,-0.20,-1.15,0,0,0
NST,07/27/2010,17.5,18.3,17.0,17.4,10800,18.70,16.30,17.5,-0.10,-0.57,0,0,0
NST,07/26/2010,17.0,17.9,17.0,17.5,6600,18.10,15.90,17.0,0.50,2.94,0,300,0
NST,07/23/2010,19.0,19.0,16.7,17.0,4200,19.10,16.70,17.9,-0.90,-5.03,0,0,0
NST,07/22/2010,19.0,19.0,17.9,17.9,12400,20.50,17.90,19.2,-1.30,-6.77,0,0,0
NST,07/21/2010,18.6,19.4,18.6,19.2,3500,20.00,17.40,18.7,0.50,2.67,0,0,0
NST,07/20/2010,19.6,19.6,18.4,18.7,20600,19.60,17.20,18.4,0.30,1.63,0,0,0
NST,07/19/2010,17.6,18.6,17.6,18.4,62400,18.60,16.20,17.4,1.00,5.75,0,400,0
NST,07/16/2010,17.3,17.5,17.3,17.4,24600,18.50,16.10,17.3,0.10,0.58,0,0,0
NST,07/15/2010,17.4,17.4,17.0,17.3,11200,18.20,16.00,17.1,0.20,1.17,0,0,0
NST,07/14/2010,18.0,18.0,16.9,17.1,12200,18.00,15.80,16.9,0.20,1.18,0,0,0
NST,07/13/2010,17.3,17.3,16.6,16.9,6100,17.40,15.20,16.3,0.60,3.68,0,0,0
NST,07/12/2010,16.0,17.0,15.9,16.3,700,17.70,15.50,16.6,-0.30,-1.81,0,0,0
NST,07/09/2010,16.4,16.8,16.4,16.6,3100,17.60,15.40,16.5,0.10,0.61,0,300,0
NST,07/08/2010,16.9,16.9,16.4,16.5,3100,17.80,15.60,16.7,-0.20,-1.20,0,0,0
NST,07/07/2010,17.0,17.1,16.4,16.7,2400,17.50,15.30,16.4,0.30,1.83,0,0,0
NST,07/06/2010,16.2,16.9,16.2,16.4,3800,18.50,16.10,17.3,-0.90,-5.20,0,0,0
NST,07/05/2010,17.5,17.5,16.7,17.3,2100,17.80,15.60,16.7,0.60,3.59,0,0,0
NST,07/02/2010,16.6,17.3,16.5,16.7,10800,17.70,15.50,16.6,0.10,0.60,0,0,0
NST,07/01/2010,17.4,17.4,16.3,16.6,4300,17.60,15.40,16.5,0.10,0.61,0,0,0
NST,06/30/2010,16.5,16.7,16.5,16.5,10500,17.90,15.70,16.8,-0.30,-1.79,0,0,0
NST,06/29/2010,16.6,17.3,16.6,16.8,2900,18.90,16.50,17.7,-0.90,-5.08,0,0,0
NST,06/28/2010,18.0,18.0,17.7,17.7,3100,18.50,16.10,17.3,0.40,2.31,0,0,0
NST,06/25/2010,17.6,17.6,17.0,17.3,6600,18.20,16.00,17.1,0.20,1.17,0,0,0
NST,06/24/2010,16.9,17.5,16.9,17.1,21200,17.50,15.30,16.4,0.70,4.27,0,0,0
NST,06/23/2010,16.0,17.2,16.0,16.4,9600,18.10,15.90,17.0,-0.60,-3.53,0,0,0
NST,06/22/2010,17.1,17.1,16.9,17.0,5900,18.20,16.00,17.1,-0.10,-0.58,0,0,0
NST,06/21/2010,18.0,18.0,16.9,17.1,6400,18.10,15.90,17.0,0.10,0.59,0,0,0
NST,06/18/2010,18.4,18.4,16.8,17.0,4000,18.40,16.00,17.2,-0.20,-1.16,0,0,0
NST,06/17/2010,17.2,17.2,17.2,17.2,100,17.60,15.40,16.5,0.70,4.24,0,0,0
NST,06/16/2010,16.5,16.6,16.0,16.5,9000,17.60,15.40,16.5,0.00,0.00,0,0,0
NST,06/15/2010,16.5,16.6,16.4,16.5,4600,17.90,15.70,16.8,-0.30,-1.79,0,0,0
NST,06/14/2010,16.5,17.2,16.5,16.8,23100,17.60,15.40,16.5,0.30,1.82,0,0,0
NST,06/11/2010,17.0,17.0,16.3,16.5,7500,18.60,16.20,17.4,-0.90,-5.17,0,200,0
NST,06/10/2010,18.3,18.3,16.6,17.4,2200,19.00,16.60,17.8,-0.40,-2.25,0,0,0
NST,06/09/2010,18.2,18.2,17.0,17.8,3500,18.20,16.00,17.1,0.70,4.09,0,0,0
NST,06/08/2010,17.6,17.6,15.9,17.1,2400,17.60,15.40,16.5,0.60,3.64,0,0,0
NST,06/07/2010,18.5,18.6,16.2,16.5,24900,18.60,16.20,17.4,-0.90,-5.17,0,0,400
NST,06/04/2010,19.6,19.7,17.3,17.4,50200,19.70,17.30,18.5,-1.10,-5.95,0,200,0
NST,06/03/2010,20.6,20.6,18.0,18.5,15500,20.60,18.00,19.3,-0.80,-4.15,0,500,0
NST,06/02/2010,20.4,20.4,18.2,19.3,3700,20.80,18.20,19.5,-0.20,-1.03,0,0,0
NST,06/01/2010,0.0,0.0,0.0,19.5,0,20.80,18.20,19.5,0.00,0.00,0,0,0
NST,05/31/2010,19.5,19.5,19.5,19.5,600,20.40,17.80,19.1,0.40,2.09,0,0,0
NST,05/28/2010,19.5,19.5,18.5,19.1,22900,19.60,17.20,18.4,0.70,3.80,0,0,0
NST,05/27/2010,17.7,18.7,17.7,18.4,7000,18.90,16.50,17.7,0.70,3.95,0,0,0
NST,05/26/2010,17.5,17.7,17.5,17.7,24200,17.70,15.50,16.6,1.10,6.63,0,0,0
