MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PAC,08/11/2010,53.0,53.0,53.0,53.0,3860,55.50,50.50,53.0,0.00,0.00,0,2000,0
PAC,08/10/2010,54.0,54.0,53.0,53.0,7740,57.50,52.50,55.0,-2.00,-3.64,0,0,0
PAC,08/09/2010,0.0,55.0,55.0,55.0,2700,59.00,54.00,56.5,-1.50,-2.65,0,0,0
PAC,08/06/2010,0.0,57.0,56.5,56.5,1060,59.00,54.00,56.5,0.00,0.00,0,510,0
PAC,08/05/2010,0.0,57.0,56.0,56.5,25250,57.50,52.50,55.0,1.50,2.73,0,24200,13300
PAC,08/04/2010,55.0,55.0,53.5,55.0,4230,58.50,53.50,56.0,-1.00,-1.79,0,0,150
PAC,08/03/2010,56.0,59.0,56.0,56.0,4470,60.50,55.50,58.0,-2.00,-3.45,0,0,3700
PAC,08/02/2010,58.0,58.0,58.0,58.0,390,64.00,58.00,61.0,-3.00,-4.92,0,50,370
PAC,07/30/2010,63.0,63.0,61.0,61.0,3400,66.50,60.50,63.5,-2.50,-3.94,0,0,0
PAC,07/29/2010,0.0,0.0,0.0,63.5,0,66.50,60.50,63.5,0.00,0.00,0,0,0
PAC,07/28/2010,64.0,64.0,63.5,63.5,6400,67.00,61.00,64.0,-0.50,-0.78,24930,5860,880
PAC,07/27/2010,64.0,64.0,64.0,64.0,20520,67.00,61.00,64.0,0.00,0.00,0,20520,15940
PAC,07/26/2010,64.0,64.0,64.0,64.0,2080,67.50,61.50,64.5,-0.50,-0.78,20000,1980,0
PAC,07/23/2010,64.5,64.5,64.5,64.5,18750,65.50,59.50,62.5,2.00,3.20,0,17260,16000
PAC,07/22/2010,0.0,63.0,62.5,62.5,530,68.00,62.00,65.0,-2.50,-3.85,0,0,500
PAC,07/21/2010,65.0,65.0,65.0,65.0,430,68.00,62.00,65.0,0.00,0.00,0,430,70
PAC,07/20/2010,0.0,65.0,65.0,65.0,25500,68.00,62.00,65.0,0.00,0.00,0,25000,18170
PAC,07/19/2010,64.5,65.5,64.5,65.0,11780,68.50,62.50,65.5,-0.50,-0.76,0,9780,11020
PAC,07/16/2010,0.0,65.5,65.0,65.5,5040,68.50,62.50,65.5,0.00,0.00,100000,4240,3000
PAC,07/15/2010,65.5,65.5,65.0,65.5,6380,69.50,63.50,66.5,-1.00,-1.50,0,4830,5570
PAC,07/14/2010,66.5,67.0,66.0,66.5,22410,69.50,63.50,66.5,0.00,0.00,0,19260,21870
PAC,07/13/2010,66.5,67.0,66.5,66.5,14010,69.50,63.50,66.5,0.00,0.00,0,11680,12120
PAC,07/12/2010,67.5,68.5,66.5,66.5,4660,70.50,64.50,67.5,-1.00,-1.48,0,3750,0
PAC,07/09/2010,0.0,67.5,66.5,67.5,220,70.50,64.50,67.5,0.00,0.00,0,50,0
PAC,07/08/2010,66.5,67.5,66.5,67.5,2970,70.50,64.50,67.5,0.00,0.00,0,870,1870
PAC,07/07/2010,66.0,67.5,66.0,67.5,5890,68.00,62.00,65.0,2.50,3.85,0,1240,1000
PAC,07/06/2010,65.5,66.0,65.0,65.0,13280,69.00,63.00,66.0,-1.00,-1.52,0,12230,11020
PAC,07/05/2010,66.0,66.0,66.0,66.0,9370,69.00,63.00,66.0,0.00,0.00,0,0,0
PAC,07/02/2010,66.0,66.0,65.5,66.0,7430,69.50,63.50,66.5,-0.50,-0.75,0,7150,4230
PAC,07/01/2010,0.0,67.0,66.0,66.5,1840,70.00,64.00,67.0,-0.50,-0.75,0,1440,0
PAC,06/30/2010,67.5,67.5,66.5,67.0,3500,70.50,64.50,67.5,-0.50,-0.74,0,1500,0
