MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PGT,08/11/2010,11.3,12.4,11.3,12.1,166900,12.70,11.10,11.9,0.20,1.68,0,0,0
PGT,08/10/2010,12.5,12.5,11.7,11.9,183800,13.30,11.70,12.5,-0.60,-4.80,0,0,0
PGT,08/09/2010,12.9,12.9,12.4,12.5,128800,14.10,12.30,13.2,-0.70,-5.30,0,0,0
PGT,08/06/2010,13.4,13.8,12.9,13.2,93400,14.10,12.30,13.2,0.00,0.00,0,0,0
PGT,08/05/2010,12.8,13.3,12.8,13.2,328600,13.30,11.70,12.5,0.70,5.60,0,0,0
PGT,08/04/2010,12.9,13.0,12.3,12.5,205900,14.10,12.30,13.2,-0.70,-5.30,0,0,0
PGT,08/03/2010,14.0,14.0,13.0,13.2,115100,14.40,12.60,13.5,-0.30,-2.22,0,300,0
PGT,08/02/2010,13.7,14.0,13.3,13.5,124400,14.90,13.10,14.0,-0.50,-3.57,0,0,0
PGT,07/30/2010,14.0,14.2,13.6,14.0,92800,14.70,12.90,13.8,0.20,1.45,0,0,0
PGT,07/29/2010,13.6,14.0,13.5,13.8,176900,14.50,12.70,13.6,0.20,1.47,0,2000,0
PGT,07/28/2010,14.2,14.2,13.3,13.6,221400,15.10,13.30,14.2,-0.60,-4.23,0,0,0
PGT,07/27/2010,14.3,14.5,13.9,14.2,58800,15.30,13.30,14.3,-0.10,-0.70,0,0,0
PGT,07/26/2010,14.8,15.0,14.0,14.3,117900,15.90,13.90,14.9,-0.60,-4.03,0,0,7000
PGT,07/23/2010,15.0,15.2,14.7,14.9,157800,16.10,14.10,15.1,-0.20,-1.32,0,0,0
PGT,07/22/2010,15.0,15.9,14.6,15.1,355700,16.40,14.40,15.4,-0.30,-1.95,0,0,5000
PGT,07/21/2010,15.9,15.9,15.0,15.4,302800,17.00,14.80,15.9,-0.50,-3.14,0,8000,18000
PGT,07/20/2010,16.8,16.9,15.2,15.9,366000,17.00,14.80,15.9,0.00,0.00,0,0,0
PGT,07/19/2010,15.6,15.9,15.3,15.9,445200,15.90,13.90,14.9,1.00,6.71,0,0,0
PGT,07/16/2010,14.3,14.9,14.3,14.9,337900,14.90,13.10,14.0,0.90,6.43,0,0,3000
PGT,07/15/2010,13.5,14.3,13.2,14.0,648900,14.30,12.50,13.4,0.60,4.48,0,19000,0
PGT,07/14/2010,13.8,13.8,13.1,13.4,182200,14.30,12.50,13.4,0.00,0.00,0,0,0
PGT,07/13/2010,12.9,13.8,12.9,13.4,231900,13.80,12.00,12.9,0.50,3.88,0,8000,0
PGT,07/12/2010,13.0,13.1,12.7,12.9,55300,13.60,12.00,12.8,0.10,0.78,0,3000,0
PGT,07/09/2010,12.8,13.0,12.5,12.8,82800,13.90,12.10,13.0,-0.20,-1.54,0,4600,0
