MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PHH,08/11/2010,23.9,24.5,23.4,24.1,70200,25.50,22.30,23.9,0.20,0.84,10000,0,0
PHH,08/10/2010,25.0,25.0,23.8,23.9,109300,27.20,23.80,25.5,-1.60,-6.27,0,0,0
PHH,08/09/2010,25.5,26.7,24.1,25.5,122800,27.70,24.10,25.9,-0.40,-1.54,5000,0,0
PHH,08/06/2010,26.4,26.5,25.6,25.9,49200,28.00,24.40,26.2,-0.30,-1.15,28700,0,5000
PHH,08/05/2010,27.0,27.0,26.0,26.2,54700,28.30,24.70,26.5,-0.30,-1.13,12900,0,0
PHH,08/04/2010,27.0,27.0,26.1,26.5,116900,29.70,25.90,27.8,-1.30,-4.68,0,0,0
PHH,08/03/2010,28.0,28.9,27.1,27.8,106200,29.30,25.50,27.4,0.40,1.46,5000,0,0
PHH,08/02/2010,28.0,28.0,27.0,27.4,90800,30.00,26.20,28.1,-0.70,-2.49,0,0,0
PHH,07/30/2010,28.3,28.3,27.8,28.1,108400,29.70,25.90,27.8,0.30,1.08,0,0,0
PHH,07/29/2010,26.6,28.3,26.6,27.8,185700,28.90,25.30,27.1,0.70,2.58,0,0,0
PHH,07/28/2010,28.5,28.5,26.8,27.1,182200,30.60,26.60,28.6,-1.50,-5.24,0,0,0
PHH,07/27/2010,28.6,29.4,28.0,28.6,165500,30.60,26.60,28.6,0.00,0.00,40000,0,0
PHH,07/26/2010,29.5,29.5,28.1,28.6,126600,32.20,28.00,30.1,-1.50,-4.98,0,0,0
PHH,07/23/2010,31.5,31.5,29.7,30.1,123100,32.30,28.10,30.2,-0.10,-0.33,0,0,0
PHH,07/22/2010,30.5,31.0,30.2,30.2,184100,34.60,30.20,32.4,-2.20,-6.79,71400,0,0
PHH,07/21/2010,32.5,32.5,31.0,32.4,619900,32.50,28.30,30.4,2.00,6.58,0,0,0
PHH,07/20/2010,29.2,31.1,29.2,30.4,496900,31.10,27.10,29.1,1.30,4.47,0,5000,0
PHH,07/19/2010,28.4,29.3,28.4,29.1,190600,30.30,26.50,28.4,0.70,2.46,0,0,0
PHH,07/16/2010,28.2,28.7,28.0,28.4,172700,30.20,26.40,28.3,0.10,0.35,0,0,0
PHH,07/15/2010,28.0,28.5,28.0,28.3,108700,30.90,26.90,28.9,-0.60,-2.08,0,0,0
PHH,07/14/2010,29.0,29.9,28.3,28.9,68300,30.30,26.50,28.4,0.50,1.76,0,0,0
PHH,07/13/2010,28.0,28.9,28.0,28.4,152300,29.90,26.10,28.0,0.40,1.43,0,0,0
PHH,07/12/2010,27.3,28.2,27.3,28.0,78900,29.60,25.80,27.7,0.30,1.08,0,0,0
