MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PHT,08/11/2010,18.8,18.8,18.0,18.2,23920,19.30,17.50,18.4,-0.20,-1.09,0,0,0
PHT,08/10/2010,18.7,18.7,18.4,18.4,80340,20.20,18.40,19.3,-0.90,-4.66,0,0,0
PHT,08/09/2010,19.5,19.8,18.7,19.3,25720,20.40,18.60,19.5,-0.20,-1.03,0,0,0
PHT,08/06/2010,20.0,20.0,19.5,19.5,25490,21.00,19.00,20.0,-0.50,-2.50,0,0,0
PHT,08/05/2010,20.0,20.5,19.8,20.0,34660,21.00,19.00,20.0,0.00,0.00,0,0,0
PHT,08/04/2010,20.5,20.5,19.6,20.0,24130,21.00,19.00,20.0,0.00,0.00,0,0,0
PHT,08/03/2010,20.1,20.9,20.0,20.0,96650,21.40,19.40,20.4,-0.40,-1.96,0,0,0
PHT,08/02/2010,20.9,20.9,20.4,20.4,96620,21.50,19.50,20.5,-0.10,-0.49,0,0,0
PHT,07/30/2010,20.5,21.0,20.5,20.5,75590,21.50,19.50,20.5,0.00,0.00,0,0,0
PHT,07/29/2010,20.7,21.0,20.5,20.5,31950,21.70,19.70,20.7,-0.20,-0.97,0,0,0
PHT,07/28/2010,21.5,21.5,20.7,20.7,36190,22.50,20.50,21.5,-0.80,-3.72,0,0,0
PHT,07/27/2010,21.6,21.8,21.5,21.5,63370,22.60,20.60,21.6,-0.10,-0.46,0,0,0
PHT,07/26/2010,21.6,22.0,21.6,21.6,37470,22.60,20.60,21.6,0.00,0.00,0,300,0
PHT,07/23/2010,21.8,22.0,21.6,21.6,125000,22.70,20.70,21.7,-0.10,-0.46,0,0,0
PHT,07/22/2010,22.0,22.0,21.3,21.7,51010,22.70,20.70,21.7,0.00,0.00,0,0,0
PHT,07/21/2010,22.0,22.0,21.7,21.7,60870,23.40,21.20,22.3,-0.60,-2.69,0,0,0
PHT,07/20/2010,22.3,22.5,22.0,22.3,94400,23.40,21.20,22.3,0.00,0.00,0,200,0
PHT,07/19/2010,23.0,23.0,22.3,22.3,76340,23.90,21.70,22.8,-0.50,-2.19,0,0,0
PHT,07/16/2010,22.5,22.9,22.5,22.8,36830,23.90,21.70,22.8,0.00,0.00,0,0,1000
PHT,07/15/2010,22.7,23.2,22.7,22.8,134400,23.80,21.60,22.7,0.10,0.44,0,0,0
PHT,07/14/2010,23.0,23.1,22.7,22.7,159730,23.90,21.70,22.8,-0.10,-0.44,0,0,0
PHT,07/13/2010,22.4,23.0,22.4,22.8,78440,23.40,21.20,22.3,0.50,2.24,0,0,0
PHT,07/12/2010,21.3,22.3,21.1,22.3,115200,22.40,20.40,21.4,0.90,4.21,0,0,0
PHT,07/09/2010,21.8,22.0,21.4,21.4,64890,22.80,20.80,21.8,-0.40,-1.83,0,0,0
PHT,07/08/2010,21.9,22.4,21.8,21.8,67170,22.90,20.90,21.9,-0.10,-0.46,0,0,0
PHT,07/07/2010,22.6,22.6,21.9,21.9,33730,23.50,21.30,22.4,-0.50,-2.23,0,0,0
PHT,07/06/2010,22.0,22.5,22.0,22.4,37760,23.60,21.40,22.5,-0.10,-0.44,0,0,0
PHT,07/05/2010,22.7,22.7,22.0,22.5,87280,22.80,20.80,21.8,0.70,3.21,0,0,0
PHT,07/02/2010,22.4,22.6,21.8,21.8,98870,22.60,20.60,21.6,0.20,0.93,0,0,0
PHT,07/01/2010,22.7,22.8,21.6,21.6,98740,23.80,21.60,22.7,-1.10,-4.85,0,0,0
PHT,06/30/2010,22.6,23.0,22.3,22.7,62030,24.30,22.10,23.2,-0.50,-2.16,0,0,0
PHT,06/29/2010,23.5,23.5,22.9,23.2,58830,24.40,22.20,23.3,-0.10,-0.43,0,0,0
PHT,06/28/2010,23.2,23.8,22.9,23.3,74210,24.40,22.20,23.3,0.00,0.00,0,0,0
PHT,06/25/2010,23.5,23.5,23.0,23.3,76310,24.60,22.40,23.5,-0.20,-0.85,0,0,0
PHT,06/24/2010,23.8,23.8,23.1,23.5,123430,25.00,22.80,23.9,-0.40,-1.67,0,0,0
PHT,06/23/2010,23.0,23.9,22.9,23.9,139930,24.70,22.50,23.6,0.30,1.27,0,0,0
PHT,06/22/2010,23.1,24.1,23.0,23.6,305520,24.20,22.00,23.1,0.50,2.16,0,0,11250
PHT,06/21/2010,23.3,23.6,23.1,23.1,71190,24.40,22.20,23.3,-0.20,-0.86,0,0,0
PHT,06/18/2010,24.0,24.0,23.2,23.3,176830,25.20,22.80,24.0,-0.70,-2.92,0,0,0
PHT,06/17/2010,24.1,24.2,24.0,24.0,59480,25.30,22.90,24.1,-0.10,-0.41,0,0,0
PHT,06/16/2010,24.5,24.6,24.1,24.1,169900,25.20,22.80,24.0,0.10,0.42,0,0,0
PHT,06/15/2010,23.0,24.0,23.0,24.0,125240,24.10,21.90,23.0,1.00,4.35,0,0,0
PHT,06/14/2010,23.1,23.4,23.0,23.0,85110,24.20,22.00,23.1,-0.10,-0.43,0,0,0
PHT,06/11/2010,23.3,23.8,23.1,23.1,83040,24.40,22.20,23.3,-0.20,-0.86,0,0,0
PHT,06/10/2010,22.7,23.3,22.7,23.3,93850,24.40,22.20,23.3,0.00,0.00,0,0,0
PHT,06/09/2010,23.5,23.5,22.9,23.3,123720,24.00,21.80,22.9,0.40,1.75,0,0,0
PHT,06/08/2010,22.5,23.4,22.4,22.9,51200,24.50,22.30,23.4,-0.50,-2.14,0,0,0
PHT,06/07/2010,23.4,23.9,23.4,23.4,278390,25.80,23.40,24.6,-1.20,-4.88,0,0,1000
PHT,06/04/2010,25.5,25.5,24.3,24.6,265750,26.70,24.30,25.5,-0.90,-3.53,0,0,0
PHT,06/03/2010,24.5,25.7,24.1,25.5,739820,25.70,23.30,24.5,1.00,4.08,0,0,0
PHT,06/02/2010,24.0,24.5,23.5,24.5,296500,24.90,22.70,23.8,0.70,2.94,0,0,0
PHT,06/01/2010,23.5,23.8,22.8,23.8,286270,24.90,22.70,23.8,0.00,0.00,0,0,0
PHT,05/31/2010,24.4,24.4,23.0,23.8,282440,24.50,22.30,23.4,0.40,1.71,0,0,0
PHT,05/28/2010,23.4,23.4,23.3,23.4,593130,23.40,21.20,22.3,1.10,4.93,0,0,4000
PHT,05/27/2010,22.3,22.3,22.3,22.3,457920,22.30,20.30,21.3,1.00,4.69,0,0,0
PHT,05/26/2010,21.3,21.3,21.3,21.3,120650,21.30,19.30,20.3,1.00,4.93,0,0,0
PHT,05/25/2010,20.6,21.5,20.3,20.3,118950,22.20,20.20,21.2,-0.90,-4.25,0,1000,0
PHT,05/24/2010,22.1,22.8,21.1,21.2,71590,23.20,21.00,22.1,-0.90,-4.07,0,0,0
PHT,05/21/2010,22.1,22.4,22.1,22.1,79800,24.30,22.10,23.2,-1.10,-4.74,0,0,1000
PHT,05/20/2010,22.0,23.3,21.8,23.2,89330,24.00,21.80,22.9,0.30,1.31,0,0,0
PHT,05/19/2010,24.0,24.0,22.9,22.9,172180,25.30,22.90,24.1,-1.20,-4.98,0,4900,0
PHT,05/18/2010,24.0,24.5,23.7,24.1,79180,25.20,22.80,24.0,0.10,0.42,0,0,0
PHT,05/17/2010,24.0,24.6,23.6,24.0,49660,25.20,22.80,24.0,0.00,0.00,0,0,0
PHT,05/14/2010,24.8,24.9,24.0,24.0,121020,25.20,22.80,24.0,0.00,0.00,0,0,0
PHT,05/13/2010,24.9,25.2,23.7,24.0,182710,26.10,23.70,24.9,-0.90,-3.61,0,0,0
PHT,05/12/2010,25.2,26.2,24.9,24.9,232190,27.50,24.90,26.2,-1.30,-4.96,0,0,0
PHT,05/11/2010,26.5,27.5,25.9,27.2,265110,28.50,25.90,27.2,0.00,0.00,0,0,2000
PHT,05/10/2010,28.0,28.0,27.2,27.2,173430,30.00,27.20,28.6,-1.40,-4.90,0,0,0
