MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PIT,08/11/2010,17.7,18.2,17.4,18.0,131330,18.50,16.90,17.7,0.30,1.69,0,0,0
PIT,08/10/2010,17.9,18.3,17.5,17.7,324680,19.30,17.50,18.4,-0.70,-3.80,0,0,0
PIT,08/09/2010,19.0,19.3,18.4,18.4,262970,20.20,18.40,19.3,-0.90,-4.66,0,0,0
PIT,08/06/2010,19.6,19.8,19.3,19.3,62040,20.50,18.70,19.6,-0.30,-1.53,0,3000,0
PIT,08/05/2010,19.7,19.9,19.4,19.6,72810,20.60,18.80,19.7,-0.10,-0.51,0,0,0
PIT,08/04/2010,0.0,19.7,19.2,19.7,79590,21.10,19.10,20.1,-0.40,-1.99,0,0,0
PIT,08/03/2010,21.0,21.1,20.1,20.1,147070,22.00,20.00,21.0,-0.90,-4.29,0,100,0
PIT,08/02/2010,21.6,21.6,20.3,21.0,147780,21.80,19.80,20.8,0.20,0.96,0,3000,1250
PIT,07/30/2010,20.8,20.8,20.7,20.8,99580,20.80,19.00,19.9,0.90,4.52,0,0,0
PIT,07/29/2010,19.4,19.9,19.3,19.9,231250,19.90,18.10,19.0,0.90,4.74,46300,0,0
PIT,07/28/2010,19.9,20.1,19.0,19.0,289140,21.00,19.00,20.0,-1.00,-5.00,0,0,0
PIT,07/27/2010,21.3,21.3,20.0,20.0,219200,21.80,19.80,20.8,-0.80,-3.85,0,0,0
PIT,07/26/2010,21.5,22.4,20.8,20.8,234890,22.50,20.50,21.5,-0.70,-3.26,0,0,0
PIT,07/23/2010,22.5,22.5,21.5,21.5,265260,23.70,21.50,22.6,-1.10,-4.87,0,0,0
PIT,07/22/2010,23.2,23.7,22.6,22.6,485610,24.80,22.60,23.7,-1.10,-4.64,20000,0,5240
PIT,07/21/2010,22.6,23.7,22.5,23.7,432600,23.70,21.50,22.6,1.10,4.87,0,0,0
PIT,07/20/2010,24.0,24.0,22.6,22.6,389010,24.60,22.40,23.5,-0.90,-3.83,0,0,10000
PIT,07/19/2010,21.8,23.5,21.8,23.5,513520,23.50,21.30,22.4,1.10,4.91,0,2000,0
PIT,07/16/2010,22.4,22.4,21.7,22.4,1109540,22.40,20.40,21.4,1.00,4.67,0,0,3000
