MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
POT,08/11/2010,19.7,20.4,19.2,20.2,139700,20.40,17.80,19.1,1.10,5.76,0,0,0
POT,08/10/2010,20.0,20.1,18.9,19.1,122000,21.70,18.90,20.3,-1.20,-5.91,0,0,0
POT,08/09/2010,21.7,21.7,20.0,20.3,102500,23.00,20.00,21.5,-1.20,-5.58,0,0,0
POT,08/06/2010,21.4,21.8,21.3,21.5,72300,23.40,20.40,21.9,-0.40,-1.83,30000,0,0
POT,08/05/2010,21.8,22.8,21.5,21.9,93300,23.40,20.40,21.9,0.00,0.00,0,0,0
POT,08/04/2010,22.0,22.3,21.7,21.9,104500,24.90,21.70,23.3,-1.40,-6.01,28000,0,0
POT,08/03/2010,23.8,24.0,22.7,23.3,79400,25.30,22.10,23.7,-0.40,-1.69,0,0,0
POT,08/02/2010,24.0,24.1,23.3,23.7,107700,26.20,22.80,24.5,-0.80,-3.27,19200,0,0
POT,07/30/2010,24.8,24.9,24.2,24.5,103000,26.00,22.60,24.3,0.20,0.82,0,0,0
POT,07/29/2010,23.5,24.6,23.5,24.3,111900,25.60,22.40,24.0,0.30,1.25,0,0,0
POT,07/28/2010,25.0,25.1,23.8,24.0,450100,27.20,23.80,25.5,-1.50,-5.88,37000,0,0
POT,07/27/2010,25.6,26.1,25.1,25.5,105900,27.10,23.70,25.4,0.10,0.39,0,0,0
POT,07/26/2010,25.5,26.2,24.9,25.4,123900,27.60,24.00,25.8,-0.40,-1.55,0,0,0
POT,07/23/2010,26.1,26.4,25.5,25.8,102400,27.70,24.10,25.9,-0.10,-0.39,0,0,0
POT,07/22/2010,26.0,26.4,25.6,25.9,194900,28.80,25.20,27.0,-1.10,-4.07,0,0,0
POT,07/21/2010,27.0,27.5,26.3,27.0,232000,28.50,24.90,26.7,0.30,1.12,0,0,0
POT,07/20/2010,26.3,27.8,26.0,26.7,327100,27.90,24.30,26.1,0.60,2.30,0,0,0
POT,07/19/2010,26.1,26.4,25.5,26.1,131600,27.90,24.30,26.1,0.00,0.00,0,0,0
POT,07/16/2010,25.6,26.4,25.6,26.1,173500,27.90,24.30,26.1,0.00,0.00,0,0,0
POT,07/15/2010,27.0,27.0,25.8,26.1,203300,29.40,25.60,27.5,-1.40,-5.09,0,0,0
POT,07/14/2010,28.1,28.2,26.0,27.5,343100,28.20,24.60,26.4,1.10,4.17,0,0,0
POT,07/13/2010,26.2,26.8,25.8,26.4,321100,26.80,23.40,25.1,1.30,5.18,0,0,0
POT,07/12/2010,25.1,25.5,24.6,25.1,152300,26.70,23.30,25.0,0.10,0.40,0,0,5000
POT,07/09/2010,24.5,25.6,24.5,25.0,146800,26.40,23.00,24.7,0.30,1.21,0,0,0
POT,07/08/2010,25.5,26.2,24.0,24.7,218800,26.80,23.40,25.1,-0.40,-1.59,0,0,0
POT,07/07/2010,25.6,26.0,24.6,25.1,230800,26.90,23.50,25.2,-0.10,-0.40,0,0,0
POT,07/06/2010,26.5,26.5,24.9,25.2,141000,28.40,24.80,26.6,-1.40,-5.26,0,0,0
POT,07/05/2010,27.0,27.3,26.2,26.6,116700,27.70,24.10,25.9,0.70,2.70,0,0,0
POT,07/02/2010,25.5,26.3,25.0,25.9,208100,26.90,23.50,25.2,0.70,2.78,0,0,0
POT,07/01/2010,24.5,26.2,24.5,25.2,282600,27.20,23.80,25.5,-0.30,-1.18,10000,0,0
POT,06/30/2010,25.6,26.0,25.2,25.5,248100,28.80,25.20,27.0,-1.50,-5.56,31000,0,0
POT,06/29/2010,27.0,27.7,26.5,27.0,185900,29.40,25.60,27.5,-0.50,-1.82,36000,0,0
POT,06/28/2010,27.8,28.0,27.1,27.5,107700,29.70,25.90,27.8,-0.30,-1.08,0,0,0
POT,06/25/2010,26.0,28.8,25.6,27.8,343800,28.90,25.30,27.1,0.70,2.58,0,0,0
POT,06/24/2010,27.1,28.1,26.6,27.1,527800,29.20,25.40,27.3,-0.20,-0.73,26000,0,0
POT,06/23/2010,26.6,28.2,26.4,27.3,271400,30.10,26.30,28.2,-0.90,-3.19,36000,0,0
POT,06/22/2010,31.0,31.0,27.9,28.2,530200,32.10,27.90,30.0,-1.80,-6.00,0,0,0
POT,06/21/2010,28.4,30.3,28.4,30.0,431100,30.30,26.50,28.4,1.60,5.63,0,0,0
POT,06/18/2010,29.1,29.6,27.5,28.4,237100,30.90,26.90,28.9,-0.50,-1.73,0,0,0
POT,06/17/2010,27.2,29.1,26.6,28.9,1258100,29.10,25.30,27.2,1.70,6.25,0,0,0
POT,06/16/2010,28.0,28.2,26.0,27.2,614400,29.60,25.80,27.7,-0.50,-1.81,0,0,0
POT,06/15/2010,28.0,28.2,26.4,27.7,488800,28.20,24.60,26.4,1.30,4.92,0,0,0
POT,06/14/2010,26.3,26.6,25.0,26.4,303300,26.60,23.20,24.9,1.50,6.02,0,0,0
POT,06/11/2010,24.0,25.0,24.0,24.9,614300,25.00,21.80,23.4,1.50,6.41,0,0,0
