MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PRUBF1,08/11/2010,4.7,4.8,4.6,4.7,26250,4.90,4.50,4.7,0.00,0.00,0,0,0
PRUBF1,08/06/2010,4.9,5.0,4.9,5.0,147140,5.10,4.70,4.9,0.10,2.04,0,0,0
PRUBF1,08/05/2010,4.8,5.0,4.8,4.9,6440,5.10,4.70,4.9,0.00,0.00,0,0,0
PRUBF1,08/04/2010,4.9,4.9,4.8,4.9,23690,5.10,4.70,4.9,0.00,0.00,0,0,500
PRUBF1,08/03/2010,4.9,4.9,4.9,4.9,18650,5.10,4.70,4.9,0.00,0.00,0,0,2000
PRUBF1,08/02/2010,5.0,5.0,4.9,4.9,69360,5.20,4.80,5.0,-0.10,-2.00,0,0,1000
PRUBF1,07/30/2010,4.9,5.0,4.9,5.0,30880,5.20,4.80,5.0,0.00,0.00,0,0,0
PRUBF1,07/29/2010,4.9,5.0,4.8,5.0,22840,5.10,4.70,4.9,0.10,2.04,0,0,10
PRUBF1,07/28/2010,4.9,4.9,4.8,4.9,46230,5.10,4.70,4.9,0.00,0.00,0,0,0
PRUBF1,07/27/2010,5.0,5.0,4.9,4.9,62070,5.10,4.70,4.9,0.00,0.00,0,0,0
PRUBF1,07/26/2010,5.0,5.0,4.8,4.9,65800,5.10,4.70,4.9,0.00,0.00,0,0,0
PRUBF1,07/23/2010,5.0,5.1,4.9,4.9,43760,5.20,4.80,5.0,-0.10,-2.00,0,0,0
PRUBF1,07/22/2010,5.0,5.1,5.0,5.0,32370,5.20,4.80,5.0,0.00,0.00,0,0,0
PRUBF1,07/21/2010,5.0,5.1,5.0,5.0,52540,5.20,4.80,5.0,0.00,0.00,0,0,0
PRUBF1,07/20/2010,5.0,5.1,5.0,5.0,102310,5.20,4.80,5.0,0.00,0.00,0,10,0
PRUBF1,07/19/2010,0.0,5.1,5.0,5.0,6090,5.30,4.90,5.1,-0.10,-1.96,0,0,0
PRUBF1,07/16/2010,5.1,5.1,5.0,5.1,13060,5.20,4.80,5.0,0.10,2.00,0,0,0
PRUBF1,07/15/2010,5.1,5.1,5.0,5.0,19350,5.30,4.90,5.1,-0.10,-1.96,0,0,120
PRUBF1,07/14/2010,5.1,5.2,5.1,5.1,72450,5.30,4.90,5.1,0.00,0.00,0,0,0
PRUBF1,07/13/2010,5.0,5.1,5.0,5.1,83430,5.20,4.80,5.0,0.10,2.00,0,0,0
PRUBF1,07/12/2010,5.0,5.0,4.9,5.0,3770,5.20,4.80,5.0,0.00,0.00,0,0,0
PRUBF1,07/09/2010,4.9,5.1,4.9,5.0,22910,5.20,4.80,5.0,0.00,0.00,0,0,0
PRUBF1,07/08/2010,5.0,5.1,4.9,5.0,33060,5.10,4.70,4.9,0.10,2.04,0,0,0
PRUBF1,07/07/2010,5.0,5.1,4.9,4.9,48650,5.20,4.80,5.0,-0.10,-2.00,0,20,0
PRUBF1,07/06/2010,5.1,5.1,5.0,5.0,28330,5.30,4.90,5.1,-0.10,-1.96,0,0,0
PRUBF1,07/05/2010,5.1,5.1,5.0,5.1,62900,5.30,4.90,5.1,0.00,0.00,0,0,0
PRUBF1,07/02/2010,5.0,5.1,5.0,5.1,64410,5.30,4.90,5.1,0.00,0.00,0,100,0
PRUBF1,07/01/2010,5.1,5.2,5.0,5.1,94440,5.30,4.90,5.1,0.00,0.00,0,0,0
PRUBF1,06/30/2010,5.1,5.2,5.1,5.1,81100,5.40,5.00,5.2,-0.10,-1.92,0,0,0
PRUBF1,06/29/2010,5.2,5.2,5.1,5.2,44690,5.40,5.00,5.2,0.00,0.00,0,0,0
PRUBF1,06/28/2010,5.2,5.2,5.1,5.2,30880,5.40,5.00,5.2,0.00,0.00,0,0,1300
PRUBF1,06/25/2010,5.2,5.3,5.2,5.2,46450,5.40,5.00,5.2,0.00,0.00,0,0,0
PRUBF1,06/24/2010,5.2,5.3,5.2,5.2,39780,5.40,5.00,5.2,0.00,0.00,0,0,0
PRUBF1,06/23/2010,5.2,5.3,5.2,5.2,58150,5.50,5.10,5.3,-0.10,-1.89,0,0,0
PRUBF1,06/22/2010,5.3,5.3,5.2,5.3,28620,5.50,5.10,5.3,0.00,0.00,0,0,0
PRUBF1,06/21/2010,5.3,5.3,5.2,5.3,39730,5.50,5.10,5.3,0.00,0.00,0,0,0
PRUBF1,06/18/2010,5.2,5.3,5.2,5.3,31540,5.40,5.00,5.2,0.10,1.92,0,0,0
PRUBF1,06/17/2010,5.2,5.3,5.2,5.2,30350,5.40,5.00,5.2,0.00,0.00,0,0,0
PRUBF1,06/16/2010,5.2,5.3,5.2,5.2,46000,5.40,5.00,5.2,0.00,0.00,0,0,12000
PRUBF1,06/15/2010,5.2,5.3,5.2,5.2,33220,5.40,5.00,5.2,0.00,0.00,0,0,0
PRUBF1,06/14/2010,5.2,5.3,5.2,5.2,14260,5.50,5.10,5.3,-0.10,-1.89,0,0,0
PRUBF1,06/11/2010,5.3,5.3,5.2,5.3,41460,5.50,5.10,5.3,0.00,0.00,0,0,0
PRUBF1,06/10/2010,5.2,5.3,5.1,5.3,114790,5.50,5.10,5.3,0.00,0.00,0,0,0
PRUBF1,06/09/2010,5.4,5.4,5.3,5.3,23710,5.60,5.20,5.4,-0.10,-1.85,0,2770,50
PRUBF1,06/08/2010,5.2,5.4,5.2,5.4,12530,5.40,5.00,5.2,0.20,3.85,0,0,0
PRUBF1,06/07/2010,5.3,5.3,5.2,5.2,83810,5.60,5.20,5.4,-0.20,-3.70,0,2000,0
PRUBF1,06/04/2010,5.4,5.4,5.3,5.4,27570,5.60,5.20,5.4,0.00,0.00,0,10,0
PRUBF1,06/03/2010,5.4,5.5,5.3,5.4,43910,5.60,5.20,5.4,0.00,0.00,0,0,0
PRUBF1,06/02/2010,5.3,5.4,5.2,5.4,26230,5.50,5.10,5.3,0.10,1.89,0,0,0
PRUBF1,06/01/2010,5.4,5.4,5.3,5.3,25800,5.60,5.20,5.4,-0.10,-1.85,0,0,0
PRUBF1,05/31/2010,5.5,5.5,5.4,5.4,23690,5.70,5.30,5.5,-0.10,-1.82,0,10,0
PRUBF1,05/28/2010,5.4,5.5,5.3,5.5,36480,5.50,5.10,5.3,0.20,3.77,0,6000,0
PRUBF1,05/27/2010,5.3,5.4,5.2,5.3,38030,5.50,5.10,5.3,0.00,0.00,0,0,0
PRUBF1,05/26/2010,5.3,5.4,5.2,5.3,22660,5.50,5.10,5.3,0.00,0.00,0,0,0
PRUBF1,05/25/2010,5.2,5.3,5.2,5.3,80550,5.50,5.10,5.3,0.00,0.00,0,22620,0
PRUBF1,05/24/2010,5.2,5.4,5.2,5.3,51830,5.60,5.20,5.4,-0.10,-1.85,0,1000,3010
PRUBF1,05/21/2010,5.3,5.4,5.3,5.4,81790,5.70,5.30,5.5,-0.10,-1.82,0,10,30
PRUBF1,05/20/2010,5.5,5.5,5.4,5.5,19190,5.70,5.30,5.5,0.00,0.00,0,0,0
PRUBF1,05/19/2010,5.6,5.6,5.4,5.5,167640,5.80,5.40,5.6,-0.10,-1.79,0,31360,0
PRUBF1,05/18/2010,5.6,5.7,5.6,5.6,48640,5.90,5.50,5.7,-0.10,-1.75,0,10,0
PRUBF1,05/17/2010,5.7,5.7,5.6,5.7,74440,5.90,5.50,5.7,0.00,0.00,0,10,0
PRUBF1,05/14/2010,5.7,5.8,5.6,5.7,38720,5.90,5.50,5.7,0.00,0.00,0,5000,3000
PRUBF1,05/13/2010,5.8,5.8,5.6,5.7,77970,5.90,5.50,5.7,0.00,0.00,0,0,5000
PRUBF1,05/12/2010,5.7,5.8,5.7,5.7,69570,6.00,5.60,5.8,-0.10,-1.72,0,10,5000
PRUBF1,05/11/2010,5.8,5.9,5.8,5.8,71350,6.10,5.70,5.9,-0.10,-1.69,0,30,0
PRUBF1,05/10/2010,5.8,5.9,5.7,5.9,91580,6.10,5.70,5.9,0.00,0.00,0,0,0
PRUBF1,05/07/2010,5.8,5.9,5.8,5.9,75340,6.10,5.70,5.9,0.00,0.00,0,0,0
PRUBF1,05/06/2010,5.9,5.9,5.8,5.9,181590,6.10,5.70,5.9,0.00,0.00,0,30000,0
PRUBF1,05/05/2010,5.9,5.9,5.8,5.9,113310,6.10,5.70,5.9,0.00,0.00,0,0,0
PRUBF1,05/04/2010,5.8,5.9,5.7,5.9,263950,5.90,5.50,5.7,0.20,3.51,0,0,840
PRUBF1,04/29/2010,5.8,5.8,5.7,5.7,42790,6.00,5.60,5.8,-0.10,-1.72,0,0,0
PRUBF1,04/28/2010,5.8,5.8,5.7,5.8,103060,6.00,5.60,5.8,0.00,0.00,0,0,2300
PRUBF1,04/27/2010,5.8,5.8,5.7,5.8,70530,6.00,5.60,5.8,0.00,0.00,0,10,0
PRUBF1,04/26/2010,5.7,5.8,5.7,5.8,41180,5.90,5.50,5.7,0.10,1.75,0,0,23000
PRUBF1,04/22/2010,5.8,5.8,5.7,5.7,126960,5.90,5.50,5.7,0.00,0.00,0,0,0
PRUBF1,04/21/2010,5.7,5.8,5.7,5.7,83170,5.90,5.50,5.7,0.00,0.00,0,0,0
PRUBF1,04/20/2010,5.7,5.8,5.7,5.7,68260,6.00,5.60,5.8,-0.10,-1.72,0,0,0
PRUBF1,04/19/2010,5.7,5.8,5.7,5.8,104360,6.00,5.60,5.8,0.00,0.00,0,230,0
PRUBF1,04/16/2010,5.7,5.8,5.7,5.8,70320,6.00,5.60,5.8,0.00,0.00,0,10,0
PRUBF1,04/15/2010,5.7,5.8,5.7,5.8,42730,6.00,5.60,5.8,0.00,0.00,0,0,0
PRUBF1,04/14/2010,5.7,5.8,5.7,5.8,118460,6.00,5.60,5.8,0.00,0.00,0,0,0
PRUBF1,04/13/2010,5.7,5.8,5.7,5.8,42800,6.00,5.60,5.8,0.00,0.00,0,0,0
PRUBF1,04/12/2010,5.7,5.8,5.7,5.8,47340,5.90,5.50,5.7,0.10,1.75,0,0,0
PRUBF1,04/09/2010,5.7,5.7,5.6,5.7,68180,5.80,5.40,5.6,0.10,1.79,0,0,0
PRUBF1,04/08/2010,5.7,5.7,5.6,5.6,41810,5.90,5.50,5.7,-0.10,-1.75,0,0,0
PRUBF1,04/07/2010,5.7,5.8,5.6,5.7,46600,5.80,5.40,5.6,0.10,1.79,0,0,0
PRUBF1,04/06/2010,5.8,5.8,5.6,5.6,78490,5.90,5.50,5.7,-0.10,-1.75,0,0,0
