MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PXT,08/11/2010,16.6,16.6,15.5,15.8,74970,16.90,15.30,16.1,-0.30,-1.86,0,0,0
PXT,08/10/2010,16.2,16.3,16.1,16.1,245690,17.70,16.10,16.9,-0.80,-4.73,0,0,0
PXT,08/09/2010,17.5,17.6,16.9,16.9,213390,18.50,16.90,17.7,-0.80,-4.52,37150,0,0
PXT,08/06/2010,18.2,18.2,17.7,17.7,107970,19.10,17.30,18.2,-0.50,-2.75,20000,0,0
PXT,08/05/2010,18.6,19.0,18.2,18.2,77610,19.30,17.50,18.4,-0.20,-1.09,36230,0,0
PXT,08/04/2010,0.0,18.5,18.0,18.4,109110,19.50,17.70,18.6,-0.20,-1.08,0,0,0
PXT,08/03/2010,18.6,19.1,18.5,18.6,95040,19.50,17.70,18.6,0.00,0.00,37150,0,0
PXT,08/02/2010,19.0,19.3,18.6,18.6,152540,19.90,18.10,19.0,-0.40,-2.11,0,0,0
PXT,07/30/2010,18.9,19.5,18.6,19.0,114900,19.90,18.10,19.0,0.00,0.00,36230,0,0
PXT,07/29/2010,19.2,19.2,18.6,19.0,120010,20.00,18.20,19.1,-0.10,-0.52,0,0,0
PXT,07/28/2010,19.4,19.9,19.1,19.1,146770,21.00,19.00,20.0,-0.90,-4.50,0,0,0
PXT,07/27/2010,20.4,20.4,19.6,20.0,209290,21.10,19.10,20.1,-0.10,-0.50,20000,0,0
PXT,07/26/2010,19.8,20.2,19.3,20.1,498860,20.20,18.40,19.3,0.80,4.15,0,0,0
PXT,07/23/2010,19.6,19.6,19.3,19.3,67170,20.20,18.40,19.3,0.00,0.00,0,0,0
PXT,07/22/2010,19.8,19.9,19.3,19.3,105390,20.20,18.40,19.3,0.00,0.00,0,0,0
PXT,07/21/2010,20.0,20.0,19.3,19.3,211920,20.70,18.90,19.8,-0.50,-2.53,0,0,0
PXT,07/20/2010,20.1,20.2,19.8,19.8,189210,21.20,19.20,20.2,-0.40,-1.98,0,0,0
PXT,07/19/2010,20.7,20.8,20.0,20.2,196240,21.70,19.70,20.7,-0.50,-2.42,0,0,0
PXT,07/16/2010,20.5,21.0,20.5,20.7,236670,21.90,19.90,20.9,-0.20,-0.96,0,0,0
PXT,07/15/2010,20.7,21.5,20.6,20.9,509280,21.60,19.60,20.6,0.30,1.46,0,0,0
PXT,07/14/2010,21.6,21.6,20.6,20.6,1424280,21.60,19.60,20.6,0.00,0.00,0,40000,0
PXT,07/13/2010,20.6,20.6,20.6,20.6,112480,20.60,18.80,19.7,0.90,4.57,0,0,0
PXT,07/12/2010,19.0,19.7,19.0,19.7,328720,19.70,17.90,18.8,0.90,4.79,0,0,5000
PXT,07/09/2010,18.0,18.9,18.0,18.8,301420,18.90,17.10,18.0,0.80,4.44,0,0,0
PXT,07/08/2010,18.5,18.6,18.0,18.0,174680,19.40,17.60,18.5,-0.50,-2.70,0,0,0
PXT,07/07/2010,19.5,19.5,18.5,18.5,120400,19.70,17.90,18.8,-0.30,-1.60,0,0,0
PXT,07/06/2010,19.6,19.6,18.8,18.8,194460,20.50,18.70,19.6,-0.80,-4.08,0,0,0
PXT,07/05/2010,19.9,19.9,19.5,19.6,229590,20.70,18.90,19.8,-0.20,-1.01,0,0,0
PXT,07/02/2010,20.0,20.0,19.4,19.8,132860,20.40,18.60,19.5,0.30,1.54,0,0,0
PXT,07/01/2010,19.7,20.0,19.3,19.5,129410,20.60,18.80,19.7,-0.20,-1.02,0,0,0
PXT,06/30/2010,20.0,20.1,19.7,19.7,343480,21.70,19.70,20.7,-1.00,-4.83,0,0,0
PXT,06/29/2010,21.5,21.5,20.7,20.7,317180,22.20,20.20,21.2,-0.50,-2.36,0,0,0
PXT,06/28/2010,21.3,21.5,21.2,21.2,155370,22.40,20.40,21.4,-0.20,-0.93,0,1000,0
PXT,06/25/2010,21.7,22.2,21.4,21.4,241930,23.40,21.20,22.3,-0.90,-4.04,0,0,0
PXT,06/24/2010,23.0,23.0,22.3,22.3,138750,23.80,21.60,22.7,-0.40,-1.76,0,0,0
PXT,06/23/2010,21.3,23.1,21.3,22.7,378650,23.10,20.90,22.0,0.70,3.18,0,6800,0
PXT,06/22/2010,22.2,22.7,22.0,22.0,314550,23.60,21.40,22.5,-0.50,-2.22,0,100,0
PXT,06/21/2010,22.8,22.8,22.5,22.5,292780,23.70,21.50,22.6,-0.10,-0.44,0,0,0
