MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
RAL,08/11/2010,24.4,24.8,24.3,24.8,61590,25.60,23.20,24.4,0.40,1.64,0,0,0
RAL,08/10/2010,25.0,25.8,24.2,24.4,275920,26.60,24.20,25.4,-1.00,-3.94,0,0,0
RAL,08/09/2010,26.4,26.4,25.1,25.4,115080,27.70,25.10,26.4,-1.00,-3.79,0,0,0
RAL,08/06/2010,26.7,26.9,26.4,26.4,44150,28.10,25.50,26.8,-0.40,-1.49,0,0,0
RAL,08/05/2010,26.7,27.0,26.5,26.8,44810,28.00,25.40,26.7,0.10,0.37,0,0,0
RAL,08/04/2010,27.0,27.0,26.2,26.7,51680,28.30,25.70,27.0,-0.30,-1.11,0,0,0
RAL,08/03/2010,27.1,27.5,27.0,27.0,58910,28.30,25.70,27.0,0.00,0.00,0,0,0
RAL,08/02/2010,26.9,27.5,26.9,27.0,31540,28.20,25.60,26.9,0.10,0.37,0,5000,0
RAL,07/30/2010,26.9,27.8,26.9,26.9,51920,28.20,25.60,26.9,0.00,0.00,0,0,0
RAL,07/29/2010,27.0,27.2,26.5,26.9,160170,28.50,25.90,27.2,-0.30,-1.10,0,0,31740
RAL,07/28/2010,28.0,28.0,27.2,27.2,78820,29.40,26.60,28.0,-0.80,-2.86,0,0,0
RAL,07/27/2010,0.0,28.7,28.0,28.0,59580,29.80,27.00,28.4,-0.40,-1.41,0,5000,0
RAL,07/26/2010,0.0,29.0,28.4,28.4,44200,29.80,27.00,28.4,0.00,0.00,0,5000,0
RAL,07/23/2010,29.1,29.1,28.4,28.4,96980,29.90,27.10,28.5,-0.10,-0.35,0,0,0
RAL,07/22/2010,28.8,30.0,28.5,28.5,82190,30.30,27.50,28.9,-0.40,-1.38,0,0,0
RAL,07/21/2010,29.3,29.4,28.9,28.9,68320,30.70,27.90,29.3,-0.40,-1.37,0,0,440
RAL,07/20/2010,29.1,29.4,29.0,29.3,142870,30.50,27.70,29.1,0.20,0.69,0,0,0
