MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SD7,08/11/2010,45.5,46.4,45.5,46.1,110000,49.30,42.90,46.1,0.00,0.00,0,0,0
SD7,08/10/2010,48.2,48.4,44.8,46.1,209000,51.40,44.80,48.1,-2.00,-4.16,0,0,0
SD7,08/09/2010,49.0,49.4,47.0,48.1,148200,52.20,45.40,48.8,-0.70,-1.43,39000,0,0
SD7,08/06/2010,49.0,49.5,47.8,48.8,81400,53.20,46.40,49.8,-1.00,-2.01,0,0,0
SD7,08/05/2010,49.9,50.4,48.3,49.8,82900,53.30,46.50,49.9,-0.10,-0.20,0,0,0
SD7,08/04/2010,50.9,50.9,48.2,49.9,58900,54.00,47.00,50.5,-0.60,-1.19,0,0,900
SD7,08/03/2010,51.4,51.4,50.0,50.5,106200,54.50,47.50,51.0,-0.50,-0.98,10000,0,0
SD7,08/02/2010,52.4,52.4,50.2,51.0,35400,55.60,48.40,52.0,-1.00,-1.92,75100,0,1800
SD7,07/30/2010,51.0,52.8,50.6,52.0,104400,54.40,47.40,50.9,1.10,2.16,0,3000,0
SD7,07/29/2010,51.9,51.9,50.2,50.9,120700,55.40,48.20,51.8,-0.90,-1.74,0,0,0
SD7,07/28/2010,52.0,53.9,50.6,51.8,259400,57.90,50.50,54.2,-2.40,-4.43,0,3000,0
SD7,07/27/2010,54.5,54.7,52.8,54.2,89200,57.60,50.20,53.9,0.30,0.56,0,0,0
SD7,07/26/2010,54.7,54.7,53.3,53.9,89200,58.30,50.70,54.5,-0.60,-1.10,0,0,0
SD7,07/23/2010,55.4,55.7,53.6,54.5,104200,58.40,50.80,54.6,-0.10,-0.18,0,0,0
SD7,07/22/2010,55.9,55.9,54.1,54.6,83900,59.40,51.80,55.6,-1.00,-1.80,92200,0,0
SD7,07/21/2010,55.0,56.0,55.0,55.6,322400,58.90,51.30,55.1,0.50,0.91,0,0,0
SD7,07/20/2010,56.5,56.5,54.2,55.1,75100,59.30,51.70,55.5,-0.40,-0.72,0,0,0
SD7,07/19/2010,55.0,57.5,54.0,55.5,395700,58.30,50.70,54.5,1.00,1.83,0,0,500
SD7,07/16/2010,54.0,55.3,53.2,54.5,257400,57.40,50.00,53.7,0.80,1.49,0,0,0
SD7,07/15/2010,54.4,54.5,52.8,53.7,118000,58.50,50.90,54.7,-1.00,-1.83,0,0,0
SD7,07/14/2010,55.0,55.6,53.5,54.7,74400,58.40,50.80,54.6,0.10,0.18,0,0,0
SD7,07/13/2010,54.0,55.8,53.6,54.6,138300,57.00,49.60,53.3,1.30,2.44,0,0,0
SD7,07/12/2010,52.2,54.0,52.1,53.3,116600,55.60,48.40,52.0,1.30,2.50,0,0,0
SD7,07/09/2010,52.0,52.6,51.5,52.0,105800,56.40,49.20,52.8,-0.80,-1.52,0,0,0
SD7,07/08/2010,53.4,53.8,51.0,52.8,95000,56.70,49.30,53.0,-0.20,-0.38,0,0,0
SD7,07/07/2010,53.0,53.9,51.8,53.0,99000,56.10,48.90,52.5,0.50,0.95,0,0,0
SD7,07/06/2010,54.0,54.0,52.0,52.5,163000,57.60,50.20,53.9,-1.40,-2.60,0,0,0
SD7,07/05/2010,54.0,54.7,53.0,53.9,126900,56.20,49.00,52.6,1.30,2.47,0,0,0
SD7,07/02/2010,52.3,53.0,52.3,52.6,106300,55.80,48.60,52.2,0.40,0.77,0,0,0
SD7,07/01/2010,52.5,53.0,51.7,52.2,112500,56.40,49.20,52.8,-0.60,-1.14,0,0,0
SD7,06/30/2010,52.7,54.5,51.0,52.8,127700,57.80,50.40,54.1,-1.30,-2.40,0,0,0
SD7,06/29/2010,54.6,54.8,53.2,54.1,132400,57.60,50.20,53.9,0.20,0.37,50000,0,0
SD7,06/28/2010,54.4,54.4,53.0,53.9,90200,57.40,50.00,53.7,0.20,0.37,30000,0,0
SD7,06/25/2010,54.5,54.8,52.5,53.7,178700,58.60,51.00,54.8,-1.10,-2.01,0,0,0
SD7,06/24/2010,55.0,56.0,53.7,54.8,129800,58.10,50.50,54.3,0.50,0.92,0,0,0
SD7,06/23/2010,55.0,55.6,54.0,54.3,114400,59.90,52.10,56.0,-1.70,-3.04,0,0,0
SD7,06/22/2010,56.5,56.7,54.0,56.0,87800,59.70,51.90,55.8,0.20,0.36,0,0,0
SD7,06/21/2010,55.5,57.0,55.0,55.8,193500,58.90,51.30,55.1,0.70,1.27,0,0,0
SD7,06/18/2010,55.5,55.8,54.5,55.1,137600,58.90,51.30,55.1,0.00,0.00,0,0,0
SD7,06/17/2010,56.0,56.0,54.3,55.1,234800,59.50,51.90,55.7,-0.60,-1.08,0,0,0
SD7,06/16/2010,56.0,56.8,55.0,55.7,206900,59.50,51.90,55.7,0.00,0.00,0,0,1000
SD7,06/15/2010,56.4,56.9,54.9,55.7,170600,59.90,52.10,56.0,-0.30,-0.54,0,0,0
SD7,06/14/2010,55.1,56.4,55.0,56.0,177400,58.20,50.60,54.4,1.60,2.94,0,0,0
SD7,06/11/2010,55.4,55.4,53.9,54.4,86700,57.70,50.30,54.0,0.40,0.74,0,0,0
SD7,06/10/2010,54.8,54.8,53.5,54.0,49900,58.10,50.50,54.3,-0.30,-0.55,0,0,0
SD7,06/09/2010,54.2,55.8,54.0,54.3,88100,57.80,50.40,54.1,0.20,0.37,0,0,0
SD7,06/08/2010,53.0,54.9,52.5,54.1,114700,57.20,49.80,53.5,0.60,1.12,0,0,0
SD7,06/07/2010,53.1,56.3,53.1,53.5,352100,60.90,53.10,57.0,-3.50,-6.14,134500,0,35000
SD7,06/04/2010,55.5,59.0,55.0,57.0,395700,59.00,51.40,55.2,1.80,3.26,0,0,0
SD7,06/03/2010,55.7,57.0,53.7,55.2,86100,57.40,50.00,53.7,1.50,2.79,0,0,0
SD7,06/02/2010,52.2,54.3,52.2,53.7,163300,57.70,50.30,54.0,-0.30,-0.56,47700,0,0
SD7,06/01/2010,52.9,54.5,52.9,54.0,127100,57.80,50.40,54.1,-0.10,-0.18,0,0,0
SD7,05/31/2010,57.0,57.0,53.6,54.1,230900,58.30,50.70,54.5,-0.40,-0.73,0,10000,0
SD7,05/28/2010,52.5,54.7,52.5,54.5,201800,54.70,47.70,51.2,3.30,6.45,0,0,0
SD7,05/27/2010,51.2,52.4,49.5,51.2,186000,53.90,46.90,50.4,0.80,1.59,0,0,3800
SD7,05/26/2010,48.8,51.8,48.8,50.4,190500,51.80,45.20,48.5,1.90,3.92,0,0,0
SD7,05/25/2010,49.0,49.2,48.0,48.5,167400,51.70,45.10,48.4,0.10,0.21,0,0,3200
SD7,05/24/2010,47.7,49.4,47.7,48.4,163700,51.00,44.40,47.7,0.70,1.47,0,20800,0
SD7,05/21/2010,50.0,50.0,47.0,47.7,266500,54.00,47.00,50.5,-2.80,-5.54,0,1800,700
SD7,05/20/2010,51.9,53.0,47.7,50.5,270600,54.70,47.70,51.2,-0.70,-1.37,0,0,300
SD7,05/19/2010,52.5,53.8,50.5,51.2,228100,57.90,50.50,54.2,-3.00,-5.54,0,0,0
SD7,05/18/2010,54.8,55.9,53.2,54.2,169600,58.70,51.10,54.9,-0.70,-1.28,110800,0,0
SD7,05/17/2010,56.0,56.8,53.4,54.9,117500,58.90,51.30,55.1,-0.20,-0.36,8000,0,0
SD7,05/14/2010,55.0,55.5,54.1,55.1,132500,59.00,51.40,55.2,-0.10,-0.18,20000,0,0
SD7,05/13/2010,54.5,57.0,54.0,55.2,216900,57.70,50.30,54.0,1.20,2.22,0,500,0
SD7,05/12/2010,56.5,56.5,53.2,54.0,323000,61.00,53.20,57.1,-3.10,-5.43,25000,0,6100
SD7,05/11/2010,57.7,59.0,56.1,57.1,217000,60.70,52.90,56.8,0.30,0.53,0,0,10000
SD7,05/10/2010,57.0,58.3,55.0,56.8,183400,62.10,54.10,58.1,-1.30,-2.24,0,0,0
SD7,05/07/2010,59.2,59.5,57.1,58.1,315900,64.20,55.80,60.0,-1.90,-3.17,0,0,10000
SD7,05/06/2010,60.0,60.9,59.1,60.0,241000,63.90,55.70,59.8,0.20,0.33,0,0,50000
SD7,05/05/2010,59.6,60.9,59.0,59.8,141800,66.10,57.50,61.8,-2.00,-3.24,0,500,0
SD7,05/04/2010,61.5,63.4,61.2,61.8,242300,65.60,57.20,61.4,0.40,0.65,19000,0,0
SD7,04/29/2010,61.5,63.0,60.5,61.4,312900,63.30,55.10,59.2,2.20,3.72,30000,0,0
SD7,04/28/2010,59.0,61.0,58.0,59.2,389300,64.40,56.00,60.2,-1.00,-1.66,0,0,0
SD7,04/27/2010,61.0,61.5,59.5,60.2,250400,64.60,56.20,60.4,-0.20,-0.33,0,0,0
