MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SDE,08/11/2010,21.0,22.0,20.0,20.3,4000,22.30,19.50,20.9,-0.60,-2.87,0,0,0
SDE,08/10/2010,23.0,23.0,20.8,20.9,1600,23.80,20.80,22.3,-1.40,-6.28,0,0,0
SDE,08/09/2010,22.3,22.3,22.3,22.3,1100,25.50,22.30,23.9,-1.60,-6.69,0,0,0
SDE,08/06/2010,23.9,23.9,23.9,23.9,5600,27.30,23.90,25.6,-1.70,-6.64,0,0,0
SDE,08/05/2010,0.0,0.0,0.0,25.6,0,27.30,23.90,25.6,0.00,0.00,0,0,0
SDE,08/04/2010,0.0,0.0,0.0,25.6,0,27.30,23.90,25.6,0.00,0.00,0,0,0
SDE,08/03/2010,25.6,25.6,25.6,25.6,100,26.60,23.20,24.9,0.70,2.81,0,0,0
SDE,08/02/2010,24.9,24.9,24.9,24.9,100,25.70,22.50,24.1,0.80,3.32,0,0,0
SDE,07/30/2010,24.5,25.5,23.0,24.1,5200,25.60,22.40,24.0,0.10,0.42,0,0,0
SDE,07/29/2010,24.0,24.8,21.8,24.0,1400,24.80,21.60,23.2,0.80,3.45,0,0,0
SDE,07/28/2010,24.5,24.5,22.5,23.2,1600,25.60,22.40,24.0,-0.80,-3.33,0,0,0
SDE,07/27/2010,24.5,24.5,23.7,24.0,3000,27.00,23.60,25.3,-1.30,-5.14,0,0,0
SDE,07/26/2010,25.5,25.5,25.0,25.3,1000,26.70,23.30,25.0,0.30,1.20,0,0,0
SDE,07/23/2010,25.0,25.1,25.0,25.0,13200,26.60,23.20,24.9,0.10,0.40,0,0,0
SDE,07/22/2010,25.1,25.1,24.7,24.9,1200,26.70,23.30,25.0,-0.10,-0.40,0,0,0
SDE,07/21/2010,25.0,25.4,24.7,25.0,6800,28.00,24.40,26.2,-1.20,-4.58,0,0,0
SDE,07/20/2010,26.1,26.3,26.0,26.2,10000,27.90,24.30,26.1,0.10,0.38,0,0,0
