MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SDJ,08/11/2010,17.5,17.6,17.0,17.5,38300,17.60,15.40,16.5,1.00,6.06,0,0,0
SDJ,08/10/2010,18.0,18.0,16.3,16.5,48900,18.70,16.30,17.5,-1.00,-5.71,0,0,0
SDJ,08/09/2010,18.1,18.1,17.3,17.5,33000,19.90,17.30,18.6,-1.10,-5.91,0,0,0
SDJ,08/06/2010,18.2,18.9,18.2,18.6,6900,19.70,17.30,18.5,0.10,0.54,0,0,0
SDJ,08/05/2010,19.2,19.2,18.3,18.5,56800,19.70,17.30,18.5,0.00,0.00,0,0,0
SDJ,08/04/2010,18.2,19.0,18.2,18.5,24400,20.30,17.70,19.0,-0.50,-2.63,0,0,0
SDJ,08/03/2010,19.5,19.5,19.0,19.0,18800,21.10,18.50,19.8,-0.80,-4.04,0,0,0
SDJ,08/02/2010,20.0,20.2,19.2,19.8,30200,21.40,18.60,20.0,-0.20,-1.00,0,0,0
SDJ,07/30/2010,19.5,20.2,19.5,20.0,29600,20.20,17.60,18.9,1.10,5.82,0,0,0
SDJ,07/29/2010,18.5,19.5,18.5,18.9,42100,20.50,17.90,19.2,-0.30,-1.56,0,0,0
SDJ,07/28/2010,19.9,19.9,18.7,19.2,34500,21.40,18.60,20.0,-0.80,-4.00,0,0,0
SDJ,07/27/2010,20.2,20.5,19.6,20.0,36800,22.20,19.40,20.8,-0.80,-3.85,0,0,0
SDJ,07/26/2010,21.9,21.9,20.2,20.8,45200,22.00,19.20,20.6,0.20,0.97,0,0,0
SDJ,07/23/2010,21.4,21.4,20.1,20.6,71700,22.80,20.00,21.4,-0.80,-3.74,0,0,0
SDJ,07/22/2010,22.0,22.2,21.3,21.4,69000,24.50,21.30,22.9,-1.50,-6.55,0,0,0
SDJ,07/21/2010,24.0,24.0,22.7,22.9,119100,26.10,22.70,24.4,-1.50,-6.15,0,0,0
SDJ,07/20/2010,23.0,24.5,23.0,24.4,184300,24.50,21.30,22.9,1.50,6.55,0,0,0
SDJ,07/19/2010,22.9,23.0,22.1,22.9,213500,23.00,20.00,21.5,1.40,6.51,0,0,0
SDJ,07/16/2010,21.3,21.5,21.0,21.5,88700,21.50,18.70,20.1,1.40,6.97,0,0,0
SDJ,07/15/2010,19.0,20.3,19.0,20.1,155300,20.30,17.70,19.0,1.10,5.79,0,0,0
SDJ,07/14/2010,19.0,19.3,18.8,19.0,15100,20.30,17.70,19.0,0.00,0.00,0,0,0
SDJ,07/13/2010,18.7,19.3,18.6,19.0,29300,19.90,17.30,18.6,0.40,2.15,0,0,0
SDJ,07/12/2010,18.7,18.7,18.4,18.6,18900,19.90,17.30,18.6,0.00,0.00,0,0,5600
SDJ,07/09/2010,18.6,18.8,18.4,18.6,30100,19.70,17.30,18.5,0.10,0.54,0,0,0
SDJ,07/08/2010,18.5,18.6,18.5,18.5,3200,19.70,17.30,18.5,0.00,0.00,0,0,0
SDJ,07/07/2010,18.8,18.8,18.2,18.5,12900,19.90,17.30,18.6,-0.10,-0.54,0,0,0
SDJ,07/06/2010,18.8,18.8,18.5,18.6,19900,20.10,17.50,18.8,-0.20,-1.06,0,2000,0
SDJ,07/05/2010,19.3,19.4,18.4,18.8,12400,19.50,17.10,18.3,0.50,2.73,0,0,0
SDJ,07/02/2010,18.2,18.5,18.0,18.3,11800,19.40,17.00,18.2,0.10,0.55,0,0,0
SDJ,07/01/2010,18.1,18.5,18.0,18.2,25500,19.60,17.20,18.4,-0.20,-1.09,0,0,0
SDJ,06/30/2010,18.4,18.5,18.3,18.4,19600,20.10,17.50,18.8,-0.40,-2.13,0,0,0
SDJ,06/29/2010,18.9,19.0,18.7,18.8,12300,20.20,17.60,18.9,-0.10,-0.53,0,0,0
SDJ,06/28/2010,19.5,19.5,18.7,18.9,14100,20.10,17.50,18.8,0.10,0.53,0,0,0
SDJ,06/25/2010,19.4,19.4,18.6,18.8,33000,20.70,18.10,19.4,-0.60,-3.09,0,0,0
SDJ,06/24/2010,19.3,19.6,19.2,19.4,21100,20.60,18.00,19.3,0.10,0.52,0,0,1000
SDJ,06/23/2010,19.8,19.8,18.8,19.3,22900,21.00,18.40,19.7,-0.40,-2.03,0,0,0
SDJ,06/22/2010,19.7,20.0,19.6,19.7,49900,21.00,18.40,19.7,0.00,0.00,0,0,0
SDJ,06/21/2010,19.0,20.0,18.9,19.7,96900,20.00,17.40,18.7,1.00,5.35,0,0,0
SDJ,06/18/2010,18.4,19.0,18.4,18.7,11900,20.30,17.70,19.0,-0.30,-1.58,0,0,0
SDJ,06/17/2010,19.0,19.0,18.8,19.0,26900,20.70,18.10,19.4,-0.40,-2.06,0,0,0
SDJ,06/16/2010,19.3,19.6,19.2,19.4,23300,20.60,18.00,19.3,0.10,0.52,0,0,0
SDJ,06/15/2010,19.0,19.9,18.9,19.3,26600,20.20,17.60,18.9,0.40,2.12,0,0,0
