MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SDS,08/11/2010,21.4,24.1,21.4,22.9,900,24.10,21.10,22.6,0.30,1.33,0,0,0
SDS,08/10/2010,23.0,23.0,22.0,22.6,5600,25.20,22.00,23.6,-1.00,-4.24,0,0,0
SDS,08/09/2010,23.6,23.6,23.5,23.6,2900,26.40,23.00,24.7,-1.10,-4.45,0,0,0
SDS,08/06/2010,24.4,26.0,24.4,24.7,700,27.80,24.20,26.0,-1.30,-5.00,0,0,0
SDS,08/05/2010,26.0,26.0,26.0,26.0,100,26.20,22.80,24.5,1.50,6.12,0,0,0
SDS,08/04/2010,24.5,24.5,24.5,24.5,1500,27.70,24.10,25.9,-1.40,-5.41,0,0,0
SDS,08/03/2010,26.5,26.5,24.5,25.9,1400,26.80,23.40,25.1,0.80,3.19,0,0,0
SDS,08/02/2010,25.1,25.1,25.1,25.1,500,26.80,23.40,25.1,0.00,0.00,0,0,0
SDS,07/30/2010,26.5,26.5,25.0,25.1,2600,26.80,23.40,25.1,0.00,0.00,0,0,0
SDS,07/29/2010,25.1,25.1,25.1,25.1,1000,27.30,23.90,25.6,-0.50,-1.95,0,0,0
SDS,07/28/2010,24.0,26.8,24.0,25.6,3000,26.90,23.50,25.2,0.40,1.59,0,0,0
SDS,07/27/2010,25.1,25.2,25.1,25.2,200,26.70,23.30,25.0,0.20,0.80,0,0,0
SDS,07/26/2010,24.4,25.4,24.4,25.0,1800,27.10,23.70,25.4,-0.40,-1.57,0,0,0
SDS,07/23/2010,25.0,25.7,25.0,25.4,3100,27.30,23.90,25.6,-0.20,-0.78,0,0,0
SDS,07/22/2010,26.1,26.1,25.1,25.6,3900,28.50,24.90,26.7,-1.10,-4.12,0,0,0
SDS,07/21/2010,26.8,26.8,26.5,26.7,6700,29.20,25.40,27.3,-0.60,-2.20,0,0,0
SDS,07/20/2010,28.3,28.3,26.6,27.3,3500,29.20,25.40,27.3,0.00,0.00,0,0,0
SDS,07/19/2010,28.0,28.0,27.0,27.3,1700,29.20,25.40,27.3,0.00,0.00,0,0,0
SDS,07/16/2010,27.3,27.4,27.2,27.3,4100,29.10,25.30,27.2,0.10,0.37,0,0,0
SDS,07/15/2010,27.5,27.5,27.0,27.2,8800,28.70,25.10,26.9,0.30,1.12,0,0,0
SDS,07/14/2010,27.2,27.2,26.2,26.9,1600,29.10,25.30,27.2,-0.30,-1.10,0,0,0
SDS,07/13/2010,27.9,27.9,27.0,27.2,7400,28.10,24.50,26.3,0.90,3.42,0,0,0
SDS,07/12/2010,26.1,26.8,26.0,26.3,13500,28.70,25.10,26.9,-0.60,-2.23,0,0,0
SDS,07/09/2010,27.7,27.7,26.0,26.9,7800,28.50,24.90,26.7,0.20,0.75,0,0,0
SDS,07/08/2010,27.9,27.9,26.1,26.7,2100,28.60,25.00,26.8,-0.10,-0.37,0,0,0
SDS,07/07/2010,27.4,27.4,26.5,26.8,4800,27.80,24.20,26.0,0.80,3.08,0,0,0
SDS,07/06/2010,27.8,27.8,25.8,26.0,15600,29.40,25.60,27.5,-1.50,-5.45,0,0,0
SDS,07/05/2010,27.8,27.8,26.8,27.5,5700,28.70,25.10,26.9,0.60,2.23,0,0,0
SDS,07/02/2010,26.7,27.3,26.7,26.9,20000,28.60,25.00,26.8,0.10,0.37,0,0,0
SDS,07/01/2010,25.7,27.0,25.7,26.8,3200,27.30,23.90,25.6,1.20,4.69,0,0,0
SDS,06/30/2010,26.5,26.9,25.0,25.6,13500,28.40,24.80,26.6,-1.00,-3.76,0,0,0
SDS,06/29/2010,25.5,27.0,25.3,26.6,11300,28.50,24.90,26.7,-0.10,-0.37,0,0,0
SDS,06/28/2010,25.7,27.9,25.7,26.7,500,29.50,25.70,27.6,-0.90,-3.26,0,0,0
SDS,06/25/2010,27.9,27.9,26.5,27.6,7600,29.40,25.60,27.5,0.10,0.36,0,0,0
