MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SQC,08/11/2010,114.1,124.0,114.1,114.4,3100,131.10,114.10,122.6,-8.20,-6.69,0,0,0
SQC,08/10/2010,125.0,125.0,114.0,122.6,800,130.30,113.30,121.8,0.80,0.66,0,0,0
SQC,08/09/2010,123.3,123.3,113.6,121.8,800,130.60,113.60,122.1,-0.30,-0.25,0,0,0
SQC,08/06/2010,124.5,124.5,116.0,122.1,1200,132.60,115.40,124.0,-1.90,-1.53,0,0,0
SQC,08/05/2010,124.0,124.0,124.0,124.0,100,133.60,116.20,124.9,-0.90,-0.72,0,0,0
SQC,08/04/2010,124.9,124.9,124.9,124.9,500,133.70,116.30,125.0,-0.10,-0.08,0,0,0
SQC,08/03/2010,125.0,125.0,125.0,125.0,100,134.70,117.10,125.9,-0.90,-0.71,0,0,0
SQC,08/02/2010,125.9,125.9,125.9,125.9,100,133.70,116.30,125.0,0.90,0.72,0,0,0
SQC,07/30/2010,125.0,125.0,125.0,125.0,200,133.60,116.20,124.9,0.10,0.08,0,0,0
SQC,07/29/2010,124.9,124.9,124.9,124.9,200,133.60,116.20,124.9,0.00,0.00,0,0,0
SQC,07/28/2010,124.9,124.9,124.9,124.9,200,133.70,116.30,125.0,-0.10,-0.08,0,0,0
SQC,07/27/2010,125.0,125.0,125.0,125.0,200,133.70,116.30,125.0,0.00,0.00,0,0,0
SQC,07/26/2010,125.0,125.0,125.0,125.0,500,134.80,117.20,126.0,-1.00,-0.79,0,0,0
SQC,07/23/2010,126.0,126.0,126.0,126.0,100,134.80,117.20,126.0,0.00,0.00,0,0,0
SQC,07/22/2010,127.9,127.9,125.0,126.0,300,131.30,114.30,122.8,3.20,2.61,0,0,0
SQC,07/21/2010,117.5,127.9,117.2,122.8,1800,134.80,117.20,126.0,-3.20,-2.54,0,0,0
SQC,07/20/2010,130.9,130.9,120.0,126.0,1100,137.40,119.60,128.5,-2.50,-1.95,0,0,0
SQC,07/19/2010,128.5,128.5,128.5,128.5,200,136.10,118.30,127.2,1.30,1.02,0,0,0
SQC,07/16/2010,127.0,128.0,127.0,127.2,500,134.80,117.20,126.0,1.20,0.95,0,0,0
SQC,07/15/2010,126.0,126.0,126.0,126.0,500,135.80,118.20,127.0,-1.00,-0.79,0,0,0
SQC,07/14/2010,127.0,127.0,127.0,127.0,500,136.90,119.10,128.0,-1.00,-0.78,0,0,0
SQC,07/13/2010,128.0,128.0,127.9,128.0,400,136.90,119.10,128.0,0.00,0.00,0,0,0
SQC,07/12/2010,128.0,128.0,128.0,128.0,100,133.70,116.30,125.0,3.00,2.40,0,0,0
SQC,07/09/2010,125.0,125.0,125.0,125.0,300,134.80,117.20,126.0,-1.00,-0.79,0,0,0
SQC,07/08/2010,126.0,126.0,126.0,126.0,500,133.10,115.70,124.4,1.60,1.29,0,0,0
SQC,07/07/2010,123.0,125.0,123.0,124.4,700,131.60,114.40,123.0,1.40,1.14,0,0,0
