MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
STP,08/11/2010,36.9,37.5,35.0,36.7,63900,38.50,33.50,36.0,0.70,1.94,0,100,0
STP,08/10/2010,37.0,38.9,35.9,36.0,182200,41.10,35.90,38.5,-2.50,-6.49,12800,0,0
STP,08/09/2010,41.0,41.0,38.1,38.5,240500,43.70,38.10,40.9,-2.40,-5.87,0,0,0
STP,08/06/2010,41.2,41.4,40.0,40.9,125400,44.10,38.50,41.3,-0.40,-0.97,0,0,0
STP,08/05/2010,42.0,42.1,40.5,41.3,57400,44.90,39.10,42.0,-0.70,-1.67,11800,0,0
STP,08/04/2010,42.3,42.9,41.5,42.0,112400,47.50,41.30,44.4,-2.40,-5.41,5000,3100,0
STP,08/03/2010,45.5,45.6,43.7,44.4,71600,48.70,42.50,45.6,-1.20,-2.63,6000,0,0
STP,08/02/2010,46.0,46.5,44.8,45.6,36700,48.70,42.50,45.6,0.00,0.00,0,0,0
STP,07/30/2010,45.3,46.0,45.0,45.6,70000,47.20,41.20,44.2,1.40,3.17,6000,0,0
STP,07/29/2010,44.6,45.0,44.0,44.2,117500,47.70,41.50,44.6,-0.40,-0.90,5000,0,0
STP,07/28/2010,46.6,46.6,43.9,44.6,124700,49.20,42.80,46.0,-1.40,-3.04,5000,0,0
STP,07/27/2010,47.3,47.6,45.0,46.0,77600,50.00,43.60,46.8,-0.80,-1.71,0,0,0
STP,07/26/2010,47.0,47.1,46.5,46.8,32500,50.20,43.80,47.0,-0.20,-0.43,0,0,0
STP,07/23/2010,47.0,48.0,46.7,47.0,76100,50.00,43.60,46.8,0.20,0.43,101000,0,0
STP,07/22/2010,47.0,47.0,46.6,46.8,57500,50.80,44.20,47.5,-0.70,-1.47,5000,0,0
STP,07/21/2010,49.3,49.3,47.1,47.5,71900,51.40,44.80,48.1,-0.60,-1.25,15000,0,0
STP,07/20/2010,49.1,49.4,47.7,48.1,134500,52.50,45.70,49.1,-1.00,-2.04,0,0,0
STP,07/19/2010,50.2,50.2,48.6,49.1,135500,53.80,46.80,50.3,-1.20,-2.39,101000,0,0
STP,07/16/2010,49.5,51.0,48.6,50.3,125300,52.80,46.00,49.4,0.90,1.82,10000,0,0
STP,07/15/2010,50.7,50.7,49.0,49.4,81700,54.20,47.20,50.7,-1.30,-2.56,59000,2300,0
STP,07/14/2010,51.4,52.0,49.6,50.7,84000,54.40,47.40,50.9,-0.20,-0.39,0,0,0
STP,07/13/2010,51.1,52.0,49.8,50.9,80800,53.90,46.90,50.4,0.50,0.99,0,0,0
STP,07/12/2010,50.9,50.9,49.4,50.4,212600,50.90,44.30,47.6,2.80,5.88,5000,0,0
STP,07/09/2010,45.6,48.7,45.3,47.6,138600,48.70,42.50,45.6,2.00,4.39,109000,0,0
STP,07/08/2010,47.0,48.2,44.8,45.6,77700,48.70,42.50,45.6,0.00,0.00,0,0,0
STP,07/07/2010,46.5,46.5,44.6,45.6,71100,49.60,43.20,46.4,-0.80,-1.72,0,0,0
STP,07/06/2010,47.9,47.9,45.6,46.4,77100,50.60,44.00,47.3,-0.90,-1.90,0,0,0
STP,07/05/2010,48.0,48.0,46.7,47.3,48700,50.70,44.10,47.4,-0.10,-0.21,0,0,0
