MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TAG,08/11/2010,55.0,55.0,55.0,55.0,100,58.20,50.60,54.4,0.60,1.10,0,0,0
TAG,08/10/2010,50.3,55.0,50.3,54.4,7600,57.70,50.30,54.0,0.40,0.74,0,0,0
TAG,08/09/2010,54.0,54.0,54.0,54.0,3400,57.70,50.30,54.0,0.00,0.00,0,0,0
TAG,08/06/2010,0.0,0.0,0.0,54.0,0,57.70,50.30,54.0,0.00,0.00,0,0,0
TAG,08/05/2010,54.0,54.0,54.0,54.0,2000,58.60,51.00,54.8,-0.80,-1.46,0,100,0
TAG,08/04/2010,54.6,56.5,54.6,54.8,800,58.40,50.80,54.6,0.20,0.37,0,0,0
TAG,08/03/2010,56.0,56.0,54.2,54.6,1200,62.10,54.10,58.1,-3.50,-6.02,0,400,0
TAG,08/02/2010,0.0,0.0,0.0,58.1,0,62.10,54.10,58.1,0.00,0.00,0,0,0
TAG,07/30/2010,58.1,58.1,58.0,58.1,4100,60.80,53.00,56.9,1.20,2.11,0,0,0
TAG,07/29/2010,55.0,57.0,55.0,56.9,10500,58.80,51.20,55.0,1.90,3.45,0,0,0
TAG,07/28/2010,56.0,56.0,55.0,55.0,4400,58.80,51.20,55.0,0.00,0.00,0,1600,0
TAG,07/27/2010,55.0,55.0,55.0,55.0,1000,59.00,51.40,55.2,-0.20,-0.36,0,0,0
TAG,07/26/2010,56.0,56.0,55.0,55.2,4600,62.00,54.00,58.0,-2.80,-4.83,0,0,0
TAG,07/23/2010,58.0,58.1,58.0,58.0,3100,58.10,50.50,54.3,3.70,6.81,0,400,0
TAG,07/22/2010,54.0,59.0,54.0,54.3,25500,59.00,51.40,55.2,-0.90,-1.63,0,0,0
TAG,07/21/2010,60.5,60.5,54.0,55.2,32100,61.00,53.20,57.1,-1.90,-3.33,0,0,0
TAG,07/20/2010,56.5,58.2,56.5,57.1,15600,62.10,54.10,58.1,-1.00,-1.72,0,0,0
TAG,07/19/2010,58.0,59.0,58.0,58.1,18600,64.20,55.80,60.0,-1.90,-3.17,0,0,0
TAG,07/16/2010,57.5,62.2,57.0,60.0,61900,62.20,54.20,58.2,1.80,3.09,0,0,0
TAG,07/15/2010,58.5,58.5,57.5,58.2,27100,62.00,54.00,58.0,0.20,0.34,0,0,0
TAG,07/14/2010,58.0,61.0,57.6,58.0,88200,61.60,53.60,57.6,0.40,0.69,0,0,0
TAG,07/13/2010,56.0,59.8,56.0,57.6,45100,59.80,52.00,55.9,1.70,3.04,0,0,0
TAG,07/12/2010,54.7,57.5,54.7,55.9,55000,58.50,50.90,54.7,1.20,2.19,0,0,0
TAG,07/09/2010,54.5,55.0,54.5,54.7,23700,59.40,51.80,55.6,-0.90,-1.62,0,0,0
TAG,07/08/2010,57.5,57.5,53.1,55.6,33500,60.90,53.10,57.0,-1.40,-2.46,0,0,0
TAG,07/07/2010,57.0,58.0,57.0,57.0,38100,65.40,57.00,61.2,-4.20,-6.86,0,0,0
TAG,07/06/2010,59.3,63.0,57.0,61.2,28500,63.40,55.20,59.3,1.90,3.20,0,0,0
TAG,07/05/2010,59.5,59.5,56.5,59.3,30200,63.60,55.40,59.5,-0.20,-0.34,0,0,0
TAG,07/02/2010,60.0,60.0,59.3,59.5,30000,63.20,55.00,59.1,0.40,0.68,0,0,0
TAG,07/01/2010,59.2,59.2,58.5,59.1,32000,63.40,55.20,59.3,-0.20,-0.34,0,0,0
TAG,06/30/2010,59.3,59.3,59.3,59.3,20000,63.40,55.20,59.3,0.00,0.00,0,0,0
TAG,06/29/2010,60.0,60.0,59.0,59.3,16300,62.50,54.50,58.5,0.80,1.37,0,0,0
TAG,06/28/2010,59.0,59.0,58.3,58.5,28000,62.30,54.30,58.3,0.20,0.34,0,0,0
TAG,06/25/2010,58.5,60.0,55.5,58.3,30500,62.80,54.60,58.7,-0.40,-0.68,0,0,0
TAG,06/24/2010,58.5,58.8,58.5,58.7,23000,62.80,54.60,58.7,0.00,0.00,0,0,0
TAG,06/23/2010,59.0,59.2,57.0,58.7,34000,63.30,55.10,59.2,-0.50,-0.84,0,0,0
TAG,06/22/2010,58.9,59.9,58.0,59.2,26500,63.00,54.80,58.9,0.30,0.51,0,0,0
TAG,06/21/2010,59.6,60.0,57.5,58.9,27500,63.70,55.50,59.6,-0.70,-1.17,0,0,0
TAG,06/18/2010,59.0,60.0,59.0,59.6,25100,63.30,55.10,59.2,0.40,0.68,0,0,0
TAG,06/17/2010,60.0,60.0,58.5,59.2,24300,64.20,55.80,60.0,-0.80,-1.33,0,0,0
TAG,06/16/2010,60.0,60.8,59.0,60.0,36500,64.50,56.10,60.3,-0.30,-0.50,0,0,0
TAG,06/15/2010,59.9,60.7,59.9,60.3,40900,64.00,55.80,59.9,0.40,0.67,0,0,0
TAG,06/14/2010,59.1,62.0,59.0,59.9,39900,63.20,55.00,59.1,0.80,1.35,0,0,0
TAG,06/11/2010,59.0,60.0,58.5,59.1,36400,60.00,52.20,56.1,3.00,5.35,0,0,0
TAG,06/10/2010,55.5,59.3,55.5,56.1,33800,59.30,51.70,55.5,0.60,1.08,0,0,0
TAG,06/09/2010,54.1,56.8,54.0,55.5,43000,57.80,50.40,54.1,1.40,2.59,0,0,0
TAG,06/08/2010,53.5,54.5,53.5,54.1,33800,54.90,47.90,51.4,2.70,5.25,0,0,0
TAG,06/07/2010,52.0,53.5,50.3,51.4,10000,57.70,50.30,54.0,-2.60,-4.81,0,0,0
TAG,06/04/2010,0.0,0.0,0.0,54.0,0,57.70,50.30,54.0,0.00,0.00,0,0,0
TAG,06/03/2010,54.0,54.0,54.0,54.0,200,60.60,52.80,56.7,-2.70,-4.76,0,0,0
TAG,06/02/2010,56.8,56.8,54.0,56.7,95400,58.30,50.70,54.5,2.20,4.04,0,0,0
TAG,06/01/2010,54.5,54.5,54.5,54.5,100,61.80,53.80,57.8,-3.30,-5.71,0,0,0
TAG,05/31/2010,0.0,0.0,0.0,57.8,0,61.80,53.80,57.8,0.00,0.00,0,0,0
TAG,05/28/2010,57.9,58.0,56.0,57.8,54800,60.80,53.00,56.9,0.90,1.58,0,0,0
TAG,05/27/2010,56.9,57.0,56.7,56.9,51000,61.30,53.30,57.3,-0.40,-0.70,0,0,0
TAG,05/26/2010,54.8,57.4,54.8,57.3,42700,58.50,50.90,54.7,2.60,4.75,0,0,0
TAG,05/25/2010,52.5,54.7,52.5,54.7,51000,59.40,51.80,55.6,-0.90,-1.62,0,0,0
TAG,05/24/2010,55.6,55.6,55.6,55.6,50000,59.70,51.90,55.8,-0.20,-0.36,0,0,0
TAG,05/21/2010,55.9,55.9,52.7,55.8,51300,60.50,52.70,56.6,-0.80,-1.41,0,0,0
TAG,05/20/2010,52.5,58.5,52.4,56.6,55800,60.00,52.20,56.1,0.50,0.89,0,0,0
TAG,05/19/2010,57.0,57.0,53.5,56.1,64600,61.50,53.50,57.5,-1.40,-2.43,0,2000,0
TAG,05/18/2010,57.6,57.6,57.5,57.5,51000,62.70,54.50,58.6,-1.10,-1.88,0,0,0
TAG,05/17/2010,58.5,58.6,58.5,58.6,50000,62.80,54.60,58.7,-0.10,-0.17,0,0,0
TAG,05/14/2010,58.7,58.9,55.1,58.7,32000,63.10,54.90,59.0,-0.30,-0.51,0,0,0
TAG,05/13/2010,58.5,59.0,58.5,59.0,30000,62.80,54.60,58.7,0.30,0.51,0,0,0
TAG,05/12/2010,56.0,58.8,55.7,58.7,42400,63.70,55.50,59.6,-0.90,-1.51,0,0,0
TAG,05/11/2010,60.5,60.5,58.0,59.6,42500,63.00,54.80,58.9,0.70,1.19,0,0,0
TAG,05/10/2010,58.7,58.9,58.7,58.9,50500,62.90,54.70,58.8,0.10,0.17,0,0,0
TAG,05/07/2010,58.4,58.9,55.1,58.8,50300,62.70,54.50,58.6,0.20,0.34,0,0,0
TAG,05/06/2010,58.0,60.0,57.0,58.6,53600,62.50,54.50,58.5,0.10,0.17,0,0,0
TAG,05/05/2010,59.0,59.0,58.0,58.5,52600,62.80,54.60,58.7,-0.20,-0.34,0,0,0
TAG,05/04/2010,57.5,59.5,57.0,58.7,52200,60.90,53.10,57.0,1.70,2.98,0,0,0
TAG,04/29/2010,55.0,57.1,55.0,57.0,52400,61.30,53.30,57.3,-0.30,-0.52,0,0,0
TAG,04/28/2010,57.4,57.4,56.0,57.3,53800,60.90,53.10,57.0,0.30,0.53,0,0,0
TAG,04/27/2010,56.7,57.3,55.5,57.0,51900,60.20,52.40,56.3,0.70,1.24,0,0,0
TAG,04/26/2010,57.9,57.9,55.0,56.3,50900,61.40,53.40,57.4,-1.10,-1.92,0,0,0
TAG,04/22/2010,57.4,57.4,57.4,57.4,100,59.00,51.40,55.2,2.20,3.99,0,0,0
TAG,04/21/2010,55.0,57.0,54.8,55.2,5200,58.50,50.90,54.7,0.50,0.91,0,0,0
TAG,04/20/2010,54.1,56.0,54.1,54.7,57500,61.40,53.40,57.4,-2.70,-4.70,0,0,0
TAG,04/19/2010,57.4,57.5,57.4,57.4,57400,61.40,53.40,57.4,0.00,0.00,0,0,0
TAG,04/16/2010,57.5,58.0,56.5,57.4,3700,61.50,53.50,57.5,-0.10,-0.17,0,0,0
TAG,04/15/2010,60.2,60.2,56.3,57.5,3400,60.20,52.40,56.3,1.20,2.13,50000,0,300
TAG,04/14/2010,55.7,57.5,55.5,56.3,7500,59.30,51.70,55.5,0.80,1.44,0,0,0
TAG,04/13/2010,53.0,56.0,53.0,55.5,4600,57.80,50.40,54.1,1.40,2.59,0,0,0
TAG,04/12/2010,55.0,55.0,54.0,54.1,4100,59.30,51.70,55.5,-1.40,-2.52,0,0,0
TAG,04/09/2010,56.9,56.9,55.1,55.5,4000,59.10,51.50,55.3,0.20,0.36,0,0,200
TAG,04/08/2010,54.9,56.0,54.9,55.3,8600,58.20,50.60,54.4,0.90,1.65,0,0,200
TAG,04/07/2010,53.0,55.7,53.0,54.4,3300,55.80,48.60,52.2,2.20,4.21,0,0,0
TAG,04/06/2010,53.2,53.2,52.0,52.2,13800,57.80,50.40,54.1,-1.90,-3.51,0,0,0
TAG,04/05/2010,54.0,55.4,53.9,54.1,27000,57.90,50.50,54.2,-0.10,-0.18,0,0,0
TAG,04/02/2010,54.1,55.0,54.0,54.2,8900,58.90,51.30,55.1,-0.90,-1.63,0,0,0
TAG,04/01/2010,55.5,55.5,54.8,55.1,5300,58.60,51.00,54.8,0.30,0.55,0,0,0
TAG,03/31/2010,57.0,57.5,54.1,54.8,5800,59.80,52.00,55.9,-1.10,-1.97,0,0,0
TAG,03/30/2010,56.1,57.5,55.0,55.9,19800,61.30,53.30,57.3,-1.40,-2.44,0,0,0
TAG,03/29/2010,60.0,60.0,56.8,57.3,24200,65.20,56.80,61.0,-3.70,-6.07,0,0,0
TAG,03/26/2010,58.9,62.0,58.9,61.0,22300,62.40,54.40,58.4,2.60,4.45,0,0,0
TAG,03/25/2010,60.5,60.5,56.0,58.4,12100,63.40,55.20,59.3,-0.90,-1.52,0,0,0
TAG,03/24/2010,57.8,59.5,57.8,59.3,7700,61.90,53.90,57.9,1.40,2.42,0,0,400
TAG,03/23/2010,60.9,61.0,56.7,57.9,20000,65.10,56.70,60.9,-3.00,-4.93,0,300,0
TAG,03/22/2010,61.5,61.5,60.8,60.9,10200,66.10,57.50,61.8,-0.90,-1.46,0,0,0
TAG,03/19/2010,63.5,63.5,60.0,61.8,10100,65.80,57.20,61.5,0.30,0.49,0,0,0
TAG,03/18/2010,60.0,62.4,60.0,61.5,17700,62.50,54.50,58.5,3.00,5.13,0,0,500
TAG,03/17/2010,59.0,59.5,58.0,58.5,13200,64.80,56.40,60.6,-2.10,-3.47,0,0,0
TAG,03/16/2010,60.0,62.5,59.5,60.6,29700,67.90,59.10,63.5,-2.90,-4.57,0,0,0
TAG,03/15/2010,63.0,65.0,63.0,63.5,19800,67.70,58.90,63.3,0.20,0.32,0,0,0
TAG,03/12/2010,65.8,65.8,60.0,63.3,31000,65.80,57.20,61.5,1.80,2.93,0,400,500
TAG,03/11/2010,61.5,61.5,61.5,61.5,27100,61.50,53.50,57.5,4.00,6.96,0,0,500
TAG,03/10/2010,57.0,57.6,57.0,57.5,23000,57.60,50.20,53.9,3.60,6.68,0,0,0
TAG,03/09/2010,51.5,55.1,50.5,53.9,39900,55.10,47.90,51.5,2.40,4.66,0,500,0
TAG,03/08/2010,52.0,52.0,51.2,51.5,1300,54.60,47.60,51.1,0.40,0.78,0,500,0
TAG,03/05/2010,52.0,52.0,51.0,51.1,900,54.60,47.60,51.1,0.00,0.00,0,0,0
TAG,03/04/2010,51.5,51.5,50.6,51.1,800,55.30,48.10,51.7,-0.60,-1.16,0,0,0
TAG,03/03/2010,51.5,52.5,51.0,51.7,5100,56.60,49.20,52.9,-1.20,-2.27,0,0,0
TAG,03/02/2010,0.0,0.0,0.0,52.9,0,56.60,49.20,52.9,0.00,0.00,0,0,0
TAG,03/01/2010,0.0,0.0,0.0,52.9,0,56.60,49.20,52.9,0.00,0.00,0,0,0
TAG,02/26/2010,53.0,53.0,52.0,52.9,1000,56.90,49.50,53.2,-0.30,-0.56,0,0,0
TAG,02/25/2010,56.4,56.4,52.5,53.2,7800,60.30,52.50,56.4,-3.20,-5.67,0,500,4000
TAG,02/24/2010,56.8,56.8,56.3,56.4,600,57.60,50.20,53.9,2.50,4.64,0,0,0
TAG,02/23/2010,53.0,59.0,53.0,53.9,2500,59.90,52.10,56.0,-2.10,-3.75,0,0,1000
TAG,02/22/2010,63.6,63.6,55.8,58.0,1900,64.20,55.80,60.0,-2.00,-3.33,0,0,1000
TAG,02/12/2010,60.0,60.0,60.0,60.0,200,63.60,55.40,59.5,0.50,0.84,0,0,0
TAG,02/11/2010,60.0,60.0,59.0,59.5,1200,60.80,53.00,56.9,2.60,4.57,0,0,0
TAG,02/10/2010,56.0,57.9,56.0,56.9,1000,59.50,51.90,55.7,1.20,2.15,0,0,0
TAG,02/09/2010,0.0,0.0,0.0,55.7,0,59.50,51.90,55.7,0.00,0.00,0,0,0
TAG,02/08/2010,59.4,59.4,55.0,55.7,800,61.40,53.40,57.4,-1.70,-2.96,0,0,0
TAG,02/05/2010,60.0,60.5,57.0,57.4,4200,62.00,54.00,58.0,-0.60,-1.03,0,0,0
TAG,02/04/2010,58.0,58.0,58.0,58.0,100,63.60,55.40,59.5,-1.50,-2.52,0,0,0
TAG,02/03/2010,59.6,60.0,56.0,59.5,1100,63.70,55.50,59.6,-0.10,-0.17,0,0,0
TAG,02/02/2010,59.6,59.6,59.6,59.6,400,59.80,52.00,55.9,3.70,6.62,0,0,0
TAG,02/01/2010,55.0,57.0,55.0,55.9,1000,58.90,51.30,55.1,0.80,1.45,0,0,0
TAG,01/29/2010,55.0,55.5,55.0,55.1,400,59.00,51.40,55.2,-0.10,-0.18,0,0,0
TAG,01/28/2010,55.5,55.5,55.0,55.2,1200,62.90,54.70,58.8,-3.60,-6.12,0,0,0
TAG,01/27/2010,63.0,63.0,58.1,58.8,2800,66.70,58.10,62.4,-3.60,-5.77,0,0,0
TAG,01/26/2010,61.0,63.0,61.0,62.4,4200,63.00,54.80,58.9,3.50,5.94,0,0,0
TAG,01/25/2010,57.5,63.0,57.5,58.9,400,66.10,57.50,61.8,-2.90,-4.69,0,0,0
TAG,01/22/2010,61.8,61.8,61.8,61.8,3200,71.00,61.80,66.4,-4.60,-6.93,0,0,0
TAG,01/21/2010,66.4,66.4,66.4,66.4,300,76.20,66.40,71.3,-4.90,-6.87,0,0,0
TAG,01/20/2010,70.0,75.2,70.0,71.3,8000,80.40,70.00,75.2,-3.90,-5.19,0,2000,0
TAG,01/19/2010,72.4,80.0,72.4,75.2,4000,83.20,72.40,77.8,-2.60,-3.34,0,2000,0
TAG,01/18/2010,79.4,79.4,73.9,77.8,2800,84.90,73.90,79.4,-1.60,-2.02,0,2000,0
TAG,01/15/2010,84.2,84.2,78.4,79.4,3700,90.00,78.40,84.2,-4.80,-5.70,0,100,0
TAG,01/14/2010,88.0,88.0,82.3,84.2,9200,88.00,76.60,82.3,1.90,2.31,0,500,0
