MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TDH,08/11/2010,39.6,40.9,39.4,40.0,147380,42.40,38.40,40.4,-0.40,-0.99,0,200,0
TDH,08/10/2010,42.0,42.0,40.4,40.4,118890,44.60,40.40,42.5,-2.10,-4.94,25020,0,0
TDH,08/09/2010,42.7,43.0,42.0,42.5,133670,45.20,41.00,43.1,-0.60,-1.39,35000,0,0
TDH,08/06/2010,43.3,43.5,43.1,43.1,109390,45.40,41.20,43.3,-0.20,-0.46,38400,1000,0
TDH,08/05/2010,44.0,44.3,43.1,43.3,99570,45.70,41.50,43.6,-0.30,-0.69,81000,6170,0
TDH,08/04/2010,43.5,43.7,42.9,43.6,177310,45.70,41.50,43.6,0.00,0.00,0,30000,0
TDH,08/03/2010,43.9,44.2,43.6,43.6,181100,45.90,41.70,43.8,-0.20,-0.46,35000,30500,0
TDH,08/02/2010,44.8,44.8,43.8,43.8,158820,45.80,41.60,43.7,0.10,0.23,0,810,0
TDH,07/30/2010,43.7,44.6,43.6,43.7,156210,45.80,41.60,43.7,0.00,0.00,24000,0,0
TDH,07/29/2010,44.6,45.0,43.7,43.7,131110,47.30,42.90,45.1,-1.40,-3.10,0,0,0
TDH,07/28/2010,46.9,46.9,45.0,45.1,67260,48.80,44.20,46.5,-1.40,-3.01,35000,21060,0
TDH,07/27/2010,46.7,47.0,46.5,46.5,167500,49.20,44.60,46.9,-0.40,-0.85,0,0,0
TDH,07/26/2010,46.9,47.1,46.9,46.9,123020,49.20,44.60,46.9,0.00,0.00,20000,0,3000
TDH,07/23/2010,47.0,47.5,46.7,46.9,109380,49.10,44.50,46.8,0.10,0.21,0,10140,4270
TDH,07/22/2010,47.0,47.4,46.7,46.8,128670,50.00,45.40,47.7,-0.90,-1.89,0,10000,36360
TDH,07/21/2010,48.0,48.0,47.3,47.7,81290,50.00,45.60,48.0,-0.30,-0.63,20000,0,5100
TDH,07/20/2010,0.0,48.9,47.8,48.0,52330,50.50,45.90,48.3,-0.30,-0.62,85700,500,1580
TDH,07/19/2010,48.1,48.6,48.0,48.3,133080,51.00,46.20,48.6,-0.30,-0.62,25000,43200,54950
TDH,07/16/2010,49.5,49.5,48.6,48.6,79320,51.50,47.10,49.5,-0.90,-1.82,49850,8240,0
TDH,07/15/2010,49.2,49.9,49.2,49.5,130430,52.50,47.50,50.0,-0.50,-1.00,20000,90000,10000
TDH,07/14/2010,50.5,51.0,49.0,50.0,168340,52.50,47.50,50.0,0.00,0.00,85700,66000,5600
TDH,07/13/2010,49.0,50.0,49.0,50.0,159240,51.00,46.40,48.8,1.20,2.46,25000,7850,1000
TDH,07/12/2010,46.7,48.8,46.5,48.8,181270,49.00,44.40,46.7,2.10,4.50,0,55980,0
TDH,07/09/2010,46.5,47.0,46.5,46.7,88450,49.30,44.70,47.0,-0.30,-0.64,20000,1000,8540
TDH,07/08/2010,47.1,47.9,47.0,47.0,156180,49.40,44.80,47.1,-0.10,-0.21,67200,3000,2130
