MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
THB,08/11/2010,17.8,18.0,17.8,17.9,7100,19.00,16.60,17.8,0.10,0.56,0,0,0
THB,08/10/2010,18.6,18.6,17.3,17.8,18700,19.40,17.00,18.2,-0.40,-2.20,0,0,0
THB,08/09/2010,18.3,18.8,17.7,18.2,4500,19.40,17.00,18.2,0.00,0.00,0,0,0
THB,08/06/2010,18.5,18.5,18.0,18.2,20500,19.50,17.10,18.3,-0.10,-0.55,0,100,0
THB,08/05/2010,18.5,18.5,18.1,18.3,15500,19.50,17.10,18.3,0.00,0.00,0,0,0
THB,08/04/2010,18.3,18.7,18.2,18.3,12200,19.70,17.30,18.5,-0.20,-1.08,0,500,0
THB,08/03/2010,19.0,19.0,18.2,18.5,8700,20.20,17.60,18.9,-0.40,-2.12,0,100,0
THB,08/02/2010,19.3,19.3,18.8,18.9,2700,20.50,17.90,19.2,-0.30,-1.56,0,100,0
THB,07/30/2010,19.3,19.3,19.1,19.2,8900,20.30,17.70,19.0,0.20,1.05,0,0,0
THB,07/29/2010,19.0,19.0,18.7,19.0,7100,20.50,17.90,19.2,-0.20,-1.04,0,0,0
THB,07/28/2010,19.3,19.5,19.0,19.2,20000,20.40,17.80,19.1,0.10,0.52,0,10000,0
THB,07/27/2010,19.3,19.3,19.0,19.1,7800,20.90,18.30,19.6,-0.50,-2.55,0,0,0
THB,07/26/2010,20.0,20.0,19.4,19.6,10300,21.40,18.60,20.0,-0.40,-2.00,0,400,0
THB,07/23/2010,20.0,20.3,19.6,20.0,16300,21.20,18.60,19.9,0.10,0.50,0,0,0
THB,07/22/2010,20.4,20.4,19.5,19.9,9500,21.20,18.60,19.9,0.00,0.00,0,0,0
THB,07/21/2010,19.5,20.0,19.5,19.9,22900,20.70,18.10,19.4,0.50,2.58,0,0,0
THB,07/20/2010,19.3,19.5,19.3,19.4,7900,21.00,18.40,19.7,-0.30,-1.52,0,0,0
THB,07/19/2010,19.6,19.8,19.2,19.7,16300,21.00,18.40,19.7,0.00,0.00,0,0,0
THB,07/16/2010,19.8,19.8,19.5,19.7,3900,21.00,18.40,19.7,0.00,0.00,0,0,0
THB,07/15/2010,19.8,20.0,19.5,19.7,25700,21.40,18.60,20.0,-0.30,-1.50,0,0,0
THB,07/14/2010,21.5,21.5,19.0,20.0,27300,21.60,18.80,20.2,-0.20,-0.99,0,0,0
THB,07/13/2010,20.4,20.4,19.5,20.2,19800,20.90,18.30,19.6,0.60,3.06,0,0,0
THB,07/12/2010,19.8,19.8,19.4,19.6,22200,21.00,18.40,19.7,-0.10,-0.51,0,0,0
THB,07/09/2010,19.8,19.8,19.0,19.7,22000,20.60,18.00,19.3,0.40,2.07,0,0,0
THB,07/08/2010,20.0,20.3,18.7,19.3,14200,21.40,18.60,20.0,-0.70,-3.50,0,0,0
THB,07/07/2010,19.9,20.2,19.5,20.0,5000,20.90,18.30,19.6,0.40,2.04,0,0,0
THB,07/06/2010,19.1,19.8,19.1,19.6,11700,21.00,18.40,19.7,-0.10,-0.51,0,0,0
THB,07/05/2010,19.9,19.9,19.5,19.7,3200,20.80,18.20,19.5,0.20,1.03,0,0,0
THB,07/02/2010,19.4,19.9,19.3,19.5,9100,20.60,18.00,19.3,0.20,1.04,0,0,0
THB,07/01/2010,19.1,19.5,19.1,19.3,12300,20.30,17.70,19.0,0.30,1.58,0,0,0
THB,06/30/2010,18.7,19.1,18.6,19.0,10300,20.70,18.10,19.4,-0.40,-2.06,0,0,0
THB,06/29/2010,19.5,19.7,19.2,19.4,13700,20.70,18.10,19.4,0.00,0.00,0,0,0
THB,06/28/2010,19.2,19.6,19.2,19.4,9900,20.70,18.10,19.4,0.00,0.00,0,0,0
THB,06/25/2010,19.8,19.8,19.0,19.4,22100,21.20,18.60,19.9,-0.50,-2.51,0,0,0
THB,06/24/2010,19.3,20.4,19.3,19.9,10000,21.90,19.10,20.5,-0.60,-2.93,0,0,0
THB,06/23/2010,20.5,20.8,19.4,20.5,51600,22.10,19.30,20.7,-0.20,-0.97,0,0,0
THB,06/22/2010,20.7,20.9,20.1,20.7,22700,22.20,19.40,20.8,-0.10,-0.48,0,0,0
THB,06/21/2010,20.4,21.0,20.3,20.8,22700,22.30,19.50,20.9,-0.10,-0.48,0,0,0
THB,06/18/2010,21.7,21.7,20.1,20.9,48700,22.20,19.40,20.8,0.10,0.48,0,0,0
THB,06/17/2010,20.4,20.8,20.2,20.8,98000,20.80,18.20,19.5,1.30,6.67,0,0,0
THB,06/16/2010,19.4,19.7,19.3,19.5,34200,20.60,18.00,19.3,0.20,1.04,0,0,0
THB,06/15/2010,19.3,19.3,19.3,19.3,3000,20.50,17.90,19.2,0.10,0.52,0,0,0
THB,06/14/2010,19.2,19.5,19.1,19.2,16000,20.40,17.80,19.1,0.10,0.52,0,100,0
THB,06/11/2010,19.1,19.1,19.0,19.1,3700,20.30,17.70,19.0,0.10,0.53,0,100,0
