MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TNA,08/11/2010,29.0,31.1,29.0,31.1,8080,31.10,28.30,29.7,1.40,4.71,0,0,0
TNA,08/10/2010,31.9,31.9,29.7,29.7,34640,32.50,29.50,31.0,-1.30,-4.19,0,0,0
TNA,08/09/2010,31.7,32.0,31.0,31.0,41920,33.60,30.40,32.0,-1.00,-3.13,0,0,0
TNA,08/06/2010,32.2,32.3,32.0,32.0,17000,33.80,30.60,32.2,-0.20,-0.62,0,0,0
TNA,08/05/2010,33.5,33.5,32.2,32.2,17840,34.10,30.90,32.5,-0.30,-0.92,0,0,0
TNA,08/04/2010,0.0,32.5,30.2,32.5,14390,32.70,29.70,31.2,1.30,4.17,0,0,0
TNA,08/03/2010,32.4,32.5,31.2,31.2,20840,34.20,31.00,32.6,-1.40,-4.29,0,0,0
TNA,08/02/2010,32.1,32.8,32.1,32.6,11950,34.60,31.40,33.0,-0.40,-1.21,0,0,0
TNA,07/30/2010,32.6,33.2,32.6,33.0,12730,34.50,31.30,32.9,0.10,0.30,0,0,0
TNA,07/29/2010,0.0,32.9,32.3,32.9,11890,34.50,31.30,32.9,0.00,0.00,0,0,0
TNA,07/28/2010,31.5,33.0,31.5,32.9,6470,34.60,31.40,33.0,-0.10,-0.30,0,0,0
TNA,07/27/2010,34.0,34.0,33.0,33.0,21200,34.50,31.30,32.9,0.10,0.30,0,0,0
TNA,07/26/2010,0.0,33.1,31.2,32.9,490,34.30,31.10,32.7,0.20,0.61,0,0,0
TNA,07/23/2010,32.7,32.7,32.6,32.7,11290,34.30,31.10,32.7,0.00,0.00,0,0,0
TNA,07/22/2010,33.9,33.9,32.7,32.7,8190,34.70,31.50,33.1,-0.40,-1.21,0,0,0
TNA,07/21/2010,32.6,34.7,32.6,33.1,3780,34.70,31.50,33.1,0.00,0.00,0,0,0
TNA,07/20/2010,0.0,33.7,32.6,33.1,28400,35.30,32.10,33.7,-0.60,-1.78,0,0,0
TNA,07/19/2010,34.0,34.0,33.7,33.7,16680,35.70,32.30,34.0,-0.30,-0.88,0,0,0
