MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VC1,08/11/2010,47.8,48.0,47.8,47.8,5000,51.00,44.40,47.7,0.10,0.21,90000,0,0
VC1,08/10/2010,49.1,49.1,46.9,47.7,9900,53.90,46.90,50.4,-2.70,-5.36,25000,0,0
VC1,08/09/2010,50.0,50.7,50.0,50.4,6700,57.30,49.90,53.6,-3.20,-5.97,110500,0,0
VC1,08/06/2010,53.0,53.9,51.2,53.6,39000,57.30,49.90,53.6,0.00,0.00,25000,0,0
VC1,08/05/2010,57.7,57.7,53.0,53.6,3700,57.70,50.30,54.0,-0.40,-0.74,25000,0,0
VC1,08/04/2010,54.2,55.1,53.0,54.0,9400,58.90,51.30,55.1,-1.10,-2.00,65000,0,0
VC1,08/03/2010,56.0,56.0,54.8,55.1,3900,58.90,51.30,55.1,0.00,0.00,115500,0,0
VC1,08/02/2010,55.2,55.3,55.1,55.1,5800,62.40,54.40,58.4,-3.30,-5.65,30000,0,0
VC1,07/30/2010,0.0,0.0,0.0,58.4,0,62.40,54.40,58.4,0.00,0.00,30000,0,0
VC1,07/29/2010,58.4,58.5,58.3,58.4,30000,59.90,52.10,56.0,2.40,4.29,36000,0,0
VC1,07/28/2010,56.3,56.5,55.5,56.0,6500,60.20,52.40,56.3,-0.30,-0.53,115500,0,0
VC1,07/27/2010,57.0,57.0,56.1,56.3,7900,60.90,53.10,57.0,-0.70,-1.23,0,0,0
VC1,07/26/2010,57.1,57.1,57.0,57.0,1900,62.00,54.00,58.0,-1.00,-1.72,30000,0,0
VC1,07/23/2010,60.7,60.7,57.0,58.0,33600,60.90,53.10,57.0,1.00,1.75,65000,0,0
VC1,07/22/2010,57.0,57.0,56.7,57.0,6100,62.30,54.30,58.3,-1.30,-2.23,90500,0,0
VC1,07/21/2010,59.6,59.6,57.0,58.3,14300,63.70,55.50,59.6,-1.30,-2.18,55000,0,0
VC1,07/20/2010,60.4,60.4,58.0,59.6,38300,62.70,54.50,58.6,1.00,1.71,35000,0,0
VC1,07/19/2010,58.0,59.0,57.5,58.6,28900,61.70,53.70,57.7,0.90,1.56,30000,0,0
VC1,07/16/2010,57.5,58.3,55.5,57.7,9800,62.30,54.30,58.3,-0.60,-1.03,25500,0,0
VC1,07/15/2010,58.0,58.6,58.0,58.3,16000,64.20,55.80,60.0,-1.70,-2.83,50000,0,0
VC1,07/14/2010,61.5,61.5,59.3,60.0,10400,64.50,56.10,60.3,-0.30,-0.50,30000,0,0
VC1,07/13/2010,59.9,61.0,59.9,60.3,1700,63.40,55.20,59.3,1.00,1.69,0,0,0
VC1,07/12/2010,59.0,59.7,59.0,59.3,3600,63.60,55.40,59.5,-0.20,-0.34,30000,0,0
VC1,07/09/2010,59.6,59.6,59.3,59.5,3500,63.80,55.60,59.7,-0.20,-0.34,25000,0,0
VC1,07/08/2010,59.1,59.7,59.1,59.7,23100,64.50,56.10,60.3,-0.60,-1.00,40000,0,0
VC1,07/07/2010,60.4,61.9,60.2,60.3,9200,64.40,56.00,60.2,0.10,0.17,75200,0,0
VC1,07/06/2010,60.5,60.5,60.0,60.2,9400,66.40,57.80,62.1,-1.90,-3.06,25000,0,0
VC1,07/05/2010,62.5,62.5,61.2,62.1,6500,66.60,58.00,62.3,-0.20,-0.32,55000,0,0
VC1,07/02/2010,62.0,62.8,62.0,62.3,4400,67.10,58.50,62.8,-0.50,-0.80,30000,0,0
VC1,07/01/2010,62.0,63.0,61.1,62.8,90400,67.30,58.50,62.9,-0.10,-0.16,30000,600,0
VC1,06/30/2010,59.0,64.5,59.0,62.9,118700,64.50,56.10,60.3,2.60,4.31,20000,0,0
VC1,06/29/2010,59.0,62.5,59.0,60.3,55700,64.30,55.90,60.1,0.20,0.33,45000,0,0
VC1,06/28/2010,60.9,61.0,59.8,60.1,40200,63.90,55.70,59.8,0.30,0.50,0,0,0
VC1,06/25/2010,62.0,64.0,59.0,59.8,101700,64.00,55.80,59.9,-0.10,-0.17,20000,0,0
VC1,06/24/2010,60.5,61.0,59.0,59.9,24100,63.70,55.50,59.6,0.30,0.50,50000,0,0
VC1,06/23/2010,59.0,60.5,59.0,59.6,28000,63.60,55.40,59.5,0.10,0.17,40000,0,0
VC1,06/22/2010,60.0,60.0,59.0,59.5,46100,63.20,55.00,59.1,0.40,0.68,30000,0,0
VC1,06/21/2010,57.6,59.5,57.6,59.1,69800,63.50,55.30,59.4,-0.30,-0.51,20000,0,0
VC1,06/18/2010,59.1,59.5,59.1,59.4,64300,63.70,55.50,59.6,-0.20,-0.34,60000,0,0
VC1,06/17/2010,60.0,60.0,59.2,59.6,25900,64.50,56.10,60.3,-0.70,-1.16,40000,0,0
VC1,06/16/2010,61.0,61.0,60.0,60.3,36600,64.90,56.50,60.7,-0.40,-0.66,20000,0,0
VC1,06/15/2010,61.0,61.1,60.0,60.7,21700,63.90,55.70,59.8,0.90,1.51,45000,0,0
VC1,06/14/2010,60.0,60.4,59.5,59.8,13900,64.00,55.80,59.9,-0.10,-0.17,90000,0,0
VC1,06/11/2010,60.6,60.7,59.5,59.9,26000,62.00,54.00,58.0,1.90,3.28,50000,0,0
VC1,06/10/2010,58.0,58.4,57.7,58.0,26200,61.70,53.70,57.7,0.30,0.52,60200,0,0
VC1,06/09/2010,58.0,58.5,57.2,57.7,5700,60.80,53.00,56.9,0.80,1.41,50000,0,0
VC1,06/08/2010,55.5,58.0,55.0,56.9,43600,60.80,53.00,56.9,0.00,0.00,65000,0,0
VC1,06/07/2010,57.0,59.0,56.6,56.9,41000,64.90,56.50,60.7,-3.80,-6.26,50000,0,0
