MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VCR,08/11/2010,25.3,26.0,25.0,25.5,123200,27.30,23.90,25.6,-0.10,-0.39,0,0,0
VCR,08/10/2010,26.0,26.2,25.5,25.6,238900,29.30,25.50,27.4,-1.80,-6.57,0,0,0
VCR,08/09/2010,29.3,29.3,26.8,27.4,106200,30.80,26.80,28.8,-1.40,-4.86,0,0,0
VCR,08/06/2010,29.6,29.6,28.5,28.8,61500,31.30,27.30,29.3,-0.50,-1.71,0,0,0
VCR,08/05/2010,29.9,30.0,29.0,29.3,92500,31.40,27.40,29.4,-0.10,-0.34,0,0,0
VCR,08/04/2010,30.0,30.1,29.0,29.4,134200,32.20,28.00,30.1,-0.70,-2.33,0,0,0
VCR,08/03/2010,30.0,30.7,29.6,30.1,216300,32.30,28.10,30.2,-0.10,-0.33,0,0,0
VCR,08/02/2010,30.5,30.5,29.8,30.2,98300,32.90,28.70,30.8,-0.60,-1.95,0,0,0
VCR,07/30/2010,31.2,31.5,30.4,30.8,178500,32.60,28.40,30.5,0.30,0.98,0,0,0
VCR,07/29/2010,30.3,31.4,30.3,30.5,109200,33.20,29.00,31.1,-0.60,-1.93,0,0,0
VCR,07/28/2010,32.1,32.1,30.0,31.1,245300,34.20,29.80,32.0,-0.90,-2.81,9000,0,0
VCR,07/27/2010,31.5,33.0,31.5,32.0,237500,33.40,29.20,31.3,0.70,2.24,0,10000,0
VCR,07/26/2010,31.2,31.9,31.2,31.3,109700,33.30,29.10,31.2,0.10,0.32,0,0,0
VCR,07/23/2010,30.6,32.3,30.0,31.2,302800,32.40,28.20,30.3,0.90,2.97,0,0,0
VCR,07/22/2010,30.5,31.0,30.0,30.3,172800,32.60,28.40,30.5,-0.20,-0.66,0,0,0
VCR,07/21/2010,31.9,31.9,30.0,30.5,168900,33.50,29.30,31.4,-0.90,-2.87,20000,0,0
VCR,07/20/2010,32.4,32.4,31.0,31.4,222400,34.00,29.60,31.8,-0.40,-1.26,8600,0,0
VCR,07/19/2010,32.0,32.0,31.5,31.8,132600,34.10,29.70,31.9,-0.10,-0.31,0,0,0
VCR,07/16/2010,31.7,32.5,31.5,31.9,255300,33.90,29.50,31.7,0.20,0.63,0,0,0
VCR,07/15/2010,32.5,32.5,31.0,31.7,238100,35.30,30.70,33.0,-1.30,-3.94,0,0,0
VCR,07/14/2010,33.3,33.3,32.5,33.0,399800,35.20,30.60,32.9,0.10,0.30,0,0,0
VCR,07/13/2010,33.0,33.5,32.5,32.9,212300,34.90,30.50,32.7,0.20,0.61,0,0,0
VCR,07/12/2010,34.1,34.1,32.0,32.7,174900,34.30,29.90,32.1,0.60,1.87,0,0,0
VCR,07/09/2010,32.1,32.1,31.0,32.1,594100,32.10,27.90,30.0,2.10,7.00,0,0,0
VCR,07/08/2010,30.0,30.9,29.5,30.0,241700,31.50,27.50,29.5,0.50,1.69,0,100,0
VCR,07/07/2010,30.0,30.3,29.0,29.5,109600,31.70,27.70,29.7,-0.20,-0.67,0,0,0
VCR,07/06/2010,31.0,31.0,29.4,29.7,159900,32.70,28.50,30.6,-0.90,-2.94,0,100,0
VCR,07/05/2010,31.0,31.0,30.4,30.6,65700,32.80,28.60,30.7,-0.10,-0.33,0,0,0
VCR,07/02/2010,31.0,31.0,30.1,30.7,167300,31.90,27.90,29.9,0.80,2.68,0,0,0
VCR,07/01/2010,30.1,30.3,29.0,29.9,152000,32.20,28.00,30.1,-0.20,-0.66,0,0,0
VCR,06/30/2010,31.0,31.0,29.8,30.1,232300,34.00,29.60,31.8,-1.70,-5.35,0,0,0
VCR,06/29/2010,31.5,32.0,31.5,31.8,121400,34.10,29.70,31.9,-0.10,-0.31,9000,0,0
VCR,06/28/2010,32.6,32.6,31.5,31.9,146200,34.80,30.40,32.6,-0.70,-2.15,0,0,0
VCR,06/25/2010,31.9,33.4,31.9,32.6,246400,35.70,31.10,33.4,-0.80,-2.40,0,0,0
