MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VES,08/11/2010,26.9,29.0,26.9,29.2,68190,29.70,26.90,28.3,0.90,3.18,0,0,0
VES,08/10/2010,0.0,28.3,28.3,28.3,13510,31.10,28.30,29.7,-1.40,-4.71,0,0,0
VES,08/09/2010,32.0,32.3,29.7,29.7,32200,32.70,29.70,31.2,-1.50,-4.81,0,0,0
VES,08/06/2010,28.6,31.2,28.6,31.2,300220,31.20,28.40,29.8,1.40,4.70,0,0,0
VES,08/05/2010,32.0,32.0,29.8,29.8,79650,32.80,29.80,31.3,-1.50,-4.79,0,0,0
VES,08/04/2010,31.5,31.5,31.3,31.3,58600,34.50,31.30,32.9,-1.60,-4.86,0,0,0
VES,08/03/2010,0.0,33.2,32.0,32.9,50480,33.70,30.50,32.1,0.80,2.49,0,0,0
VES,08/02/2010,34.0,34.0,32.1,32.1,15750,34.50,31.30,32.9,-0.80,-2.43,0,0,0
VES,07/30/2010,0.0,33.2,32.0,32.9,34340,34.80,31.60,33.2,-0.30,-0.90,35000,0,0
VES,07/29/2010,0.0,33.3,33.2,33.2,5140,33.60,30.40,32.0,1.20,3.75,0,0,0
VES,07/28/2010,32.0,33.6,32.0,32.0,60570,35.20,32.00,33.6,-1.60,-4.76,0,0,0
VES,07/27/2010,36.3,36.3,33.6,33.6,23230,37.00,33.60,35.3,-1.70,-4.82,0,0,0
VES,07/26/2010,36.6,36.7,35.2,35.3,51090,36.70,33.30,35.0,0.30,0.86,0,0,0
VES,07/23/2010,34.0,35.0,33.4,35.0,177470,35.00,31.80,33.4,1.60,4.79,0,0,0
VES,07/22/2010,33.4,35.0,33.4,33.4,135380,36.70,33.30,35.0,-1.60,-4.57,0,0,0
VES,07/21/2010,33.0,35.7,33.0,35.0,158300,35.70,32.30,34.0,1.00,2.94,0,0,0
VES,07/20/2010,34.5,34.5,32.5,34.0,167740,34.70,31.50,33.1,0.90,2.72,0,0,0
VES,07/19/2010,32.7,33.1,32.6,33.1,127730,33.10,30.10,31.6,1.50,4.75,0,0,0
VES,07/16/2010,31.6,31.6,30.5,31.6,178220,31.60,28.60,30.1,1.50,4.98,0,0,0
VES,07/15/2010,29.5,30.1,29.5,30.1,312350,30.10,27.30,28.7,1.40,4.88,0,0,0
VES,07/14/2010,28.7,28.7,28.6,28.7,374000,28.70,26.10,27.4,1.30,4.74,400000,0,0
VES,07/13/2010,27.4,27.4,27.4,27.4,23170,27.40,24.80,26.1,1.30,4.98,30000,0,0
VES,07/12/2010,26.1,26.1,26.1,26.1,9790,26.10,23.70,24.9,1.20,4.82,0,0,0
VES,07/09/2010,23.8,24.9,23.8,24.9,152770,24.90,22.70,23.8,1.10,4.62,0,0,0
VES,07/08/2010,25.0,25.0,23.6,23.8,39370,26.00,23.60,24.8,-1.00,-4.03,0,0,0
VES,07/07/2010,26.7,26.7,24.7,24.8,73930,27.00,24.60,25.8,-1.00,-3.88,0,0,0
VES,07/06/2010,27.4,27.4,25.7,25.8,76100,28.30,25.70,27.0,-1.20,-4.44,0,0,0
VES,07/05/2010,28.5,28.5,27.0,27.0,96880,28.60,26.00,27.3,-0.30,-1.10,0,0,0
VES,07/02/2010,26.0,27.3,26.0,27.3,45600,27.30,24.70,26.0,1.30,5.00,0,0,0
VES,07/01/2010,27.0,28.0,26.0,26.0,150730,28.30,25.70,27.0,-1.00,-3.70,0,0,0
VES,06/30/2010,27.0,28.0,26.7,27.0,131730,29.40,26.60,28.0,-1.00,-3.57,0,0,0
VES,06/29/2010,30.0,30.0,28.0,28.0,117480,30.40,27.60,29.0,-1.00,-3.45,0,0,0
VES,06/28/2010,29.2,29.2,28.5,29.0,124300,29.40,26.60,28.0,1.00,3.57,0,0,0
VES,06/25/2010,28.3,29.7,28.0,28.0,180580,29.70,26.90,28.3,-0.30,-1.06,0,0,0
VES,06/24/2010,28.3,28.3,28.3,28.3,240700,28.30,25.70,27.0,1.30,4.81,0,0,0
VES,06/23/2010,25.8,28.0,25.8,27.0,87670,28.30,25.70,27.0,0.00,0.00,0,0,0
VES,06/22/2010,28.4,28.6,27.0,27.0,122540,28.60,26.00,27.3,-0.30,-1.10,0,0,0
VES,06/21/2010,26.0,27.3,26.0,27.3,152210,27.30,24.70,26.0,1.30,5.00,0,0,0
VES,06/18/2010,25.2,26.7,24.7,26.0,111110,27.10,24.70,25.9,0.10,0.39,0,0,0
VES,06/17/2010,25.9,27.0,24.7,25.9,170300,27.10,24.70,25.9,0.00,0.00,40000,0,0
VES,06/16/2010,25.5,25.9,25.0,25.9,117080,25.90,23.50,24.7,1.20,4.86,0,0,0
VES,06/15/2010,24.7,24.7,24.5,24.7,269310,24.70,22.50,23.6,1.10,4.66,0,0,0
VES,06/14/2010,23.6,23.6,23.6,23.6,26560,23.60,21.40,22.5,1.10,4.89,0,0,0
VES,06/11/2010,22.5,22.5,22.4,22.5,314020,22.50,20.50,21.5,1.00,4.65,0,0,0
VES,06/10/2010,21.1,21.5,20.8,21.5,61950,22.00,20.00,21.0,0.50,2.38,0,50,0
VES,06/09/2010,21.9,21.9,21.0,21.0,53100,22.30,20.30,21.3,-0.30,-1.41,0,0,0
VES,06/08/2010,21.0,21.7,21.0,21.3,35560,22.50,20.50,21.5,-0.20,-0.93,0,0,0
VES,06/07/2010,21.4,22.4,21.4,21.5,189000,22.40,20.40,21.4,0.10,0.47,0,0,0
VES,06/04/2010,21.4,21.6,21.0,21.4,135830,22.40,20.40,21.4,0.00,0.00,100000,0,0
VES,06/03/2010,22.0,22.0,21.0,21.4,76270,22.40,20.40,21.4,0.00,0.00,0,0,0
VES,06/02/2010,20.4,21.4,19.5,21.4,123670,21.40,19.40,20.4,1.00,4.90,0,0,0
VES,06/01/2010,20.0,20.4,19.0,20.4,23590,21.00,19.00,20.0,0.40,2.00,0,0,0
VES,05/31/2010,20.9,20.9,20.0,20.0,14620,21.40,19.40,20.4,-0.40,-1.96,100000,0,0
VES,05/28/2010,20.3,20.4,20.0,20.4,202360,20.40,18.60,19.5,0.90,4.62,0,0,0
VES,05/27/2010,20.0,20.0,19.0,19.5,23940,20.40,18.60,19.5,0.00,0.00,0,0,0
VES,05/26/2010,19.2,19.5,19.0,19.5,77160,19.50,17.70,18.6,0.90,4.84,0,0,0
VES,05/25/2010,17.9,18.6,17.3,18.6,39910,18.70,17.10,17.9,0.70,3.91,100000,0,0
VES,05/24/2010,17.8,17.9,17.7,17.9,99720,19.50,17.70,18.6,-0.70,-3.76,0,0,0
VES,05/21/2010,18.6,18.6,18.6,18.6,2730,20.40,18.60,19.5,-0.90,-4.62,0,0,0
VES,05/20/2010,19.5,19.5,19.5,19.5,97440,21.50,19.50,20.5,-1.00,-4.88,0,0,0
VES,05/19/2010,20.5,20.8,20.5,20.5,63250,22.50,20.50,21.5,-1.00,-4.65,100000,0,0
VES,05/18/2010,21.7,21.7,20.7,21.5,85150,22.70,20.70,21.7,-0.20,-0.92,0,0,0
VES,05/17/2010,22.0,22.0,21.0,21.7,225470,22.00,20.00,21.0,0.70,3.33,50000,0,0
VES,05/14/2010,19.3,21.0,19.3,21.0,387590,21.30,19.30,20.3,0.70,3.45,0,50,0
VES,05/13/2010,21.3,21.3,20.3,20.3,2910,22.30,20.30,21.3,-1.00,-4.69,100000,0,0
VES,05/12/2010,21.3,21.3,21.3,21.3,9390,23.50,21.30,22.4,-1.10,-4.91,0,0,0
VES,05/11/2010,22.4,22.6,22.4,22.4,216110,24.60,22.40,23.5,-1.10,-4.68,0,50,0
VES,05/10/2010,23.5,23.5,23.5,23.5,113770,25.90,23.50,24.7,-1.20,-4.86,0,0,0
VES,05/07/2010,24.8,25.4,24.7,24.7,498530,27.10,24.70,25.9,-1.20,-4.63,0,0,0
VES,05/06/2010,25.9,25.9,25.9,25.9,59230,25.90,23.50,24.7,1.20,4.86,0,0,0
VES,05/05/2010,24.7,24.7,24.7,24.7,444570,24.70,22.50,23.6,1.10,4.66,0,0,0
VES,05/04/2010,23.6,23.6,23.6,23.6,25110,23.60,21.40,22.5,1.10,4.89,0,0,0
VES,04/29/2010,22.5,22.5,22.5,22.5,28750,22.50,20.50,21.5,1.00,4.65,0,0,0
VES,04/28/2010,20.5,21.5,20.4,21.5,273850,21.50,19.50,20.5,1.00,4.88,0,0,0
VES,04/27/2010,20.0,20.9,19.3,20.5,688920,21.30,19.30,20.3,0.20,0.99,0,0,0
VES,04/26/2010,20.3,20.3,20.3,20.3,261600,20.30,18.50,19.4,0.90,4.64,0,0,0
VES,04/22/2010,19.4,19.4,19.4,19.4,192530,19.40,17.60,18.5,0.90,4.86,0,0,0
VES,04/21/2010,18.5,18.5,18.5,18.5,35170,18.50,16.90,17.7,0.80,4.52,0,0,0
VES,04/20/2010,17.7,17.7,17.7,17.7,105410,17.70,16.10,16.9,0.80,4.73,0,0,0
VES,04/19/2010,16.5,16.9,16.2,16.9,364550,16.90,15.30,16.1,0.80,4.97,0,0,0
VES,04/16/2010,15.5,16.9,15.5,16.1,168900,16.90,15.30,16.1,0.00,0.00,0,0,0
VES,04/15/2010,16.9,17.0,16.1,16.1,227640,17.70,16.10,16.9,-0.80,-4.73,200000,0,0
VES,04/14/2010,18.0,18.0,16.0,16.9,305000,19.20,12.80,0.0,16.90,0.00,0,0,0
