MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VND,08/11/2010,26.0,26.8,25.6,26.3,452200,27.90,24.30,26.1,0.20,0.77,95000,400,0
VND,08/10/2010,27.5,27.6,25.7,26.1,842000,29.50,25.70,27.6,-1.50,-5.43,60000,0,0
VND,08/09/2010,28.5,28.7,26.9,27.6,941300,30.30,26.50,28.4,-0.80,-2.82,0,0,0
VND,08/06/2010,28.0,28.8,27.8,28.4,1339300,30.40,26.60,28.5,-0.10,-0.35,5000,0,0
VND,08/05/2010,28.5,28.9,28.2,28.5,402700,30.70,26.70,28.7,-0.20,-0.70,47300,0,0
VND,08/04/2010,29.1,29.3,28.4,28.7,495600,31.10,27.10,29.1,-0.40,-1.37,0,0,0
VND,08/03/2010,29.7,29.7,28.9,29.1,616700,31.50,27.50,29.5,-0.40,-1.36,0,0,0
VND,08/02/2010,30.0,30.5,29.1,29.5,317000,31.80,27.80,29.8,-0.30,-1.01,20000,0,0
VND,07/30/2010,30.0,30.1,29.4,29.8,646800,31.80,27.80,29.8,0.00,0.00,50000,0,0
VND,07/29/2010,30.0,30.1,29.5,29.8,443800,32.10,27.90,30.0,-0.20,-0.67,0,0,0
VND,07/28/2010,30.9,30.9,29.6,30.0,475600,33.00,28.80,30.9,-0.90,-2.91,0,0,0
VND,07/27/2010,31.0,31.3,30.5,30.9,617200,32.70,28.50,30.6,0.30,0.98,50000,0,0
VND,07/26/2010,31.4,31.4,30.2,30.6,582800,33.10,28.90,31.0,-0.40,-1.29,100000,0,0
VND,07/23/2010,31.6,31.7,30.6,31.0,566200,33.30,29.10,31.2,-0.20,-0.64,0,1000,0
VND,07/22/2010,31.4,31.7,30.8,31.2,595000,33.80,29.40,31.6,-0.40,-1.27,0,0,13400
VND,07/21/2010,32.5,32.5,31.0,31.6,580300,34.20,29.80,32.0,-0.40,-1.25,0,0,0
VND,07/20/2010,31.7,32.6,31.5,32.0,794500,33.20,29.00,31.1,0.90,2.89,0,0,0
VND,07/19/2010,32.0,32.0,30.8,31.1,1259500,34.10,29.70,31.9,-0.80,-2.51,0,0,0
VND,07/16/2010,32.6,32.9,31.6,31.9,1247100,35.00,30.60,32.8,-0.90,-2.74,0,2000,0
VND,07/15/2010,34.5,34.5,32.1,32.8,2092700,36.90,32.10,34.5,-1.70,-4.93,0,0,0
VND,07/14/2010,35.9,35.9,33.7,34.5,1449900,35.90,31.30,33.6,0.90,2.68,0,0,0
VND,07/13/2010,33.0,34.2,32.7,33.6,1130900,34.20,29.80,32.0,1.60,5.00,40000,0,0
VND,07/12/2010,32.4,32.5,31.6,32.0,471600,34.30,29.90,32.1,-0.10,-0.31,0,13400,10000
VND,07/09/2010,32.3,32.5,31.9,32.1,573800,34.50,30.10,32.3,-0.20,-0.62,10000,0,0
VND,07/08/2010,32.2,33.2,31.8,32.3,688900,34.10,29.70,31.9,0.40,1.25,0,0,0
VND,07/07/2010,32.2,32.5,31.1,31.9,731900,34.30,29.90,32.1,-0.20,-0.62,40000,1000,0
VND,07/06/2010,32.9,32.9,31.8,32.1,959700,35.20,30.60,32.9,-0.80,-2.43,0,0,0
VND,07/05/2010,33.0,33.4,32.7,32.9,663400,35.50,30.90,33.2,-0.30,-0.90,0,0,0
VND,07/02/2010,32.8,33.8,32.8,33.2,741600,35.20,30.60,32.9,0.30,0.91,85000,0,0
VND,07/01/2010,32.9,33.3,32.6,32.9,734700,35.50,30.90,33.2,-0.30,-0.90,99000,0,29400
VND,06/30/2010,33.6,33.6,32.5,33.2,533800,36.90,32.10,34.5,-1.30,-3.77,80000,0,0
VND,06/29/2010,35.0,35.5,33.8,34.5,1637000,37.00,32.20,34.6,-0.10,-0.29,15000,0,1000
VND,06/28/2010,34.6,35.0,33.8,34.6,1144500,36.40,31.80,34.1,0.50,1.47,20000,0,200
VND,06/25/2010,34.8,34.8,33.4,34.1,1381000,38.10,33.30,35.7,-1.60,-4.48,0,0,200
VND,06/24/2010,36.0,37.3,34.5,35.7,2396100,38.10,33.30,35.7,0.00,0.00,0,0,200300
VND,06/23/2010,35.0,36.3,33.8,35.7,2182900,36.30,31.70,34.0,1.70,5.00,0,6000,500
VND,06/22/2010,33.0,34.3,32.4,34.0,2864400,34.30,29.90,32.1,1.90,5.92,0,0,500
VND,06/21/2010,30.9,32.5,30.9,32.1,2007100,32.50,28.30,30.4,1.70,5.59,0,0,16100
VND,06/18/2010,29.6,30.9,29.5,30.4,1606600,31.30,27.30,29.3,1.10,3.75,0,0,16100
VND,06/17/2010,29.1,29.7,28.9,29.3,2036000,31.10,27.10,29.1,0.20,0.69,0,0,0
VND,06/16/2010,29.1,29.5,28.7,29.1,1002100,31.00,27.00,29.0,0.10,0.34,0,0,0
VND,06/15/2010,29.2,29.4,28.5,29.0,803500,31.10,27.10,29.1,-0.10,-0.34,0,0,0
VND,06/14/2010,29.6,29.7,28.8,29.1,1166700,31.30,27.30,29.3,-0.20,-0.68,0,100,0
VND,06/11/2010,29.4,29.7,28.9,29.3,776100,30.90,26.90,28.9,0.40,1.38,0,100,0
VND,06/10/2010,29.2,29.5,28.7,28.9,361000,31.30,27.30,29.3,-0.40,-1.37,0,0,0
VND,06/09/2010,29.5,29.8,28.9,29.3,709100,31.00,27.00,29.0,0.30,1.03,0,0,0
VND,06/08/2010,28.5,29.4,28.4,29.0,1257300,31.00,27.00,29.0,0.00,0.00,0,1000,0
VND,06/07/2010,29.5,29.5,28.5,29.0,991900,32.70,28.50,30.6,-1.60,-5.23,0,150000,0
VND,06/04/2010,31.0,31.0,30.2,30.6,989800,33.00,28.80,30.9,-0.30,-0.97,0,100,0
VND,06/03/2010,31.0,31.7,30.6,30.9,1858000,32.70,28.50,30.6,0.30,0.98,0,0,0
VND,06/02/2010,30.6,31.0,30.2,30.6,2267800,32.70,28.50,30.6,0.00,0.00,0,400,0
VND,06/01/2010,30.5,31.6,29.5,30.6,2359700,33.50,29.30,31.4,-0.80,-2.55,0,200000,0
VND,05/31/2010,31.5,32.1,31.0,31.4,1319900,33.50,29.30,31.4,0.00,0.00,20000,600,1000
VND,05/28/2010,31.5,31.5,31.0,31.4,3003200,31.50,27.50,29.5,1.90,6.44,557000,183600,15000
VND,05/27/2010,29.5,29.5,29.5,29.5,279200,29.50,25.70,27.6,1.90,6.88,701000,0,7000
VND,05/26/2010,27.6,27.6,27.6,27.6,1062700,27.60,24.00,25.8,1.80,6.98,235000,0,0
VND,05/25/2010,50.0,50.0,48.0,48.4,813400,52.60,45.80,49.2,-0.80,-1.63,0,0,1200
VND,05/24/2010,50.5,50.5,48.6,49.2,528000,52.00,45.20,48.6,0.60,1.23,83000,4000,15500
VND,05/21/2010,50.0,50.0,48.0,48.6,871000,53.90,46.90,50.4,-1.80,-3.57,0,600,10000
VND,05/20/2010,50.0,52.3,47.5,50.4,1066500,52.80,46.00,49.4,1.00,2.02,0,2000,500
VND,05/19/2010,49.0,50.6,48.7,49.4,701200,52.10,45.30,48.7,0.70,1.44,10000,0,0
VND,05/18/2010,49.0,49.3,48.1,48.7,603100,52.20,45.40,48.8,-0.10,-0.20,0,4700,0
VND,05/17/2010,49.7,49.7,48.2,48.8,349200,52.70,45.90,49.3,-0.50,-1.01,0,2700,0
VND,05/14/2010,49.5,49.7,48.9,49.3,388200,52.80,46.00,49.4,-0.10,-0.20,20200,0,0
VND,05/13/2010,49.0,50.9,48.9,49.4,597400,52.40,45.60,49.0,0.40,0.82,370000,0,0
VND,05/12/2010,51.0,51.0,48.3,49.0,693900,55.40,48.20,51.8,-2.80,-5.41,87000,0,0
VND,05/11/2010,52.0,53.0,51.0,51.8,1001900,54.20,47.20,50.7,1.10,2.17,0,0,0
VND,05/10/2010,53.6,53.6,50.2,50.7,943900,57.30,49.90,53.6,-2.90,-5.41,5000,0,0
VND,05/07/2010,56.0,56.0,52.5,53.6,783500,59.90,52.10,56.0,-2.40,-4.29,0,4000,0
VND,05/06/2010,55.4,58.2,55.4,56.0,605700,58.20,50.60,54.4,1.60,2.94,0,0,0
VND,05/05/2010,54.1,55.0,53.6,54.4,595800,57.80,50.40,54.1,0.30,0.55,0,100,4000
VND,05/04/2010,54.0,55.0,53.6,54.1,753500,56.80,49.40,53.1,1.00,1.88,0,0,0
VND,04/29/2010,53.5,53.6,52.8,53.1,481500,56.20,49.00,52.6,0.50,0.95,50000,0,0
VND,04/28/2010,53.0,53.2,52.0,52.6,601500,57.00,49.60,53.3,-0.70,-1.31,0,2100,0
VND,04/27/2010,54.0,54.0,52.5,53.3,830900,57.80,50.40,54.1,-0.80,-1.48,0,258000,0
VND,04/26/2010,54.1,54.5,53.1,54.1,933900,57.60,50.20,53.9,0.20,0.37,0,320000,3600
VND,04/22/2010,54.0,55.1,52.9,53.9,720600,55.90,48.70,52.3,1.60,3.06,0,29000,0
VND,04/21/2010,50.3,54.1,50.0,52.3,974500,54.10,47.10,50.6,1.70,3.36,0,0,4200
VND,04/20/2010,50.0,51.2,49.9,50.6,701600,53.80,46.80,50.3,0.30,0.60,0,0,4200
VND,04/19/2010,49.9,50.9,49.9,50.3,716900,53.30,46.50,49.9,0.40,0.80,0,0,5300
VND,04/16/2010,50.0,50.8,49.5,49.9,542500,53.00,46.20,49.6,0.30,0.60,0,0,8500
VND,04/15/2010,50.0,51.0,49.0,49.6,903100,52.40,45.60,49.0,0.60,1.22,19000,4500,28000
VND,04/14/2010,49.0,49.9,47.7,49.0,729000,53.10,46.30,49.7,-0.70,-1.41,0,4500,2000
VND,04/13/2010,53.2,53.7,48.9,49.7,756400,53.90,46.90,50.4,-0.70,-1.39,0,0,0
VND,04/12/2010,50.0,50.8,49.0,50.4,769400,50.80,44.20,47.5,2.90,6.11,44000,1300,4000
VND,04/09/2010,45.3,48.0,45.3,47.5,934400,48.00,41.80,44.9,2.60,5.79,600000,0,40000
VND,04/08/2010,44.5,45.5,44.3,44.9,1131600,47.40,41.20,44.3,0.60,1.35,0,0,46000
VND,04/07/2010,44.0,45.5,43.1,44.3,816300,47.00,41.00,44.0,0.30,0.68,0,1700,20000
VND,04/06/2010,44.0,45.0,43.0,44.0,724800,46.60,40.60,43.6,0.40,0.92,0,2000,10000
VND,04/05/2010,43.0,45.0,42.0,43.6,748500,46.40,40.40,43.4,0.20,0.46,0,6500,0
VND,04/02/2010,44.3,44.3,42.0,43.4,569400,47.10,41.10,44.1,-0.70,-1.59,0,3000,0
VND,04/01/2010,43.6,44.7,43.5,44.1,372900,46.40,40.40,43.4,0.70,1.61,40000,203000,15000
VND,03/31/2010,42.5,44.1,42.0,43.4,542900,44.10,38.50,41.3,2.10,5.08,303300,203000,15000
VND,03/30/2010,43.0,44.8,40.5,41.3,869800,0.00,0.00,0.0,41.30,0.00,0,6600,0
