MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VNH,08/11/2010,15.8,17.2,15.7,15.8,73480,17.30,15.70,16.5,-0.70,-4.24,0,0,0
VNH,08/10/2010,16.6,17.3,16.5,16.5,77300,18.10,16.50,17.3,-0.80,-4.62,20000,0,0
VNH,08/09/2010,17.5,18.2,17.3,17.3,263800,19.10,17.30,18.2,-0.90,-4.95,0,0,0
VNH,08/06/2010,19.8,19.8,18.2,18.2,62870,20.00,18.20,19.1,-0.90,-4.71,0,0,0
VNH,08/05/2010,18.0,19.1,18.0,19.1,164370,19.10,17.30,18.2,0.90,4.95,0,1550,0
VNH,08/04/2010,17.4,18.2,16.8,18.2,260960,18.20,16.60,17.4,0.80,4.60,0,0,0
VNH,08/03/2010,17.4,17.4,17.1,17.4,340350,17.40,15.80,16.6,0.80,4.82,0,0,0
VNH,08/02/2010,16.6,16.6,16.6,16.6,58670,16.60,15.20,15.9,0.70,4.40,0,0,0
VNH,07/30/2010,15.9,15.9,15.9,15.9,22170,15.90,14.50,15.2,0.70,4.61,21500,0,0
VNH,07/29/2010,14.6,15.2,14.6,15.2,252630,15.20,13.80,14.5,0.70,4.83,0,0,0
VNH,07/28/2010,14.6,14.6,14.0,14.5,18860,15.30,13.90,14.6,-0.10,-0.68,0,0,0
VNH,07/27/2010,14.9,14.9,14.6,14.6,33840,15.40,14.00,14.7,-0.10,-0.68,0,0,0
VNH,07/26/2010,14.6,14.9,14.5,14.7,51440,15.50,14.10,14.8,-0.10,-0.68,0,0,0
VNH,07/23/2010,14.5,14.8,14.4,14.8,56840,15.10,13.70,14.4,0.40,2.78,0,0,0
VNH,07/22/2010,14.5,14.5,14.3,14.4,64410,15.10,13.70,14.4,0.00,0.00,0,0,0
VNH,07/21/2010,14.3,14.5,14.2,14.4,34870,15.10,13.70,14.4,0.00,0.00,0,0,0
VNH,07/20/2010,14.2,14.4,14.2,14.4,24950,15.10,13.70,14.4,0.00,0.00,0,0,0
VNH,07/19/2010,14.7,14.7,14.3,14.4,21900,15.40,14.00,14.7,-0.30,-2.04,20600,0,0
VNH,07/16/2010,14.5,14.7,14.2,14.7,26220,15.20,13.80,14.5,0.20,1.38,0,0,0
VNH,07/15/2010,14.5,14.7,14.0,14.5,2980,15.20,13.80,14.5,0.00,0.00,0,0,0
VNH,07/14/2010,14.4,14.5,14.0,14.5,60900,14.50,13.30,13.9,0.60,4.32,0,0,0
VNH,07/13/2010,14.3,14.3,13.7,13.9,20430,14.30,13.10,13.7,0.20,1.46,0,0,0
VNH,07/12/2010,14.1,14.1,13.5,13.7,19120,14.70,13.30,14.0,-0.30,-2.14,0,0,0
VNH,07/09/2010,0.0,14.4,14.0,14.0,8960,15.30,13.90,14.6,-0.60,-4.11,0,0,0
VNH,07/08/2010,14.9,14.9,14.6,14.6,2160,14.90,13.50,14.2,0.40,2.82,0,0,0
VNH,07/07/2010,14.5,14.5,13.9,14.2,8590,14.70,13.30,14.0,0.20,1.43,0,0,0
VNH,07/06/2010,14.8,14.8,14.0,14.0,15100,15.20,13.80,14.5,-0.50,-3.45,28900,0,0
VNH,07/05/2010,0.0,15.1,14.5,14.5,16650,15.70,14.30,15.0,-0.50,-3.33,0,0,0
VNH,07/02/2010,15.0,15.0,14.3,15.0,4940,15.50,14.10,14.8,0.20,1.35,0,0,0
VNH,07/01/2010,14.4,15.0,14.4,14.8,13570,15.10,13.70,14.4,0.40,2.78,0,0,0
VNH,06/30/2010,14.9,14.9,14.4,14.4,13400,15.10,13.70,14.4,0.00,0.00,20000,0,0
VNH,06/29/2010,15.0,15.2,14.4,14.4,21780,15.80,14.40,15.1,-0.70,-4.64,0,0,0
VNH,06/28/2010,15.0,15.2,14.2,15.1,6640,15.40,14.00,14.7,0.40,2.72,0,0,0
VNH,06/25/2010,14.8,14.9,14.7,14.7,49030,16.00,14.60,15.3,-0.60,-3.92,0,0,0
VNH,06/24/2010,15.3,15.3,14.7,15.3,17710,16.00,14.60,15.3,0.00,0.00,0,0,0
VNH,06/23/2010,15.3,15.3,14.6,15.3,40560,15.90,14.50,15.2,0.10,0.66,0,0,0
VNH,06/22/2010,15.5,15.5,15.2,15.2,6210,16.20,14.80,15.5,-0.30,-1.94,0,0,0
VNH,06/21/2010,15.5,15.5,15.2,15.5,14920,16.00,14.60,15.3,0.20,1.31,0,0,0
VNH,06/18/2010,15.2,15.3,15.0,15.3,4530,15.90,14.50,15.2,0.10,0.66,0,0,0
VNH,06/17/2010,14.7,15.3,14.7,15.2,24780,16.00,14.60,15.3,-0.10,-0.65,0,0,0
VNH,06/16/2010,14.9,15.5,14.8,15.3,25990,16.10,14.70,15.4,-0.10,-0.65,0,0,0
VNH,06/15/2010,15.4,15.4,14.8,15.4,5880,16.10,14.70,15.4,0.00,0.00,0,0,0
VNH,06/14/2010,15.6,15.6,15.3,15.4,700,16.00,14.60,15.3,0.10,0.65,0,0,0
VNH,06/11/2010,15.3,15.3,14.9,15.3,11080,15.70,14.30,15.0,0.30,2.00,0,0,0
VNH,06/10/2010,14.4,15.2,14.4,15.0,12380,15.70,14.30,15.0,0.00,0.00,0,0,0
VNH,06/09/2010,15.6,15.6,15.0,15.0,23160,16.40,15.00,15.7,-0.70,-4.46,0,0,0
VNH,06/08/2010,15.0,15.7,14.8,15.7,17410,15.90,14.50,15.2,0.50,3.29,0,0,0
VNH,06/07/2010,14.8,15.4,14.7,15.2,10830,16.10,14.70,15.4,-0.20,-1.30,0,0,0
VNH,06/04/2010,15.2,15.8,15.1,15.4,49170,16.50,15.10,15.8,-0.40,-2.53,0,0,0
VNH,06/03/2010,15.4,16.0,15.1,15.8,60300,16.50,15.10,15.8,0.00,0.00,0,0,0
VNH,06/02/2010,15.1,16.0,15.1,15.8,7690,16.50,15.10,15.8,0.00,0.00,0,0,0
VNH,06/01/2010,16.0,16.0,15.5,15.8,3240,16.10,14.70,15.4,0.40,2.60,0,0,0
VNH,05/31/2010,15.4,15.4,15.2,15.4,29860,15.40,14.00,14.7,0.70,4.76,0,0,0
VNH,05/28/2010,14.7,14.7,14.6,14.7,19790,14.70,13.30,14.0,0.70,5.00,0,0,0
VNH,05/27/2010,14.7,15.0,14.0,14.0,30070,15.40,14.00,14.7,-0.70,-4.76,0,100,0
VNH,05/26/2010,15.2,15.6,14.7,14.7,14210,15.70,14.30,15.0,-0.30,-2.00,0,0,0
VNH,05/25/2010,14.5,15.2,14.0,15.0,10960,15.20,13.80,14.5,0.50,3.45,0,0,0
VNH,05/24/2010,0.0,15.5,14.5,14.5,6240,15.90,14.50,15.2,-0.70,-4.61,0,0,0
VNH,05/21/2010,15.2,16.3,15.2,15.2,13130,16.80,15.20,16.0,-0.80,-5.00,0,0,0
VNH,05/20/2010,16.0,16.5,16.0,16.0,9060,17.60,16.00,16.8,-0.80,-4.76,0,0,0
VNH,05/19/2010,16.3,16.8,16.3,16.8,35500,17.90,16.30,17.1,-0.30,-1.75,0,0,0
