MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VNS,08/11/2010,31.9,32.5,31.9,32.0,19590,34.10,30.90,32.5,-0.50,-1.54,0,1950,0
VNS,08/10/2010,32.8,32.8,31.3,32.5,204290,34.40,31.20,32.8,-0.30,-0.91,0,0,0
VNS,08/09/2010,33.1,33.4,32.8,32.8,80330,35.40,32.20,33.8,-1.00,-2.96,20400,0,0
VNS,08/06/2010,33.7,34.4,33.7,33.8,22060,35.70,32.30,34.0,-0.20,-0.59,67500,0,0
VNS,08/05/2010,34.3,34.5,34.0,34.0,72780,36.00,32.60,34.3,-0.30,-0.87,55000,23550,0
VNS,08/04/2010,34.2,34.3,33.9,34.3,170750,36.00,32.60,34.3,0.00,0.00,0,96730,0
VNS,08/03/2010,34.2,34.7,34.2,34.3,97640,36.00,32.60,34.3,0.00,0.00,40400,64350,0
VNS,08/02/2010,34.8,34.8,34.3,34.3,151650,36.00,32.60,34.3,0.00,0.00,45000,113000,0
VNS,07/30/2010,0.0,34.5,33.7,34.3,82330,35.30,32.10,33.7,0.60,1.78,55000,13200,0
VNS,07/29/2010,33.4,33.7,33.4,33.7,80060,35.10,31.90,33.5,0.20,0.60,0,45790,0
VNS,07/28/2010,33.1,34.4,33.1,33.5,77670,35.70,32.30,34.0,-0.50,-1.47,40400,41400,0
VNS,07/27/2010,33.7,34.2,33.7,34.0,62220,35.70,32.30,34.0,0.00,0.00,20500,38580,0
VNS,07/26/2010,0.0,34.0,33.6,34.0,58710,35.20,32.00,33.6,0.40,1.19,20000,48510,0
VNS,07/23/2010,0.0,34.4,33.6,33.6,31700,35.70,32.30,34.0,-0.40,-1.18,0,25770,0
VNS,07/22/2010,34.0,34.4,33.9,34.0,68290,36.30,32.90,34.6,-0.60,-1.73,40400,20000,0
VNS,07/21/2010,35.3,35.4,34.1,34.6,130610,36.70,33.30,35.0,-0.40,-1.14,60000,77000,0
VNS,07/20/2010,34.9,35.1,33.6,35.0,178950,36.60,33.20,34.9,0.10,0.29,0,90450,0
VNS,07/19/2010,33.7,34.9,33.1,34.9,135200,36.20,32.80,34.5,0.40,1.16,0,0,0
VNS,07/16/2010,33.1,34.7,32.9,34.5,302120,34.70,31.50,33.1,1.40,4.23,40400,35230,0
VNS,07/15/2010,32.9,33.5,32.9,33.1,28150,34.50,31.30,32.9,0.20,0.61,0,0,0
VNS,07/14/2010,33.8,34.1,32.9,32.9,146450,34.60,31.40,33.0,-0.10,-0.30,82530,0,0
VNS,07/13/2010,32.8,33.8,32.8,33.0,124430,34.40,31.20,32.8,0.20,0.61,0,25000,0
VNS,07/12/2010,32.8,32.9,32.6,32.8,72120,34.40,31.20,32.8,0.00,0.00,40400,28240,0
