MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VSP,08/11/2010,37.5,38.6,36.5,38.2,181700,40.20,35.00,37.6,0.60,1.60,20000,0,3000
VSP,08/10/2010,38.0,39.5,36.3,37.6,381400,41.70,36.30,39.0,-1.40,-3.59,0,0,0
VSP,08/09/2010,38.5,41.0,37.9,39.0,188700,42.50,37.10,39.8,-0.80,-2.01,10000,0,0
VSP,08/06/2010,41.5,41.5,39.4,39.8,156800,43.70,38.10,40.9,-1.10,-2.69,26600,2500,2000
VSP,08/05/2010,41.0,42.1,40.2,40.9,112800,44.20,38.60,41.4,-0.50,-1.21,0,1000,0
VSP,08/04/2010,42.0,42.0,41.0,41.4,214400,45.30,39.50,42.4,-1.00,-2.36,0,0,0
VSP,08/03/2010,42.1,43.2,41.9,42.4,221600,45.00,39.20,42.1,0.30,0.71,7000,2300,1000
VSP,08/02/2010,42.8,42.9,41.6,42.1,218600,44.50,38.70,41.6,0.50,1.20,0,0,0
VSP,07/30/2010,42.8,42.8,41.0,41.6,307600,44.70,38.90,41.8,-0.20,-0.48,0,0,0
VSP,07/29/2010,41.5,42.5,41.5,41.8,74100,44.40,38.60,41.5,0.30,0.72,0,0,0
VSP,07/28/2010,42.5,43.0,40.0,41.5,349900,44.20,38.60,41.4,0.10,0.24,43000,1000,0
VSP,07/27/2010,42.8,42.8,40.9,41.4,133700,44.80,39.00,41.9,-0.50,-1.19,15000,1000,0
VSP,07/26/2010,42.5,43.1,41.2,41.9,278200,46.50,40.50,43.5,-1.60,-3.68,55000,0,0
VSP,07/23/2010,44.4,44.7,42.5,43.5,181800,46.60,40.60,43.6,-0.10,-0.23,0,0,0
VSP,07/22/2010,43.7,45.0,42.8,43.6,178300,47.70,41.50,44.6,-1.00,-2.24,0,0,0
VSP,07/21/2010,46.4,46.4,43.8,44.6,277100,49.70,43.30,46.5,-1.90,-4.09,0,0,3900
VSP,07/20/2010,46.4,47.7,45.8,46.5,614300,48.20,42.00,45.1,1.40,3.10,0,1000,0
VSP,07/19/2010,44.0,46.4,43.8,45.1,349200,46.80,40.80,43.8,1.30,2.97,9000,0,0
VSP,07/16/2010,42.5,45.0,42.4,43.8,374400,45.30,39.50,42.4,1.40,3.30,20000,0,0
VSP,07/15/2010,43.0,44.1,41.5,42.4,226700,46.40,40.40,43.4,-1.00,-2.30,0,1000,0
VSP,07/14/2010,43.0,44.0,42.7,43.4,389700,45.90,39.90,42.9,0.50,1.17,10000,0,0
VSP,07/13/2010,42.0,43.7,41.0,42.9,292100,44.50,38.70,41.6,1.30,3.13,0,0,0
VSP,07/12/2010,42.1,42.9,40.8,41.6,130000,44.60,38.80,41.7,-0.10,-0.24,0,0,0
VSP,07/09/2010,39.3,41.9,38.9,41.7,420000,41.90,36.50,39.2,2.50,6.38,0,0,0
VSP,07/08/2010,42.5,42.5,38.9,39.2,879900,44.70,38.90,41.8,-2.60,-6.22,0,2000,0
VSP,07/07/2010,42.1,43.0,40.0,41.8,231900,45.00,39.20,42.1,-0.30,-0.71,0,1100,0
VSP,07/06/2010,42.5,42.5,41.8,42.1,491100,47.00,41.00,44.0,-1.90,-4.32,0,0,5000
VSP,07/05/2010,43.0,45.0,42.0,44.0,303100,48.20,42.00,45.1,-1.10,-2.44,5000,0,0
VSP,07/02/2010,45.0,46.2,44.7,45.1,203200,47.20,41.20,44.2,0.90,2.04,0,0,0
VSP,07/01/2010,42.5,46.3,42.5,44.2,452300,46.30,40.30,43.3,0.90,2.08,0,0,0
VSP,06/30/2010,43.0,44.0,42.3,43.3,247700,48.20,42.00,45.1,-1.80,-3.99,63400,0,0
VSP,06/29/2010,44.6,46.5,44.5,45.1,240600,47.70,41.50,44.6,0.50,1.12,0,0,0
VSP,06/28/2010,43.2,45.4,43.1,44.6,116000,47.40,41.20,44.3,0.30,0.68,35000,0,0
VSP,06/25/2010,45.0,45.0,43.5,44.3,460200,48.50,42.30,45.4,-1.10,-2.42,20000,0,0
VSP,06/24/2010,46.4,46.4,45.0,45.4,309400,48.20,42.00,45.1,0.30,0.67,0,300,0
VSP,06/23/2010,45.7,46.3,44.0,45.1,457900,49.70,43.30,46.5,-1.40,-3.01,0,0,8100
VSP,06/22/2010,47.8,47.8,45.5,46.5,390600,51.30,44.70,48.0,-1.50,-3.13,0,0,1500
VSP,06/21/2010,47.7,48.9,47.2,48.0,310800,51.00,44.40,47.7,0.30,0.63,0,0,0
VSP,06/18/2010,48.5,48.8,47.1,47.7,347000,53.20,46.40,49.8,-2.10,-4.22,0,0,0
VSP,06/17/2010,51.6,51.6,48.4,49.8,656300,51.60,45.00,48.3,1.50,3.11,0,0,0
VSP,06/16/2010,46.5,48.7,45.6,48.3,822500,48.70,42.50,45.6,2.70,5.92,20000,0,300
VSP,06/15/2010,47.5,47.5,44.5,45.6,431500,50.30,43.90,47.1,-1.50,-3.18,90100,0,0
VSP,06/14/2010,46.0,48.5,45.9,47.1,515900,49.00,42.60,45.8,1.30,2.84,0,3600,0
VSP,06/11/2010,47.1,48.0,44.6,45.8,439900,49.70,43.30,46.5,-0.70,-1.51,40000,0,0
VSP,06/10/2010,48.0,48.0,45.0,46.5,481600,49.10,42.70,45.9,0.60,1.31,0,0,0
VSP,06/09/2010,45.8,45.9,45.6,45.9,704500,45.90,39.90,42.9,3.00,6.99,0,0,0
VSP,06/08/2010,40.0,44.4,40.0,42.9,493800,44.40,38.60,41.5,1.40,3.37,10000,3000,400
VSP,06/07/2010,43.0,43.0,41.3,41.5,578800,47.50,41.30,44.4,-2.90,-6.53,0,3300,500
VSP,06/04/2010,46.8,46.8,43.0,44.4,329900,48.10,41.90,45.0,-0.60,-1.33,6100,0,0
VSP,06/03/2010,46.5,47.7,43.9,45.0,729900,47.90,41.70,44.8,0.20,0.45,12000,0,5300
VSP,06/02/2010,44.1,46.3,43.3,44.8,590100,49.60,43.20,46.4,-1.60,-3.45,0,2700,0
VSP,06/01/2010,47.5,48.0,45.2,46.4,376200,50.90,44.30,47.6,-1.20,-2.52,0,100,0
VSP,05/31/2010,51.5,51.5,46.9,47.6,491500,53.90,46.90,50.4,-2.80,-5.56,0,0,0
VSP,05/28/2010,50.7,50.7,49.1,50.4,1222200,50.70,44.10,47.4,3.00,6.33,0,5000,7600
VSP,05/27/2010,47.3,47.4,46.0,47.4,1036000,47.40,41.20,44.3,3.10,7.00,0,3600,0
VSP,05/26/2010,43.0,44.9,42.0,44.3,484200,44.90,39.10,42.0,2.30,5.48,89000,0,2300
VSP,05/25/2010,39.6,43.3,38.8,42.0,702400,44.50,38.70,41.6,0.40,0.96,20000,0,0
VSP,05/24/2010,44.0,44.0,39.8,41.6,1319800,45.60,39.80,42.7,-1.10,-2.58,539200,7800,22700
VSP,05/21/2010,46.0,46.0,42.7,42.7,447600,49.10,42.70,45.9,-3.20,-6.97,40000,0,100
VSP,05/20/2010,44.3,50.9,44.3,45.9,2583500,50.90,44.30,47.6,-1.70,-3.57,10000,1700,8700
VSP,05/19/2010,51.0,51.0,47.3,47.6,768000,54.30,47.30,50.8,-3.20,-6.30,40000,2300,0
VSP,05/18/2010,53.0,53.5,49.0,50.8,895000,53.70,46.70,50.2,0.60,1.20,20000,0,2000
VSP,05/17/2010,51.5,55.0,48.6,50.2,2078100,55.80,48.60,52.2,-2.00,-3.83,190000,100,29000
VSP,05/14/2010,52.1,54.0,52.1,52.2,2349600,59.90,52.10,56.0,-3.80,-6.79,42200,0,3500
VSP,05/13/2010,56.0,56.0,56.0,56.0,118500,64.40,56.00,60.2,-4.20,-6.98,284500,50100,0
VSP,05/12/2010,63.9,63.9,59.3,60.2,70100,68.10,59.30,63.7,-3.50,-5.49,95000,600,0
VSP,05/11/2010,61.0,64.0,61.0,63.7,1306200,64.00,55.80,59.9,3.80,6.34,60000,0,0
VSP,05/10/2010,60.0,62.2,55.2,59.9,2196100,62.20,54.20,58.2,1.70,2.92,40200,0,12800
VSP,05/07/2010,58.3,58.3,56.0,58.2,3957900,58.30,50.70,54.5,3.70,6.79,47700,0,116500
VSP,05/06/2010,54.5,54.5,54.5,54.5,93800,54.50,47.50,51.0,3.50,6.86,330000,0,159100
VSP,05/05/2010,51.0,51.0,51.0,51.0,149900,51.00,44.40,47.7,3.30,6.92,287300,0,105600
VSP,05/04/2010,47.7,47.7,47.7,47.7,79600,47.70,41.50,44.6,3.10,6.95,145000,0,0
VSP,04/29/2010,44.6,44.6,44.6,44.6,267100,44.60,38.80,41.7,2.90,6.95,5000,0,24900
VSP,04/28/2010,39.9,42.0,39.9,41.7,1163900,42.00,36.60,39.3,2.40,6.11,10000,5800,2800
VSP,04/27/2010,41.5,41.9,38.1,39.3,959800,42.80,37.20,40.0,-0.70,-1.75,44000,0,5400
VSP,04/26/2010,36.9,40.2,35.5,40.0,1767800,40.20,35.00,37.6,2.40,6.38,0,0,33600
VSP,04/22/2010,40.0,41.0,36.3,37.6,1714300,41.70,36.30,39.0,-1.40,-3.59,0,500,108700
VSP,04/21/2010,37.9,39.1,37.5,39.0,1198400,39.10,34.10,36.6,2.40,6.56,0,0,9500
VSP,04/20/2010,34.5,36.8,34.1,36.6,864100,36.80,32.00,34.4,2.20,6.40,101000,0,10000
VSP,04/19/2010,33.7,34.6,32.6,34.4,1100000,34.60,30.20,32.4,2.00,6.17,0,0,21900
VSP,04/16/2010,32.4,32.9,31.5,32.4,1123600,32.90,28.70,30.8,1.60,5.19,15000,104000,0
VSP,04/15/2010,29.0,31.0,29.0,30.8,1308900,31.00,27.00,29.0,1.80,6.21,45000,2200,400
VSP,04/14/2010,30.0,30.5,28.6,29.0,1375900,32.80,28.60,30.7,-1.70,-5.54,130100,2200,0
VSP,04/13/2010,32.0,32.0,29.5,30.7,1280600,33.00,28.80,30.9,-0.20,-0.65,0,27000,1300
VSP,04/12/2010,29.0,31.0,29.0,30.9,2289500,31.00,27.00,29.0,1.90,6.55,0,0,11100
VSP,04/09/2010,29.2,29.2,28.0,29.0,2112000,29.20,25.40,27.3,1.70,6.23,20000,300000,12700
VSP,04/08/2010,26.6,27.4,26.3,27.3,1619600,27.40,24.00,25.7,1.60,6.23,8100,23100,5200
VSP,04/07/2010,25.6,26.5,24.8,25.7,943300,27.30,23.90,25.6,0.10,0.39,101000,0,1000
VSP,04/06/2010,27.0,27.0,25.0,25.6,622000,27.00,23.60,25.3,0.30,1.19,0,0,0
VSP,04/05/2010,24.2,25.5,24.2,25.3,898500,25.50,22.30,23.9,1.40,5.86,0,0,3000
VSP,04/02/2010,23.9,24.4,23.4,23.9,462300,25.00,21.80,23.4,0.50,2.14,10500,0,700
VSP,04/01/2010,23.4,23.9,23.2,23.4,414400,25.10,21.90,23.5,-0.10,-0.43,0,2000,13200
VSP,03/31/2010,22.7,24.2,22.5,23.5,787400,25.10,21.90,23.5,0.00,0.00,30000,0,14000
