<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ACB,20100729,30.2,30.3,30,30.2,327200
ACB,20100728,30.4,30.4,30.2,30.3,284224
ACB,20100727,30.4,30.5,30.3,30.5,608576
ACB,20100726,30.4,30.5,30.3,30.5,327000
ACB,20100723,30.6,30.7,30.4,30.5,269600
ACB,20100722,30.5,30.7,30.3,30.5,293000
ACB,20100721,30.8,31,30.6,30.8,408500
ACB,20100720,31.2,31.3,30.6,31.1,535100
ACB,20100719,31,31.4,31,31.3,296000
ACB,20100716,31.5,31.5,31.3,31.4,381100
ACB,20100715,31.4,31.6,31.2,31.5,485500
ACB,20100714,31,31.9,30.7,31.4,1018000
ACB,20100713,31,31.5,30.4,30.7,405300
ACB,20100712,30.4,30.5,30.3,30.4,245000
ACB,20100709,30.6,30.6,30.3,30.4,167300
ACB,20100708,30.9,30.9,30.3,30.5,246200
ACB,20100707,30.6,30.8,30.4,30.4,148000
ACB,20100706,30.5,31,30.4,30.6,452300
ACB,20100705,30.3,30.7,30.2,30.5,637600
ACB,20100702,30.5,30.5,30.3,30.5,588500
ACB,20100701,30.3,30.6,30.2,30.4,365100
ACB,20100630,30.5,30.6,30.1,30.4,588000
ACB,20100629,30.4,30.9,30.3,30.5,428000
ACB,20100628,30.3,30.5,30.3,30.4,399900
ACB,20100625,30.5,30.5,30,30.3,296700
ACB,20100624,30.5,30.6,30.1,30.4,338500
ACB,20100623,30.5,30.5,30.4,30.5,339900
ACB,20100622,30.5,30.6,30.4,30.5,399700
ACB,20100621,30.5,30.6,30.4,30.5,235000
ACB,20100618,30.4,30.6,30.4,30.5,378500
ACB,20100617,30.6,30.6,30.4,30.5,218800
ACB,20100616,30.7,31,30.5,30.6,417400
ACB,20100615,30.6,30.7,30.4,30.5,460200
ACB,20100614,30.7,30.7,30.5,30.6,176600
ACB,20100611,30.9,31,30.6,30.7,288000
ACB,20100610,30.7,31,30.4,30.6,247600
ACB,20100609,30.7,30.7,30.4,30.5,199600
ACB,20100608,30.5,30.8,30.5,30.7,358400
ACB,20100607,31,31.2,30,30.7,246800
ACB,20100604,31,31.6,31,31.4,405000
ACB,20100603,31.6,31.6,31.3,31.4,458600
ACB,20100602,31.5,31.6,31.2,31.4,500800
ACB,20100601,31.3,31.8,31.2,31.5,295810
ACB,20100531,32,32,31.3,31.5,210800
ACB,20100528,31.5,32.4,31.3,31.5,476600
ACB,20100527,31.5,31.5,31.2,31.3,518000
ACB,20100526,31.3,31.6,31.1,31.4,571000
ACB,20100525,31.5,31.5,31,31.3,857400
ACB,20100524,31.1,31.9,31,31.3,961500
ACB,20100521,32,32,30.8,31.1,1369600
ACB,20100520,32.6,32.9,31.9,32.3,701000
ACB,20100519,32.7,32.9,32.6,32.7,1287200
ACB,20100518,33,33.5,32.5,32.9,944100
ACB,20100517,32.9,33,32.7,32.9,1088800
ACB,20100514,33,33.2,32.9,33,734900
ACB,20100513,33,33.5,32.9,33,746000
ACB,20100512,33.5,33.5,32.9,33,1433700
ACB,20100511,33.8,34.4,33.1,33.4,1309500
ACB,20100510,33.3,33.6,32.4,33.2,1251200
ACB,20100507,34,34,33.6,33.7,761100
ACB,20100506,34.7,34.9,34,34.5,497900
ACB,20100505,35.5,35.7,34.5,34.9,503500
ACB,20100504,33.9,35.6,33.5,35,1551000
ACB,20100429,33.6,33.8,33.1,33.4,1688600
ACB,20100428,33.9,34,33.4,33.5,806800
ACB,20100427,34,34,33.7,33.9,324600
ACB,20100426,35,35,33.9,34.1,518100
ACB,20100422,33.6,35.3,33.4,34.1,982200
ACB,20100421,33.4,33.7,33,33.2,721700
ACB,20100420,33.5,33.6,32.9,33.1,775800
ACB,20100419,33.9,33.9,33.3,33.5,792500
ACB,20100416,34,34.3,33.7,33.9,753646
ACB,20100415,33.6,34,33.6,33.9,866000
ACB,20100414,34,34.2,33.3,33.6,1417800
ACB,20100413,34.5,34.5,34,34.2,652500
ACB,20100412,34.6,34.7,34.3,34.5,729900
ACB,20100409,34.7,34.7,34.5,34.6,797700
ACB,20100408,34.8,34.9,34.5,34.6,453500
ACB,20100407,34.7,34.8,34.6,34.7,366200
ACB,20100406,34.8,34.9,34.6,34.7,513600
ACB,20100405,35,35,34.7,34.8,362300
ACB,20100402,35,35,34.5,34.8,522800
ACB,20100401,34.5,35,34.1,34.7,716900
ACB,20100331,34.7,34.7,34.3,34.5,597600
ACB,20100330,34.7,35,34.1,34.6,1192300
ACB,20100329,34.9,34.9,34.7,34.8,840200
ACB,20100326,34.8,34.9,34.7,34.8,1165900
ACB,20100325,35,35,34.7,34.9,1398600
ACB,20100324,34.9,35.1,34.5,35,1091489
ACB,20100323,35,35,34.6,34.9,1404400
ACB,20100322,34.9,35.1,34.5,34.9,973800
ACB,20100319,35.2,35.2,34.9,35,885400
ACB,20100318,35.2,35.2,34.9,35,834500
ACB,20100317,35,35.1,34.8,35,1043305
ACB,20100316,35.8,35.8,34.9,35.1,815800
ACB,20100315,35.5,36.2,35,35.6,988300
ACB,20100312,35.2,35.3,35,35.1,743100
ACB,20100311,35.5,35.5,35,35.1,648600
ACB,20100310,35.6,35.6,35.1,35.3,919900
ACB,20100309,35.7,35.7,35.1,35.5,720800
ACB,20100308,35.8,36,35.5,35.7,680200
ACB,20100305,35.7,35.7,35.4,35.5,589400
ACB,20100304,36.8,36.9,35.5,35.7,831700
ACB,20100303,35.2,36,35.2,35.6,857900
ACB,20100302,36.5,36.5,35.1,35.4,913700
ACB,20100301,35.5,35.8,35,35.6,872400
ACB,20100226,33.9,35,33.9,34.7,1240500
