<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BMP,20100729,51,52.5,51,51.5,38150
BMP,20100728,52,52,51,51,51690
BMP,20100727,51,52,51,51.5,36370
BMP,20100726,51.5,52.5,51,51.5,19500
BMP,20100723,51,51.5,50.5,51,34340
BMP,20100722,51,51,50.5,50.5,20580
BMP,20100721,51,51,51,51,20140
BMP,20100720,51,51.5,51,51,11230
BMP,20100719,51,51.5,50.5,51,14240
BMP,20100716,51,51.5,50.5,51,27870
BMP,20100715,51,52,51,51,19820
BMP,20100714,52.5,52.5,51.5,51.5,40320
BMP,20100713,51.5,52,50.5,52,71350
BMP,20100712,51.5,51.5,51,51,3420
BMP,20100709,51,51.5,51,51.5,35720
BMP,20100708,51,52,50.5,51.5,15440
BMP,20100707,52,52,51,51,18530
BMP,20100706,50.5,52,50.5,51.5,23570
BMP,20100705,52,52,50,50,177820
BMP,20100702,52,52.5,52,52,196430
BMP,20100701,52,52.5,52,52,41410
BMP,20100630,50.5,52.5,50.5,52,91210
BMP,20100629,52,53,52,52.5,70920
BMP,20100628,51.5,52.5,51.5,52,34360
BMP,20100625,52,52.5,52,52,14240
BMP,20100624,52.5,53,52.5,53,28050
BMP,20100623,52,52.5,52,52.5,28440
BMP,20100622,52,53,52,52.5,85620
BMP,20100621,52,52.5,52,52,32370
BMP,20100618,52,52.5,52,52.5,43400
BMP,20100617,51.5,52.5,51.5,52,80856
BMP,20100616,52,52,51.5,51.5,44030
BMP,20100615,51,51.5,51,51.5,21400
BMP,20100614,51.5,52,51.5,51.5,23430
BMP,20100611,52,52,51.5,51.5,76586
BMP,20100610,51,51.5,50.5,51,50200
BMP,20100609,52.5,52.5,51.5,51.5,17980
BMP,20100608,51.5,52,51.5,52,21010
BMP,20100607,52.5,53,52.5,52.5,164170
BMP,20100604,54,55.5,54,55,91560
BMP,20100603,56,56,55,55,40880
BMP,20100602,54,54.5,54,54.5,39690
BMP,20100601,54,54.5,53.5,54,46560
BMP,20100531,55,55.5,54.5,55,32020
BMP,20100528,56,56,55,56,70060
BMP,20100527,52,53.5,51.5,53.5,110000
BMP,20100526,51.5,52,51.5,52,95080
BMP,20100525,52,52,51.5,51.5,68800
BMP,20100524,51,52.5,51,51.5,37580
BMP,20100521,50,53,50,51,141610
BMP,20100520,49.8,52.5,49.8,52.5,138660
BMP,20100519,50.5,50.5,50,50,175780
BMP,20100518,51.5,52.5,51,51.5,131270
BMP,20100517,55,55,52,52.5,68680
BMP,20100514,54.5,54.5,53.5,54,90470
BMP,20100513,55,55.5,54.5,54.5,43510
BMP,20100512,55.5,56,55,55,31540
BMP,20100511,57,57,55.5,56.5,108720
BMP,20100510,56,56,54.5,55.5,74730
BMP,20100507,56.5,57,55.5,56,60800
BMP,20100506,57,58,57,57.5,85570
BMP,20100505,57.5,58.5,57.5,58,135580
BMP,20100504,58,58,57,58,88700
BMP,20100429,57,57.5,57,57.5,91920
BMP,20100428,58,58,57,57,141580
BMP,20100427,57,58,57,58,104030
BMP,20100426,58.5,58.5,57,57.5,140200
BMP,20100422,56,58.5,56,58.5,98790
BMP,20100421,57.5,57.5,56,56,86640
BMP,20100420,58,58,56,57,190010
BMP,20100419,58,59,58,58,70540
BMP,20100416,60.5,60.5,58.5,58.5,142890
BMP,20100415,60.5,60.5,59,60,140500
BMP,20100414,60,60.5,60,60,119100
BMP,20100413,60.5,60.5,60,60,64720
BMP,20100412,61,61.5,60,60.5,99840
BMP,20100409,60,60.5,59.5,60.5,59930
BMP,20100408,59,60.5,59,59.5,59580
BMP,20100407,60,60,59,59,79030
BMP,20100406,58.5,60,58.5,59.5,83410
BMP,20100405,60,60,58.5,58.5,85480
BMP,20100402,59.5,60.5,59,59.5,24900
BMP,20100401,59,60,58.5,60,51410
BMP,20100331,59,60,59,59,52450
BMP,20100330,59,60,59,59,60580
BMP,20100329,61,61,59,60,27680
BMP,20100326,60,60.5,59.5,60,70030
BMP,20100325,61.5,61.5,60,60,119860
BMP,20100324,62.5,62.5,61.5,62,94470
BMP,20100323,61.5,62.5,61,61.5,122270
BMP,20100322,63.5,64,61.5,62,62980
BMP,20100319,64,64,63.5,63.5,88530
BMP,20100318,64,64.5,63,64.5,44740
BMP,20100317,65,65,63.5,63.5,68840
BMP,20100316,66,67,64.5,64.5,96870
BMP,20100315,69,69,66.5,67.5,202230
BMP,20100312,64.5,67.5,64.5,67.5,343390
BMP,20100311,64.5,65.5,64,64.5,83110
BMP,20100310,66,66,65,65,64750
BMP,20100309,65,66,64.5,66,112370
BMP,20100308,63.5,65,63,65,191410
BMP,20100305,63,63,62.5,63,76970
BMP,20100304,63,64,62.5,62.5,85550
BMP,20100303,62.5,63,62,62.5,56400
BMP,20100302,62.5,63,61.5,62,59580
BMP,20100301,62,63,62,62.5,64710
BMP,20100226,64,64,62,63,62940
BMP,20100225,63.5,64.5,63.5,64,154340
BMP,20100224,63,64,63,64,8250
BMP,20100223,66,66,64,64,8280
BMP,20100222,67.5,67.5,66.5,66.5,14350
BMP,20100212,65.5,67,65.5,66.5,16780
BMP,20100211,64.5,66,64.5,65,19350
BMP,20100210,62,65,62,64.5,48230
BMP,20100209,62.5,63,62,62,32270
BMP,20100208,66,66,63,63,24430
BMP,20100205,64.5,66,64,65,112230
BMP,20100204,66.5,67,66.5,67,46430
BMP,20100203,67,67,65.5,66.5,43420
BMP,20100202,64.5,66.5,64,65.5,148960
BMP,20100201,60.5,63.5,60,63.5,26270
BMP,20100129,60.5,61.5,60.5,60.5,30490
BMP,20100128,62.5,63,60.5,60.5,26210
BMP,20100127,66,66,62.5,62.5,29120
BMP,20100126,62,65,62,65,101390
BMP,20100125,61.5,62,61.5,62,24790
BMP,20100122,64,65,62,62,80040
BMP,20100121,63,64,60.5,64,80370
BMP,20100120,66,66.5,63,63,28130
BMP,20100119,63,65,63,65,48720
BMP,20100118,66.5,66.5,63,63,22120
BMP,20100115,67,67,65,65.5,37050
BMP,20100114,65.5,65.5,64.5,65.5,48100
BMP,20100113,61,63,61,62.5,111200
BMP,20100112,65,65,63,63,98890
BMP,20100111,66,66.5,65,65,87920
BMP,20100108,69,70,66,66,191480
BMP,20100107,70,71,69,69,106290
BMP,20100106,71,73,71,71.5,174350
BMP,20100105,71.5,71.5,70,71,124940
BMP,20100104,67,68.5,66,68.5,77010
BMP,20091231,64,66,63.5,65.5,245410
BMP,20091230,65.5,65.5,63,63,194170
BMP,20091229,63,63,63,63,212220
BMP,20091228,60,60,60,60,14450
BMP,20091225,57,57.5,56.5,57.5,213430
BMP,20091224,56,56,54,55,73780
BMP,20091223,55.5,56.5,55,56,50050
BMP,20091222,56,57,55.5,56.5,58320
BMP,20091221,55.5,55.5,54.5,55.5,76120
BMP,20091218,52,53,52,53,51090
BMP,20091217,52.5,52.5,49.5,50.5,78180
BMP,20091216,54,54,52,52,48930
BMP,20091215,56,56,54,54,61070
BMP,20091214,52.5,54,52.5,54,60300
BMP,20091211,52,53.5,51,51.5,32940
BMP,20091210,55,55,51,53,101510
BMP,20091209,53.5,54.5,53.5,53.5,176880
BMP,20091208,57.5,58,55.5,56,53360
BMP,20091207,58.5,58.5,57.5,58,58000
BMP,20091204,61,61,57.5,58.5,66350
BMP,20091203,58,61,58,59.5,48540
BMP,20091202,61,65,59.5,59.5,163010
BMP,20091201,62,62.5,60.5,62.5,13530
BMP,20091130,57.5,60,57.5,60,58040
BMP,20091127,57,62,57,60,87150
BMP,20091126,59.5,60,59.5,59.5,105480
BMP,20091125,64.5,65,62.5,62.5,69430
BMP,20091124,64,65.5,62.5,65.5,87780
BMP,20091123,65,65,64,64,59010
BMP,20091120,67.5,68,66.5,66.5,35080
BMP,20091119,68.5,68.5,67,67.5,39250
BMP,20091118,67,68.5,66.5,68.5,42670
BMP,20091117,67.5,68,65,66.5,23920
BMP,20091116,68,68.5,67.5,67.5,42220
BMP,20091113,64.5,69,64.5,68.5,52530
BMP,20091112,67,67.5,66,67,42230
BMP,20091111,64,64.5,63,64.5,55250
BMP,20091110,63.5,63.5,61.5,61.5,92900
BMP,20091109,63.5,65,63.5,63.5,67360
BMP,20091106,69,69,66.5,66.5,50370
BMP,20091105,67,67,64,66.5,70790
BMP,20091104,63.5,66.5,63.5,64,157910
BMP,20091103,68,68,66.5,66.5,56320
BMP,20091102,70.5,70.5,69.5,69.5,42000
BMP,20091030,75,76,72,73,65030
BMP,20091029,75,75,72.5,75,90900
BMP,20091028,76,76,75,75,130210
BMP,20091027,71.5,72.5,69.5,72.5,325440
BMP,20091026,72,72,69.5,69.5,155620
BMP,20091023,69,69,68,69,286120
BMP,20091022,66,66,66,66,87260
BMP,20091021,61,64,61,63,89110
BMP,20091020,63,63.5,61.5,63.5,103700
BMP,20091019,59.5,61,59.5,61,85640
BMP,20091016,62,62.5,60,60,67370
BMP,20091015,66.5,66.5,62.5,62.5,97640
BMP,20091014,62.5,64.5,62.5,64,117400
BMP,20091013,62,64,61,63,225600
BMP,20091012,60,61,58.5,61,156220
BMP,20091009,58,58.5,58,58.5,90640
BMP,20091008,55.5,56,54.5,56,61540
BMP,20091007,53.5,54.5,53,54.5,108710
BMP,20091006,53.5,53.5,52,52,29090
BMP,20091005,53.5,53.5,51.5,52.5,48670
BMP,20091002,52,53,52,52.5,173620
BMP,20091001,56,57,54.5,54.5,106490
